result_name,mesh_name,nu
Computational/n0_N100-500-500-100/Ram_100000,Computational/n0_N100-500-500-100,43.001848312558174
Computational/n0_N50-250-250-50/Ram_100000,Computational/n0_N50-250-250-50,44.6468470847557
Computational/n0_N75-375-375-75/Ram_100000,Computational/n0_N75-375-375-75,43.67515447165297
Computational/n0_N150-600-600-150/Ram_100000,Computational/n0_N150-600-600-150,42.37282601995176
Computational/n0_N100-700-700-100/Ram_100000,Computational/n0_N100-700-700-100,42.15675021611309
Computational/n0_N150-600-600-150/Ram_1000,Computational/n0_N150-600-600-150,11.512735054998648
Computational/n0_N150-600-600-150/Ram_20000,Computational/n0_N150-600-600-150,28.460123640083346
Computational/n0_N150-600-600-150/Ram_40000,Computational/n0_N150-600-600-150,33.673927547653314
Computational/n0_N150-600-600-150/Ram_60000,Computational/n0_N150-600-600-150,37.24439770736528
Computational/n0_N150-600-600-150/Ram_80000,Computational/n0_N150-600-600-150,40.04446945763736
Computational/n2_N100-600-600-100_dr_03/Ram_1000,Computational/n2_N100-600-600-100_dr_03,12.608132240220934
Computational/n2_N100-600-600-100_dr_03/Ram_20000,Computational/n2_N100-600-600-100_dr_03,31.136807795366416
Computational/n2_N100-600-600-100_dr_03/Ram_40000,Computational/n2_N100-600-600-100_dr_03,36.95587666060608
Computational/n2_N100-600-600-100_dr_03/Ram_60000,Computational/n2_N100-600-600-100_dr_03,40.88924080054779
Computational/n2_N100-600-600-100_dr_03/Ram_80000,Computational/n2_N100-600-600-100_dr_03,43.9570215201143
Computational/n2_N100-600-600-100_dr_03/Ram_100000,Computational/n2_N100-600-600-100_dr_03,46.50572532590438
Computational/n2_N100-600-600-100_dr_03_rot/Ram_1000,Computational/n2_N100-600-600-100_dr_03_rot,11.30551196632758
Computational/n2_N100-600-600-100_dr_03_rot/Ram_20000,Computational/n2_N100-600-600-100_dr_03_rot,30.484217684077564
Computational/n2_N100-600-600-100_dr_03_rot/Ram_40000,Computational/n2_N100-600-600-100_dr_03_rot,34.27099064742116
Computational/n2_N100-600-600-100_dr_03_rot/Ram_60000,Computational/n2_N100-600-600-100_dr_03_rot,36.40157054661516
Computational/n2_N100-600-600-100_dr_03_rot/Ram_80000,Computational/n2_N100-600-600-100_dr_03_rot,38.38513192497484
Computational/n2_N100-600-600-100_dr_03_rot/Ram_100000,Computational/n2_N100-600-600-100_dr_03_rot,40.128837679239616
Computational/n2_N100-600-600-100_dr_03_rot/Ram_800,Computational/n2_N100-600-600-100_dr_03_rot,10.883820028215435
Computational/n2_N100-600-600-100_dr_03_rot/Ram_600,Computational/n2_N100-600-600-100_dr_03_rot,10.565010385834825
