,H,Mu
0,5.08316,1.00000
1,5.08784,1.00000
2,5.14901,1.00000
3,5.14430,1.00000
4,5.08270,1.00000
5,5.12377,1.00000
6,4.98879,1.00000
7,7.24403,1.00000
8,7.30008,1.00000
9,7.18390,1.00000
10,7.25578,1.00000
11,6.28020,1.00000
12,6.40410,1.00000
13,6.28825,1.00000
14,7.71296,1.00000
15,7.67670,1.00000
16,5.98059,1.00000
17,5.99444,1.00000
18,7.38092,1.00000
19,7.33854,1.00000
20,7.33422,1.00000
21,7.32553,1.00000
22,7.31489,1.00000
23,3.08121,1.00000
24,3.02456,1.00000
25,4.26552,1.00000
26,4.16327,1.00000
27,2.17591,1.00000
28,2.09749,1.00000
29,3.93086,1.00000
30,3.93089,1.00000
31,7.24163,1.00000
32,7.27559,1.00000
33,8.30738,1.00000
34,8.20721,1.00000
35,7.20388,1.00000
36,7.16242,1.00000
37,2.42897,1.00000
38,2.36112,1.00000
39,8.18449,1.00000
40,8.14388,1.00000
41,3.29075,1.00000
42,3.40378,1.00000
43,6.38365,1.00000
44,6.27790,1.00000
45,5.73990,1.00000
46,5.75772,1.00000
47,3.71157,1.00000
48,3.77140,1.00000
49,5.14576,1.00000
50,5.14077,1.00000
51,5.09102,1.00000
52,5.09829,1.00000
53,5.10545,1.00000
54,5.10108,1.00000
55,5.09242,1.00000
56,4.88153,1.00000
57,4.84321,1.00000
58,5.16503,1.00000
59,5.17883,1.00000
60,5.15378,1.00000
61,5.15800,1.00000
62,4.89462,1.00000
63,4.88191,1.00000
64,6.14864,1.00000
65,6.31215,1.00000
66,3.29127,1.00000
67,3.09460,1.00000
68,3.25469,1.00000
69,2.70234,1.00000
70,2.78171,1.00000
71,7.21897,1.00000
72,6.93388,1.00000
73,7.00832,1.00000
74,1.66150,1.00000
75,1.78107,1.00000
76,7.15401,1.00000
77,7.08202,1.00000
78,6.13211,1.00000
79,6.20239,1.00000
80,3.27552,1.00000
81,3.35275,1.00000
82,3.41017,1.00000
83,3.51253,1.00000
84,3.45162,1.00000
85,7.64866,1.00000
86,7.64031,1.00000
87,7.64522,1.00000
88,3.89373,1.00000
89,3.89761,1.00000
90,3.99401,1.00000
91,2.48759,1.00000
92,2.60280,1.00000
93,7.39390,1.00000
94,7.37487,1.00000
95,5.98983,1.00000
96,5.94177,1.00000
97,7.70026,1.00000
98,7.74626,1.00000
99,7.66928,1.00000
100,8.33027,1.00000
101,8.28849,1.00000
102,8.22413,1.00000
103,2.80611,1.00000
104,2.92760,1.00000
105,4.80282,1.00000
106,4.75499,1.00000
107,4.96003,1.00000
108,5.04363,1.00000
109,7.29410,1.00000
110,7.27636,1.00000
111,4.86658,1.00000
112,4.93664,1.00000
113,6.14269,1.00000
114,6.09893,1.00000
115,8.29902,1.00000
116,8.31586,1.00000
117,8.28141,1.00000
118,8.30771,1.00000
119,8.12931,1.00000
120,8.17449,1.00000
121,2.14059,1.00000
122,2.07729,1.00000
123,2.46557,1.00000
124,2.44086,1.00000
125,5.05145,1.00000
126,4.99976,1.00000
127,4.00420,1.00000
128,5.77084,1.00000
129,5.75715,1.00000
130,4.54811,1.00000
131,4.50105,1.00000
132,8.33997,1.00000
133,8.22570,1.00000
134,7.66644,1.00000
135,2.91633,1.00000
136,7.59393,1.00000
137,7.48857,1.00000
138,4.09430,1.00000
139,4.22594,1.00000
140,3.07801,1.00000
141,2.96391,1.00000
142,8.23674,1.00000
143,8.22334,1.00000
144,8.35693,1.00000
145,8.35574,1.00000
146,3.41766,1.00000
147,3.56323,1.00000
148,7.86880,1.00000
149,7.90716,1.00000
150,2.45488,1.00000
151,2.57677,1.00000
152,6.29900,1.00000
153,6.13999,1.00000
154,7.61622,1.00000
155,7.97924,1.00000
156,7.85332,1.00000
157,7.19544,1.00000
158,7.37878,1.00000
159,7.64758,1.00000
160,7.57859,1.00000
161,7.25122,1.00000
162,7.46039,1.00000
163,4.92862,1.00000
164,4.67693,1.00000
165,6.07498,1.00000
166,6.24636,1.00000
167,5.15469,1.00000
168,5.16229,1.00000
169,5.10643,1.00000
170,5.09434,1.00000
171,5.22983,1.00000
172,5.25775,1.00000
173,4.98084,1.00000
174,4.97137,1.00000
175,4.98110,1.00000
176,5.04866,1.00000
177,5.04264,1.00000
178,5.15649,1.00000
179,5.15329,1.00000
180,5.30865,1.00000
181,5.31186,1.00000
182,5.26227,1.00000
183,5.30056,1.00000
184,4.90359,1.00000
185,4.86503,1.00000
186,4.93639,1.00000
187,4.94264,1.00000
188,4.89197,1.00000
189,4.88188,1.00000
190,4.81565,1.00000
191,4.86649,1.00000
192,5.10441,1.00000
193,5.11601,1.00000
194,4.87900,1.00000
195,4.88277,1.00000
196,5.27726,1.00000
197,4.94824,1.00000
198,5.55047,1.00000
199,4.36981,1.00000
200,4.40306,1.00000
201,6.08074,1.00000
202,5.83827,1.00000
203,5.88369,1.00000
204,5.84239,1.00000
205,5.65578,1.00000
206,3.39542,1.00000
207,3.45352,1.00000
208,6.43659,1.00000
209,6.52751,1.00000
210,6.28212,1.00000
211,3.39024,1.00000
212,3.12269,1.00000
213,7.02174,1.00000
214,5.36765,1.00000
215,4.46077,1.00000
216,4.43721,1.00000
217,4.24472,1.00000
218,4.21797,1.00000
219,3.37206,1.00000
220,3.37568,1.00000
221,7.07688,1.00000
222,7.10149,1.00000
223,6.90175,1.00000
224,6.78292,1.00000
225,6.66438,1.00000
226,7.45093,1.00000
227,7.51797,1.00000
228,7.28990,1.00000
229,7.31561,1.00000
230,5.13633,1.00000
231,5.29389,1.00000
232,1.92382,1.00000
233,2.01515,1.00000
234,1.83740,1.00000
235,7.79702,1.00000
236,7.81502,1.00000
237,8.17844,1.00000
238,8.12864,1.00000
239,7.68519,1.00000
240,7.72413,1.00000
241,1.89806,1.00000
242,8.09849,1.00000
243,2.89201,1.00000
244,3.08492,1.00000
245,6.48044,1.00000
246,6.59533,1.00000
247,1.76215,1.00000
248,1.84355,1.00000
249,8.09126,1.00000
250,8.12098,1.00000
251,4.27321,1.00000
252,4.25991,1.00000
253,6.63877,1.00000
254,6.62229,1.00000
255,7.06597,1.00000
256,7.14522,1.00000
257,3.13058,1.00000
258,3.13847,1.00000
259,3.82638,1.00000
260,3.73906,1.00000
261,4.58432,1.00000
262,4.46976,1.00000
263,7.84748,1.00000
264,7.76202,1.00000
265,5.32905,1.00000
266,5.24902,1.00000
267,8.16035,1.00000
268,8.09278,1.00000
269,6.96701,1.00000
270,6.99101,1.00000
271,7.03510,1.00000
272,8.37543,1.00000
273,8.33441,1.00000
274,7.60478,1.00000
275,7.55982,1.00000
276,2.83518,1.00000
277,2.83426,1.00000
278,2.90526,1.00000
279,7.92309,1.00000
280,7.96622,1.00000
281,2.25981,1.00000
282,2.34081,1.00000
283,2.82329,1.00000
284,2.73549,1.00000
285,2.74767,1.00000
286,3.40495,1.00000
287,3.38795,1.00000
288,2.45163,1.00000
289,2.35148,1.00000
290,8.20545,1.00000
291,8.21732,1.00000
292,8.33763,1.00000
293,8.35496,1.00000
294,8.19702,1.00000
295,8.20336,1.00000
296,4.31779,1.00000
297,4.32310,1.00000
298,3.13690,1.00000
299,3.24389,1.00000
300,7.62137,1.00000
301,7.54896,1.00000
302,8.26014,1.00000
303,8.28613,1.00000
304,7.70312,1.00000
305,5.58805,1.00000
306,5.56149,1.00000
307,7.33581,1.00000
308,7.27068,1.00000
309,2.03214,1.00000
310,1.98769,1.00000
311,1.92688,1.00000
312,6.88727,1.00000
313,6.91839,1.00000
314,7.96848,1.00000
315,7.95356,1.00000
316,8.23447,1.00000
317,8.23872,1.00000
318,3.04050,1.00000
319,3.01310,1.00000
320,1.56916,1.00000
321,1.58341,1.00000
322,5.83945,1.00000
323,5.79645,1.00000
324,5.24175,1.00000
325,5.18650,1.00000
326,3.24707,1.00000
327,3.27820,1.00000
328,7.50997,1.00000
329,7.47299,1.00000
330,4.69136,1.00000
331,4.64989,1.00000
332,2.08734,1.00000
333,2.09210,1.00000
334,5.14173,1.00000
