,Fi,H_nodes
0,0.00000,4.99855
1,-10.23017,4.99883
2,-20.29237,5.00198
3,-30.02136,5.00605
4,-39.25740,5.01053
5,-47.84884,5.01664
6,-55.65460,5.02665
7,-62.54652,5.03136
8,-68.41142,5.03878
9,-73.15301,5.04438
10,-76.69343,5.04887
11,-78.97454,5.05208
12,-79.95890,5.05336
13,-79.63033,5.05307
14,-77.99423,5.05104
15,-75.07747,5.04777
16,-70.92794,5.04230
17,-65.61378,5.03592
18,-59.22224,5.02945
19,-51.85827,5.02309
20,-43.64279,5.01535
21,-34.71070,5.00755
22,-25.20866,5.00253
23,-15.29269,4.99989
24,-5.12562,4.99778
25,5.12562,5.00022
26,15.29269,4.99901
27,25.20866,5.00351
28,34.71070,5.00754
29,43.64279,5.01454
30,51.85827,5.02199
31,59.22224,5.02812
32,65.61378,5.03571
33,70.92794,5.04123
34,75.07747,5.04690
35,77.99423,5.05036
36,79.63033,5.05360
37,79.95890,5.05348
38,78.97454,5.05210
39,76.69343,5.04915
40,73.15301,5.04514
41,68.41142,5.03910
42,62.54652,5.03288
43,55.65460,5.02419
44,47.84884,5.01770
45,39.25740,5.01102
46,30.02136,5.00630
47,20.29237,5.00158
48,10.23017,4.99937
49,-36.23763,5.02631
50,-29.77900,5.02879
51,-36.23426,5.05004
52,-26.49688,5.00258
53,-28.92756,5.00446
54,-33.98572,5.00966
55,-38.28814,5.01148
56,-31.18772,5.00470
57,-25.04950,4.99562
58,-21.69164,4.98371
59,71.01520,5.05505
60,61.64037,5.06451
61,65.33776,5.06300
62,65.33552,5.05655
63,-43.79334,5.02231
64,72.14723,5.05209
65,68.72149,5.05002
66,-46.36923,5.03654
67,-41.69159,5.04447
68,-47.82198,5.05032
69,-31.82973,5.00612
70,-23.44847,4.99785
71,-30.78977,5.00553
72,-24.03317,4.99392
73,-15.68549,4.98682
74,-16.40041,4.97645
75,-23.70693,4.98800
76,50.13390,5.06257
77,58.30528,5.06287
78,60.16383,5.05561
79,53.24374,5.07493
80,10.45359,4.96673
81,15.01391,4.96420
82,9.10856,4.93949
83,4.07069,4.93871
84,2.18810,4.96040
85,7.03039,4.84215
86,4.70105,4.85532
87,3.30972,4.80528
88,8.19991,4.88038
89,-1.07294,3.50692
90,-1.06817,3.53872
91,-1.23249,3.56272
92,-1.32529,3.64879
93,-1.18175,3.64506
94,-4.70095,4.94335
95,1.81384,4.93424
96,0.46443,4.95228
97,-6.23768,4.96893
98,-10.97671,4.95977
99,41.60130,5.07964
100,36.72556,5.10520
101,44.36322,5.09558
102,41.06050,5.06299
103,31.73758,5.00551
104,37.64071,5.01131
105,26.33661,5.00032
106,23.80271,4.99396
107,31.61135,5.00736
108,4.58731,4.99656
109,11.30884,4.99479
110,3.99080,4.98882
111,13.25885,4.99048
112,7.35470,4.97631
113,-44.19698,5.08198
114,-42.67806,5.05950
115,-50.39158,5.05914
116,-53.64802,5.06482
117,-51.78499,5.07748
118,-44.68642,5.09575
119,-48.49959,5.09219
120,-42.04037,5.11499
121,-40.78342,5.11537
122,-46.09603,5.10125
123,-55.30842,5.07725
124,-48.89372,5.08472
125,-57.22534,5.07002
126,-7.86121,4.98499
127,-14.85764,4.99370
128,4.48002,4.96690
129,61.82734,5.04047
130,66.21515,5.04524
131,-36.25275,5.02444
132,-28.75885,5.00403
133,-32.76594,5.00670
134,-42.96033,5.02326
135,-45.67433,5.03472
136,-37.98059,5.01117
137,-25.72612,5.00253
138,-18.74857,4.99238
139,-25.46414,4.99910
140,-18.04733,4.99781
141,-41.85655,5.05755
142,-47.24433,5.06390
143,46.72996,5.04661
144,38.95693,5.03900
145,44.14481,5.03087
146,53.20398,5.03828
147,54.71409,5.04956
148,13.56800,4.99617
149,5.03612,4.99586
150,5.44756,4.99209
151,48.15957,5.02926
152,41.04736,5.02138
153,47.37099,5.02247
154,-17.00182,4.97152
155,54.52174,5.07614
156,51.81029,5.08523
157,46.52566,5.09250
158,44.47677,5.10400
159,38.04953,5.06400
160,43.61403,5.08293
161,38.05922,5.09748
162,47.69380,5.06405
163,17.14367,4.98894
164,-15.97279,4.95063
165,-16.81725,4.96074
166,-21.63666,4.98116
167,-22.37511,5.01001
168,-18.51428,4.97302
169,-26.37506,5.01630
170,-10.34050,4.93065
171,-14.88880,4.95610
172,-8.96328,4.94333
173,-15.08920,4.97142
174,40.02287,5.12110
175,10.81818,4.89421
176,13.99587,4.93394
177,11.84432,4.92156
178,16.21390,4.95437
179,18.22506,4.96370
180,-36.99870,5.07475
181,5.96155,5.93663
182,6.08380,5.95996
183,6.18176,5.89951
184,5.95243,5.88875
185,-1.15028,3.50593
186,-1.29536,3.55970
187,-1.14959,3.43924
188,1.57798,3.73980
189,1.35395,3.67840
190,1.55682,3.77172
191,1.83770,3.85140
192,1.80361,3.79834
193,-35.41314,5.14974
194,-39.26220,5.12772
195,-34.37962,5.14946
196,-31.64500,5.17812
197,-27.21107,5.03746
198,-32.43842,5.03774
199,-31.80627,5.06061
200,-35.55570,5.14012
201,-36.49456,5.14311
202,-30.93335,5.18291
203,-32.48552,5.14814
204,24.28793,4.99980
205,24.10656,5.01620
206,28.02886,5.02629
207,30.58613,5.01482
208,23.96650,4.99198
209,-71.53934,5.05676
210,-65.69664,5.06261
211,-72.39193,5.05653
212,-72.37018,5.05559
213,-65.50903,5.06037
214,-63.07815,5.06572
215,20.90699,4.99645
216,26.05553,5.00241
217,29.17606,5.00159
218,37.53571,5.01144
219,52.48122,5.04083
220,58.90646,5.04815
221,56.81752,5.03246
222,48.73489,5.02926
223,43.89570,5.03316
224,-72.61674,5.05367
225,-68.41543,5.05236
226,28.94845,5.00349
227,35.85421,5.02014
228,-12.80412,4.99062
229,-10.01582,4.99407
230,-55.61651,5.04596
231,-61.74495,5.03834
232,-52.92508,5.03364
233,-58.26923,5.03248
234,-19.12790,4.98855
235,73.07418,5.05628
236,62.99950,5.04400
237,60.68684,5.03580
238,39.14985,5.01432
239,45.52992,5.01867
240,7.11153,4.95390
241,14.03038,4.97320
242,9.74601,4.98061
243,56.60093,5.07525
244,48.67385,5.09056
245,17.17231,4.96454
246,22.03450,4.98212
247,22.82460,4.98763
248,18.69748,4.98162
249,51.56283,5.07498
250,62.41423,5.06216
251,56.18359,5.05841
252,31.35948,5.00638
253,23.54332,5.00141
254,18.34985,4.99535
255,26.57195,4.99576
256,22.20421,4.99231
257,-14.09403,4.99821
258,-4.25196,4.99243
259,1.75942,4.98285
260,-58.20071,5.07193
261,-65.83305,5.06091
262,-61.11119,5.06332
263,-11.28988,4.97997
264,-5.74406,4.98706
