,H,Mu
0,3.94150,1.00000
1,3.92601,1.00000
2,5.64203,1.00000
3,5.58529,1.00000
4,6.04090,1.00000
5,5.97502,1.00000
6,5.49316,1.00000
7,5.53215,1.00000
8,3.41439,1.00000
9,6.65991,1.00000
10,6.69149,1.00000
11,4.17702,1.00000
12,4.22128,1.00000
13,6.67216,1.00000
14,6.66271,1.00000
15,5.43399,1.00000
16,5.53353,1.00000
17,5.61322,1.00000
18,5.58915,1.00000
19,4.06116,1.00000
20,4.07406,1.00000
21,4.04383,1.00000
22,3.78507,1.00000
23,3.77582,1.00000
24,3.80425,1.00000
25,3.73367,1.00000
26,3.81165,1.00000
27,4.18570,1.00000
28,4.18178,1.00000
29,4.16604,1.00000
30,6.75101,1.00000
31,6.75161,1.00000
32,7.29941,1.00000
33,7.25046,1.00000
34,4.30293,1.00000
35,4.30357,1.00000
36,6.74123,1.00000
37,6.69928,1.00000
38,3.10199,1.00000
39,3.11976,1.00000
40,3.12280,1.00000
41,3.80634,1.00000
42,3.77053,1.00000
43,7.34065,1.00000
44,7.33965,1.00000
45,3.44675,1.00000
46,6.67412,1.00000
47,7.31448,1.00000
48,5.45353,1.00000
49,5.48366,1.00000
50,3.13432,1.00000
51,3.13356,1.00000
52,5.55509,1.00000
53,5.51590,1.00000
54,3.84457,1.00000
55,3.85343,1.00000
56,6.26991,1.00000
57,6.29961,1.00000
58,5.82478,1.00000
59,5.78169,1.00000
60,5.98307,1.00000
61,6.02793,1.00000
62,6.52410,1.00000
63,6.55697,1.00000
64,3.21734,1.00000
65,3.15641,1.00000
66,6.48394,1.00000
67,6.40882,1.00000
68,5.60029,1.00000
69,5.63836,1.00000
70,4.06301,1.00000
71,4.00998,1.00000
72,6.06867,1.00000
73,6.17162,1.00000
74,4.14215,1.00000
75,4.08067,1.00000
76,6.11983,1.00000
77,5.98099,1.00000
78,5.37557,1.00000
79,5.43911,1.00000
80,5.34403,1.00000
81,6.12052,1.00000
82,6.12065,1.00000
83,3.29301,1.00000
84,3.35088,1.00000
85,5.65062,1.00000
86,5.70646,1.00000
87,3.61611,1.00000
88,3.65576,1.00000
89,3.64822,1.00000
90,4.41397,1.00000
91,4.42002,1.00000
92,6.13910,1.00000
93,6.09436,1.00000
94,7.06773,1.00000
95,7.08226,1.00000
96,7.30747,1.00000
97,7.23249,1.00000
98,3.61525,1.00000
99,3.62916,1.00000
100,6.61485,1.00000
101,4.61360,1.00000
102,4.65465,1.00000
103,4.77208,1.00000
104,4.77184,1.00000
105,5.54810,1.00000
106,5.57221,1.00000
107,7.11754,1.00000
108,7.11733,1.00000
109,6.23424,1.00000
110,6.20348,1.00000
111,4.59157,1.00000
112,4.59365,1.00000
113,4.57119,1.00000
114,4.57186,1.00000
115,7.03299,1.00000
116,4.63741,1.00000
117,4.42899,1.00000
118,4.54335,1.00000
119,5.93908,1.00000
120,5.43618,1.00000
121,6.67846,1.00000
122,3.79957,1.00000
123,3.78172,1.00000
124,3.81507,1.00000
125,4.59739,1.00000
126,4.58576,1.00000
127,6.06269,1.00000
128,6.02586,1.00000
129,7.37264,1.00000
130,7.35237,1.00000
131,4.23908,1.00000
132,4.25309,1.00000
133,7.34882,1.00000
134,7.35884,1.00000
135,7.38228,1.00000
136,7.36289,1.00000
137,3.77786,1.00000
138,3.77262,1.00000
139,6.81515,1.00000
140,6.83590,1.00000
141,7.31497,1.00000
142,7.36409,1.00000
143,3.81641,1.00000
144,3.80023,1.00000
145,4.51780,1.00000
146,4.52357,1.00000
147,3.15371,1.00000
148,7.25045,1.00000
149,7.30182,1.00000
150,3.51218,1.00000
151,3.48458,1.00000
152,7.26934,1.00000
153,7.20084,1.00000
154,6.19002,1.00000
155,6.22913,1.00000
156,6.63679,1.00000
157,6.58397,1.00000
158,6.59151,1.00000
159,6.57048,1.00000
160,4.98167,1.00000
161,5.02946,1.00000
162,3.68908,1.00000
163,3.67749,1.00000
164,4.12579,1.00000
165,3.73182,1.00000
166,3.90260,1.00000
167,3.82768,1.00000
168,3.80976,1.00000
169,4.41891,1.00000
170,4.47322,1.00000
171,5.58662,1.00000
172,5.49087,1.00000
173,4.28507,1.00000
174,4.23005,1.00000
175,6.24017,1.00000
176,6.30073,1.00000
177,4.04189,1.00000
178,4.15292,1.00000
179,5.37449,1.00000
180,5.34309,1.00000
181,5.50064,1.00000
182,5.52718,1.00000
183,5.59927,1.00000
184,5.50751,1.00000
185,3.66728,1.00000
186,3.69569,1.00000
187,4.68030,1.00000
188,4.63584,1.00000
189,4.62354,1.00000
190,5.67738,1.00000
191,5.67863,1.00000
192,5.77812,1.00000
193,5.79350,1.00000
194,5.73664,1.00000
195,3.75650,1.00000
196,5.51403,1.00000
197,5.47530,1.00000
198,5.45463,1.00000
199,7.06674,1.00000
200,7.00297,1.00000
201,3.46996,1.00000
202,3.51519,1.00000
203,4.15193,1.00000
204,4.20811,1.00000
205,3.19496,1.00000
206,3.22888,1.00000
207,3.75443,1.00000
208,3.73789,1.00000
209,7.20968,1.00000
210,7.17691,1.00000
211,3.75685,1.00000
212,6.15468,1.00000
213,6.12360,1.00000
214,6.12081,1.00000
215,3.22479,1.00000
216,3.21021,1.00000
217,7.22989,1.00000
218,7.24960,1.00000
219,4.38380,1.00000
220,4.33945,1.00000
221,7.31083,1.00000
222,6.20521,1.00000
223,6.15879,1.00000
224,6.64809,1.00000
225,5.93767,1.00000
226,5.92386,1.00000
227,3.82661,1.00000
228,3.86805,1.00000
229,6.80177,1.00000
230,6.80361,1.00000
231,6.84640,1.00000
232,6.97726,1.00000
233,6.94942,1.00000
234,5.83117,1.00000
235,5.86492,1.00000
236,5.12456,1.00000
237,5.09598,1.00000
238,7.34256,1.00000
