,Fi,H_nodes
0,3.48955,4.99924
1,8.55161,4.99984
2,13.57923,5.00070
3,18.55218,5.00193
4,23.45042,5.00387
5,28.25424,5.00543
6,32.94428,5.00769
7,37.50168,5.01006
8,41.90806,5.01281
9,46.14570,5.01543
10,50.19752,5.01891
11,54.04722,5.02201
12,57.67928,5.02510
13,61.07910,5.02745
14,64.23297,5.03075
15,67.12819,5.03347
16,69.75311,5.03596
17,72.09717,5.03802
18,74.15091,5.04096
19,75.90607,5.04247
20,77.35559,5.04445
21,78.49362,5.04531
22,79.31559,5.04619
23,79.81818,5.04679
24,79.99937,5.04692
25,79.85843,5.04678
26,79.39593,5.04625
27,78.61373,5.04540
28,77.51498,5.04372
29,76.10411,5.04249
30,74.38679,5.04035
31,72.36994,5.03755
32,70.06169,5.03568
33,67.47132,5.03288
34,64.60926,5.02986
35,61.48705,5.02715
36,58.11725,5.02396
37,54.51344,5.02166
38,50.69011,5.01887
39,46.66268,5.01540
40,42.44735,5.01240
41,38.06110,5.01012
42,33.52159,5.00764
43,28.84711,5.00514
44,24.05646,5.00360
45,19.16895,5.00182
46,14.20426,5.00047
47,9.18236,4.99990
48,4.12350,4.99912
49,-0.95198,4.99909
50,-6.02361,4.99940
51,-11.07100,5.00011
52,-16.07380,5.00144
53,-21.01188,5.00285
54,-25.86535,5.00441
55,-30.61467,5.00657
56,-35.24072,5.00908
57,-39.72487,5.01185
58,-44.04906,5.01430
59,-48.19587,5.01712
60,-52.14862,5.01970
61,-55.89139,5.02332
62,-59.40910,5.02658
63,-62.68759,5.02943
64,-65.71366,5.03191
65,-68.47513,5.03436
66,-70.96087,5.03732
67,-73.16087,5.03984
68,-75.06628,5.04164
69,-76.66943,5.04309
70,-77.96386,5.04538
71,-78.94435,5.04570
72,-79.60696,5.04665
73,-79.94903,5.04701
74,-79.96916,5.04674
75,-79.66729,5.04619
76,-79.04463,5.04565
77,-78.10368,5.04447
78,-76.84824,5.04282
79,-75.28335,5.04152
80,-73.41533,5.03930
81,-71.25169,5.03700
82,-68.80114,5.03435
83,-66.07355,5.03122
84,-63.07991,5.02840
85,-59.83227,5.02581
86,-56.34371,5.02220
87,-52.62827,5.01989
88,-48.70091,5.01716
89,-44.57746,5.01381
90,-40.27450,5.01159
91,-35.80938,5.00864
92,-31.20006,5.00608
93,-26.46511,5.00471
94,-21.62360,5.00249
95,-16.69501,5.00138
96,-11.69920,4.99956
97,-6.65628,4.99948
98,-1.58656,5.00001
99,9.96364,4.99561
100,14.43827,4.99710
101,10.81679,4.99819
102,15.86807,5.00009
103,-48.94829,5.02239
104,-52.17036,5.02276
105,-52.11722,5.02511
106,-55.52359,5.02567
107,-3.88163,4.44726
108,-3.19916,4.33466
109,-3.36320,4.34430
110,-3.56728,4.40896
111,-4.20262,4.49452
112,-10.37099,5.77330
113,-9.75587,5.82589
114,-10.06269,5.77021
115,-10.75234,5.71573
116,-3.43040,4.34869
117,-3.57408,4.41049
118,-3.89142,4.46535
119,-3.90801,4.44542
120,-0.14764,3.62892
121,-0.34347,3.55860
