,H,Mu
0,4.99658,1.00000
1,4.99932,1.00000
2,4.99933,1.00000
3,5.02280,1.00000
4,5.02496,1.00000
5,4.40271,1.00000
6,4.46031,1.00000
7,5.79707,1.00000
8,5.73630,1.00000
9,4.43782,1.00000
10,4.40244,1.00000
11,3.64016,1.00000
12,3.55545,1.00000
13,3.50303,1.00000
14,3.57508,1.00000
15,6.07415,1.00000
16,6.08320,1.00000
17,3.97870,1.00000
18,3.99253,1.00000
19,3.97261,1.00000
20,4.39434,1.00000
21,4.39017,1.00000
22,4.05899,1.00000
23,4.11181,1.00000
24,5.04030,1.00000
25,5.04955,1.00000
26,5.02222,1.00000
27,3.71491,1.00000
28,3.65179,1.00000
29,3.66751,1.00000
30,5.92629,1.00000
31,5.93414,1.00000
32,5.90936,1.00000
33,5.84645,1.00000
34,5.82356,1.00000
35,5.84222,1.00000
36,4.41994,1.00000
37,4.41522,1.00000
38,4.31455,1.00000
39,4.35533,1.00000
40,4.74544,1.00000
41,4.78333,1.00000
42,6.17630,1.00000
43,6.10611,1.00000
44,6.10772,1.00000
45,3.93599,1.00000
46,3.91492,1.00000
47,5.01775,1.00000
48,5.01789,1.00000
49,6.02487,1.00000
50,6.04127,1.00000
51,6.17792,1.00000
52,6.17765,1.00000
53,4.53098,1.00000
54,4.57641,1.00000
55,6.14390,1.00000
56,6.12589,1.00000
57,3.55579,1.00000
58,3.49485,1.00000
59,5.29858,1.00000
60,5.22261,1.00000
61,4.54746,1.00000
62,4.45539,1.00000
63,4.47682,1.00000
64,4.55773,1.00000
65,5.00051,1.00000
66,4.99741,1.00000
67,4.99982,1.00000
68,5.00233,1.00000
69,5.03475,1.00000
70,5.03726,1.00000
71,4.99794,1.00000
72,5.00025,1.00000
73,4.99320,1.00000
74,4.99492,1.00000
75,4.99567,1.00000
76,5.03821,1.00000
77,5.03639,1.00000
78,5.05298,1.00000
79,5.05600,1.00000
80,5.07158,1.00000
81,5.06317,1.00000
82,4.99471,1.00000
83,4.99474,1.00000
84,5.01527,1.00000
85,5.01626,1.00000
86,5.03275,1.00000
87,5.02927,1.00000
88,5.16078,1.00000
89,5.13312,1.00000
90,4.91059,1.00000
91,4.91786,1.00000
92,4.90729,1.00000
93,5.17829,1.00000
94,5.18761,1.00000
95,4.95083,1.00000
96,5.02987,1.00000
97,5.29248,1.00000
98,5.28837,1.00000
99,4.71931,1.00000
100,4.71927,1.00000
101,4.73934,1.00000
102,5.04526,1.00000
103,5.04584,1.00000
104,4.99569,1.00000
105,4.59518,1.00000
106,4.62843,1.00000
107,5.57155,1.00000
108,5.57774,1.00000
109,5.62014,1.00000
110,5.62258,1.00000
111,5.66382,1.00000
112,5.65928,1.00000
113,5.07125,1.00000
114,5.11808,1.00000
115,5.62551,1.00000
116,5.62192,1.00000
117,6.07981,1.00000
118,6.05562,1.00000
119,3.67580,1.00000
120,3.70302,1.00000
121,3.76493,1.00000
122,5.46062,1.00000
123,5.48050,1.00000
124,6.09349,1.00000
125,6.09029,1.00000
126,6.08133,1.00000
127,6.09277,1.00000
128,6.06545,1.00000
129,4.78591,1.00000
130,4.73503,1.00000
131,4.38860,1.00000
132,6.14979,1.00000
133,6.13964,1.00000
134,6.11973,1.00000
135,3.86192,1.00000
136,3.86426,1.00000
137,3.30060,1.00000
138,3.35659,1.00000
139,4.38188,1.00000
140,4.44127,1.00000
141,6.17730,1.00000
142,6.17445,1.00000
143,6.17906,1.00000
144,6.08982,1.00000
145,6.06829,1.00000
146,5.85291,1.00000
147,5.86618,1.00000
148,6.17500,1.00000
149,6.17673,1.00000
150,6.17456,1.00000
151,6.18284,1.00000
152,6.15895,1.00000
153,6.17789,1.00000
154,5.81548,1.00000
155,5.81829,1.00000
156,5.83117,1.00000
157,3.87654,1.00000
158,3.88910,1.00000
159,4.04321,1.00000
160,4.04865,1.00000
161,4.02904,1.00000
162,3.57176,1.00000
163,3.56317,1.00000
164,3.56466,1.00000
165,4.39094,1.00000
166,6.09480,1.00000
167,6.10192,1.00000
168,5.69644,1.00000
169,5.69676,1.00000
170,6.03144,1.00000
171,6.01234,1.00000
172,5.89496,1.00000
173,5.89617,1.00000
174,5.01610,1.00000
175,5.01610,1.00000
176,3.67917,1.00000
177,3.68765,1.00000
178,5.77197,1.00000
179,3.19985,1.00000
180,3.21082,1.00000
181,6.18358,1.00000
182,6.18073,1.00000
183,5.85998,1.00000
184,6.20773,1.00000
185,6.20644,1.00000
186,3.48527,1.00000
187,3.44526,1.00000
188,6.18261,1.00000
189,6.17958,1.00000
190,5.87879,1.00000
191,5.88590,1.00000
192,4.80032,1.00000
193,5.05444,1.00000
194,5.05635,1.00000
195,3.56134,1.00000
196,3.56770,1.00000
197,6.02476,1.00000
198,6.01617,1.00000
199,4.35124,1.00000
200,4.34093,1.00000
201,6.17037,1.00000
202,6.16738,1.00000
203,4.70950,1.00000
204,5.77001,1.00000
205,5.76673,1.00000
206,3.69868,1.00000
207,3.73732,1.00000
208,6.08816,1.00000
209,6.06521,1.00000
210,4.01670,1.00000
211,3.97721,1.00000
212,3.28737,1.00000
213,3.25983,1.00000
214,6.15179,1.00000
215,6.15975,1.00000
216,4.50391,1.00000
217,4.55849,1.00000
218,6.10331,1.00000
219,6.09162,1.00000
220,6.03260,1.00000
221,5.98978,1.00000
222,6.09715,1.00000
223,6.07986,1.00000
224,3.40136,1.00000
225,3.33745,1.00000
226,4.11257,1.00000
227,4.18910,1.00000
228,3.54591,1.00000
229,3.46614,1.00000
230,4.40278,1.00000
231,4.33401,1.00000
232,5.28806,1.00000
233,5.31369,1.00000
234,5.04013,1.00000
235,4.97107,1.00000
236,5.31290,1.00000
237,5.33503,1.00000
238,5.79729,1.00000
239,5.73190,1.00000
240,4.51386,1.00000
241,4.75614,1.00000
242,4.73052,1.00000
243,4.92234,1.00000
244,4.97027,1.00000
245,4.71342,1.00000
246,4.66688,1.00000
247,4.92256,1.00000
248,4.93310,1.00000
249,5.02758,1.00000
250,5.02362,1.00000
251,5.02553,1.00000
252,5.02171,1.00000
253,5.07268,1.00000
254,5.06213,1.00000
255,5.05504,1.00000
256,5.05518,1.00000
257,5.03173,1.00000
258,5.02824,1.00000
259,4.99451,1.00000
260,4.99145,1.00000
261,4.87385,1.00000
262,4.88358,1.00000
263,5.15649,1.00000
264,5.14583,1.00000
265,5.05847,1.00000
266,5.03938,1.00000
267,4.94124,1.00000
268,5.09545,1.00000
269,5.10675,1.00000
270,5.22350,1.00000
271,5.19757,1.00000
272,5.23300,1.00000
273,5.36693,1.00000
274,5.34622,1.00000
275,5.27552,1.00000
276,5.27775,1.00000
277,5.15420,1.00000
278,5.11592,1.00000
279,4.64351,1.00000
280,4.55152,1.00000
281,5.33207,1.00000
282,5.33982,1.00000
283,5.22131,1.00000
284,5.40296,1.00000
285,5.40318,1.00000
286,4.61311,1.00000
287,4.59709,1.00000
288,4.98802,1.00000
289,4.98461,1.00000
290,5.29579,1.00000
291,5.28078,1.00000
292,5.72144,1.00000
293,5.68472,1.00000
294,5.75353,1.00000
295,5.85267,1.00000
296,5.85209,1.00000
297,5.20474,1.00000
298,5.17363,1.00000
299,5.92145,1.00000
300,5.94220,1.00000
301,5.96426,1.00000
302,6.00826,1.00000
303,5.97052,1.00000
304,5.92789,1.00000
305,5.11375,1.00000
306,5.17756,1.00000
307,5.13897,1.00000
308,5.19905,1.00000
309,6.00036,1.00000
310,5.41198,1.00000
311,5.40669,1.00000
312,5.27303,1.00000
313,6.01217,1.00000
314,6.00392,1.00000
315,5.46862,1.00000
316,5.49454,1.00000
317,5.77480,1.00000
318,5.77396,1.00000
319,4.08797,1.00000
320,4.13500,1.00000
321,5.41387,1.00000
322,5.40364,1.00000
323,3.46428,1.00000
324,3.53387,1.00000
325,5.24192,1.00000
326,5.21213,1.00000
327,5.20733,1.00000
328,4.49739,1.00000
329,4.43837,1.00000
330,4.44748,1.00000
331,6.03199,1.00000
332,6.03768,1.00000
333,5.65275,1.00000
334,5.60755,1.00000
335,5.57068,1.00000
336,5.59910,1.00000
337,6.04515,1.00000
338,6.03087,1.00000
339,5.99933,1.00000
340,5.86644,1.00000
341,5.86569,1.00000
342,6.12044,1.00000
343,6.12078,1.00000
344,6.12248,1.00000
345,5.26903,1.00000
346,5.24483,1.00000
347,6.03424,1.00000
348,6.01611,1.00000
349,5.53720,1.00000
350,5.53337,1.00000
351,5.43568,1.00000
352,5.41977,1.00000
353,4.81446,1.00000
354,4.80105,1.00000
355,5.12806,1.00000
356,5.12770,1.00000
357,5.10180,1.00000
358,3.25566,1.00000
359,3.25125,1.00000
360,3.22394,1.00000
361,6.01660,1.00000
362,6.01297,1.00000
363,3.39405,1.00000
364,3.41769,1.00000
365,3.77916,1.00000
366,3.78704,1.00000
367,3.77679,1.00000
368,6.11100,1.00000
369,6.12988,1.00000
370,6.08617,1.00000
371,6.07632,1.00000
372,6.07968,1.00000
373,6.08126,1.00000
374,4.94228,1.00000
375,4.95121,1.00000
376,4.97289,1.00000
377,4.50736,1.00000
378,4.50511,1.00000
379,5.10623,1.00000
380,5.13625,1.00000
381,5.12816,1.00000
