,Fi,H_nodes
0,64.72136,5.04284
1,67.57343,5.04788
2,70.15340,5.05113
3,72.45089,5.05380
4,74.45664,5.05657
5,76.16259,5.05819
6,77.56185,5.05958
7,78.64880,5.06077
8,79.41906,5.06170
9,79.86953,5.06152
10,79.99839,5.06122
11,79.80512,5.06011
12,79.29051,5.05877
13,78.45663,5.05690
14,77.30682,5.05468
15,75.84573,5.05222
16,74.07924,5.04889
17,72.01445,5.04648
18,69.65969,5.04150
19,67.02443,5.03840
20,64.11929,5.03407
21,60.95596,5.03048
22,57.54718,5.02690
23,53.90669,5.02261
24,50.04913,5.01909
25,45.99003,5.01493
26,41.74576,5.01200
27,37.33339,5.00860
28,32.77069,5.00585
29,28.07603,5.00392
30,23.26832,5.00095
31,18.36692,5.00012
32,13.39156,4.99919
33,8.36228,4.99871
34,3.29932,4.99835
35,-1.77692,4.99936
36,-6.84600,5.00025
37,-11.88752,5.00189
38,-16.88117,5.00373
39,-21.80685,5.00643
40,-26.64471,5.00856
41,-31.37529,5.01218
42,-35.97954,5.01504
43,-40.43890,5.01838
44,-44.73543,5.02271
45,-48.85183,5.02727
46,-52.77152,5.03063
47,-56.47872,5.03519
48,-59.95849,5.03845
49,-63.19684,5.04223
50,-66.18071,5.04592
51,-68.89810,5.04918
52,-71.33806,5.05261
53,-73.49076,5.05512
54,-75.34755,5.05706
55,-76.90094,5.05885
56,-78.14467,5.06035
57,-79.07374,5.06113
58,-79.68441,5.06143
59,-79.97422,5.06123
60,-79.94200,5.06119
61,-79.58789,5.05949
62,-78.91330,5.05761
63,-77.92095,5.05565
64,-76.61485,5.05295
65,-75.00024,5.05124
66,-73.08364,5.04733
67,-70.87275,5.04366
68,-68.37648,5.03967
69,-65.60489,5.03659
70,-62.56912,5.03210
71,-59.28142,5.02880
72,-55.75501,5.02549
73,-52.00409,5.01994
74,-48.04377,5.01661
75,-43.88999,5.01329
76,-39.55949,5.01009
77,-35.06969,5.00716
78,-30.43868,5.00467
79,-25.68511,5.00290
80,-20.82811,5.00076
81,-15.88724,4.99996
82,-10.88240,4.99918
83,-5.83374,4.99855
84,-0.76159,4.99876
85,4.31363,4.99960
86,9.37148,5.00077
87,14.39159,5.00365
88,19.35375,5.00439
89,24.23798,5.00733
90,29.02462,5.01040
91,33.69438,5.01365
92,38.22846,5.01707
93,42.60862,5.02041
94,46.81720,5.02490
95,50.83727,5.02909
96,54.65263,5.03362
97,58.24793,5.03735
98,61.60868,5.04039
99,-49.81599,5.03389
100,-47.03483,5.02969
101,-52.18647,5.03293
102,-49.09661,5.02893
103,-70.82562,5.06587
104,-75.05669,5.06191
105,-71.19786,5.06357
106,-75.13168,5.06012
107,5.20763,4.74180
108,5.61858,4.88844
109,4.97191,4.80553
110,5.99820,4.88199
111,5.68974,4.77574
112,-8.16848,5.22532
113,-7.75492,5.27132
114,-8.25669,5.32181
115,-8.77972,5.28153
116,4.38436,4.71631
117,3.95330,4.60493
118,4.01828,4.57141
119,4.51326,4.65246
120,5.82324,5.83008
121,5.40618,5.81301
122,5.71770,5.73196
123,5.47566,5.89682
124,5.67251,5.96565
125,-5.66515,6.14809
126,-5.56844,6.08232
127,-5.90678,6.06291
128,-5.77906,5.99494
129,-4.52432,4.57023
130,-4.63583,4.55628
131,-4.39259,4.52135
132,-4.45039,4.49569
133,-3.25887,4.89491
134,-3.41571,4.90006
135,-3.35045,4.94425
136,-3.48451,4.97883
137,-3.62052,4.94965
138,-6.54196,6.81589
139,-6.77790,6.75288
140,-6.75728,6.77377
141,-6.48031,6.85597
142,-3.19775,4.79438
143,-3.14646,4.83850
144,-3.08100,4.78304
145,-3.08117,4.73030
146,6.34384,6.92648
147,6.49693,6.88660
148,6.42439,6.89985
149,6.56144,6.86542
150,6.70901,6.82755
151,-5.42673,6.83058
152,-5.48038,6.78133
153,-5.58059,6.78367
154,-5.34738,6.82986
155,-5.32762,6.81741
156,-5.41441,6.77121
157,6.29349,6.13418
158,6.29268,6.15998
159,6.38684,6.14275
160,6.38893,6.11389
161,6.52845,6.11116
162,6.50961,6.24643
163,6.44061,6.27735
164,6.56388,6.26763
165,6.65158,6.23671
166,6.62500,6.21966
167,-6.06580,6.98382
168,-5.99855,6.99367
169,-6.16737,6.94541
170,-6.10274,6.94915
171,2.65895,4.49432
172,2.58938,4.49876
173,2.54254,4.45319
174,2.58348,4.43422
175,-6.16569,7.00120
176,-6.31727,6.95836
177,-6.17741,6.99442
178,-6.31433,6.95534
179,-5.47923,5.38389
180,-5.44910,5.35313
181,-5.37174,4.91896
182,-5.85364,5.67552
183,-5.79709,5.33675
184,-5.93034,5.68875
185,-5.76573,5.22874
186,-3.11236,4.96571
187,-3.10297,4.92336
188,-3.22470,4.94867
189,-3.05318,4.59171
190,-3.00074,4.66628
191,6.27402,6.94679
192,6.18442,6.39103
193,6.29206,6.95125
194,6.20146,6.59892
195,-2.22429,3.63609
196,-2.25149,3.64834
197,-2.30100,3.66746
198,-2.24204,3.56095
199,-2.31317,3.67491
200,5.01699,4.94519
201,4.92339,4.91607
202,4.87133,4.93131
203,4.89529,4.88695
204,4.79628,4.89822
205,-6.38860,6.90065
206,-6.30455,6.93448
207,-6.20371,6.95229
208,-6.29159,6.95030
209,-6.15359,6.98101
210,-4.25127,4.51708
211,-4.13896,4.50333
212,-4.25262,4.54794
213,-4.23453,4.48844
214,-4.11020,4.46666
215,5.06637,5.83094
216,5.20190,5.75445
217,4.79514,5.82898
218,4.93803,5.74630
219,-0.04271,3.99004
220,-0.04143,3.87171
221,0.42690,3.88708
222,-0.47923,4.04424
223,-0.53414,3.96644
224,6.36194,4.83718
225,5.78814,4.72781
226,6.89075,4.97495
227,-7.04372,4.88231
228,-8.05201,4.97176
229,-7.42105,5.02281
230,-6.45173,4.77793
231,-7.73868,4.86686
232,65.63943,5.05648
233,67.86825,5.05359
234,69.52719,5.05587
235,63.20875,5.05423
236,54.87034,5.09123
237,51.27074,5.10048
238,53.35365,5.09157
239,53.99492,5.09508
240,14.65789,4.99812
241,10.12713,4.99624
242,17.97277,4.99853
243,-56.17567,5.03657
244,-58.32543,5.04046
245,-49.64687,5.03621
246,-53.40379,5.03775
247,-51.98260,5.03993
248,-54.99082,5.04198
249,12.77234,4.99076
250,13.75776,4.99523
251,10.04347,4.99262
252,10.83918,4.96598
253,6.31555,4.95722
254,9.39827,4.95319
255,13.73383,4.96185
256,-13.69861,4.95614
257,-16.64996,4.95639
258,-17.65674,4.96570
259,-15.89954,4.96805
260,60.01826,5.07459
261,57.36557,5.08209
262,54.91054,5.08247
263,56.91804,5.07613
264,72.45662,5.06631
265,75.14221,5.06389
266,70.31525,5.06887
267,71.55325,5.06697
268,-59.43801,5.07072
269,-55.85887,5.07808
270,-60.02836,5.07486
271,-62.68781,5.06974
272,-11.34056,4.87671
273,-11.50734,4.86122
274,-14.81788,4.90710
275,-15.81673,4.92674
276,24.39531,5.31430
277,24.64256,5.28232
278,27.41851,5.25431
279,27.90156,5.23337
280,26.51262,5.22591
281,-12.46160,4.85890
282,-15.31298,4.91385
283,-18.09474,4.95117
284,16.34734,5.58717
285,16.49039,5.60215
286,18.13072,5.51842
287,17.77122,5.50008
288,3.30076,4.52502
