,H,Mu
0,5.05404,1.00000
1,5.05297,1.00000
2,5.05018,1.00000
3,5.05552,1.00000
4,5.05467,1.00000
5,5.51711,1.00000
6,5.40899,1.00000
7,4.66288,1.00000
8,4.66706,1.00000
9,5.44355,1.00000
10,5.36010,1.00000
11,6.51026,1.00000
12,6.55614,1.00000
13,6.71111,1.00000
14,6.71901,1.00000
15,3.66062,1.00000
16,3.68620,1.00000
17,5.95388,1.00000
18,5.99935,1.00000
19,5.95183,1.00000
20,6.92454,1.00000
21,6.91675,1.00000
22,5.87138,1.00000
23,5.87144,1.00000
24,6.73559,1.00000
25,6.70504,1.00000
26,6.67060,1.00000
27,7.21833,1.00000
28,7.23275,1.00000
29,7.24505,1.00000
30,5.47831,1.00000
31,5.46541,1.00000
32,5.45689,1.00000
33,5.66543,1.00000
34,5.63634,1.00000
35,5.63604,1.00000
36,7.06228,1.00000
37,7.08158,1.00000
38,5.62160,1.00000
39,5.61490,1.00000
40,6.92335,1.00000
41,6.92866,1.00000
42,4.47318,1.00000
43,4.87424,1.00000
44,4.84846,1.00000
45,6.04833,1.00000
46,6.07746,1.00000
47,6.80768,1.00000
48,6.78408,1.00000
49,3.06018,1.00000
50,3.04669,1.00000
51,4.00127,1.00000
52,3.95922,1.00000
53,6.99072,1.00000
54,7.00276,1.00000
55,3.57669,1.00000
56,3.56671,1.00000
57,6.57813,1.00000
58,6.62491,1.00000
59,4.18844,1.00000
60,4.30888,1.00000
61,5.36011,1.00000
62,5.47630,1.00000
63,5.40733,1.00000
64,5.26759,1.00000
65,5.07006,1.00000
66,5.06847,1.00000
67,5.09943,1.00000
68,5.09542,1.00000
69,4.99913,1.00000
70,4.99843,1.00000
71,5.05683,1.00000
72,5.05700,1.00000
73,5.06001,1.00000
74,5.06340,1.00000
75,5.06133,1.00000
76,4.99476,1.00000
77,4.99720,1.00000
78,4.96002,1.00000
79,4.95554,1.00000
80,4.94506,1.00000
81,4.94878,1.00000
82,5.08870,1.00000
83,5.09047,1.00000
84,5.06433,1.00000
85,5.06229,1.00000
86,5.05996,1.00000
87,5.05427,1.00000
88,4.82706,1.00000
89,4.83976,1.00000
90,5.28996,1.00000
91,5.28347,1.00000
92,5.29419,1.00000
93,4.78970,1.00000
94,4.84439,1.00000
95,5.45347,1.00000
96,5.45861,1.00000
97,4.43089,1.00000
98,4.48095,1.00000
99,5.14625,1.00000
100,5.06496,1.00000
101,5.15992,1.00000
102,5.60943,1.00000
103,5.66744,1.00000
104,5.56333,1.00000
105,5.81219,1.00000
106,5.84681,1.00000
107,4.63411,1.00000
108,4.75785,1.00000
109,4.08879,1.00000
110,4.19664,1.00000
111,4.80609,1.00000
112,4.91811,1.00000
113,4.48092,1.00000
114,4.52604,1.00000
115,5.28638,1.00000
116,5.23761,1.00000
117,4.15531,1.00000
118,4.13221,1.00000
119,7.05145,1.00000
120,7.06239,1.00000
121,7.05367,1.00000
122,3.94985,1.00000
123,3.90024,1.00000
124,3.93654,1.00000
125,3.99531,1.00000
126,3.62986,1.00000
127,4.42255,1.00000
128,4.39439,1.00000
129,6.84219,1.00000
130,6.83121,1.00000
131,6.98825,1.00000
132,3.41314,1.00000
133,3.43376,1.00000
134,3.42708,1.00000
135,6.09295,1.00000
136,6.10802,1.00000
137,6.73240,1.00000
138,6.73995,1.00000
139,7.10138,1.00000
140,7.10641,1.00000
141,3.50761,1.00000
142,3.50858,1.00000
143,3.55243,1.00000
144,4.83191,1.00000
145,4.80587,1.00000
146,5.56771,1.00000
147,5.55768,1.00000
148,3.49034,1.00000
149,3.48847,1.00000
150,3.49656,1.00000
151,4.23323,1.00000
152,4.22203,1.00000
153,4.24099,1.00000
154,5.72506,1.00000
155,5.70410,1.00000
156,5.69516,1.00000
157,7.17795,1.00000
158,7.18769,1.00000
159,5.92258,1.00000
160,5.96121,1.00000
161,5.92847,1.00000
162,7.23150,1.00000
163,7.23881,1.00000
164,7.28788,1.00000
165,7.03344,1.00000
166,4.82744,1.00000
167,4.82182,1.00000
168,5.93529,1.00000
169,5.96633,1.00000
170,3.08071,1.00000
171,3.08921,1.00000
172,5.51370,1.00000
173,5.55115,1.00000
174,6.73366,1.00000
175,6.75824,1.00000
176,6.28692,1.00000
177,6.32480,1.00000
178,5.80155,1.00000
179,6.88999,1.00000
180,6.83325,1.00000
181,4.23718,1.00000
182,4.27865,1.00000
183,3.24874,1.00000
184,3.97273,1.00000
185,3.93856,1.00000
186,6.51815,1.00000
187,6.53455,1.00000
188,4.39451,1.00000
189,4.36980,1.00000
190,5.60532,1.00000
191,5.60357,1.00000
192,6.95950,1.00000
193,6.73436,1.00000
194,6.75047,1.00000
195,6.45213,1.00000
196,6.45391,1.00000
197,3.05218,1.00000
198,3.07293,1.00000
199,5.57139,1.00000
200,5.60743,1.00000
201,3.42449,1.00000
202,3.45434,1.00000
203,6.94607,1.00000
204,5.84958,1.00000
205,5.83252,1.00000
206,7.27603,1.00000
207,7.23959,1.00000
208,4.73554,1.00000
209,4.75885,1.00000
210,5.97757,1.00000
211,6.01690,1.00000
212,6.98457,1.00000
213,7.02836,1.00000
214,3.63532,1.00000
215,3.57323,1.00000
216,6.99190,1.00000
217,6.94594,1.00000
218,4.45311,1.00000
219,4.41479,1.00000
220,4.82021,1.00000
221,4.82288,1.00000
222,3.51514,1.00000
223,3.51636,1.00000
224,6.73627,1.00000
225,6.82710,1.00000
226,6.97170,1.00000
227,6.93370,1.00000
228,6.66655,1.00000
229,6.72271,1.00000
230,5.50457,1.00000
231,5.57922,1.00000
232,4.20338,1.00000
233,4.12909,1.00000
234,6.24466,1.00000
235,6.31286,1.00000
236,4.19003,1.00000
237,4.12976,1.00000
238,4.75182,1.00000
239,4.79084,1.00000
240,5.35770,1.00000
241,4.95859,1.00000
242,4.98520,1.00000
243,4.88464,1.00000
244,4.78812,1.00000
245,5.63119,1.00000
246,5.55097,1.00000
247,5.15518,1.00000
248,5.14058,1.00000
249,5.05792,1.00000
250,5.06363,1.00000
251,4.99413,1.00000
252,4.99279,1.00000
253,5.04999,1.00000
254,5.05693,1.00000
255,5.04648,1.00000
256,5.03176,1.00000
257,4.99843,1.00000
258,4.99756,1.00000
259,5.06771,1.00000
260,5.06739,1.00000
261,5.18664,1.00000
262,5.14854,1.00000
263,4.83861,1.00000
264,4.86714,1.00000
265,4.86748,1.00000
266,4.88006,1.00000
267,5.10572,1.00000
268,4.82319,1.00000
269,4.79419,1.00000
270,5.06776,1.00000
271,5.02143,1.00000
272,5.02646,1.00000
273,4.56679,1.00000
274,4.62396,1.00000
275,4.48095,1.00000
276,4.56995,1.00000
277,5.34533,1.00000
278,5.26643,1.00000
279,5.74426,1.00000
280,5.72592,1.00000
281,4.31895,1.00000
282,4.38244,1.00000
283,4.43091,1.00000
284,5.12070,1.00000
285,5.23030,1.00000
286,5.24907,1.00000
287,5.15341,1.00000
288,5.91827,1.00000
289,5.82603,1.00000
290,5.63116,1.00000
291,5.53501,1.00000
292,4.87411,1.00000
293,4.87239,1.00000
294,4.93341,1.00000
295,4.41815,1.00000
296,4.41709,1.00000
297,4.35979,1.00000
298,4.32267,1.00000
299,4.45696,1.00000
300,4.46837,1.00000
301,3.92749,1.00000
302,3.95057,1.00000
303,4.26614,1.00000
304,4.23537,1.00000
305,6.17980,1.00000
306,6.16268,1.00000
307,4.46506,1.00000
308,4.39678,1.00000
309,3.92315,1.00000
310,3.95707,1.00000
311,4.04843,1.00000
312,4.23913,1.00000
313,3.66952,1.00000
314,3.73889,1.00000
315,3.88126,1.00000
316,3.90179,1.00000
317,3.44224,1.00000
318,3.47122,1.00000
319,6.92845,1.00000
320,6.83177,1.00000
321,6.01818,1.00000
322,6.05244,1.00000
323,6.80111,1.00000
324,6.70116,1.00000
325,6.37733,1.00000
326,6.36477,1.00000
327,6.29962,1.00000
328,6.79261,1.00000
329,6.84440,1.00000
330,6.93158,1.00000
331,4.41266,1.00000
332,4.48197,1.00000
333,5.72746,1.00000
334,5.75217,1.00000
335,5.80905,1.00000
336,5.79536,1.00000
337,4.76399,1.00000
338,4.74128,1.00000
339,4.73927,1.00000
340,5.34086,1.00000
341,5.29794,1.00000
342,3.46470,1.00000
343,3.46547,1.00000
344,3.52215,1.00000
345,4.29187,1.00000
346,4.31097,1.00000
347,3.29017,1.00000
348,3.24674,1.00000
349,3.78404,1.00000
350,3.84355,1.00000
351,4.02209,1.00000
352,3.99536,1.00000
353,6.78486,1.00000
354,6.72156,1.00000
355,6.54808,1.00000
356,6.51737,1.00000
357,4.51963,1.00000
358,6.77058,1.00000
359,6.80576,1.00000
360,6.83554,1.00000
361,3.09315,1.00000
362,3.14560,1.00000
363,7.12952,1.00000
364,7.10710,1.00000
365,7.22366,1.00000
366,7.24091,1.00000
367,7.19897,1.00000
368,4.77694,1.00000
369,4.80066,1.00000
370,4.78989,1.00000
371,4.94540,1.00000
372,4.92634,1.00000
373,4.91537,1.00000
374,4.83916,1.00000
375,4.81083,1.00000
376,4.80357,1.00000
377,7.03638,1.00000
378,7.04575,1.00000
379,6.66827,1.00000
380,6.67193,1.00000
381,6.63457,1.00000
382,3.10068,1.00000
383,3.10421,1.00000
384,5.89059,1.00000
385,5.87714,1.00000
386,6.46762,1.00000
387,6.48524,1.00000
388,6.51083,1.00000
389,6.82914,1.00000
390,6.85677,1.00000
391,5.46940,1.00000
392,5.46789,1.00000
393,7.03840,1.00000
394,7.05790,1.00000
395,3.57396,1.00000
396,3.54889,1.00000
397,5.65041,1.00000
398,6.82058,1.00000
399,6.82261,1.00000
400,7.19643,1.00000
401,7.16313,1.00000
402,6.99628,1.00000
403,6.95049,1.00000
404,5.46964,1.00000
405,5.49452,1.00000
406,5.78017,1.00000
407,5.78056,1.00000
408,6.25106,1.00000
409,6.25013,1.00000
410,6.69057,1.00000
411,7.16963,1.00000
412,7.22550,1.00000
413,3.17375,1.00000
414,3.17687,1.00000
415,7.15147,1.00000
416,7.14444,1.00000
417,5.34847,1.00000
418,5.35372,1.00000
419,5.33724,1.00000
420,5.34975,1.00000
421,4.60811,1.00000
422,4.61086,1.00000
423,3.94250,1.00000
424,3.94014,1.00000
425,5.67542,1.00000
426,5.69901,1.00000
427,5.36888,1.00000
428,7.21605,1.00000
429,3.95811,1.00000
430,4.38180,1.00000
431,5.62679,1.00000
432,4.67822,1.00000
433,4.71776,1.00000
434,6.96866,1.00000
435,6.97543,1.00000
436,6.33804,1.00000
437,6.37652,1.00000
438,3.17116,1.00000
439,3.20822,1.00000
440,5.96922,1.00000
441,3.40355,1.00000
442,3.43949,1.00000
443,3.90783,1.00000
444,3.91316,1.00000
445,3.32117,1.00000
446,3.36317,1.00000
447,6.84551,1.00000
448,6.78716,1.00000
449,6.86721,1.00000
450,6.81628,1.00000
451,4.16218,1.00000
452,4.18076,1.00000
453,4.95266,1.00000
454,4.58800,1.00000
455,4.60191,1.00000
456,6.29838,1.00000
457,6.88858,1.00000
458,3.04708,1.00000
459,5.39383,1.00000
460,5.43581,1.00000
461,7.00443,1.00000
462,6.99480,1.00000
463,5.74842,1.00000
464,5.71537,1.00000
465,7.09227,1.00000
466,7.10202,1.00000
467,3.48680,1.00000
468,4.25235,1.00000
469,4.21615,1.00000
470,3.02159,1.00000
471,3.04182,1.00000
472,6.17943,1.00000
473,6.20921,1.00000
474,7.17452,1.00000
475,7.19124,1.00000
476,4.27537,1.00000
477,3.05893,1.00000
478,3.05741,1.00000
479,6.80571,1.00000
480,4.57754,1.00000
481,4.60958,1.00000
482,6.89813,1.00000
483,6.94008,1.00000
484,4.66291,1.00000
485,4.66133,1.00000
486,3.89619,1.00000
487,3.87831,1.00000
488,3.06187,1.00000
489,3.01841,1.00000
490,6.88688,1.00000
491,6.93114,1.00000
492,5.77759,1.00000
493,5.80048,1.00000
494,6.77838,1.00000
495,6.73917,1.00000
496,7.00658,1.00000
497,6.99258,1.00000
498,7.12639,1.00000
499,7.08913,1.00000
500,6.85396,1.00000
501,6.87463,1.00000
502,6.91056,1.00000
503,6.98484,1.00000
504,4.83213,1.00000
505,4.88301,1.00000
506,6.15102,1.00000
507,6.17265,1.00000
508,5.70752,1.00000
509,5.64744,1.00000
510,6.67523,1.00000
511,6.72923,1.00000
512,3.21829,1.00000
513,3.19178,1.00000
514,7.09835,1.00000
515,7.10181,1.00000
516,4.17874,1.00000
517,4.18376,1.00000
518,4.24769,1.00000
519,4.26203,1.00000
520,5.85560,1.00000
521,5.92242,1.00000
522,3.47050,1.00000
523,3.48388,1.00000
524,3.99246,1.00000
525,3.91565,1.00000
526,4.83462,1.00000
527,4.83384,1.00000
528,5.50095,1.00000
529,5.55224,1.00000
530,6.56277,1.00000
531,6.53004,1.00000
532,6.62408,1.00000
533,6.58446,1.00000
534,3.94868,1.00000
535,4.01214,1.00000
536,5.59586,1.00000
537,5.65165,1.00000
538,6.69805,1.00000
539,6.78551,1.00000
540,3.79518,1.00000
541,3.73539,1.00000
542,5.20061,1.00000
543,5.07068,1.00000
544,3.76238,1.00000
545,3.65717,1.00000
546,4.84337,1.00000
547,4.75096,1.00000
548,5.28351,1.00000
549,5.16732,1.00000
550,4.67912,1.00000
551,4.71770,1.00000
552,5.05834,1.00000
553,4.95793,1.00000
554,6.06149,1.00000
555,5.94007,1.00000
556,4.85743,1.00000
557,4.90377,1.00000
558,5.03610,1.00000
559,5.01861,1.00000
560,4.28187,1.00000
561,4.25755,1.00000
562,4.89661,1.00000
563,4.91435,1.00000
564,5.28507,1.00000
565,5.36230,1.00000
566,5.07624,1.00000
567,5.06784,1.00000
568,4.83788,1.00000
569,4.90353,1.00000
570,5.25598,1.00000
571,5.21701,1.00000
572,4.98424,1.00000
573,4.97906,1.00000
574,5.11067,1.00000
575,5.08860,1.00000
576,5.02566,1.00000
577,5.02752,1.00000
578,4.93474,1.00000
579,4.92683,1.00000
580,5.05174,1.00000
581,5.04973,1.00000
582,4.96977,1.00000
583,4.97419,1.00000
584,5.11491,1.00000
585,5.11973,1.00000
586,5.02695,1.00000
587,5.03171,1.00000
588,4.98037,1.00000
589,4.99064,1.00000
590,5.02005,1.00000
591,5.02005,1.00000
592,5.04836,1.00000
593,5.03553,1.00000
594,4.98877,1.00000
595,4.98216,1.00000
596,5.04633,1.00000
597,5.04994,1.00000
598,5.06288,1.00000
599,5.06381,1.00000
600,5.03575,1.00000
601,5.03664,1.00000
602,4.91568,1.00000
603,4.89774,1.00000
604,5.08166,1.00000
605,5.07646,1.00000
606,5.07620,1.00000
607,4.97682,1.00000
608,4.97575,1.00000
609,4.99921,1.00000
610,5.00112,1.00000
611,5.04604,1.00000
612,5.04649,1.00000
613,5.04099,1.00000
614,5.07838,1.00000
615,5.07666,1.00000
616,5.03744,1.00000
617,5.04533,1.00000
618,5.01323,1.00000
619,5.01458,1.00000
620,5.02677,1.00000
621,5.02532,1.00000
622,5.18049,1.00000
623,5.16939,1.00000
624,5.05175,1.00000
625,5.05108,1.00000
626,5.07733,1.00000
627,5.07597,1.00000
628,4.99365,1.00000
629,4.99505,1.00000
630,4.97722,1.00000
631,4.97480,1.00000
632,4.92493,1.00000
633,4.91656,1.00000
634,4.90505,1.00000
635,4.90509,1.00000
636,4.97986,1.00000
637,4.98316,1.00000
638,5.03610,1.00000
639,5.03647,1.00000
640,5.27962,1.00000
641,5.22059,1.00000
642,5.15470,1.00000
643,5.15226,1.00000
644,4.87098,1.00000
645,4.86581,1.00000
646,5.07267,1.00000
647,5.13508,1.00000
