,Fi,H_nodes
0,0.00000,4.99729
1,3.17120,4.99809
2,6.32962,4.99905
3,9.46256,5.00314
4,12.55740,5.00664
5,15.60167,5.01371
6,18.58312,5.02091
7,21.48975,5.02821
8,24.30984,5.03493
9,27.03204,5.04591
10,29.64540,5.05593
11,32.13938,5.06490
12,34.50395,5.07612
13,36.72959,5.08750
14,38.80732,5.09699
15,40.72880,5.10501
16,42.48627,5.11595
17,44.07267,5.12474
18,45.48160,5.13241
19,46.70739,5.13934
20,47.74511,5.14415
21,48.59058,5.15029
22,49.24039,5.15356
23,49.69192,5.15656
24,49.94337,5.15937
25,49.99371,5.15857
26,49.84274,5.15772
27,49.49107,5.15511
28,48.94012,5.15188
29,48.19211,5.14809
30,47.25004,5.14159
31,46.11771,5.13639
32,44.79969,5.12871
33,43.30127,5.12109
34,41.62849,5.11028
35,39.78809,5.10267
36,37.78748,5.09045
37,35.63471,5.08021
38,33.33845,5.07129
39,30.90795,5.06278
40,28.35299,5.05094
41,25.68387,5.04083
42,22.91133,5.03310
43,20.04653,5.02374
44,17.10101,5.01632
45,14.08663,5.00983
46,11.01553,5.00441
47,7.90007,5.00071
48,4.75280,4.99830
49,1.58640,4.99783
50,-1.58640,4.99711
51,-4.75280,4.99908
52,-7.90007,5.00083
53,-11.01553,5.00499
54,-14.08663,5.01213
55,-17.10101,5.01822
56,-20.04653,5.02358
57,-22.91133,5.02987
58,-25.68387,5.04165
59,-28.35299,5.05109
60,-30.90795,5.06113
61,-33.33845,5.07044
62,-35.63471,5.08359
63,-37.78748,5.09080
64,-39.78809,5.10132
65,-41.62849,5.11074
66,-43.30127,5.12047
67,-44.79969,5.12846
68,-46.11771,5.13609
69,-47.25004,5.14290
70,-48.19211,5.14799
71,-48.94012,5.15356
72,-49.49107,5.15499
73,-49.84274,5.15751
74,-49.99371,5.15833
75,-49.94337,5.15781
76,-49.69192,5.15710
77,-49.24039,5.15461
78,-48.59058,5.15156
79,-47.74511,5.14420
80,-46.70739,5.13939
81,-45.48160,5.13380
82,-44.07267,5.12456
83,-42.48627,5.11545
84,-40.72880,5.10607
85,-38.80732,5.09598
86,-36.72959,5.08582
87,-34.50395,5.07566
88,-32.13938,5.06697
89,-29.64540,5.05457
90,-27.03204,5.04648
91,-24.30984,5.03961
92,-21.48975,5.02726
93,-18.58312,5.02081
94,-15.60167,5.01402
95,-12.55740,5.00823
96,-9.46256,5.00440
97,-6.32962,4.99991
98,-3.17120,4.99800
99,11.32687,4.95903
100,13.65861,5.05793
101,12.00617,5.05694
102,16.51905,5.51603
103,14.64345,5.60085
104,15.42407,5.48470
105,10.44188,5.28307
106,11.33063,5.36400
107,10.36843,5.39267
108,9.72289,5.36786
109,9.24532,5.29263
110,9.62718,5.18742
111,10.68096,5.46103
112,10.09019,5.54674
113,9.65851,5.45830
114,9.19844,5.61614
115,0.55395,3.78255
116,0.40666,3.89286
117,0.94927,3.90775
118,0.83291,4.00758
119,-5.07350,5.03206
120,-5.30187,4.96029
121,-4.95166,4.91534
122,-5.56617,5.04479
123,-5.38836,5.13161
124,-3.13388,4.50657
125,-3.29617,4.51559
126,-3.15525,4.44470
127,-3.31600,4.57289
128,-5.66926,6.31186
129,-5.53769,6.36617
130,-5.68318,6.35182
131,-5.81037,6.31220
132,-5.85940,6.27701
133,-5.71881,6.27506
134,4.60424,5.84185
135,4.61584,5.78590
136,4.76206,5.80597
137,4.76091,5.74805
138,1.97332,3.78803
139,1.98792,3.78199
140,2.06252,3.83415
141,2.11847,3.85067
142,5.18637,6.30889
143,5.27186,6.30918
144,5.29183,6.27115
145,5.41453,6.26601
146,0.41639,2.95348
147,0.44065,2.91879
148,0.37694,2.90446
149,0.47902,2.96045
150,1.84971,3.72357
151,1.88032,3.61494
152,1.82227,3.52647
153,1.76416,3.52796
154,1.82092,3.69886
155,0.14516,2.86546
156,0.11219,2.87968
157,0.11129,2.85206
158,0.06120,2.86158
159,0.08867,2.81792
160,6.58414,6.58195
161,6.60948,6.57924
162,6.68309,6.56733
163,6.60809,6.57808
164,3.09884,4.78842
165,2.98630,4.55212
166,3.04148,4.40172
167,3.09649,4.56462
168,3.17311,4.82745
169,-6.28138,6.56276
170,-6.38552,6.54182
171,-6.24927,6.56186
172,-6.16532,6.04621
173,-6.19088,6.17204
174,0.18903,2.86524
175,0.23575,2.86444
176,0.23277,2.90187
177,0.16469,2.91232
178,-4.95659,5.91177
179,-4.78719,5.89611
180,-4.97365,5.84241
181,-5.18490,5.85666
182,-5.11201,5.92485
183,-5.87973,6.23177
184,-6.13149,6.16597
185,-5.85467,6.19114
186,-5.65702,6.25211
187,5.25980,5.83219
188,5.03054,5.87281
189,5.10447,5.80261
190,5.32059,5.75674
191,5.50225,5.78263
192,6.75930,6.28476
193,7.04054,6.21968
194,6.77026,6.25612
195,6.51900,6.30393
196,6.51226,6.34467
197,8.08863,6.33115
198,7.73840,6.38962
199,7.73199,6.38012
200,8.01166,6.31956
201,8.36643,6.28668
202,-4.73868,4.94839
203,-4.66947,5.05020
204,-11.20495,5.93653
205,-10.36272,5.99014
206,-11.40727,5.87440
207,-12.35496,5.83175
208,-11.72640,5.90834
209,11.02696,5.64695
210,10.04235,5.63939
211,10.98464,5.56238
212,12.21180,5.55336
213,11.82318,5.64386
214,-7.02618,4.79825
215,-5.90668,4.69179
216,-6.16567,4.67880
217,-7.24147,4.79691
218,-8.15834,4.89496
219,1.40813,4.46114
220,2.25233,4.58307
221,3.00644,4.54719
222,0.77895,4.57311
223,12.28108,5.79551
224,12.69208,5.81156
225,11.82078,5.87994
226,13.45990,5.74180
227,13.35231,5.69518
228,-6.69105,4.83065
229,-6.40853,4.84708
230,-5.85679,4.75238
231,-7.15688,4.94571
232,4.88176,4.54839
233,4.62451,4.52721
234,4.12390,4.41389
235,5.33083,4.63541
236,-10.20578,6.07191
237,-9.83387,6.09042
238,-10.37283,6.02565
239,-9.72757,6.07865
240,7.28177,5.23803
241,7.71444,5.16347
242,8.15324,5.28471
243,-0.13811,3.72256
244,-0.40095,3.79622
245,-0.43359,3.66284
246,-0.71406,3.76614
247,-5.87413,5.32709
248,-6.01321,5.45230
249,-6.36611,5.37156
250,-5.67010,5.39955
251,-6.17677,5.56601
252,-6.52271,5.48156
253,-6.62789,5.57698
254,8.98547,6.22125
255,9.37902,6.18262
256,8.81964,6.25654
257,-6.20933,5.89342
258,-6.46356,5.80753
259,-6.11127,5.81017
260,-6.39195,5.73838
261,-6.29833,5.83919
262,-6.04569,5.93344
263,-5.91376,5.88186
264,-6.36433,5.92226
265,5.53535,5.71736
266,5.75559,5.73192
267,5.70590,5.81392
268,-5.31111,5.99028
269,-5.22762,5.94345
270,-5.11142,5.99263
271,-5.40226,5.91154
272,-5.56212,5.93114
273,-5.69255,6.08148
274,-5.95465,6.04715
275,-5.78761,6.12063
276,-6.04708,6.09488
277,-1.35640,3.45522
278,-1.47780,3.54768
279,-1.26914,3.46210
280,-6.01281,6.20372
281,-5.85310,6.21212
282,-6.10563,6.14705
283,-5.84901,6.15533
284,-5.13904,5.78041
285,-4.82084,5.83381
286,-4.93000,5.78490
287,5.70429,6.22119
288,5.55347,6.23225
289,5.52800,6.26457
290,5.65842,6.26810
291,5.83695,6.22050
292,5.81383,6.25488
293,-1.43934,3.43859
294,-1.53636,3.50268
295,-1.50843,3.47597
296,-1.60727,3.54092
297,-1.66143,3.57421
298,-4.83175,5.81879
299,-4.90734,5.74518
300,-4.73063,5.76408
301,-5.04608,5.79011
302,5.60963,5.90322
303,5.60699,5.99124
304,5.36708,5.98619
305,-6.85677,6.54289
306,-6.86819,6.54043
307,-7.03354,6.51879
308,-7.03019,6.51529
309,-6.99279,6.52374
310,-6.82229,6.55147
311,-2.85453,4.51869
312,-2.89403,4.48513
313,-2.78948,4.46250
314,-2.96126,4.55324
315,-3.03274,4.51867
316,-5.56500,6.30680
317,4.58208,6.00166
318,4.69054,5.97308
319,4.64180,6.02386
320,4.74583,6.01604
321,4.85499,5.97678
322,3.08790,4.68295
323,3.15554,4.72509
324,3.20447,4.69434
325,3.28131,4.75925
326,4.67490,6.03919
327,4.70659,6.07210
328,4.81174,6.03757
329,4.86393,5.97590
330,4.74694,6.00706
331,4.61020,5.75738
332,6.74596,6.54981
333,6.65263,6.56187
334,6.80250,6.53874
335,6.66033,6.55634
336,1.88196,3.71501
337,1.89311,3.73207
338,1.81862,3.68333
339,4.52830,5.94441
340,4.58892,5.97356
341,4.66891,5.92588
342,4.74700,5.96966
343,-6.45346,6.53789
344,-6.38884,6.54520
345,-6.31034,6.56115
346,-6.51372,6.52113
347,0.28192,2.89159
348,0.29078,2.93661
349,4.08960,5.62492
350,4.19120,5.64944
