,H,Mu
0,5.02870,1.00000
1,5.54275,1.00000
2,5.36778,1.00000
3,5.28565,1.00000
4,5.28626,1.00000
5,5.46398,1.00000
6,5.56975,1.00000
7,3.90067,1.00000
8,3.90746,1.00000
9,4.93530,1.00000
10,5.03979,1.00000
11,5.03502,1.00000
12,4.50206,1.00000
13,4.52112,1.00000
14,6.35849,1.00000
15,6.30284,1.00000
16,6.28593,1.00000
17,5.81105,1.00000
18,5.78306,1.00000
19,3.81587,1.00000
20,3.81723,1.00000
21,6.30182,1.00000
22,6.27410,1.00000
23,2.90955,1.00000
24,2.95957,1.00000
25,3.72219,1.00000
26,3.69620,1.00000
27,2.86523,1.00000
28,2.85547,1.00000
29,6.57318,1.00000
30,6.57445,1.00000
31,4.77793,1.00000
32,4.82539,1.00000
33,6.54968,1.00000
34,6.56682,1.00000
35,2.87055,1.00000
36,2.86725,1.00000
37,5.88612,1.00000
38,5.89188,1.00000
39,6.18031,1.00000
40,6.24147,1.00000
41,5.84368,1.00000
42,5.79922,1.00000
43,6.23472,1.00000
44,6.30084,1.00000
45,6.34653,1.00000
46,6.29534,1.00000
47,5.01465,1.00000
48,5.94583,1.00000
49,5.88511,1.00000
50,5.63944,1.00000
51,5.61766,1.00000
52,4.76241,1.00000
53,4.85684,1.00000
54,4.51826,1.00000
55,4.57757,1.00000
56,5.84690,1.00000
57,5.75209,1.00000
58,5.76872,1.00000
59,4.77710,1.00000
60,4.89342,1.00000
61,4.45584,1.00000
62,4.59532,1.00000
63,6.06874,1.00000
64,6.03997,1.00000
65,6.05081,1.00000
66,5.27171,1.00000
67,3.72081,1.00000
68,3.75595,1.00000
69,5.35672,1.00000
70,5.41065,1.00000
71,5.46555,1.00000
72,5.55474,1.00000
73,6.20439,1.00000
74,5.81133,1.00000
75,5.80470,1.00000
76,5.86026,1.00000
77,5.91527,1.00000
78,6.35979,1.00000
79,5.74508,1.00000
80,5.77942,1.00000
81,5.99004,1.00000
82,5.93009,1.00000
83,5.95522,1.00000
84,6.06150,1.00000
85,6.10288,1.00000
86,3.51269,1.00000
87,6.18526,1.00000
88,6.15301,1.00000
89,5.83849,1.00000
90,5.83613,1.00000
91,5.85058,1.00000
92,6.22812,1.00000
93,6.22316,1.00000
94,6.25064,1.00000
95,3.46324,1.00000
96,3.51205,1.00000
97,3.53401,1.00000
98,5.75653,1.00000
99,5.80277,1.00000
100,5.97771,1.00000
101,6.52623,1.00000
102,6.53212,1.00000
103,6.53074,1.00000
104,4.46852,1.00000
105,4.52945,1.00000
106,4.50249,1.00000
107,6.29079,1.00000
108,6.29198,1.00000
109,5.99256,1.00000
110,6.01921,1.00000
111,5.98253,1.00000
112,4.68556,1.00000
113,4.74400,1.00000
114,6.04038,1.00000
115,5.99662,1.00000
116,6.07946,1.00000
117,6.55534,1.00000
118,6.54343,1.00000
119,3.70077,1.00000
120,3.75962,1.00000
121,5.93450,1.00000
122,5.96835,1.00000
123,6.55477,1.00000
124,6.53618,1.00000
125,2.91119,1.00000
126,2.88628,1.00000
127,5.64601,1.00000
128,5.62282,1.00000
129,6.46939,1.00000
130,6.50484,1.00000
131,6.19017,1.00000
132,6.15757,1.00000
133,6.58274,1.00000
134,6.56480,1.00000
135,2.83029,1.00000
136,2.92469,1.00000
137,6.34357,1.00000
138,6.35026,1.00000
139,5.50059,1.00000
140,5.50124,1.00000
141,5.45532,1.00000
142,5.41071,1.00000
143,6.58987,1.00000
144,6.58887,1.00000
145,5.02623,1.00000
146,4.97032,1.00000
147,4.86873,1.00000
148,4.90061,1.00000
149,5.37839,1.00000
150,5.40518,1.00000
151,3.96125,1.00000
152,3.89324,1.00000
153,5.72088,1.00000
154,5.78543,1.00000
155,5.68062,1.00000
156,5.71019,1.00000
157,6.22297,1.00000
158,6.26141,1.00000
159,6.03899,1.00000
160,6.04105,1.00000
161,5.68466,1.00000
162,5.68460,1.00000
163,5.55480,1.00000
164,5.45047,1.00000
165,3.66549,1.00000
166,3.78619,1.00000
167,6.32403,1.00000
168,6.26439,1.00000
169,5.04760,1.00000
170,5.14122,1.00000
171,4.00018,1.00000
172,4.01808,1.00000
173,4.59299,1.00000
174,4.54654,1.00000
175,4.35396,1.00000
176,4.28128,1.00000
177,5.19191,1.00000
178,5.17429,1.00000
179,5.35990,1.00000
180,5.43512,1.00000
181,5.34629,1.00000
182,5.42057,1.00000
183,5.03234,1.00000
184,4.92046,1.00000
185,4.89574,1.00000
186,4.91539,1.00000
187,4.91444,1.00000
188,4.99029,1.00000
189,4.56858,1.00000
190,5.52077,1.00000
191,5.33977,1.00000
192,5.25647,1.00000
193,5.32747,1.00000
194,4.45137,1.00000
195,4.45763,1.00000
196,5.02610,1.00000
197,4.08759,1.00000
198,4.10339,1.00000
199,5.48738,1.00000
200,5.37312,1.00000
201,5.39213,1.00000
202,5.48348,1.00000
203,4.48325,1.00000
204,4.33045,1.00000
205,3.83677,1.00000
206,3.92135,1.00000
207,4.66279,1.00000
208,5.58237,1.00000
209,5.50457,1.00000
210,4.09157,1.00000
211,4.12241,1.00000
212,4.75531,1.00000
213,4.76405,1.00000
214,5.74229,1.00000
215,5.66359,1.00000
216,4.65692,1.00000
217,4.59711,1.00000
218,3.89093,1.00000
219,3.87474,1.00000
220,6.26404,1.00000
221,6.24378,1.00000
222,6.31998,1.00000
223,6.23264,1.00000
224,5.90048,1.00000
225,5.96043,1.00000
226,5.87227,1.00000
227,4.11723,1.00000
228,4.23242,1.00000
229,5.96186,1.00000
230,5.96292,1.00000
231,6.08226,1.00000
232,6.29846,1.00000
233,6.31135,1.00000
234,6.24610,1.00000
235,6.26831,1.00000
236,6.10976,1.00000
237,6.06548,1.00000
238,6.38934,1.00000
239,6.36121,1.00000
240,5.74645,1.00000
241,5.77941,1.00000
242,6.40333,1.00000
243,6.40839,1.00000
244,5.72218,1.00000
245,5.75566,1.00000
246,5.93710,1.00000
247,5.94413,1.00000
248,5.18863,1.00000
249,5.18618,1.00000
250,5.98804,1.00000
251,6.48011,1.00000
252,6.46859,1.00000
253,3.15653,1.00000
254,3.11853,1.00000
255,5.08417,1.00000
256,5.14760,1.00000
257,5.09129,1.00000
258,4.69993,1.00000
259,4.77231,1.00000
260,6.49911,1.00000
261,6.49669,1.00000
262,4.52823,1.00000
263,4.51119,1.00000
264,6.50011,1.00000
