,Fi,H_nodes
0,0.00000,4.99724
1,3.17120,4.99804
2,6.32962,4.99900
3,9.46256,5.00311
4,12.55740,5.00665
5,15.60167,5.01380
6,18.58312,5.02111
7,21.48975,5.02853
8,24.30984,5.03538
9,27.03204,5.04659
10,29.64540,5.05685
11,32.13938,5.06606
12,34.50395,5.07764
13,36.72959,5.08944
14,38.80732,5.09930
15,40.72880,5.10767
16,42.48627,5.11910
17,44.07267,5.12835
18,45.48160,5.13644
19,46.70739,5.14377
20,47.74511,5.14890
21,48.59058,5.15539
22,49.24039,5.15892
23,49.69192,5.16212
24,49.94337,5.16508
25,49.99371,5.16426
26,49.84274,5.16334
27,49.49107,5.16056
28,48.94012,5.15714
29,48.19211,5.15309
30,47.25004,5.14620
31,46.11771,5.14065
32,44.79969,5.13254
33,43.30127,5.12452
34,41.62849,5.11320
35,39.78809,5.10521
36,37.78748,5.09252
37,35.63471,5.08189
38,33.33845,5.07269
39,30.90795,5.06391
40,28.35299,5.05174
41,25.68387,5.04140
42,22.91133,5.03352
43,20.04653,5.02399
44,17.10101,5.01646
45,14.08663,5.00988
46,11.01553,5.00439
47,7.90007,5.00066
48,4.75280,4.99824
49,1.58640,4.99779
50,-1.58640,4.99708
51,-4.75280,4.99910
52,-7.90007,5.00089
53,-11.01553,5.00515
54,-14.08663,5.01244
55,-17.10101,5.01867
56,-20.04653,5.02417
57,-22.91133,5.03061
58,-25.68387,5.04272
59,-28.35299,5.05245
60,-30.90795,5.06280
61,-33.33845,5.07243
62,-35.63471,5.08607
63,-37.78748,5.09355
64,-39.78809,5.10450
65,-41.62849,5.11431
66,-43.30127,5.12446
67,-44.79969,5.13283
68,-46.11771,5.14082
69,-47.25004,5.14795
70,-48.19211,5.15331
71,-48.94012,5.15915
72,-49.49107,5.16068
73,-49.84274,5.16332
74,-49.99371,5.16419
75,-49.94337,5.16365
76,-49.69192,5.16290
77,-49.24039,5.16027
78,-48.59058,5.15705
79,-47.74511,5.14935
80,-46.70739,5.14429
81,-45.48160,5.13842
82,-44.07267,5.12874
83,-42.48627,5.11923
84,-40.72880,5.10944
85,-38.80732,5.09894
86,-36.72959,5.08837
87,-34.50395,5.07784
88,-32.13938,5.06884
89,-29.64540,5.05604
90,-27.03204,5.04771
91,-24.30984,5.04063
92,-21.48975,5.02795
93,-18.58312,5.02134
94,-15.60167,5.01438
95,-12.55740,5.00846
96,-9.46256,5.00455
97,-6.32962,4.99996
98,-3.17120,4.99799
99,11.32414,4.94762
100,13.64996,5.04636
101,12.00053,5.03879
102,16.45224,5.54041
103,14.56685,5.62738
104,15.36643,5.49550
105,10.43489,5.23313
106,11.31115,5.32425
107,10.35562,5.33859
108,9.71897,5.30283
109,9.25051,5.22606
110,9.63104,5.13538
111,10.65767,5.41251
112,10.06410,5.48846
113,9.64751,5.39199
114,9.17978,5.53249
115,0.53972,3.82660
116,0.39364,3.92755
117,0.94101,3.94861
118,0.82532,4.03943
119,-5.07727,4.93624
120,-5.30464,4.87751
121,-4.96055,4.82380
122,-5.56268,4.96427
123,-5.38347,5.04207
124,-3.18580,4.37256
125,-3.34291,4.39126
126,-3.20535,4.32262
127,-3.36289,4.44194
128,-5.54584,6.36690
129,-5.40911,6.43081
130,-5.55359,6.41957
131,-5.68465,6.37331
132,-5.73939,6.32876
133,-5.60123,6.32128
134,4.75336,5.44185
135,4.76332,5.40533
136,4.90052,5.43268
137,4.89858,5.39063
138,2.01168,3.93499
139,2.02326,3.92412
140,2.10403,3.97127
141,2.15811,3.97802
142,5.25398,5.91157
143,5.33058,5.92813
144,5.35685,5.88722
145,5.46744,5.90863
146,0.37449,3.06363
147,0.39808,3.03530
148,0.33222,3.01426
149,0.43906,3.07749
150,1.88496,3.88623
151,1.92066,3.78336
152,1.85791,3.69133
153,1.79522,3.73583
154,1.85278,3.86157
155,0.09341,2.95213
156,0.06032,2.96287
157,0.05798,2.93652
158,0.00724,2.94116
159,0.03345,2.89934
160,6.15887,7.21499
161,6.18362,7.21424
162,6.26695,7.17985
163,6.18824,7.19930
164,3.23628,4.70330
165,3.12260,4.50806
166,3.18212,4.37025
167,3.24132,4.45886
168,3.31184,4.72980
169,-6.08981,6.72053
170,-6.19773,6.69493
171,-6.05840,6.71953
172,-5.97173,6.27425
173,-5.99606,6.29784
174,0.13827,2.95650
175,0.18599,2.96111
176,0.18453,2.99510
177,0.11548,2.99812
178,-4.90592,5.83727
179,-4.74221,5.80734
180,-4.92900,5.75996
181,-5.13440,5.78773
182,-5.05559,5.86070
183,-5.76598,6.27279
184,-6.02323,6.19807
185,-5.74759,6.22027
186,-5.54478,6.28933
