,Fi,H_nodes
0,0.00000,4.99868
1,5.07391,4.99874
2,10.12740,5.00010
3,15.14010,5.00157
4,20.09184,5.00617
5,24.96268,5.00621
6,29.73300,5.01287
7,34.38359,5.01822
8,38.89574,5.02214
9,43.25127,5.02798
10,47.43263,5.03272
11,51.42301,5.03982
12,55.20632,5.04633
13,58.76734,5.05091
14,62.09172,5.05916
15,65.16608,5.06461
16,67.97803,5.07152
17,70.51627,5.07768
18,72.77056,5.08030
19,74.73183,5.08392
20,76.39218,5.08947
21,77.74493,5.09319
22,78.78462,5.09502
23,79.50708,5.09709
24,79.90939,5.09729
25,79.98993,5.09820
26,79.74838,5.09801
27,79.18572,5.09665
28,78.30420,5.09474
29,77.10737,5.09058
30,75.60007,5.08707
31,73.78834,5.08335
32,71.67950,5.07856
33,69.28203,5.07404
34,66.60559,5.06796
35,63.66095,5.06105
36,60.45997,5.05453
37,57.01553,5.04958
38,53.34152,5.04212
39,49.45272,5.03630
40,45.36479,5.03050
41,41.09419,5.02416
42,36.65812,5.01949
43,32.07444,5.01456
44,27.36161,5.01062
45,22.53860,5.00587
46,17.62484,5.00273
47,12.64011,5.00066
48,7.60448,4.99930
49,2.53823,4.99878
50,-2.53823,4.99893
51,-7.60448,4.99930
52,-12.64011,5.00046
53,-17.62484,5.00371
54,-22.53860,5.00608
55,-27.36161,5.00989
56,-32.07444,5.01375
57,-36.65812,5.01872
58,-41.09419,5.02600
59,-45.36479,5.03065
60,-49.45272,5.03623
61,-53.34152,5.04281
62,-57.01553,5.04961
63,-60.45997,5.05529
64,-63.66095,5.06130
65,-66.60559,5.06718
66,-69.28203,5.07304
67,-71.67950,5.07862
68,-73.78834,5.08310
69,-75.60007,5.08684
70,-77.10737,5.09069
71,-78.30420,5.09375
72,-79.18572,5.09633
73,-79.74838,5.09709
74,-79.98993,5.09845
75,-79.90939,5.09791
76,-79.50708,5.09697
77,-78.78462,5.09543
78,-77.74493,5.09329
79,-76.39218,5.08858
80,-74.73183,5.08500
81,-72.77056,5.08153
82,-70.51627,5.07678
83,-67.97803,5.07082
84,-65.16608,5.06443
85,-62.09172,5.05839
86,-58.76734,5.05261
87,-55.20632,5.04731
88,-51.42301,5.03878
89,-47.43263,5.03253
90,-43.25127,5.02700
91,-38.89574,5.02187
92,-34.38359,5.01648
93,-29.73300,5.01185
94,-24.96268,5.00741
95,-20.09184,5.00395
96,-15.14010,5.00355
97,-10.12740,5.00079
98,-5.07391,4.99805
99,57.50357,5.06321
100,55.96711,5.05469
101,52.63959,5.05588
102,53.18862,5.06437
103,69.64857,5.10861
104,74.85041,5.10079
105,72.19833,5.10233
106,75.39436,5.09765
107,49.68131,5.05699
108,-7.16485,5.01957
109,-6.41335,5.00779
110,-6.31325,4.85103
111,-7.04679,4.84261
112,8.40816,6.87037
113,9.35675,6.70187
114,8.56073,6.88466
115,9.46352,6.71115
116,-7.97715,6.78268
117,-8.20881,6.81654
118,-8.76561,6.65792
119,-9.14208,6.66807
120,6.62171,5.77286
121,6.73070,5.97796
122,7.41978,5.84221
123,-4.22955,5.80846
124,-4.28147,5.93194
125,-3.98709,5.91272
126,-4.47381,5.85111
127,-4.49405,5.74017
128,-5.14143,7.17279
129,-4.77193,7.28906
130,-4.81107,7.20071
131,-5.16711,7.07009
132,-3.36459,5.63094
133,-3.22163,5.59900
134,-3.34295,5.54752
135,-3.54066,5.55671
136,3.88250,7.05169
137,3.69868,7.11823
138,3.74783,7.05421
139,3.63188,7.08992
140,3.53351,5.50926
141,3.66916,7.02614
142,3.87256,6.98745
143,-1.62344,3.31682
144,-1.65597,3.36307
145,-1.70977,3.38472
146,-1.69250,3.34431
147,-2.29223,4.21509
148,-2.25869,3.68640
149,-2.34350,4.27449
150,-2.27961,4.17350
151,-2.21491,3.34930
152,-1.15422,2.84720
153,-1.11063,2.81131
154,-1.09081,2.79326
155,-1.10001,2.61484
156,-1.04563,2.61821
157,2.12343,3.95420
158,2.19953,3.97546
159,2.17034,4.00265
160,2.12615,3.92322
161,3.50103,5.26631
162,3.64019,6.96583
163,3.51758,5.52572
164,-3.92681,8.35369
165,-4.00810,8.32059
166,-4.16811,8.26108
167,-3.79372,6.22094
168,-3.79295,6.64437
169,3.61747,6.90258
170,3.80249,6.87779
171,3.48386,5.07877
172,-1.31411,2.97823
173,-1.26971,2.95159
174,-1.23888,2.92295
175,-1.26142,2.70021
176,-1.20797,2.63622
177,-4.05753,8.03584
178,-4.09643,8.04872
179,-4.33341,7.94688
180,-3.88038,8.09513
181,-3.90962,8.11295
182,1.94091,3.56161
183,1.95159,3.52564
184,1.85979,3.48693
185,2.03700,3.64476
186,2.06422,3.60967
187,-3.69177,5.83492
188,-3.55279,5.92530
189,-3.79018,5.94387
190,-3.59673,5.75673
191,-3.46627,5.84438
192,9.76675,5.50942
193,9.49811,5.34638
194,8.69074,5.47696
195,10.85690,5.55910
196,10.77764,5.40376
197,-2.19950,4.15578
198,-2.07494,4.04446
199,-3.03550,4.13440
200,-1.09642,4.17626
201,-1.10379,4.02090
202,-76.89869,5.09902
203,-73.34777,5.10349
204,-75.86749,5.09953
205,-75.02610,5.10204
206,61.47874,5.06905
207,61.74799,5.06307
208,64.95937,5.07374
209,56.92941,5.08012
210,57.20292,5.07086
211,53.08714,5.07345
212,13.26339,4.92609
213,8.39676,4.90391
214,10.97262,4.89807
215,7.29889,4.86823
216,-67.06510,5.11259
217,-62.95249,5.12234
218,-63.71690,5.11818
219,-59.69605,5.12846
220,-67.39091,5.11015
221,-71.32011,5.10553
222,-70.10291,5.10904
223,18.86242,4.96190
224,14.60907,4.89277
225,17.51817,4.93289
226,13.62887,4.88665
227,10.59082,5.74514
228,9.30472,5.86668
229,9.68840,5.95242
230,10.61904,5.96573
231,-2.27378,3.80326
232,-1.86132,3.79948
233,-1.88207,3.69127
234,-1.43849,3.62314
235,-1.15445,3.73091
236,1.16064,3.50440
237,0.97447,3.31267
238,0.76739,3.36175
239,0.70687,3.46417
