,Fi,H_nodes
0,0.00000,4.99884
1,5.07391,4.99889
2,10.12740,5.00008
3,15.14010,5.00137
4,20.09184,5.00540
5,24.96268,5.00542
6,29.73300,5.01125
7,34.38359,5.01593
8,38.89574,5.01935
9,43.25127,5.02444
10,47.43263,5.02857
11,51.42301,5.03475
12,55.20632,5.04040
13,58.76734,5.04438
14,62.09172,5.05154
15,65.16608,5.05625
16,67.97803,5.06223
17,70.51627,5.06755
18,72.77056,5.06981
19,74.73183,5.07294
20,76.39218,5.07773
21,77.74493,5.08093
22,78.78462,5.08250
23,79.50708,5.08429
24,79.90939,5.08445
25,79.98993,5.08524
26,79.74838,5.08507
27,79.18572,5.08391
28,78.30420,5.08226
29,77.10737,5.07867
30,75.60007,5.07564
31,73.78834,5.07243
32,71.67950,5.06830
33,69.28203,5.06440
34,66.60559,5.05914
35,63.66095,5.05315
36,60.45997,5.04750
37,57.01553,5.04321
38,53.34152,5.03672
39,49.45272,5.03166
40,45.36479,5.02662
41,41.09419,5.02109
42,36.65812,5.01701
43,32.07444,5.01271
44,27.36161,5.00927
45,22.53860,5.00512
46,17.62484,5.00237
47,12.64011,5.00057
48,7.60448,4.99938
49,2.53823,4.99892
50,-2.53823,4.99906
51,-7.60448,4.99939
52,-12.64011,5.00041
53,-17.62484,5.00327
54,-22.53860,5.00534
55,-27.36161,5.00868
56,-32.07444,5.01206
57,-36.65812,5.01640
58,-41.09419,5.02276
59,-45.36479,5.02682
60,-49.45272,5.03167
61,-53.34152,5.03740
62,-57.01553,5.04331
63,-60.45997,5.04824
64,-63.66095,5.05346
65,-66.60559,5.05855
66,-69.28203,5.06362
67,-71.67950,5.06844
68,-73.78834,5.07231
69,-75.60007,5.07554
70,-77.10737,5.07886
71,-78.30420,5.08149
72,-79.18572,5.08372
73,-79.74838,5.08437
74,-79.98993,5.08555
75,-79.90939,5.08508
76,-79.50708,5.08427
77,-78.78462,5.08294
78,-77.74493,5.08111
79,-76.39218,5.07704
80,-74.73183,5.07394
81,-72.77056,5.07095
82,-70.51627,5.06685
83,-67.97803,5.06170
84,-65.16608,5.05616
85,-62.09172,5.05093
86,-58.76734,5.04591
87,-55.20632,5.04130
88,-51.42301,5.03388
89,-47.43263,5.02844
90,-43.25127,5.02362
91,-38.89574,5.01914
92,-34.38359,5.01444
93,-29.73300,5.01039
94,-24.96268,5.00650
95,-20.09184,5.00347
96,-15.14010,5.00311
97,-10.12740,5.00070
98,-5.07391,4.99829
99,57.51820,5.05505
100,55.97704,5.04765
101,52.65845,5.04871
102,53.21408,5.05609
103,69.67466,5.09425
104,74.86237,5.08749
105,72.21610,5.08883
106,75.40337,5.08477
107,49.70821,5.04970
108,-7.43152,5.08302
109,-6.68388,5.09097
110,-6.55320,4.94623
111,-7.27717,4.91879
112,9.12390,6.48584
113,10.02506,6.36271
114,9.28029,6.49234
115,10.13904,6.36618
116,-8.66752,6.43747
117,-8.91380,6.45192
118,-9.42671,6.33993
119,-9.80349,6.34195
120,7.06196,5.73994
121,7.22078,5.89564
122,7.87844,5.77396
123,-4.64904,5.85789
124,-4.72941,5.95075
125,-4.42264,5.95223
126,-4.90674,5.87858
127,-4.90309,5.79082
128,-5.91359,6.75560
129,-5.57184,6.83653
130,-5.58621,6.78418
131,-5.91155,6.69376
132,-3.72547,5.77051
133,-3.57117,5.75270
134,-3.68585,5.70465
135,-3.89449,5.69853
136,4.59982,6.72566
137,4.43278,6.76877
138,4.46304,6.72931
139,4.35474,6.75208
140,4.27206,5.20908
141,4.37449,6.71208
142,4.57044,6.68746
143,-1.63992,3.59431
144,-1.67475,3.65179
145,-1.73322,3.66649
146,-1.71501,3.61005
147,-2.39633,4.56652
148,-2.36343,3.79760
149,-2.45574,4.62489
150,-2.37855,4.52277
151,-2.31072,3.96307
152,-1.14862,3.00212
153,-1.10126,2.96650
154,-1.08233,2.93857
155,-1.08810,2.66213
156,-1.03263,2.72209
157,2.19766,4.30300
158,2.27945,4.31584
159,2.25121,4.35329
160,2.19784,4.26691
161,4.20623,5.19662
162,4.32752,6.67743
163,4.23948,5.14316
164,-5.03377,7.40469
165,-5.10443,7.38989
166,-5.24792,7.36302
167,-4.91615,4.91917
168,-4.91372,5.87153
169,4.28799,6.63913
170,4.47098,6.61903
171,4.17230,4.95324
172,-1.31345,3.17262
173,-1.26481,3.14979
174,-1.23357,3.11090
175,-1.25418,2.79478
176,-1.19890,2.77101
177,-5.06581,7.25191
178,-5.11100,7.25811
179,-5.31873,7.20348
180,-4.90415,7.28118
181,-4.93910,7.28901
182,1.98737,3.84582
183,1.99814,3.79466
184,1.89936,3.76432
185,2.09189,3.93446
186,2.11951,3.87993
187,-4.10443,5.91034
188,-3.98219,5.98539
189,-4.22663,5.98771
190,-3.98999,5.85579
191,-3.87558,5.93064
192,10.13481,5.47438
193,9.82762,5.34112
194,9.05559,5.46198
195,11.23336,5.50615
196,11.11123,5.37844
197,-2.23903,4.23102
198,-2.11614,4.12602
199,-3.09574,4.21726
200,-1.11469,4.24824
201,-1.12486,4.09937
202,-76.90614,5.08604
203,-73.36440,5.08992
204,-75.87673,5.08649
205,-75.03868,5.08866
206,61.49104,5.06010
207,61.75485,5.05491
208,64.96894,5.06415
209,56.96016,5.06972
210,57.22585,5.06169
211,53.12086,5.06397
212,13.29764,4.93525
213,8.41954,4.91558
214,11.00756,4.91057
215,7.32542,4.88405
216,-67.09862,5.09779
217,-62.99935,5.10621
218,-63.75952,5.10263
219,-59.75219,5.11150
220,-67.42170,5.09569
221,-71.34101,5.09169
222,-70.12834,5.09472
223,18.95978,4.96821
224,14.69568,4.90741
225,17.59445,4.94225
226,13.69341,4.90115
227,11.02078,5.65619
228,9.75969,5.76394
229,10.16782,5.82578
230,11.09425,5.82669
231,-2.32747,3.90181
232,-1.90317,3.89090
233,-1.92626,3.78848
234,-1.47123,3.71271
235,-1.17962,3.81613
236,1.18755,3.59201
237,0.99581,3.39319
238,0.78451,3.43951
239,0.72308,3.54369
240,7.81115,6.43978
241,8.47330,6.29404
242,8.48420,6.37594
243,5.44721,6.33143
244,5.55117,6.22361
245,5.84809,6.22842
246,5.82614,6.32592
247,-0.69972,2.75168
248,-0.63313,2.65100
249,-0.70466,2.68831
250,-0.80497,2.78498
251,-4.63534,6.45092
252,-4.81728,6.48111
253,-4.56055,6.52921
254,-4.89437,6.41457
255,-4.79276,6.37478
256,-3.86241,5.81941
257,-4.03520,5.76994
258,-4.23253,5.80851
259,1.92641,3.72347
260,2.05998,3.77965
261,-2.01548,3.97168
262,-1.91778,3.88315
263,-2.00314,3.89370
264,-2.10004,3.96212
265,-2.11229,3.91627
266,4.71104,6.90861
267,4.70373,6.94451
268,4.87237,6.90017
269,4.86961,6.85869
270,5.03040,6.84728
271,2.19348,4.20574
272,2.28926,4.26170
273,2.38648,4.33241
274,-1.38373,3.21627
275,-1.39354,3.24654
276,-1.48036,3.30977
277,4.78404,6.66729
278,4.74748,6.62424
279,-3.47069,5.78541
280,-3.59979,5.80642
281,-3.49721,5.83132
282,-3.38333,4.60435
283,4.66061,7.01996
284,4.63839,7.04818
285,4.53201,5.58061
286,4.77078,7.02348
287,4.85375,6.97429
288,4.50618,5.08526
289,-5.11562,7.39191
290,-5.31065,7.35584
291,-5.16427,7.38337
292,-5.03743,7.40536
293,-4.91769,5.80040
294,1.52717,3.41349
295,1.59686,3.48270
296,1.59354,3.43857
297,1.70369,3.53027
298,-2.76537,4.93725
299,-2.79054,4.88311
300,-2.88177,4.94235
301,-2.94332,4.88114
302,2.95309,5.09626
303,2.86335,5.02901
304,2.99499,5.02507
305,3.08667,5.07713
306,4.46591,6.66334
307,4.58721,6.63598
308,-2.94865,5.00931
309,-2.79967,4.98510
310,-2.84710,5.04676
311,-2.99022,5.07437
312,-3.73415,5.90368
313,-3.57174,5.90457
314,-3.59711,5.86294
315,-3.73823,5.82943
316,5.06190,7.40573
317,5.02134,7.40574
318,5.18457,7.37281
319,5.26458,7.36063
320,-5.06096,7.39455
321,-5.02566,7.40022
322,-5.17394,7.36886
323,-5.23595,7.36204
