,Fi
0,inf
1,0.35724
2,0.16679
3,0.11090
4,0.08321
5,0.06662
6,0.05550
7,0.04744
8,0.04132
9,0.03648
10,0.03258
11,0.02936
12,0.02666
13,0.02437
14,0.02241
15,0.02072
16,0.01924
17,0.01794
18,0.01680
19,0.01578
20,0.01487
21,0.01405
22,0.01331
23,0.01265
24,0.01204
25,0.01149
26,0.01098
27,0.01051
28,0.01008
29,0.00968
30,0.00931
31,0.00897
32,0.00865
33,0.00835
34,0.00807
35,0.00780
36,0.00756
37,0.00732
38,0.00710
39,0.00689
40,0.00670
41,0.00651
42,0.00633
43,0.00616
44,0.00600
45,0.00585
46,0.00570
47,0.00556
48,0.00543
49,0.00530
50,0.00518
51,0.00506
52,0.00495
53,0.00484
54,0.00473
55,0.00463
56,0.00453
57,0.00444
58,0.00435
59,0.00426
60,0.00418
61,0.00410
62,0.00402
63,0.00395
64,0.00387
65,0.00380
66,0.00373
67,0.00367
68,0.00360
69,0.00354
70,0.00348
71,0.00342
72,0.00336
73,0.00331
74,0.00325
75,0.00320
76,0.00315
77,0.00310
78,0.00305
79,0.00300
80,0.00296
81,0.00291
82,0.00287
83,0.00283
84,0.00279
85,0.00275
86,0.00271
87,0.00267
88,0.00263
89,0.00259
90,0.00256
91,0.00252
92,0.00249
93,0.00246
94,0.00242
95,0.00239
96,0.00236
97,0.00233
98,0.00230
99,0.00227
100,0.00224
101,0.00221
102,0.00219
103,0.00216
104,0.00213
105,0.00211
106,0.00208
107,0.00206
108,0.00203
109,0.00201
110,0.00199
111,0.00196
112,0.00194
113,0.00192
114,0.00190
115,0.00188
116,0.00186
117,0.00184
118,0.00182
119,0.00180
120,0.00178
121,0.00176
122,0.00174
123,0.00172
124,0.00170
125,0.00168
126,0.00167
127,0.00165
128,0.00163
129,0.00162
130,0.00160
131,0.00158
132,0.00157
133,0.00155
134,0.00154
135,0.00152
136,0.00151
137,0.00149
138,0.00148
139,0.00147
140,0.00145
141,0.00144
142,0.00142
143,0.00141
144,0.00140
145,0.00139
146,0.00137
147,0.00136
148,0.00135
149,0.00134
150,0.00132
151,0.00131
152,0.00130
153,0.00129
154,0.00128
155,0.00127
156,0.00126
157,0.00124
158,0.00123
159,0.00122
160,0.00121
161,0.00120
162,0.00119
163,0.00118
164,0.00117
165,0.00116
166,0.00115
167,0.00114
168,0.00113
169,0.00113
170,0.00112
171,0.00111
172,0.00110
173,0.00109
174,0.00108
175,0.00107
176,0.00106
177,0.00106
178,0.00105
179,0.00104
180,0.00103
181,0.00102
182,0.00102
183,0.00101
184,0.00100
185,0.00099
186,0.00099
187,0.00098
188,0.00097
189,0.00096
190,0.00096
191,0.00095
192,0.00094
193,0.00093
194,0.00093
195,0.00092
196,0.00091
197,0.00091
198,0.00090
199,0.00090
200,0.00089
201,0.00088
202,0.00088
203,0.00087
204,0.00086
205,0.00086
206,0.00085
207,0.00085
208,0.00084
209,0.00083
210,0.00083
211,0.00082
212,0.00082
213,0.00081
214,0.00081
215,0.00080
216,0.00080
217,0.00079
218,0.00079
219,0.00078
220,0.00077
221,0.00077
222,0.00076
223,0.00076
224,0.00075
225,0.00075
226,0.00074
227,0.00074
228,0.00074
229,0.00073
230,0.00073
231,0.00072
232,0.00072
233,0.00071
234,0.00071
235,0.00070
236,0.00070
237,0.00069
238,0.00069
239,0.00069
240,0.00068
241,0.00068
242,0.00067
243,0.00067
244,0.00067
245,0.00066
246,0.00066
247,0.00065
248,0.00065
249,0.00065
250,0.00064
251,0.00064
252,0.00063
253,0.00063
254,0.00063
255,0.00062
256,0.00062
257,0.00062
258,0.00061
259,0.00061
260,0.00061
261,0.00060
262,0.00060
263,0.00060
264,0.00059
265,0.00059
266,0.00059
267,0.00058
268,0.00058
269,0.00058
270,0.00057
271,0.00057
272,0.00057
273,0.00056
274,0.00056
275,0.00056
276,0.00055
277,0.00055
278,0.00055
279,0.00054
280,0.00054
281,0.00054
282,0.00054
283,0.00053
284,0.00053
285,0.00053
286,0.00053
287,0.00052
288,0.00052
289,0.00052
290,0.00051
291,0.00051
292,0.00051
293,0.00051
294,0.00050
295,0.00050
296,0.00050
297,0.00050
298,0.00049
299,0.00049
300,0.00049
301,0.00049
302,0.00048
303,0.00048
304,0.00048
305,0.00048
306,0.00047
307,0.00047
308,0.00047
309,0.00047
310,0.00047
311,0.00046
312,0.00046
313,0.00046
314,0.00046
315,0.00046
316,0.00045
317,0.00045
318,0.00045
319,0.00045
320,0.00044
321,0.00044
322,0.00044
323,0.00044
324,0.00044
325,0.00043
326,0.00043
327,0.00043
328,0.00043
329,0.00043
330,0.00043
331,0.00042
332,0.00042
333,0.00042
334,0.00042
335,0.00042
336,0.00041
337,0.00041
338,0.00041
339,0.00041
340,0.00041
341,0.00041
342,0.00040
343,0.00040
344,0.00040
345,0.00040
346,0.00040
347,0.00040
348,0.00039
349,0.00039
350,0.00039
351,0.00039
352,0.00039
353,0.00039
354,0.00038
355,0.00038
356,0.00038
357,0.00038
358,0.00038
359,0.00038
360,0.00038
361,0.00037
362,0.00037
363,0.00037
364,0.00037
365,0.00037
366,0.00037
367,0.00037
368,0.00036
369,0.00036
370,0.00036
371,0.00036
372,0.00036
373,0.00036
374,0.00036
375,0.00035
376,0.00035
377,0.00035
378,0.00035
379,0.00035
380,0.00035
381,0.00035
382,0.00035
383,0.00034
384,0.00034
385,0.00034
386,0.00034
387,0.00034
388,0.00034
389,0.00034
390,0.00034
391,0.00033
392,0.00033
393,0.00033
394,0.00033
395,0.00033
396,0.00033
397,0.00033
398,0.00033
399,0.00033
400,0.00032
401,0.00032
402,0.00032
403,0.00032
404,0.00032
405,0.00032
406,0.00032
407,0.00032
408,0.00032
409,0.00031
410,0.00031
411,0.00031
412,0.00031
413,0.00031
414,0.00031
415,0.00031
416,0.00031
417,0.00031
418,0.00031
419,0.00031
420,0.00030
421,0.00030
422,0.00030
423,0.00030
424,0.00030
425,0.00030
426,0.00030
427,0.00030
428,0.00030
429,0.00030
430,0.00030
431,0.00029
432,0.00029
433,0.00029
434,0.00029
435,0.00029
436,0.00029
437,0.00029
438,0.00029
439,0.00029
440,0.00029
441,0.00029
442,0.00029
443,0.00028
444,0.00028
445,0.00028
446,0.00028
447,0.00028
448,0.00028
449,0.00028
450,0.00028
451,0.00028
452,0.00028
453,0.00028
454,0.00028
455,0.00027
456,0.00027
457,0.00027
458,0.00027
459,0.00027
460,0.00027
461,0.00027
462,0.00027
463,0.00027
464,0.00027
465,0.00027
466,0.00027
467,0.00027
468,0.00027
469,0.00027
470,0.00026
471,0.00026
472,0.00026
473,0.00026
474,0.00026
475,0.00026
476,0.00026
477,0.00026
478,0.00026
479,0.00026
480,0.00026
481,0.00026
482,0.00026
483,0.00026
484,0.00026
485,0.00025
486,0.00025
487,0.00025
488,0.00025
489,0.00025
490,0.00025
491,0.00025
492,0.00025
493,0.00025
494,0.00025
495,0.00025
496,0.00025
497,0.00025
498,0.00025
499,0.00025
500,0.00025
501,0.00025
502,0.00024
503,0.00024
504,0.00024
505,0.00024
506,0.00024
507,0.00024
508,0.00024
509,0.00024
510,0.00024
511,0.00024
512,0.00024
513,0.00024
514,0.00024
515,0.00024
516,0.00024
517,0.00024
518,0.00024
519,0.00024
520,0.00023
521,0.00023
522,0.00023
523,0.00023
524,0.00023
525,0.00023
526,0.00023
527,0.00023
528,0.00023
529,0.00023
530,0.00023
531,0.00023
532,0.00023
533,0.00023
534,0.00023
535,0.00023
536,0.00023
