,H,Mu
0,5.05672,1.00000
1,5.02255,1.00000
2,5.02887,1.00000
3,5.01188,1.00000
4,5.00607,1.00000
5,4.98373,1.00000
6,4.98998,1.00000
7,5.10183,1.00000
8,5.10403,1.00000
9,5.02793,1.00000
10,5.01279,1.00000
11,5.09305,1.00000
12,5.09376,1.00000
13,5.04975,1.00000
14,5.07762,1.00000
15,5.00084,1.00000
16,5.00363,1.00000
17,4.98164,1.00000
18,4.96919,1.00000
19,4.98118,1.00000
20,5.10409,1.00000
21,5.10799,1.00000
22,5.07295,1.00000
23,4.93088,1.00000
24,4.93448,1.00000
25,4.70035,1.00000
26,4.77910,1.00000
27,2.65713,1.00000
28,2.73364,1.00000
29,2.73922,1.00000
30,4.89838,1.00000
31,4.92129,1.00000
32,5.16924,1.00000
33,5.11392,1.00000
34,5.01144,1.00000
35,4.99909,1.00000
36,4.99006,1.00000
37,4.98132,1.00000
38,4.98100,1.00000
39,5.10416,1.00000
40,5.12772,1.00000
41,5.14101,1.00000
42,5.17811,1.00000
43,5.18922,1.00000
44,5.15072,1.00000
45,5.15492,1.00000
46,5.14033,1.00000
47,4.97485,1.00000
48,4.95249,1.00000
49,4.92262,1.00000
50,4.94470,1.00000
51,5.06886,1.00000
52,5.07762,1.00000
53,5.01606,1.00000
54,5.04761,1.00000
55,5.01378,1.00000
56,4.99105,1.00000
57,4.99885,1.00000
58,5.10331,1.00000
59,5.08764,1.00000
60,5.07780,1.00000
61,5.10632,1.00000
62,5.06364,1.00000
63,5.08244,1.00000
64,5.00173,1.00000
65,4.99669,1.00000
66,4.99227,1.00000
67,4.99383,1.00000
68,5.04620,1.00000
69,5.04249,1.00000
70,4.97094,1.00000
71,5.14460,1.00000
72,5.15590,1.00000
73,5.14894,1.00000
74,5.11218,1.00000
75,4.98795,1.00000
76,4.94965,1.00000
77,4.96509,1.00000
78,5.01458,1.00000
79,4.91310,1.00000
80,4.91377,1.00000
81,5.18698,1.00000
82,4.87229,1.00000
83,4.91554,1.00000
84,4.90692,1.00000
85,5.13189,1.00000
86,6.74428,1.00000
87,6.72808,1.00000
88,2.64542,1.00000
89,2.63720,1.00000
90,3.00816,1.00000
91,3.11899,1.00000
92,5.23669,1.00000
93,5.28434,1.00000
94,5.02807,1.00000
95,5.07076,1.00000
96,5.22374,1.00000
97,5.26612,1.00000
98,5.04323,1.00000
99,5.02256,1.00000
100,5.10348,1.00000
101,5.09236,1.00000
102,5.11527,1.00000
103,5.12559,1.00000
104,4.99911,1.00000
105,5.00891,1.00000
106,5.01376,1.00000
107,5.02453,1.00000
108,5.07049,1.00000
109,5.06999,1.00000
110,5.05466,1.00000
111,5.06360,1.00000
112,5.09819,1.00000
113,5.08620,1.00000
114,5.08772,1.00000
115,5.02208,1.00000
116,5.02925,1.00000
117,4.98392,1.00000
118,4.99329,1.00000
119,4.99267,1.00000
120,5.07591,1.00000
121,5.06507,1.00000
122,5.06099,1.00000
123,5.00190,1.00000
124,5.00388,1.00000
125,4.98134,1.00000
126,5.10193,1.00000
127,5.10179,1.00000
128,5.10288,1.00000
129,5.07490,1.00000
130,5.06846,1.00000
131,5.06312,1.00000
132,5.07414,1.00000
133,5.03608,1.00000
134,5.02934,1.00000
135,5.02609,1.00000
136,4.94968,1.00000
137,4.97229,1.00000
138,5.11771,1.00000
139,5.12118,1.00000
140,5.13778,1.00000
141,4.95915,1.00000
142,4.95984,1.00000
143,4.96120,1.00000
144,4.95428,1.00000
145,4.90450,1.00000
146,5.11335,1.00000
147,5.11473,1.00000
148,5.00902,1.00000
149,4.99369,1.00000
150,4.98392,1.00000
151,4.98733,1.00000
152,5.00327,1.00000
153,5.00028,1.00000
154,4.94469,1.00000
155,5.11793,1.00000
156,5.11870,1.00000
157,5.11148,1.00000
158,5.12537,1.00000
159,5.11413,1.00000
160,4.93458,1.00000
161,4.95951,1.00000
162,4.97728,1.00000
163,5.12472,1.00000
164,5.13869,1.00000
165,5.07309,1.00000
166,5.09231,1.00000
167,5.10044,1.00000
168,5.11941,1.00000
169,5.04130,1.00000
170,5.02425,1.00000
171,5.08260,1.00000
172,4.99352,1.00000
173,4.98920,1.00000
174,5.11066,1.00000
175,5.11115,1.00000
176,5.03984,1.00000
177,5.02946,1.00000
178,5.01268,1.00000
179,5.02625,1.00000
180,4.97185,1.00000
181,4.96222,1.00000
182,4.95483,1.00000
183,5.09382,1.00000
184,5.09259,1.00000
185,5.04335,1.00000
186,5.05067,1.00000
187,5.03103,1.00000
188,5.02505,1.00000
189,5.00733,1.00000
190,5.00613,1.00000
191,5.05761,1.00000
192,4.99489,1.00000
193,5.10746,1.00000
194,5.10592,1.00000
195,4.96760,1.00000
196,5.13465,1.00000
197,5.07239,1.00000
198,5.10757,1.00000
199,5.10205,1.00000
200,5.13385,1.00000
201,5.12728,1.00000
202,5.11229,1.00000
203,5.08480,1.00000
204,5.08728,1.00000
205,5.03047,1.00000
206,5.14076,1.00000
207,5.13694,1.00000
208,5.08420,1.00000
209,5.08546,1.00000
210,5.11391,1.00000
211,5.12387,1.00000
212,5.16427,1.00000
213,4.95299,1.00000
214,5.02755,1.00000
215,4.97882,1.00000
216,5.09766,1.00000
217,5.10778,1.00000
218,4.98921,1.00000
219,4.97773,1.00000
220,5.09324,1.00000
221,5.09368,1.00000
222,5.08859,1.00000
223,5.10338,1.00000
224,4.96735,1.00000
225,5.08965,1.00000
226,5.08559,1.00000
227,5.10126,1.00000
228,5.02788,1.00000
229,4.98636,1.00000
230,4.98768,1.00000
231,5.07400,1.00000
232,5.06787,1.00000
233,5.00555,1.00000
234,5.00451,1.00000
235,4.91687,1.00000
236,4.91901,1.00000
237,4.88543,1.00000
238,4.99822,1.00000
239,5.14220,1.00000
240,5.00650,1.00000
241,5.01761,1.00000
242,5.09990,1.00000
243,5.09084,1.00000
244,5.09055,1.00000
245,5.12297,1.00000
246,5.04209,1.00000
247,5.04842,1.00000
248,5.04461,1.00000
249,4.98273,1.00000
250,4.98620,1.00000
251,4.98822,1.00000
252,5.00343,1.00000
253,5.04421,1.00000
254,5.00152,1.00000
255,5.08202,1.00000
256,5.08391,1.00000
257,5.14479,1.00000
258,5.15493,1.00000
259,4.97224,1.00000
260,4.93738,1.00000
261,4.97311,1.00000
262,4.97028,1.00000
263,5.00870,1.00000
264,4.92973,1.00000
265,4.89458,1.00000
266,5.06285,1.00000
267,5.05232,1.00000
268,4.97898,1.00000
269,5.03139,1.00000
270,5.02414,1.00000
271,5.11214,1.00000
272,5.02470,1.00000
273,5.03052,1.00000
274,5.09895,1.00000
275,5.06437,1.00000
276,5.02003,1.00000
277,5.01711,1.00000
278,4.94871,1.00000
279,5.06351,1.00000
280,5.07249,1.00000
281,5.07565,1.00000
282,5.08300,1.00000
283,5.06747,1.00000
284,5.05101,1.00000
285,5.07926,1.00000
286,5.13503,1.00000
287,4.95879,1.00000
288,5.03572,1.00000
289,5.04650,1.00000
290,5.07462,1.00000
291,5.08268,1.00000
292,5.08476,1.00000
293,5.07484,1.00000
294,5.07845,1.00000
295,5.00460,1.00000
296,5.02120,1.00000
297,5.09458,1.00000
298,5.09118,1.00000
299,5.10578,1.00000
300,5.10638,1.00000
301,4.99621,1.00000
302,4.95876,1.00000
303,4.99482,1.00000
304,4.98812,1.00000
305,4.98913,1.00000
306,4.99012,1.00000
307,4.98622,1.00000
308,5.02387,1.00000
309,4.95484,1.00000
310,5.06829,1.00000
311,4.99096,1.00000
312,5.09080,1.00000
313,5.09960,1.00000
314,5.12344,1.00000
315,5.05764,1.00000
316,5.04885,1.00000
317,5.07837,1.00000
318,5.02826,1.00000
319,5.02168,1.00000
320,5.01600,1.00000
321,5.00152,1.00000
322,5.08693,1.00000
323,4.94169,1.00000
324,4.98129,1.00000
325,5.03889,1.00000
326,5.00985,1.00000
327,5.03023,1.00000
328,5.04340,1.00000
329,5.05484,1.00000
330,5.04595,1.00000
331,5.00001,1.00000
332,4.97011,1.00000
333,4.99336,1.00000
334,5.09323,1.00000
335,5.08468,1.00000
336,5.09006,1.00000
337,4.97487,1.00000
338,5.11909,1.00000
339,5.00371,1.00000
340,5.18175,1.00000
341,5.14257,1.00000
342,4.96491,1.00000
343,4.97308,1.00000
344,5.07913,1.00000
345,5.07968,1.00000
346,5.07800,1.00000
347,4.96227,1.00000
348,4.94639,1.00000
349,5.07851,1.00000
350,5.08392,1.00000
351,5.08243,1.00000
352,5.00053,1.00000
353,4.97227,1.00000
354,5.02907,1.00000
355,5.05768,1.00000
356,5.09619,1.00000
357,5.08789,1.00000
358,5.06677,1.00000
359,5.02584,1.00000
360,5.18030,1.00000
361,5.15812,1.00000
362,5.06885,1.00000
363,4.98171,1.00000
364,4.95841,1.00000
365,5.00316,1.00000
366,4.96378,1.00000
367,5.08362,1.00000
368,5.09036,1.00000
369,5.00233,1.00000
370,5.08256,1.00000
371,5.03634,1.00000
372,5.02092,1.00000
373,4.97866,1.00000
374,5.00091,1.00000
375,5.16434,1.00000
376,5.00656,1.00000
377,4.96666,1.00000
378,5.08139,1.00000
379,5.08722,1.00000
380,5.01109,1.00000
381,4.99409,1.00000
382,5.09863,1.00000
383,4.79667,1.00000
384,4.83927,1.00000
385,4.84460,1.00000
386,5.16998,1.00000
387,5.13924,1.00000
388,5.05274,1.00000
389,5.00634,1.00000
