,Fi,H_nodes
0,0.00000,4.99928
1,-5.07391,4.99894
2,-10.12740,5.00043
3,-15.14010,5.00193
4,-20.09184,5.00214
5,-24.96268,5.00402
6,-29.73300,5.00642
7,-34.38359,5.00893
8,-38.89574,5.01184
9,-43.25127,5.01462
10,-47.43263,5.01760
11,-51.42301,5.02098
12,-55.20632,5.02558
13,-58.76734,5.02844
14,-62.09172,5.03156
15,-65.16608,5.03481
16,-67.97803,5.03825
17,-70.51627,5.04145
18,-72.77056,5.04401
19,-74.73183,5.04587
20,-76.39218,5.04779
21,-77.74493,5.05032
22,-78.78462,5.05147
23,-79.50708,5.05230
24,-79.90939,5.05280
25,-79.98993,5.05309
26,-79.74838,5.05236
27,-79.18572,5.05196
28,-78.30420,5.05057
29,-77.10737,5.04893
30,-75.60007,5.04687
31,-73.78834,5.04486
32,-71.67950,5.04245
33,-69.28203,5.03945
34,-66.60559,5.03630
35,-63.66095,5.03314
36,-60.45997,5.02990
37,-57.01553,5.02684
38,-53.34152,5.02317
39,-49.45272,5.01962
40,-45.36479,5.01661
41,-41.09419,5.01409
42,-36.65812,5.01015
43,-32.07444,5.00746
44,-27.36161,5.00537
45,-22.53860,5.00330
46,-17.62484,5.00202
47,-12.64011,5.00025
48,-7.60448,4.99962
49,-2.53823,4.99942
50,2.53823,4.99933
51,7.60448,4.99961
52,12.64011,5.00035
53,17.62484,5.00146
54,22.53860,5.00316
55,27.36161,5.00574
56,32.07444,5.00787
57,36.65812,5.01053
58,41.09419,5.01306
59,45.36479,5.01648
60,49.45272,5.01961
61,53.34152,5.02275
62,57.01553,5.02677
63,60.45997,5.02944
64,63.66095,5.03295
65,66.60559,5.03667
66,69.28203,5.03994
67,71.67950,5.04237
68,73.78834,5.04493
69,75.60007,5.04693
70,77.10737,5.04882
71,78.30420,5.05105
72,79.18572,5.05207
73,79.74838,5.05280
74,79.98993,5.05290
75,79.90939,5.05241
76,79.50708,5.05231
77,78.78462,5.05120
78,77.74493,5.05022
79,76.39218,5.04823
80,74.73183,5.04525
81,72.77056,5.04330
82,70.51627,5.04189
83,67.97803,5.03859
84,65.16608,5.03487
85,62.09172,5.03195
86,58.76734,5.02750
87,55.20632,5.02503
88,51.42301,5.02152
89,47.43263,5.01769
90,43.25127,5.01513
91,38.89574,5.01198
92,34.38359,5.00986
93,29.73300,5.00696
94,24.96268,5.00335
95,20.09184,5.00334
96,15.14010,5.00085
97,10.12740,5.00005
98,5.07391,4.99931
99,57.55567,5.03412
100,52.70697,5.03017
101,56.00260,5.02953
102,53.27927,5.03475
103,69.73971,5.05851
104,72.26046,5.05513
105,74.89219,5.05430
106,75.42587,5.05261
107,49.77741,5.03077
108,-8.30984,5.01814
109,-7.41030,4.92644
110,-7.61375,5.01468
111,-8.06632,4.91894
112,10.56950,5.92892
113,10.72387,5.93487
114,11.39839,5.85157
115,11.51575,5.85520
116,-10.10771,5.89280
117,-10.81329,5.83356
118,-10.35821,5.90553
119,-11.17842,5.83722
120,8.28155,5.41539
121,9.08436,5.44826
122,8.50114,5.51865
123,-6.01960,5.44962
124,-5.83627,5.50399
125,-6.13057,5.51138
126,-6.27231,5.46875
127,-6.23535,5.41187
128,-7.54880,6.07955
129,-7.24277,6.09485
130,-7.24744,6.13232
131,-7.52539,6.03563
132,-5.11112,5.36796
133,-5.04914,5.32348
134,-4.95915,5.35222
135,-5.24904,5.32572
136,6.27661,6.04062
137,6.14810,6.04309
138,6.13419,6.07237
139,6.05345,6.06108
140,5.98825,5.70591
141,6.05838,6.03157
142,6.23416,6.01320
143,-2.35325,4.00172
144,-2.46437,4.04651
145,-2.41261,4.03347
146,-2.41774,4.01912
147,-3.43286,4.57760
148,-3.50707,4.61377
149,-3.41584,4.30647
150,-3.34172,4.35227
151,-3.39664,4.55163
152,-1.63303,3.67253
153,-1.54967,3.63348
154,-1.58632,3.64678
155,-1.50386,3.56160
156,-1.58451,3.55799
157,3.14711,4.41716
158,3.21628,4.44823
159,3.22248,4.42972
160,3.12769,4.39794
161,6.00082,6.00601
162,5.90243,5.54784
163,5.94582,5.61080
164,-6.92056,6.55731
165,-7.10995,6.52106
166,-6.98231,6.54459
167,-6.81334,6.15904
168,-6.81647,6.00439
169,6.11828,5.96355
170,5.95081,5.97757
171,5.85811,5.52686
172,-1.86627,3.76723
173,-1.77139,3.72814
174,-1.82205,3.74882
175,-1.74554,3.62227
176,-1.82580,3.65006
177,-6.89954,6.43890
178,-7.12585,6.40192
179,-6.94561,6.44352
180,-6.79106,6.47012
181,-6.75509,6.46387
182,2.75312,4.16151
183,2.64170,4.11317
184,2.73650,4.13798
185,2.87300,4.19342
186,2.88196,4.21620
187,-5.52257,5.46835
188,-5.66323,5.52153
189,-5.43504,5.51444
190,-5.31400,5.47543
191,-5.39403,5.42828
192,11.11590,5.27431
193,10.06461,5.26086
194,10.74541,5.19041
195,12.00445,5.21955
196,12.20134,5.29937
197,-2.40192,4.51943
198,-3.35068,4.50810
199,-2.30059,4.45305
200,-1.22095,4.43845
201,-1.18960,4.53176
202,-76.92489,5.05340
203,-75.89998,5.05368
204,-73.40621,5.05581
205,-75.07032,5.05503
206,61.52241,5.03726
207,61.77238,5.03404
208,64.99323,5.03978
209,57.03825,5.04322
210,53.20685,5.03964
211,57.28431,5.03824
212,13.38984,4.95965
213,11.10231,4.94430
214,8.48071,4.94750
215,7.39751,4.92787
216,-67.18285,5.06071
217,-63.86659,5.06371
218,-63.11687,5.06594
219,-59.89295,5.06923
220,-67.49917,5.05940
221,-71.39358,5.05691
