,Fi,H_nodes
0,0.00000,4.99886
1,-5.07391,4.99831
2,-10.12740,5.00068
3,-15.14010,5.00306
4,-20.09184,5.00340
5,-24.96268,5.00638
6,-29.73300,5.01021
7,-34.38359,5.01419
8,-38.89574,5.01883
9,-43.25127,5.02324
10,-47.43263,5.02799
11,-51.42301,5.03336
12,-55.20632,5.04069
13,-58.76734,5.04524
14,-62.09172,5.05020
15,-65.16608,5.05538
16,-67.97803,5.06086
17,-70.51627,5.06596
18,-72.77056,5.07003
19,-74.73183,5.07300
20,-76.39218,5.07606
21,-77.74493,5.08010
22,-78.78462,5.08192
23,-79.50708,5.08325
24,-79.90939,5.08405
25,-79.98993,5.08451
26,-79.74838,5.08335
27,-79.18572,5.08270
28,-78.30420,5.08049
29,-77.10737,5.07788
30,-75.60007,5.07459
31,-73.78834,5.07139
32,-71.67950,5.06755
33,-69.28203,5.06278
34,-66.60559,5.05775
35,-63.66095,5.05272
36,-60.45997,5.04756
37,-57.01553,5.04269
38,-53.34152,5.03685
39,-49.45272,5.03119
40,-45.36479,5.02640
41,-41.09419,5.02240
42,-36.65812,5.01614
43,-32.07444,5.01186
44,-27.36161,5.00853
45,-22.53860,5.00525
46,-17.62484,5.00321
47,-12.64011,5.00040
48,-7.60448,4.99940
49,-2.53823,4.99908
50,2.53823,4.99894
51,7.60448,4.99939
52,12.64011,5.00056
53,17.62484,5.00234
54,22.53860,5.00504
55,27.36161,5.00913
56,32.07444,5.01252
57,36.65812,5.01676
58,41.09419,5.02077
59,45.36479,5.02623
60,49.45272,5.03121
61,53.34152,5.03620
62,57.01553,5.04261
63,60.45997,5.04686
64,63.66095,5.05245
65,66.60559,5.05837
66,69.28203,5.06358
67,71.67950,5.06745
68,73.78834,5.07155
69,75.60007,5.07473
70,77.10737,5.07774
71,78.30420,5.08130
72,79.18572,5.08293
73,79.74838,5.08409
74,79.98993,5.08425
75,79.90939,5.08347
76,79.50708,5.08331
77,78.78462,5.08154
78,77.74493,5.07998
79,76.39218,5.07680
80,74.73183,5.07205
81,72.77056,5.06895
82,70.51627,5.06670
83,67.97803,5.06143
84,65.16608,5.05551
85,62.09172,5.05085
86,58.76734,5.04377
87,55.20632,5.03984
88,51.42301,5.03425
89,47.43263,5.02816
90,43.25127,5.02408
91,38.89574,5.01906
92,34.38359,5.01569
93,29.73300,5.01108
94,24.96268,5.00534
95,20.09184,5.00531
96,15.14010,5.00135
97,10.12740,5.00008
98,5.07391,4.99891
99,57.51950,5.05431
100,52.66017,5.04803
101,55.97795,5.04700
102,53.21634,5.05532
103,69.67663,5.09318
104,72.21745,5.08780
105,74.86327,5.08648
106,75.40406,5.08378
107,49.71066,5.04899
108,-7.48701,5.04171
109,-6.61567,4.89840
110,-6.74682,5.03866
111,-7.33137,4.88367
112,9.10809,6.53537
113,9.26299,6.54429
114,10.01484,6.40263
115,10.12694,6.40801
116,-8.65919,6.47665
117,-9.42077,6.37418
118,-8.90131,6.49691
119,-9.79585,6.37896
120,7.10736,5.69612
121,7.91510,5.74396
122,7.25723,5.86396
123,-4.72356,5.77430
124,-4.49681,5.87013
125,-4.79760,5.87651
126,-4.97573,5.80264
127,-4.97631,5.70857
128,-5.90155,6.81277
129,-5.57519,6.84322
130,-5.55512,6.90645
131,-5.90584,6.73909
132,-3.82342,5.65579
133,-3.78775,5.58350
134,-3.67357,5.63470
135,-3.99119,5.58254
136,4.60774,6.77029
137,4.47207,6.77841
138,4.43715,6.82869
139,4.36221,6.81158
