,H,Mu
0,5.04972,1.00000
1,5.05251,1.00000
2,5.08944,1.00000
3,5.08658,1.00000
4,5.04945,1.00000
5,4.99355,1.00000
6,4.93062,1.00000
7,6.44405,1.00000
8,6.48004,1.00000
9,6.40130,1.00000
10,6.44609,1.00000
11,5.74818,1.00000
12,5.86201,1.00000
13,5.76581,1.00000
14,6.83474,1.00000
15,6.80802,1.00000
16,5.63226,1.00000
17,5.59222,1.00000
18,6.78350,1.00000
19,6.80122,1.00000
20,6.85383,1.00000
21,6.78765,1.00000
22,6.73575,1.00000
23,3.56416,1.00000
24,3.53962,1.00000
25,4.43665,1.00000
26,4.36671,1.00000
27,3.02416,1.00000
28,2.97716,1.00000
29,4.15335,1.00000
30,4.15110,1.00000
31,6.77151,1.00000
32,6.81030,1.00000
33,7.59534,1.00000
34,7.65787,1.00000
35,6.65706,1.00000
36,6.72666,1.00000
37,3.15853,1.00000
38,3.12481,1.00000
39,7.39278,1.00000
40,7.44996,1.00000
41,3.69206,1.00000
42,3.76404,1.00000
43,5.89746,1.00000
44,5.82487,1.00000
45,5.42319,1.00000
46,5.44388,1.00000
47,4.20354,1.00000
48,4.24587,1.00000
49,5.08741,1.00000
50,5.08439,1.00000
51,5.05445,1.00000
52,5.05883,1.00000
53,5.06320,1.00000
54,5.06051,1.00000
55,5.05531,1.00000
56,4.92822,1.00000
57,4.90512,1.00000
58,5.09928,1.00000
59,5.10776,1.00000
60,5.09235,1.00000
61,5.09491,1.00000
62,4.93495,1.00000
63,4.92693,1.00000
64,5.69294,1.00000
65,5.80471,1.00000
66,3.92735,1.00000
67,3.80330,1.00000
68,3.91201,1.00000
69,3.55726,1.00000
70,3.62033,1.00000
71,6.41959,1.00000
72,6.21727,1.00000
73,6.28629,1.00000
74,2.81773,1.00000
75,2.90293,1.00000
76,6.50017,1.00000
77,6.42188,1.00000
78,5.69768,1.00000
79,5.72319,1.00000
80,3.67661,1.00000
81,3.74345,1.00000
82,3.78303,1.00000
83,3.84034,1.00000
84,3.80534,1.00000
85,7.00029,1.00000
86,6.99053,1.00000
87,6.93186,1.00000
88,4.10256,1.00000
89,4.11557,1.00000
90,4.16822,1.00000
91,3.20749,1.00000
92,3.28193,1.00000
93,6.71490,1.00000
94,6.70214,1.00000
95,5.69272,1.00000
96,5.72256,1.00000
97,7.18736,1.00000
98,7.10871,1.00000
99,7.14824,1.00000
100,7.57297,1.00000
101,7.62208,1.00000
102,7.65957,1.00000
103,3.38360,1.00000
104,3.46494,1.00000
105,4.76473,1.00000
106,4.71202,1.00000
107,4.85942,1.00000
108,4.91744,1.00000
109,6.68680,1.00000
110,6.66808,1.00000
111,4.82655,1.00000
112,4.88873,1.00000
113,5.80532,1.00000
114,5.75064,1.00000
115,7.61134,1.00000
116,7.59805,1.00000
117,7.60507,1.00000
118,7.59977,1.00000
119,7.54942,1.00000
120,7.48318,1.00000
121,3.00706,1.00000
122,2.97424,1.00000
123,3.17800,1.00000
124,3.18582,1.00000
125,5.04766,1.00000
126,4.99323,1.00000
127,4.22232,1.00000
128,5.57183,1.00000
129,5.50858,1.00000
130,4.57743,1.00000
131,4.58708,1.00000
132,7.58588,1.00000
133,7.66618,1.00000
134,7.18274,1.00000
135,3.46534,1.00000
136,7.01952,1.00000
137,7.04382,1.00000
138,4.30911,1.00000
139,4.35857,1.00000
140,3.58109,1.00000
141,3.51696,1.00000
142,7.44762,1.00000
143,7.42163,1.00000
144,7.54089,1.00000
145,7.53489,1.00000
146,3.78120,1.00000
147,3.86625,1.00000
148,7.02036,1.00000
149,7.10745,1.00000
150,3.21066,1.00000
151,3.28810,1.00000
152,5.77254,1.00000
153,5.65203,1.00000
154,6.75606,1.00000
155,6.98715,1.00000
156,6.88098,1.00000
157,6.39750,1.00000
158,6.53239,1.00000
159,6.73358,1.00000
160,6.68887,1.00000
161,6.45006,1.00000
162,6.60082,1.00000
163,4.85528,1.00000
164,4.70156,1.00000
165,5.63792,1.00000
166,5.74762,1.00000
167,5.09292,1.00000
168,5.09761,1.00000
169,5.06381,1.00000
170,5.05650,1.00000
171,5.13954,1.00000
172,5.15676,1.00000
173,4.98807,1.00000
174,4.98215,1.00000
175,4.98768,1.00000
176,5.02888,1.00000
177,5.02508,1.00000
178,5.09444,1.00000
179,5.09243,1.00000
180,5.18843,1.00000
181,5.19030,1.00000
182,5.15984,1.00000
183,5.18292,1.00000
184,4.94118,1.00000
185,4.91802,1.00000
186,4.96156,1.00000
187,4.96523,1.00000
188,4.93488,1.00000
189,4.92875,1.00000
190,4.88817,1.00000
191,4.91896,1.00000
192,5.06265,1.00000
193,5.06970,1.00000
194,4.92707,1.00000
195,4.92933,1.00000
196,5.16891,1.00000
197,4.96883,1.00000
198,5.33782,1.00000
199,4.60494,1.00000
200,4.63139,1.00000
201,5.65552,1.00000
202,5.50606,1.00000
203,5.51154,1.00000
204,5.49181,1.00000
205,5.37751,1.00000
206,3.98755,1.00000
207,4.03736,1.00000
208,5.87562,1.00000
209,5.93073,1.00000
210,5.77759,1.00000
211,3.98306,1.00000
212,3.83665,1.00000
213,6.29123,1.00000
214,5.17216,1.00000
215,4.57806,1.00000
216,4.56084,1.00000
217,4.42762,1.00000
218,4.41744,1.00000
219,3.94609,1.00000
220,3.92027,1.00000
221,6.32147,1.00000
222,6.33982,1.00000
223,6.18144,1.00000
224,6.10851,1.00000
225,6.02448,1.00000
226,6.58748,1.00000
227,6.63075,1.00000
228,6.47129,1.00000
229,6.49511,1.00000
230,4.93917,1.00000
231,5.04356,1.00000
232,3.03300,1.00000
233,3.11034,1.00000
234,2.99732,1.00000
235,6.86023,1.00000
236,6.87114,1.00000
237,7.17201,1.00000
238,7.12957,1.00000
239,6.79604,1.00000
240,6.83414,1.00000
241,3.03966,1.00000
242,7.09842,1.00000
243,3.48245,1.00000
244,3.61083,1.00000
245,5.90381,1.00000
246,5.99849,1.00000
247,2.85877,1.00000
248,2.92806,1.00000
249,7.14985,1.00000
250,7.16841,1.00000
251,4.32279,1.00000
252,4.33219,1.00000
253,6.06199,1.00000
254,6.05503,1.00000
255,6.37373,1.00000
256,6.44028,1.00000
257,3.59500,1.00000
258,3.60382,1.00000
259,4.03668,1.00000
260,3.99537,1.00000
261,4.55063,1.00000
262,4.47200,1.00000
263,7.02371,1.00000
264,6.92601,1.00000
265,5.09164,1.00000
266,5.04325,1.00000
267,7.29981,1.00000
268,7.21018,1.00000
269,6.41644,1.00000
270,6.39130,1.00000
271,6.43205,1.00000
272,7.52882,1.00000
273,7.43068,1.00000
274,6.87696,1.00000
275,6.82674,1.00000
276,3.40864,1.00000
277,3.40166,1.00000
278,3.46743,1.00000
279,7.19125,1.00000
280,7.23143,1.00000
281,3.08054,1.00000
282,3.15302,1.00000
283,3.41690,1.00000
284,3.34847,1.00000
285,3.37597,1.00000
286,3.77091,1.00000
287,3.77927,1.00000
288,3.19908,1.00000
289,3.11849,1.00000
290,7.51246,1.00000
291,7.45705,1.00000
292,7.59009,1.00000
293,7.58531,1.00000
294,7.48915,1.00000
295,7.41783,1.00000
296,4.40167,1.00000
297,4.41221,1.00000
298,3.60061,1.00000
299,3.66952,1.00000
300,7.06244,1.00000
301,7.10427,1.00000
302,7.54091,1.00000
303,7.56702,1.00000
304,6.95992,1.00000
305,5.34047,1.00000
306,5.32915,1.00000
307,6.77087,1.00000
308,6.74236,1.00000
309,2.94193,1.00000
310,2.93627,1.00000
311,2.87944,1.00000
312,6.37379,1.00000
313,6.41742,1.00000
314,7.29380,1.00000
315,7.22442,1.00000
316,7.53695,1.00000
