,H,Mu
0,0.00211,10000.00000
1,0.00204,10000.00000
2,0.00197,10000.00000
3,0.00107,10000.00000
4,0.00107,10000.00000
5,0.00108,10000.00000
6,0.00177,10000.00000
7,0.00177,10000.00000
8,0.00107,10000.00000
9,0.00112,10000.00000
10,0.00113,10000.00000
11,0.00115,10000.00000
12,0.00061,10000.00000
13,0.00066,10000.00000
14,0.00173,10000.00000
15,0.00175,10000.00000
16,0.00132,10000.00000
17,0.00142,10000.00000
18,0.00118,10000.00000
19,0.00119,10000.00000
20,0.00119,10000.00000
21,0.00120,10000.00000
22,0.00119,10000.00000
23,0.00118,10000.00000
24,0.00116,10000.00000
25,0.00117,10000.00000
26,0.00180,10000.00000
27,0.00180,10000.00000
28,0.00158,10000.00000
29,0.00155,10000.00000
30,0.00212,10000.00000
31,0.00203,10000.00000
32,0.00109,10000.00000
33,0.00108,10000.00000
34,0.00109,10000.00000
35,0.00119,10000.00000
36,0.00119,10000.00000
37,0.00108,10000.00000
38,0.00107,10000.00000
39,0.00118,10000.00000
40,0.00117,10000.00000
41,0.00120,10000.00000
42,0.00120,10000.00000
43,0.00134,10000.00000
44,0.00137,10000.00000
45,0.00119,10000.00000
46,0.00121,10000.00000
47,0.00111,10000.00000
48,0.00056,10000.00000
49,0.00055,10000.00000
50,0.00048,10000.00000
51,0.00041,10000.00000
52,0.00210,10000.00000
53,0.00214,10000.00000
54,0.00134,10000.00000
55,0.00128,10000.00000
56,0.00177,10000.00000
57,0.00066,10000.00000
58,0.00074,10000.00000
59,0.00118,10000.00000
60,0.00118,10000.00000
61,0.00110,10000.00000
62,0.00110,10000.00000
63,0.00112,10000.00000
64,0.00160,10000.00000
65,0.00076,10000.00000
66,0.00084,10000.00000
67,0.00081,10000.00000
68,0.00114,10000.00000
69,0.00113,10000.00000
70,0.00113,10000.00000
71,0.00113,10000.00000
72,0.00099,10000.00000
73,0.00092,10000.00000
74,0.00119,10000.00000
75,0.00119,10000.00000
76,0.00191,10000.00000
77,0.00193,10000.00000
78,0.00192,10000.00000
79,0.00171,10000.00000
80,0.00172,10000.00000
81,0.00171,10000.00000
82,0.00114,10000.00000
83,0.00115,10000.00000
84,0.00114,10000.00000
85,0.00222,10000.00000
86,0.00213,10000.00000
87,0.00110,10000.00000
88,0.00111,10000.00000
89,0.00212,10000.00000
90,0.00220,10000.00000
