,Fi,H_nodes
0,0.00000,4.99899
1,5.07391,4.99915
2,10.12740,4.99945
3,15.14010,5.00093
4,20.09184,5.00388
5,24.96268,5.00767
6,29.73300,5.01072
7,34.38359,5.01539
8,38.89574,5.01952
9,43.25127,5.02521
10,47.43263,5.03028
11,51.42301,5.03575
12,55.20632,5.04169
13,58.76734,5.04880
14,62.09172,5.05404
15,65.16608,5.06031
16,67.97803,5.06512
17,70.51627,5.07096
18,72.77056,5.07512
19,74.73183,5.07984
20,76.39218,5.08482
21,77.74493,5.08623
22,78.78462,5.08848
23,79.50708,5.09045
24,79.90939,5.09091
25,79.98993,5.09149
26,79.74838,5.09146
27,79.18572,5.08955
28,78.30420,5.08796
29,77.10737,5.08580
30,75.60007,5.08146
31,73.78834,5.07719
32,71.67950,5.07336
33,69.28203,5.06819
34,66.60559,5.06249
35,63.66095,5.05698
36,60.45997,5.05070
37,57.01553,5.04512
38,53.34152,5.03983
39,49.45272,5.03375
40,45.36479,5.02823
41,41.09419,5.02285
42,36.65812,5.01677
43,32.07444,5.01299
44,27.36161,5.00914
45,22.53860,5.00560
46,17.62484,5.00309
47,12.64011,5.00093
48,7.60448,4.99866
49,2.53823,4.99840
50,-2.53823,4.99869
51,-7.60448,4.99919
52,-12.64011,5.00067
53,-17.62484,5.00377
54,-22.53860,5.00578
55,-27.36161,5.01054
56,-32.07444,5.01513
57,-36.65812,5.01756
58,-41.09419,5.02277
59,-45.36479,5.02877
60,-49.45272,5.03440
61,-53.34152,5.04063
62,-57.01553,5.04527
63,-60.45997,5.05039
64,-63.66095,5.05723
65,-66.60559,5.06261
66,-69.28203,5.06674
67,-71.67950,5.07177
68,-73.78834,5.07678
69,-75.60007,5.08026
70,-77.10737,5.08276
71,-78.30420,5.08611
72,-79.18572,5.08731
73,-79.74838,5.08897
74,-79.98993,5.09009
75,-79.90939,5.08929
76,-79.50708,5.08810
77,-78.78462,5.08725
78,-77.74493,5.08494
79,-76.39218,5.08190
80,-74.73183,5.07777
81,-72.77056,5.07356
82,-70.51627,5.06928
83,-67.97803,5.06453
84,-65.16608,5.05947
85,-62.09172,5.05447
86,-58.76734,5.04848
87,-55.20632,5.04310
88,-51.42301,5.03754
89,-47.43263,5.03116
90,-43.25127,5.02650
91,-38.89574,5.02085
92,-34.38359,5.01563
93,-29.73300,5.01188
94,-24.96268,5.00788
95,-20.09184,5.00457
96,-15.14010,5.00285
97,-10.12740,5.00041
98,-5.07391,4.99939
99,-4.76097,4.49045
100,-4.35730,4.34853
101,-4.04356,4.33854
102,-5.01130,4.47874
103,-5.61105,4.60399
104,-5.71864,5.15442
105,-5.09513,5.18275
106,-5.00623,5.03702
107,-5.49838,4.98489
108,-7.22781,6.60957
109,-7.51324,6.50197
110,-6.93786,6.62263
111,-6.89861,6.55587
112,6.51722,6.49068
113,6.63985,6.58895
114,7.11453,6.39721
115,7.22269,6.53032
116,-1.92235,3.82770
117,-1.79277,3.70266
118,-1.76681,3.73422
119,-1.98312,3.81426
120,-1.94128,3.72517
121,-4.01559,6.32866
122,-4.20696,6.33588
123,-4.18566,6.26926
124,-4.41005,6.24396
125,-4.45040,6.30998
126,4.50194,7.77832
127,4.79393,7.68448
128,4.56912,7.79749
129,4.79328,7.73740
130,2.41221,3.82736
131,2.41347,3.77754
132,2.31680,3.75790
133,2.29872,3.69900
134,-5.28525,6.98139
135,-4.99120,7.03059
136,-5.01431,7.06861
137,-1.91610,4.22600
138,-1.99679,4.20355
139,-2.01029,4.29013
140,-2.12192,4.28086
141,-1.32630,3.39477
142,-1.33425,3.45078
143,-1.40393,3.47855
144,-1.26669,3.38107
145,-1.24582,3.34765
146,-1.25841,3.32675
147,-1.51515,3.64024
148,-1.46195,3.64945
149,-1.41571,3.57865
150,-1.46229,3.56534
151,4.06754,7.20054
152,3.86993,5.96050
153,3.98269,7.17041
154,3.85747,5.74197
155,-4.51839,7.18325
156,-4.63948,7.14648
157,-4.51385,7.16321
158,-4.60090,7.17890
159,4.03467,7.33624
160,4.13351,7.27527
161,4.21167,7.29879
162,3.89284,5.58367
163,4.00891,7.29653
164,4.05842,7.49994
165,4.05543,7.45283
166,4.22899,7.41498
167,3.92279,6.08928
168,-4.56014,7.20283
169,-4.46242,5.70356
170,-4.60655,7.21286
171,-4.43649,5.92066
172,4.67316,7.93721
173,4.85994,7.83921
174,5.00536,7.81766
175,4.88249,7.79082
176,5.15464,7.72022
177,6.27957,6.11275
178,5.86681,6.11329
179,5.84830,6.26287
180,6.33500,5.99622
181,-6.78408,6.35115
182,-7.10710,6.37927
183,-7.49593,6.24489
184,-6.25083,6.46335
185,-6.54501,6.47744
186,-13.73786,5.90783
187,-13.99510,5.93905
188,-15.35702,5.81088
189,-12.21388,6.00682
190,-12.59136,6.03582
191,-10.49679,4.97588
192,-8.84033,4.88027
193,-9.57811,5.01992
194,-11.29313,4.94353
195,-9.22925,4.81431
196,13.19479,4.99311
197,11.54644,4.96502
198,11.17857,4.85583
199,12.80354,4.88681
200,-16.86720,5.69051
201,-19.10031,5.60603
202,-18.21075,5.60110
203,-20.37961,5.51253
204,-2.09648,4.52651
205,-1.99735,4.38874
206,-3.82003,4.50592
207,-8.15293,4.92299
208,-7.56614,4.78688
209,-7.98051,4.76627
210,-11.05705,6.13576
211,-11.31190,6.14973
212,-11.28106,6.07895
213,-11.92619,5.96426
214,-13.41872,5.87287
215,-10.71683,6.09028
216,-10.83878,5.98365
217,-11.80209,5.86815
218,-13.15156,5.78556
219,8.69943,5.16778
220,9.92437,5.28947
221,8.67343,5.34745
222,9.36995,5.47930
223,-8.48993,6.37560
224,-9.26187,6.24004
225,-9.10230,6.33007
226,-9.99664,6.20333
227,-9.67832,6.28531
228,4.42645,4.28711
229,4.25295,4.34545
230,3.95183,4.17181
231,3.81103,4.22051
232,-6.17255,6.11396
233,-6.08300,5.99604
234,-6.59671,5.98018
235,-6.65919,6.09646
236,-7.09964,5.97656
237,-4.63529,6.15385
238,-5.00541,6.13759
239,-4.83139,6.07296
240,-5.13426,6.01596
241,-5.45953,6.06227
242,3.97981,4.46055
243,3.66846,4.36446
244,3.72109,4.47763
245,4.03570,4.55289
246,-2.93029,4.27624
247,-3.34854,4.41855
248,-3.04066,4.45472
249,-5.68073,6.83617
250,-5.91101,6.83171
251,-6.01094,6.74450
252,-6.42002,6.71160
253,2.77057,4.01991
254,2.83160,4.09135
255,2.92342,4.05482
256,2.99414,4.16145
257,3.12696,4.13905
258,3.15717,4.23237
259,3.37459,4.26700
260,5.37575,7.67856
261,5.84187,7.52814
262,5.54216,7.66284
263,6.02093,7.50192
264,2.40322,3.72294
265,2.52723,3.79861
266,2.53271,3.75288
267,2.37667,3.66193
268,2.50149,3.68588
269,4.60013,7.04897
270,4.62696,7.12576
271,4.86548,7.01200
272,4.90028,7.08595
273,-1.82509,3.87806
274,-1.73118,3.77338
275,-1.69386,3.80695
276,-1.77115,3.89587
277,-1.64832,3.83504
278,4.12836,7.23490
279,4.29823,7.13144
280,4.28434,7.21680
281,4.50576,7.12541
282,2.15402,3.54574
283,2.04482,3.45840
