,H,Mu
0,4.41953,1.00000
1,4.57841,1.00000
2,5.11966,1.00000
3,5.07364,1.00000
4,6.57772,1.00000
5,6.51990,1.00000
6,6.43813,1.00000
7,6.55302,1.00000
8,3.78360,1.00000
9,3.75275,1.00000
10,6.31870,1.00000
11,6.25766,1.00000
12,6.32521,1.00000
13,7.71501,1.00000
14,7.76522,1.00000
15,3.76997,1.00000
16,3.75355,1.00000
17,6.99896,1.00000
18,4.24096,1.00000
19,4.25681,1.00000
20,3.46185,1.00000
21,3.37273,1.00000
22,3.38085,1.00000
23,3.60779,1.00000
24,3.60961,1.00000
25,7.22021,1.00000
26,7.19040,1.00000
27,7.15508,1.00000
28,7.17363,1.00000
29,7.32169,1.00000
30,7.36199,1.00000
31,7.42916,1.00000
32,7.51922,1.00000
33,7.23191,1.00000
34,7.20494,1.00000
35,7.87353,1.00000
36,7.74884,1.00000
37,6.13159,1.00000
38,6.08760,1.00000
39,6.29753,1.00000
40,6.41412,1.00000
41,5.84523,1.00000
42,5.94542,1.00000
43,4.91669,1.00000
44,4.88926,1.00000
45,4.94187,1.00000
46,4.89844,1.00000
47,5.65951,1.00000
48,5.55304,1.00000
49,4.48499,1.00000
50,4.83292,1.00000
51,4.85021,1.00000
52,6.07089,1.00000
53,6.10273,1.00000
54,6.05938,1.00000
55,5.89131,1.00000
56,5.98902,1.00000
57,5.95513,1.00000
58,5.81839,1.00000
59,5.29071,1.00000
60,5.31951,1.00000
61,6.32238,1.00000
62,6.23591,1.00000
63,6.26934,1.00000
64,4.22089,1.00000
65,4.28481,1.00000
66,5.98606,1.00000
67,6.08604,1.00000
68,5.97342,1.00000
69,6.14839,1.00000
70,6.04907,1.00000
71,6.08713,1.00000
72,4.43040,1.00000
73,4.51345,1.00000
74,4.36117,1.00000
75,6.80849,1.00000
76,6.73939,1.00000
77,4.03338,1.00000
78,4.11981,1.00000
79,4.10802,1.00000
80,4.18138,1.00000
81,4.23742,1.00000
82,7.59650,1.00000
83,7.57633,1.00000
84,3.73968,1.00000
85,3.72424,1.00000
86,3.68844,1.00000
87,7.03275,1.00000
88,7.10913,1.00000
89,3.83706,1.00000
90,3.83498,1.00000
91,3.86460,1.00000
92,7.14819,1.00000
93,7.20496,1.00000
94,7.13658,1.00000
95,3.51419,1.00000
96,3.48884,1.00000
97,3.43506,1.00000
98,7.21046,1.00000
99,7.18632,1.00000
100,7.19480,1.00000
101,4.34791,1.00000
102,3.48144,1.00000
103,3.42017,1.00000
104,3.41930,1.00000
105,7.15068,1.00000
106,7.14287,1.00000
107,6.35228,1.00000
108,6.26376,1.00000
109,7.37105,1.00000
110,7.39015,1.00000
111,7.34516,1.00000
112,7.14804,1.00000
113,7.06744,1.00000
114,3.63132,1.00000
115,3.60158,1.00000
116,3.66761,1.00000
117,8.08120,1.00000
118,8.04554,1.00000
119,6.11741,1.00000
120,6.16330,1.00000
121,3.47329,1.00000
122,3.47790,1.00000
123,3.43117,1.00000
124,3.54242,1.00000
125,3.40879,1.00000
126,7.30713,1.00000
127,7.32445,1.00000
128,7.38814,1.00000
129,7.40849,1.00000
130,3.22863,1.00000
131,3.24292,1.00000
132,3.61412,1.00000
133,2.56145,1.00000
134,2.64294,1.00000
135,7.91437,1.00000
136,7.88485,1.00000
137,7.55140,1.00000
138,7.46045,1.00000
139,4.04810,1.00000
140,4.10716,1.00000
141,6.46139,1.00000
142,6.36263,1.00000
143,4.64075,1.00000
144,4.57534,1.00000
145,4.03799,1.00000
146,4.18044,1.00000
147,6.24685,1.00000
148,6.34512,1.00000
149,6.45564,1.00000
150,6.33384,1.00000
151,4.95582,1.00000
152,5.94960,1.00000
153,5.91215,1.00000
154,4.85693,1.00000
155,4.83371,1.00000
156,4.54789,1.00000
157,6.46922,1.00000
158,6.28156,1.00000
159,5.62490,1.00000
160,5.48838,1.00000
161,5.81196,1.00000
162,4.61576,1.00000
163,4.75837,1.00000
164,4.45855,1.00000
165,4.57671,1.00000
166,4.71754,1.00000
167,4.82112,1.00000
168,4.87684,1.00000
169,4.41006,1.00000
170,4.43576,1.00000
171,5.54428,1.00000
172,5.89930,1.00000
173,5.90972,1.00000
174,5.79265,1.00000
175,5.78432,1.00000
176,5.30581,1.00000
177,5.25347,1.00000
178,4.33272,1.00000
179,4.51320,1.00000
180,5.82904,1.00000
181,4.04078,1.00000
182,6.14289,1.00000
183,6.72877,1.00000
184,6.76054,1.00000
185,6.54547,1.00000
186,3.81136,1.00000
