,Fi,H_nodes
0,0.00000,4.99753
1,10.23017,4.99914
2,20.29237,5.00309
3,30.02136,5.01132
4,39.25740,5.01947
5,47.84884,5.03095
6,55.65460,5.04201
7,62.54652,5.05668
8,68.41142,5.06714
9,73.15301,5.07727
10,76.69343,5.08398
11,78.97454,5.08890
12,79.95890,5.09121
13,79.63033,5.09144
14,77.99423,5.08599
15,75.07747,5.08025
16,70.92794,5.07073
17,65.61378,5.06144
18,59.22224,5.04862
19,51.85827,5.03827
20,43.64279,5.02556
21,34.71070,5.01353
22,25.20866,5.00649
23,15.29269,4.99857
24,5.12562,5.00047
25,-5.12562,4.99611
26,-15.29269,4.99952
27,-25.20866,5.00394
28,-34.71070,5.01251
29,-43.64279,5.02603
30,-51.85827,5.03958
31,-59.22224,5.05072
32,-65.61378,5.06216
33,-70.92794,5.07344
34,-75.07747,5.08316
35,-77.99423,5.08899
36,-79.63033,5.09262
37,-79.95890,5.09315
38,-78.97454,5.09086
39,-76.69343,5.08512
40,-73.15301,5.07709
41,-68.41142,5.06719
42,-62.54652,5.05410
43,-55.65460,5.04578
44,-47.84884,5.02827
45,-39.25740,5.01767
46,-30.02136,5.00999
47,-20.29237,5.00309
48,-10.23017,4.99780
49,-36.05962,5.04414
50,-35.95881,5.08560
51,-29.49290,5.04700
52,-26.28180,5.00150
53,-28.77923,5.00576
54,-33.88326,5.01545
55,-31.12182,5.00710
56,-38.24180,5.01909
57,-24.95413,4.99095
58,-21.54377,4.96922
59,70.95221,5.09391
60,65.22263,5.10737
61,61.50036,5.11000
62,65.24043,5.09658
63,-43.70851,5.03781
64,72.10502,5.08895
65,68.67141,5.08552
66,-46.22797,5.06265
67,-47.63458,5.08692
68,-41.48200,5.07626
69,-31.77915,5.00969
70,-30.76830,5.00894
71,-23.41286,4.99554
72,-23.96288,4.98828
73,-15.64538,4.97646
74,-16.32863,4.95792
75,-23.59068,4.97738
76,49.92565,5.10735
77,60.04916,5.09516
78,58.15135,5.10738
79,53.02574,5.12770
80,10.38225,4.94429
81,9.00527,4.89881
82,14.88965,4.94133
83,4.01777,4.89602
84,2.16388,4.93236
85,6.79609,4.74171
86,3.17232,4.67391
87,4.56162,4.75814
88,7.99661,4.80326
89,-0.97985,2.60280
90,-1.10104,2.67907
91,-0.98698,2.64970
92,-1.18387,2.80060
93,-1.08625,2.80036
94,-4.67677,4.90180
95,0.44883,4.91832
96,1.77912,4.88772
97,-10.91263,4.92917
98,-6.21810,4.94592
99,41.28889,5.13654
100,44.04548,5.16271
