,Fi,H_nodes
0,0.00000,4.99689
1,-2.63877,4.99681
2,-5.27018,4.99940
3,-7.88690,5.00273
4,-10.48165,5.00736
5,-13.04717,5.01222
6,-15.57633,5.01985
7,-18.06208,5.03069
8,-20.49749,5.03608
9,-22.87577,5.04795
10,-25.19028,5.05721
11,-27.43459,5.06783
12,-29.60243,5.07923
13,-31.68777,5.09224
14,-33.68478,5.10459
15,-35.58791,5.11671
16,-37.39185,5.12938
17,-39.09157,5.14153
18,-40.68234,5.15339
19,-42.15972,5.16447
20,-43.51959,5.17566
21,-44.75816,5.18549
22,-45.87199,5.19534
23,-46.85796,5.20247
24,-47.71333,5.21006
25,-48.43572,5.21770
26,-49.02310,5.22171
27,-49.47385,5.22799
28,-49.78671,5.22833
29,-49.96080,5.23056
30,-49.99564,5.23179
31,-49.89114,5.22975
32,-49.64758,5.22749
33,-49.26564,5.22406
34,-48.74640,5.22039
35,-48.09128,5.21467
36,-47.30213,5.20783
37,-46.38114,5.19953
38,-45.33087,5.19045
39,-44.15426,5.18084
40,-42.85459,5.17035
41,-41.43547,5.15916
42,-39.90086,5.14765
43,-38.25504,5.13395
44,-36.50260,5.12401
45,-34.64842,5.11158
46,-32.69767,5.09792
47,-30.65578,5.08713
48,-28.52845,5.07429
49,-26.32161,5.06280
50,-24.04140,5.05171
51,-21.69419,5.04163
52,-19.28651,5.03268
53,-16.82507,5.02358
54,-14.31674,5.01529
55,-11.76851,5.00942
56,-9.18748,5.00468
57,-6.58083,5.00410
58,-3.95585,4.99777
59,-1.31984,4.99720
60,1.31984,4.99584
61,3.95585,4.99850
62,6.58083,5.00107
63,9.18748,5.00460
64,11.76851,5.00974
65,14.31674,5.01589
66,16.82507,5.02333
67,19.28651,5.03127
68,21.69419,5.04255
69,24.04140,5.05239
70,26.32161,5.06313
71,28.52845,5.07387
72,30.65578,5.08679
73,32.69767,5.09946
74,34.64842,5.10878
75,36.50260,5.12415
76,38.25504,5.13591
77,39.90086,5.14681
78,41.43547,5.15897
79,42.85459,5.16994
80,44.15426,5.18104
81,45.33087,5.18959
82,46.38114,5.19868
83,47.30213,5.20674
84,48.09128,5.21432
85,48.74640,5.21925
86,49.26564,5.22376
87,49.64758,5.22892
88,49.89114,5.23012
89,49.99564,5.22936
90,49.96080,5.23074
91,49.78671,5.22978
92,49.47385,5.22679
93,49.02310,5.22227
94,48.43572,5.21775
95,47.71333,5.20990
96,46.85796,5.20295
97,45.87199,5.19448
98,44.75816,5.18517
99,43.51959,5.17524
100,42.15972,5.16258
101,40.68234,5.15352
102,39.09157,5.14197
103,37.39185,5.12875
104,35.58791,5.11629
105,33.68478,5.10396
106,31.68777,5.09285
107,29.60243,5.08066
108,27.43459,5.06706
109,25.19028,5.05654
110,22.87577,5.04669
111,20.49749,5.03699
112,18.06208,5.02763
113,15.57633,5.01980
114,13.04717,5.01304
115,10.48165,5.00729
116,7.88690,5.00254
117,5.27018,4.99939
118,2.63877,4.99641
119,-3.47008,3.76681
120,-3.49853,3.82389
121,-3.79483,3.76807
122,-3.66391,3.84569
123,-3.95934,3.81899
124,3.82716,4.21983
125,4.12257,4.15822
126,3.84376,4.22367
127,4.23095,4.13655
128,0.57489,2.87344
129,0.81922,3.05085
130,0.54980,3.21241
131,0.58530,5.46264
132,0.70981,5.25241
133,0.31415,5.60977
134,0.40207,5.40091
135,0.19333,6.05220
136,0.00092,3.08818
137,0.00091,3.12870
138,0.00091,2.95922
139,0.36547,5.91185
140,0.22458,5.34895
141,0.19761,5.49782
142,0.38561,5.31363
143,0.48044,5.15527
144,0.29025,5.20279
145,0.77077,5.41016
146,0.45313,5.64633
147,0.54035,5.63539
148,0.86425,5.41728
149,0.98196,4.95989
150,1.35286,4.80384
151,1.23437,4.69942
152,0.81037,4.89487
153,0.62844,5.16555
154,1.02424,2.53755
155,0.92674,2.35491
156,1.15949,2.53085
157,1.25223,2.66920
158,1.12667,2.72539
159,4.31480,3.93486
160,4.29033,3.97621
161,4.54589,5.60400
162,4.46602,5.46020
163,2.02287,4.82865
164,2.00464,4.84424
165,1.65900,5.02628
166,2.40501,4.67562
167,1.60725,5.03310
168,1.78508,4.89623
169,4.47219,4.08734
170,4.52615,4.07933
171,4.76007,5.76557
172,-0.04879,1.87256
173,0.03295,1.98267
174,-0.08802,2.00477
175,-0.21977,1.96964
176,-0.20406,1.80330
177,2.21359,3.10650
178,2.17223,3.19592
179,2.43904,3.19715
180,2.40791,3.28013
181,1.90205,4.66792
182,1.81811,4.78980
183,1.43051,4.93141
184,-0.47717,4.73751
185,-0.49297,4.54935
186,-0.24746,4.82992
187,-0.23390,4.65298
188,-0.44829,4.36298
189,-0.18806,2.19763
190,-0.19881,1.87185
191,-0.11226,2.03880
192,-0.31950,2.14419
193,0.55158,5.73424
194,0.65003,5.67224
195,0.50263,5.80977
196,0.15267,3.42264
197,0.24841,3.56953
198,0.10643,3.69018
199,0.33972,3.30614
200,0.15198,3.84199
201,0.00089,2.88730
202,0.24623,5.85632
203,0.20967,5.82525
204,0.31446,5.70068
205,0.03509,0.75208
206,-0.01590,0.63446
207,0.01343,0.48605
208,0.04572,0.70920
209,0.07999,0.90747
210,-0.57848,3.88146
211,-0.40875,3.72517
212,-0.70550,3.59200
213,-0.92523,3.76470
214,-0.68933,4.02653
215,4.19194,3.90427
216,4.02352,3.98117
217,4.37329,5.26158
218,4.05445,3.86467
219,-4.21146,5.33749
220,-4.08939,5.20254
221,1.29591,2.55918
222,1.51304,2.69529
223,1.34437,2.64715
224,1.08175,2.41378
225,4.75059,5.94928
226,3.18176,3.81956
227,3.05126,3.90010
228,3.41575,3.86446
229,3.68729,3.79786
230,3.43638,3.76103
231,3.78088,3.71122
232,3.24133,4.31685
233,3.48250,4.27636
234,3.60633,4.20849
235,3.83875,4.17856
236,3.81704,4.20756
237,3.97700,4.17776
238,4.38044,4.09283
239,-3.70189,3.70310
240,2.43699,3.44880
241,2.47466,3.54678
242,2.13117,3.49779
243,2.20909,3.65772
244,-0.24898,1.72261
245,-0.38170,1.91005
246,-0.26438,1.90833
247,-0.14210,1.80047
248,-0.09304,1.68119
249,2.92275,4.47463
250,2.64803,4.56046
251,2.52575,4.61700
252,2.19316,4.75557
253,-0.48539,2.27167
254,-0.39155,2.18048
255,-0.27324,2.22973
256,-0.20420,2.10482
257,2.15207,3.32919
258,1.91682,3.20916
259,1.77921,3.30423
260,1.99001,2.92742
261,1.72634,2.83002
262,1.80186,2.93813
263,1.89052,2.82702
264,-0.46958,2.40500
265,-0.67945,2.54157
266,-0.60798,2.27734
267,-0.44678,2.11582
268,1.18562,2.43610
269,1.05915,2.36002
270,0.98214,2.34007
271,0.83485,2.23595
272,-2.72468,4.54357
273,-2.94403,4.44741
274,-2.59947,4.55835
275,0.95403,5.19007
276,1.07848,5.01869
277,1.36531,4.92380
278,-2.28333,4.23176
279,-2.19118,4.11575
280,-2.60853,4.03879
281,0.42272,1.76586
282,0.27949,1.50630
283,0.28891,1.60031
284,-0.50303,5.77984
285,-0.46270,5.82872
286,-0.69476,5.63283
287,-0.23304,6.03422
288,-0.19987,6.03603
289,-0.55582,5.35166
290,-0.66325,5.15908
291,-0.93844,5.08225
292,-0.97503,4.92334
293,-1.03461,5.28486
294,-1.46875,4.99311
295,-1.24439,5.03849
296,-0.32753,4.01556
297,-0.14799,4.10292
298,-0.21301,3.93109
299,-0.19005,4.25779
300,-0.42646,4.18214
301,-0.25509,5.96122
302,-0.92677,5.46974
303,-0.85027,5.43475
304,-0.54461,5.70334
305,-0.54236,5.62288
306,-0.26834,5.88684
307,0.52439,4.65191
308,0.43097,4.53573
309,0.24874,4.76109
310,0.24682,4.94083
311,0.45862,4.86528
312,0.01715,0.49605
313,-0.17247,6.07950
314,-0.39872,5.88192
315,-0.26764,6.00860
316,-0.62734,5.70818
317,0.48098,5.79641
318,0.20851,6.01587
319,0.24409,6.01486
320,0.45514,5.82711
321,0.72523,5.60771
322,-0.00075,2.52640
323,-0.26243,4.95478
324,-0.20865,5.43060
325,-0.37205,5.39125
326,-0.16282,5.56962
327,-0.23807,5.62272
328,-0.00084,2.97463
329,0.00057,2.00165
330,0.00053,1.86400
331,0.36494,3.72313
332,0.21052,3.96864
333,0.52379,5.40273
334,0.48271,5.54158
335,0.24947,5.68403
336,0.27434,5.54409
337,0.53428,5.28508
338,-0.95244,5.45812
339,-1.35180,5.21314
340,-0.98452,5.44465
341,-0.65612,5.67208
342,1.31994,5.22388
343,1.77105,4.96764
344,1.36090,5.19494
345,0.98910,5.43813
346,0.90520,5.50590
347,1.52532,4.65316
348,1.97591,4.49639
349,1.61208,4.73435
350,1.17739,4.96690
351,1.14737,4.82636
352,-1.71360,3.29698
353,-1.95331,3.24602
354,-1.73835,3.17659
355,-1.49321,3.17223
356,-1.44962,3.36802
357,4.09682,3.82489
358,4.26900,5.22447
359,-2.85081,4.29804
360,-3.24835,4.18218
361,-2.95877,4.33810
362,-2.47369,4.44589
363,-2.61055,4.31104
364,0.01876,1.57083
365,-0.10148,1.47687
366,0.01173,1.79768
367,0.14790,1.71624
368,-1.74181,3.99792
369,-1.81392,4.16758
370,-1.45084,4.21863
371,-1.40545,3.98831
372,-1.71482,3.86602
373,1.11682,2.91315
374,0.86605,2.89292
375,1.02947,3.09397
376,1.28733,3.10017
377,1.36505,2.94774
378,-3.27311,4.33914
379,-3.22300,4.37914
380,-3.55239,4.28087
381,-3.69782,4.22742
382,-3.32745,4.29960
383,-1.66779,2.64315
384,-1.46093,2.57702
385,-1.54018,2.59487
386,-1.83735,2.70400
387,-1.85814,3.20449
388,1.91400,4.36054
389,1.49502,4.49672
390,1.82480,4.23741
391,2.16593,4.16596
392,2.29579,4.25355
393,1.81341,3.19470
394,1.48550,3.10351
395,1.72241,3.04634
396,2.04586,3.13089
397,2.07334,3.25774
398,0.89549,2.26521
399,0.74447,2.15490
400,0.72323,2.11247
401,2.52212,3.38152
402,2.29794,3.48430
403,2.70068,3.52487
404,2.80405,3.40873
405,0.87428,2.23751
406,1.02467,2.34282
407,-3.51549,3.54702
408,-3.65722,4.74550
409,-3.31210,3.47350
410,-3.16334,3.56341
411,-3.39956,3.61705
412,-3.71208,3.62889
413,-3.95641,5.18842
414,1.45618,3.28022
415,1.61141,3.12437
416,1.60016,2.95704
417,1.40568,2.84187
418,-1.18146,2.65214
419,-1.40808,2.73435
420,-1.30387,2.82123
421,-1.54303,2.88860
422,-1.64920,2.82359
423,1.87193,2.73864
424,1.76886,2.73622
425,2.02863,2.82524
426,0.69071,2.11567
427,0.57410,1.96118
428,0.54953,1.97327
429,-2.14231,2.84441
430,-2.10677,2.80641
431,-2.42030,3.60026
432,-2.20005,3.45748
433,-2.41549,4.30418
434,-2.73223,4.21705
435,-2.95525,4.21206
436,2.75403,3.29459
437,2.92746,3.21190
438,2.65153,3.17413
439,3.10963,3.30463
440,3.77421,3.78997
441,3.87794,3.71895
442,4.21277,5.28634
443,4.09108,5.15929
444,-1.16949,4.67875
445,-1.58009,4.51301
446,-1.36600,4.75286
447,-1.50478,4.39263
448,3.50461,3.94485
449,3.18715,3.96526
450,3.29184,4.01237
451,2.77775,3.12710
452,3.03899,4.21900
453,2.16443,4.57068
454,2.51173,4.49721
455,2.57189,4.40122
456,2.11475,4.67155
457,2.05720,3.60365
458,1.76011,3.60363
459,1.86144,3.73819
460,1.94476,3.45797
461,2.24653,4.68151
462,2.09970,4.70543
463,0.90861,3.55377
464,0.96780,3.31011
465,0.66699,3.42312
466,0.66766,3.66835
467,0.78835,3.81451
468,0.51394,2.26914
469,0.25408,2.21197
470,0.33997,2.30424
471,-0.03666,1.19584
472,0.02025,1.38015
473,-1.30363,2.50957
474,-1.32119,2.50369
475,-1.07661,2.44696
476,-1.13628,2.42788
477,-0.91188,2.28369
478,0.77405,4.66327
479,0.83639,4.42239
480,1.11430,4.38442
481,-0.12539,1.44034
482,-0.27589,1.57190
483,-0.14788,1.26325
484,-0.80880,5.36352
485,-0.87997,5.21504
486,-0.48968,5.45682
487,-0.59827,5.45681
488,0.78269,5.01719
489,0.82167,5.12451
490,-0.59721,5.61440
491,-0.80372,5.50242
492,0.21034,4.54089
493,0.00067,2.10648
494,0.13218,4.42106
