,H,Mu
0,3.77363,1.91884
1,3.81082,1.91957
2,3.83207,1.91998
3,4.17926,1.92613
4,4.18889,1.92629
5,3.05116,1.90151
6,5.44657,1.94233
7,5.35815,1.94143
8,6.13705,1.94848
9,6.01533,1.94750
10,5.36977,1.94155
11,5.24614,1.94026
12,5.53574,1.94321
13,5.54604,1.94330
14,4.89907,1.93629
15,5.08297,1.93846
16,2.46436,1.88085
17,2.60407,1.88652
18,3.92467,1.92172
19,3.93727,1.92195
20,4.96399,1.93708
21,4.74495,1.93436
22,4.95507,1.93697
23,4.11453,1.92506
24,4.04535,1.92387
25,1.98418,1.85617
26,1.87057,1.84875
27,3.18442,1.90524
28,3.21090,1.90595
29,4.84047,1.93557
30,5.26141,1.94042
31,5.00955,1.93761
32,4.73906,1.93428
33,4.60133,1.93245
34,4.58474,1.93222
35,2.01556,1.85809
36,2.11279,1.86373
37,5.79919,1.94564
38,5.74830,1.94519
39,3.60848,1.91544
40,3.36517,1.90987
41,3.62095,1.91570
42,5.97386,1.94715
43,5.76420,1.94533
44,0.65915,1.66414
45,0.85409,1.71928
46,3.65580,1.91644
47,3.80745,1.91950
48,3.95470,1.92226
49,3.85008,1.92032
50,3.74836,1.91833
51,3.74925,1.91835
52,2.65835,1.88858
53,2.50944,1.88274
54,4.07804,1.92444
55,3.88586,1.92100
56,3.80223,1.91940
57,3.75025,1.91837
58,4.28925,1.92789
59,4.20236,1.92651
60,4.24199,1.92715
61,4.19757,1.92643
62,4.13409,1.92539
63,3.76197,1.91861
64,3.50382,1.91313
65,3.54327,1.91401
66,1.87843,1.84929
67,1.67502,1.83403
68,4.51525,1.93125
69,4.65491,1.93318
70,2.25072,1.87100
71,2.15207,1.86588
72,3.31856,1.90872
73,3.22176,1.90624
74,2.88640,1.89647
75,2.87145,1.89599
76,2.44866,1.88018
77,2.18542,1.86766
78,2.40189,1.87813
79,2.27451,1.87218
80,4.47147,1.93062
81,5.10783,1.93874
82,5.01926,1.93772
83,4.07497,1.92439
84,1.67870,1.83433
85,5.69211,1.94468
86,5.96979,1.94712
87,5.88884,1.94643
88,5.19808,1.93974
89,5.07183,1.93833
90,5.12095,1.93889
91,4.07425,1.92437
92,4.05264,1.92400
93,4.22340,1.92685
94,5.91369,1.94664
95,5.57895,1.94362
96,5.50405,1.94290
97,5.80388,1.94569
98,4.71223,1.93394
99,4.84826,1.93567
100,0.61643,1.64903
101,0.54755,1.62159
102,5.98391,1.94723
103,5.84233,1.94602
104,5.87863,1.94634
105,5.66562,1.94443
106,5.57647,1.94360
107,5.04936,1.93807
108,4.78568,1.93488
109,5.48667,1.94273
110,5.74649,1.94517
111,3.69786,1.91731
112,3.75926,1.91855
113,5.60841,1.94390
114,5.46940,1.94256
115,5.28734,1.94070
116,5.51485,1.94300
117,5.04580,1.93803
118,5.30033,1.94083
119,4.56383,1.93193
120,4.72128,1.93405
121,3.24696,1.90690
122,3.29727,1.90819
123,3.83938,1.92012
124,3.82867,1.91991
125,4.24629,1.92721
126,4.33927,1.92866
127,1.57488,1.82532
128,1.70295,1.83630
129,4.18824,1.92628
130,3.97046,1.92255
131,2.90534,1.89708
132,2.92855,1.89781
133,4.29524,1.92798
134,4.26709,1.92754
135,2.62514,1.88733
136,2.66443,1.88881
137,4.42172,1.92990
138,4.31713,1.92832
139,3.14005,1.90403
140,3.21041,1.90594
141,2.37084,1.87673
142,2.22458,1.86969
143,3.36832,1.90995
144,3.39592,1.91062
145,2.27643,1.87227
146,2.15747,1.86617
147,3.47213,1.91241
148,3.55675,1.91431
149,3.68505,1.91705
150,3.68028,1.91695
151,3.63185,1.91594
152,3.11492,1.90333
153,2.98409,1.89952
154,2.94768,1.89841
155,2.68620,1.88961
156,2.85633,1.89550
157,2.76853,1.89254
158,2.78340,1.89305
159,2.78059,1.89295
160,2.19703,1.86827
161,2.06537,1.86104
162,2.85984,1.89561
163,2.85227,1.89536
164,1.67753,1.83423
165,4.25341,1.92733
166,4.24475,1.92719
167,3.19841,1.90562
168,3.29800,1.90821
169,3.75277,1.91842
170,3.72684,1.91790
171,4.56113,1.93190
172,4.59533,1.93237
173,3.94665,1.92212
174,3.95256,1.92223
175,3.19999,1.90566
176,3.13581,1.90391
177,4.50547,1.93111
178,4.54704,1.93170
179,3.60124,1.91528
180,3.59752,1.91520
181,4.80267,1.93510
182,4.76749,1.93465
183,3.38054,1.91025
184,3.60314,1.91532
185,2.24111,1.87052
186,1.40760,1.80853
187,2.55875,1.88474
188,2.34115,1.87537
189,4.54092,1.93161
190,4.44389,1.93022
191,1.49889,1.81807
192,5.12558,1.93894
193,5.28750,1.94070
194,5.21336,1.93990
195,5.19147,1.93967
196,5.39974,1.94186
197,5.43969,1.94226
198,4.61984,1.93270
199,4.34801,1.92880
200,4.47985,1.93075
201,1.43736,1.81175
202,4.82343,1.93536
203,3.05107,1.90151
204,5.04135,1.93798
205,5.04982,1.93808
206,3.51069,1.91329
207,3.53191,1.91376
208,0.35695,1.51711
209,0.47756,1.58893
210,5.90182,1.94654
211,5.91077,1.94662
212,1.84190,1.84676
213,1.82239,1.84537
214,4.86971,1.93593
215,5.03608,1.93792
216,2.67155,1.88907
217,2.74279,1.89164
218,3.86509,1.92061
219,4.19000,1.92631
220,5.02397,1.93778
221,5.08252,1.93845
222,5.62542,1.94406
223,0.37270,1.52788
224,0.71141,1.68094
225,3.72204,1.91780
226,1.53796,1.82187
227,3.45456,1.91200
228,5.51345,1.94299
229,5.32634,1.94110
230,1.76741,1.84133
231,1.92687,1.85252
232,5.34533,1.94130
233,5.59227,1.94375
234,4.26441,1.92750
235,6.19900,1.94897
236,5.86711,1.94624
237,6.11910,1.94834
238,1.30736,1.79683
239,1.47822,1.81600
240,1.61371,1.82880
241,1.92903,1.85266
242,3.44230,1.91171
243,3.51527,1.91339
244,3.35648,1.90966
245,0.27751,1.45430
246,0.36350,1.52165
247,5.46966,1.94256
248,5.75979,1.94529
249,3.67367,1.91681
250,3.68619,1.91707
251,3.10698,1.90311
252,3.10270,1.90299
253,5.62544,1.94406
254,5.65282,1.94432
255,6.00847,1.94744
256,6.00778,1.94743
257,5.99790,1.94735
258,5.88699,1.94641
259,5.29253,1.94075
260,5.43631,1.94223
261,4.81501,1.93525
262,5.02804,1.93783
263,3.89274,1.92112
264,3.97807,1.92269
265,5.31828,1.94102
266,5.23742,1.94016
267,2.47053,1.88112
268,2.69235,1.88983
269,1.51519,1.81968
270,1.24545,1.78887
271,5.36138,1.94147
272,5.09873,1.93864
273,3.99454,1.92298
274,4.04302,1.92383
275,2.91119,1.89726
276,2.79832,1.89356
277,3.46517,1.91225
278,3.37504,1.91011
279,2.11604,1.86391
280,2.12022,1.86414
281,3.38578,1.91037
282,3.31347,1.90860
283,4.13494,1.92540
284,3.77538,1.91887
285,3.84955,1.92031
286,4.09930,1.92480
287,4.11405,1.92505
288,3.74847,1.91834
289,3.61224,1.91552
290,1.96383,1.85489
291,1.80974,1.84446
292,3.71196,1.91760
293,3.66558,1.91664
294,4.10912,1.92497
295,4.05140,1.92398
296,3.26462,1.90735
297,2.41546,1.87873
298,2.40476,1.87826
299,4.22067,1.92680
300,4.13372,1.92538
301,3.85778,1.92047
302,3.77630,1.91889
303,4.64669,1.93307
304,4.50360,1.93109
305,2.20099,1.86847
306,4.08310,1.92452
307,4.04872,1.92393
308,2.37287,1.87683
309,2.42040,1.87895
310,3.73529,1.91807
311,3.87786,1.92085
312,4.35447,1.92889
313,1.72588,1.83813
314,1.92766,1.85257
315,3.44836,1.91186
316,3.52284,1.91356
317,3.61905,1.91566
318,4.37781,1.92925
319,4.30738,1.92817
320,4.37523,1.92921
321,4.46382,1.93051
322,3.98762,1.92286
323,4.03772,1.92374
324,4.77396,1.93473
325,4.85783,1.93579
326,3.61494,1.91557
327,3.65876,1.91650
328,1.93542,1.85308
329,1.80148,1.84386
330,4.76744,1.93465
331,4.68835,1.93362
332,4.05504,1.92404
333,4.11669,1.92509
334,4.24202,1.92715
335,4.16297,1.92587
336,3.53402,1.91381
337,3.60537,1.91537
338,5.11477,1.93882
339,4.88015,1.93606
340,2.72767,1.89110
341,2.96059,1.89880
342,4.50911,1.93116
343,4.65114,1.93313
344,4.15120,1.92567
345,4.08532,1.92456
346,4.79343,1.93498
347,4.62933,1.93283
348,2.78621,1.89315
349,2.74187,1.89161
350,3.02031,1.90061
351,3.10130,1.90295
352,3.02963,1.90088
353,3.07814,1.90229
354,3.48052,1.91260
355,3.48728,1.91275
356,2.40984,1.87849
357,2.54493,1.88419
358,3.91635,1.92156
359,4.08466,1.92455
360,4.04724,1.92391
361,4.18668,1.92625
362,2.66358,1.88877
363,2.82666,1.89451
364,5.97204,1.94714
365,5.85559,1.94614
366,5.64752,1.94427
367,5.54889,1.94333
368,5.40899,1.94195
369,5.54842,1.94333
370,5.64268,1.94422
371,5.91805,1.94668
372,2.36482,1.87646
373,2.53727,1.88388
374,4.35441,1.92889
375,3.80580,1.91947
376,3.77451,1.91885
377,2.79771,1.89354
378,2.75688,1.89213
379,4.69793,1.93375
380,4.57140,1.93204
381,6.10368,1.94822
382,6.03089,1.94762
383,3.28641,1.90791
384,5.84053,1.94601
385,5.81189,1.94576
386,0.96180,1.74263
387,0.97246,1.74473
388,3.08709,1.90255
389,2.84943,1.89527
390,0.26309,1.44111
391,4.15146,1.92567
392,4.33875,1.92865
393,5.03293,1.93788
394,5.14229,1.93912
395,6.06359,1.94789
396,5.80277,1.94568
397,1.29515,1.79531
398,1.55871,1.82382
399,2.23984,1.87046
400,2.22048,1.86948
401,3.55926,1.91437
402,3.73842,1.91814
403,0.66006,1.66445
404,0.67676,1.67000
405,1.61420,1.82884
406,1.40249,1.80797
407,5.87234,1.94629
408,5.73102,1.94503
409,1.29127,1.79482
410,0.88645,1.72673
411,5.53805,1.94323
412,5.72148,1.94495
413,6.09122,1.94812
414,0.50268,1.60128
415,1.93954,1.85334
416,2.04484,1.85984
417,3.73140,1.91799
418,3.92883,1.92179
419,2.95800,1.89872
420,2.95314,1.89857
421,6.07595,1.94799
422,5.85491,1.94613
423,4.30921,1.92820
424,4.30159,1.92808
425,0.53723,1.61711
426,0.84024,1.71597
427,6.13982,1.94851
428,4.44543,1.93025
429,4.42675,1.92997
430,2.43185,1.87945
431,2.51032,1.88278
432,2.98429,1.89953
433,2.94569,1.89834
434,3.39498,1.91059
435,3.11629,1.90337
436,3.88217,1.92093
437,3.74801,1.91833
438,3.47635,1.91250
439,5.42818,1.94214
440,5.65645,1.94435
441,4.90328,1.93635
442,1.46342,1.81448
443,1.76797,1.84137
444,4.85313,1.93573
445,4.56018,1.93188
446,2.51908,1.88314
447,2.52474,1.88337
448,5.77756,1.94545
449,5.69612,1.94472
450,4.60884,1.93255
451,4.57748,1.93212
452,4.76123,1.93457
453,2.36938,1.87667
454,1.91798,1.85194
455,5.75058,1.94521
456,0.44794,1.57335
457,0.02774,1.07681
458,5.21316,1.93990
459,5.12317,1.93891
460,1.26077,1.79090
461,1.15779,1.77645
462,5.96224,1.94705
463,6.07664,1.94800
464,2.72784,1.89111
465,2.34836,1.87570
466,5.59774,1.94380
467,5.81763,1.94581
468,4.32300,1.92841
469,4.42333,1.92992
470,5.79446,1.94560
471,5.60121,1.94383
472,5.27072,1.94052
473,5.09692,1.93862
474,4.12064,1.92516
475,4.34837,1.92880
476,5.17819,1.93952
477,5.84197,1.94602
478,5.47309,1.94259
479,5.83894,1.94600
480,5.74576,1.94517
481,3.90830,1.92141
482,3.92566,1.92173
483,5.85363,1.94612
484,5.60030,1.94382
485,5.10287,1.93868
486,4.96618,1.93710
487,1.56583,1.82448
488,1.73703,1.83900
489,5.32560,1.94110
490,5.35017,1.94135
491,5.45688,1.94243
492,5.78741,1.94554
493,5.71088,1.94485
494,5.80876,1.94573
495,1.84296,1.84683
496,1.84379,1.84689
497,4.92534,1.93661
498,5.18929,1.93964
499,2.28841,1.87286
500,2.51828,1.88311
501,4.44096,1.93018
502,4.55921,1.93187
503,4.34652,1.92877
504,2.17167,1.86693
505,1.91875,1.85199
506,3.46701,1.91229
507,3.63150,1.91593
508,3.24400,1.90682
509,2.52165,1.88324
510,2.32159,1.87445
511,3.36277,1.90981
512,3.09091,1.90266
513,5.78115,1.94548
514,3.24656,1.90689
515,1.45877,1.81400
516,1.29058,1.79473
517,4.52802,1.93143
518,4.58840,1.93227
519,2.31241,1.87401
520,2.57957,1.88557
521,0.77740,1.69990
522,1.98748,1.85637
523,2.18579,1.86768
524,3.00028,1.90001
525,3.16157,1.90462
526,5.88762,1.94642
527,5.62970,1.94410
528,4.97682,1.93723
529,3.68031,1.91695
530,3.42506,1.91131
531,1.42094,1.80999
532,0.91917,1.73387
533,5.35615,1.94141
534,2.84125,1.89500
535,2.87135,1.89599
536,5.09558,1.93860
537,4.83708,1.93553
538,4.75607,1.93450
539,4.99371,1.93743
540,5.32043,1.94104
541,5.17518,1.93949
542,1.59577,1.82721
543,1.64353,1.83138
544,1.25546,1.79020
545,0.88996,1.72751
546,2.79852,1.89357
547,2.78314,1.89304
548,3.44699,1.91182
549,3.94911,1.92216
550,1.34745,1.80168
551,1.37496,1.80487
552,0.51126,1.60533
553,0.64231,1.65834
554,5.57109,1.94355
555,4.12502,1.92523
556,3.84052,1.92014
557,0.94878,1.74001
558,1.00322,1.75060
559,5.44160,1.94228
560,5.43916,1.94225
561,0.64720,1.66005
562,0.70079,1.67767
563,5.46843,1.94255
564,5.33032,1.94115
565,3.65835,1.91649
566,3.44602,1.91180
567,4.80462,1.93512
568,4.60897,1.93256
569,0.90920,1.73173
570,5.48876,1.94275
571,5.84087,1.94601
572,2.09288,1.86261
573,1.92511,1.85241
574,4.63475,1.93291
575,4.81346,1.93523
576,3.16677,1.90476
577,6.17481,1.94878
578,3.82395,1.91982
579,3.76711,1.91871
580,0.72461,1.68492
581,0.97631,1.74548
582,5.71835,1.94492
583,5.21744,1.93995
584,3.04982,1.90147
585,3.04523,1.90134
586,1.33383,1.80006
587,1.54455,1.82250
588,1.29035,1.79471
589,4.28603,1.92784
590,4.22700,1.92691
591,1.65594,1.83243
592,1.91931,1.85203
593,4.65089,1.93312
594,4.73629,1.93425
595,5.56182,1.94346
596,5.89318,1.94647
597,3.85769,1.92047
598,3.86662,1.92063
599,2.54884,1.88435
600,2.88552,1.89644
601,5.46559,1.94252
602,5.71140,1.94486
603,1.76649,1.84126
604,1.64105,1.83117
605,3.15660,1.90449
606,3.19553,1.90554
607,1.26040,1.79085
608,0.81734,1.71032
609,4.51000,1.93118
610,2.03124,1.85903
611,1.84058,1.84667
612,2.74926,1.89187
613,2.98751,1.89962
614,5.28922,1.94071
615,2.01481,1.85804
616,1.78703,1.84279
617,5.27992,1.94062
618,4.31981,1.92836
619,4.08742,1.92460
620,1.33537,1.80024
621,1.18660,1.78069
622,1.18173,1.77999
623,2.54409,1.88416
624,2.44759,1.88014
625,4.65651,1.93320
626,4.44611,1.93026
627,5.56598,1.94350
628,5.46158,1.94248
629,1.93714,1.85319
630,2.06308,1.86090
631,5.26339,1.94044
632,5.53944,1.94324
633,1.82721,1.84572
634,4.13172,1.92535
635,4.03923,1.92377
636,2.10611,1.86336
637,1.86058,1.84806
638,5.10018,1.93865
639,4.97705,1.93723
640,3.02612,1.90078
641,2.82093,1.89432
