,Fi,H_nodes
0,0.00000,4.99693
1,-2.63877,4.99685
2,-5.27018,4.99941
3,-7.88690,5.00269
4,-10.48165,5.00726
5,-13.04717,5.01207
6,-15.57633,5.01959
7,-18.06208,5.03031
8,-20.49749,5.03562
9,-22.87577,5.04735
10,-25.19028,5.05649
11,-27.43459,5.06698
12,-29.60243,5.07824
13,-31.68777,5.09110
14,-33.68478,5.10330
15,-35.58791,5.11528
16,-37.39185,5.12780
17,-39.09157,5.13980
18,-40.68234,5.15152
19,-42.15972,5.16248
20,-43.51959,5.17354
21,-44.75816,5.18327
22,-45.87199,5.19300
23,-46.85796,5.20005
24,-47.71333,5.20756
25,-48.43572,5.21511
26,-49.02310,5.21908
27,-49.47385,5.22528
28,-49.78671,5.22563
29,-49.96080,5.22783
30,-49.99564,5.22904
31,-49.89114,5.22702
32,-49.64758,5.22479
33,-49.26564,5.22140
34,-48.74640,5.21777
35,-48.09128,5.21211
36,-47.30213,5.20535
37,-46.38114,5.19714
38,-45.33087,5.18817
39,-44.15426,5.17866
40,-42.85459,5.16830
41,-41.43547,5.15724
42,-39.90086,5.14586
43,-38.25504,5.13232
44,-36.50260,5.12249
45,-34.64842,5.11022
46,-32.69767,5.09672
47,-30.65578,5.08606
48,-28.52845,5.07337
49,-26.32161,5.06202
50,-24.04140,5.05106
51,-21.69419,5.04111
52,-19.28651,5.03227
53,-16.82507,5.02328
54,-14.31674,5.01509
55,-11.76851,5.00930
56,-9.18748,5.00462
57,-6.58083,5.00405
58,-3.95585,4.99779
59,-1.31984,4.99723
60,1.31984,4.99589
61,3.95585,4.99851
62,6.58083,5.00106
63,9.18748,5.00454
64,11.76851,5.00962
65,14.31674,5.01569
66,16.82507,5.02303
67,19.28651,5.03088
68,21.69419,5.04202
69,24.04140,5.05174
70,26.32161,5.06234
71,28.52845,5.07295
72,30.65578,5.08571
73,32.69767,5.09823
74,34.64842,5.10745
75,36.50260,5.12263
76,38.25504,5.13425
77,39.90086,5.14503
78,41.43547,5.15705
79,42.85459,5.16789
80,44.15426,5.17887
81,45.33087,5.18732
82,46.38114,5.19631
83,47.30213,5.20427
84,48.09128,5.21177
85,48.74640,5.21665
86,49.26564,5.22111
87,49.64758,5.22620
88,49.89114,5.22739
89,49.99564,5.22664
90,49.96080,5.22801
91,49.78671,5.22706
92,49.47385,5.22411
93,49.02310,5.21963
94,48.43572,5.21516
95,47.71333,5.20740
96,46.85796,5.20053
97,45.87199,5.19216
98,44.75816,5.18295
99,43.51959,5.17313
100,42.15972,5.16062
101,40.68234,5.15167
102,39.09157,5.14025
103,37.39185,5.12718
104,35.58791,5.11487
105,33.68478,5.10268
106,31.68777,5.09171
107,29.60243,5.07966
108,27.43459,5.06622
109,25.19028,5.05584
110,22.87577,5.04610
111,20.49749,5.03653
112,18.06208,5.02728
113,15.57633,5.01955
114,13.04717,5.01287
115,10.48165,5.00719
116,7.88690,5.00250
117,5.27018,4.99940
118,2.63877,4.99646
119,-3.51709,3.81831
120,-3.54538,3.87620
121,-3.84601,3.81926
122,-3.71274,3.89817
123,-4.01212,3.87079
124,3.87487,4.27701
125,4.17427,4.21461
126,3.89164,4.28088
127,4.28408,4.19266
128,0.58441,2.92029
129,0.83226,3.09843
130,0.55832,3.26279
131,0.59182,5.52607
132,0.71790,5.31516
133,0.31760,5.67313
134,0.40661,5.46367
135,0.19536,6.11683
136,0.00091,3.12086
137,0.00091,3.16168
138,0.00091,2.99068
139,0.36936,5.97644
140,0.22713,5.41100
141,0.19983,5.56052
142,0.39000,5.37596
143,0.48601,5.21714
144,0.29361,5.26450
145,0.77938,5.47361
146,0.45809,5.71014
147,0.54626,5.69928
148,0.87388,5.48085
149,0.99352,5.02168
150,1.36901,4.86509
151,1.24932,4.76009
152,0.82001,4.95612
153,0.63571,5.22776
154,1.04237,2.57611
155,0.94386,2.39104
156,1.18002,2.56857
157,1.27372,2.70876
158,1.14577,2.76663
159,4.37089,3.98811
160,4.34564,4.03007
161,4.60489,5.61808
162,4.52450,5.47523
163,2.04661,4.89049
164,2.02810,4.90617
165,1.67810,5.08906
166,2.43365,4.73672
167,1.62576,5.09591
168,1.80593,4.95846
169,4.52861,4.14273
170,4.58329,4.13460
171,4.82037,5.78164
172,-0.04983,1.91157
173,0.03360,2.02287
174,-0.08982,2.04521
175,-0.22429,2.00913
176,-0.20843,1.84057
177,2.24800,3.14986
178,2.20539,3.24079
179,2.47620,3.24143
180,2.44400,3.32579
181,1.92495,4.72873
182,1.83963,4.85136
183,1.44724,4.99343
184,-0.48302,4.79759
185,-0.49917,4.60857
186,-0.25046,4.88990
187,-0.23680,4.71215
188,-0.45407,4.42119
189,-0.19167,2.23979
190,-0.20297,1.90961
191,-0.11450,2.07954
192,-0.32574,2.18402
193,0.55754,5.79856
194,0.65709,5.73655
195,0.50801,5.87423
196,0.15496,3.47485
197,0.25205,3.62292
198,0.10796,3.74397
199,0.34491,3.35776
200,0.15411,3.89675
201,0.00088,2.91844
202,0.24887,5.92043
203,0.21193,5.88908
204,0.31788,5.76437
205,0.03616,0.77334
206,-0.01641,0.65338
207,0.01386,0.50119
208,0.04712,0.72867
209,0.08228,0.92985
210,-0.58648,3.93702
211,-0.41456,3.77969
212,-0.71570,3.64539
213,-0.93821,3.81909
214,-0.69866,4.08303
215,4.24681,3.95716
216,4.07559,4.03522
217,4.43116,5.27919
218,4.10792,3.91713
219,-4.26822,5.34893
220,-4.14527,5.21391
221,1.31871,2.59695
222,1.53884,2.73428
223,1.36754,2.68593
224,1.10144,2.45025
225,4.81085,5.96101
226,3.22458,3.87208
227,3.09181,3.95373
