,H,Mu
0,3.82505,1.88439
1,3.86277,1.88539
2,3.88424,1.88596
3,4.23583,1.89442
4,4.24579,1.89464
5,3.09967,1.86110
6,5.50994,1.91680
7,5.42078,1.91555
8,6.20174,1.92539
9,6.07968,1.92401
10,5.43202,1.91571
11,5.30804,1.91391
12,5.59958,1.91803
13,5.61013,1.91817
14,4.96107,1.90844
15,5.14545,1.91143
16,2.50180,1.83343
17,2.64344,1.84094
18,3.97765,1.88833
19,3.99059,1.88866
20,5.02687,1.90953
21,4.80625,1.90577
22,5.01769,1.90938
23,4.17043,1.89294
24,4.09997,1.89130
25,2.02440,1.80193
26,1.90936,1.79248
27,3.22894,1.86591
28,3.25550,1.86686
29,4.90243,1.90745
30,5.32392,1.91415
31,5.07110,1.91025
32,4.79916,1.90565
33,4.66046,1.90311
34,4.64418,1.90280
35,2.05595,1.80438
36,2.15364,1.81158
37,5.86394,1.92143
38,5.81263,1.92079
39,3.66196,1.87986
40,3.41730,1.87236
41,3.67451,1.88023
42,6.03833,1.92353
43,5.82824,1.92099
44,0.67951,1.57609
45,0.87679,1.63684
46,3.70977,1.88123
47,3.86226,1.88538
48,4.00838,1.88910
49,3.90211,1.88642
50,3.79902,1.88369
51,3.79998,1.88372
52,2.69742,1.84362
53,2.54709,1.83591
54,4.13345,1.89209
55,3.93929,1.88737
56,3.85422,1.88517
57,3.80135,1.88376
58,4.34725,1.89685
59,4.25928,1.89494
60,4.29958,1.89582
61,4.25453,1.89484
62,4.19013,1.89339
63,3.81320,1.88408
64,3.55296,1.87663
65,3.59316,1.87785
66,1.91549,1.79300
67,1.71116,1.77387
68,4.57494,1.90148
69,4.71600,1.90414
70,2.29296,1.82098
71,2.19345,1.81436
72,3.36590,1.87066
73,3.26716,1.86727
74,2.92741,1.85412
75,2.91187,1.85345
76,2.48946,1.83275
77,2.22432,1.81647
78,2.44015,1.82994
79,2.31137,1.82215
80,4.53094,1.90062
81,5.17021,1.91182
82,5.08133,1.91042
83,4.13091,1.89203
84,1.70982,1.77374
85,5.75628,1.92008
86,6.03511,1.92349
87,5.95314,1.92252
88,5.26066,1.91320
89,5.13427,1.91126
90,5.18387,1.91203
91,4.13070,1.89203
92,4.10877,1.89151
93,4.28083,1.89542
94,5.97825,1.92282
95,5.64290,1.91861
96,5.56750,1.91759
97,5.86859,1.92149
98,4.77213,1.90516
99,4.90890,1.90756
100,0.63482,1.55940
101,0.56391,1.53004
102,6.04871,1.92365
103,5.90694,1.92196
104,5.94275,1.92239
105,5.72954,1.91974
106,5.64017,1.91857
107,5.11007,1.91087
108,4.84567,1.90647
109,5.54955,1.91735
110,5.81025,1.92076
111,3.75130,1.88239
112,3.81372,1.88409
113,5.67230,1.91899
114,5.53272,1.91712
115,5.35055,1.91454
116,5.57842,1.91774
117,5.10820,1.91084
118,5.36351,1.91473
119,4.62364,1.90241
120,4.78196,1.90534
121,3.29359,1.86820
122,3.34542,1.86998
123,3.89131,1.88614
124,3.88045,1.88586
125,4.30393,1.89592
126,4.39772,1.89791
127,1.61062,1.76310
128,1.74006,1.77679
129,4.24590,1.89465
130,4.02611,1.88953
131,2.95004,1.85507
132,2.97229,1.85600
133,4.35325,1.89698
134,4.32471,1.89637
135,2.66548,1.84205
136,2.70461,1.84397
137,4.48103,1.89962
138,4.37566,1.89745
139,3.18529,1.86433
140,3.25593,1.86688
141,2.40735,1.82802
142,2.26029,1.81886
143,3.41559,1.87231
144,3.44296,1.87319
145,2.31226,1.82221
146,2.19183,1.81425
147,3.51905,1.87559
148,3.60519,1.87820
149,3.73491,1.88193
150,3.73015,1.88180
151,3.68073,1.88040
152,3.16073,1.86342
153,3.02741,1.85825
154,2.99088,1.85677
155,2.72585,1.84500
