,Fi,H_nodes
0,0.00000,0.99943
1,-0.52775,0.99941
2,-1.05404,0.99989
3,-1.57738,1.00050
4,-2.09633,1.00135
5,-2.60943,1.00224
6,-3.11527,1.00365
7,-3.61242,1.00564
8,-4.09950,1.00663
9,-4.57515,1.00882
10,-5.03806,1.01052
11,-5.48692,1.01248
12,-5.92049,1.01458
13,-6.33755,1.01698
14,-6.73696,1.01926
15,-7.11758,1.02150
16,-7.47837,1.02384
17,-7.81831,1.02608
18,-8.13647,1.02827
19,-8.43194,1.03032
20,-8.70392,1.03239
21,-8.95163,1.03421
22,-9.17440,1.03604
23,-9.37159,1.03736
24,-9.54267,1.03876
25,-9.68714,1.04018
26,-9.80462,1.04093
27,-9.89477,1.04209
28,-9.95734,1.04215
29,-9.99216,1.04257
30,-9.99913,1.04279
31,-9.97823,1.04241
32,-9.92952,1.04199
33,-9.85313,1.04136
34,-9.74928,1.04068
35,-9.61826,1.03962
36,-9.46043,1.03835
37,-9.27623,1.03681
38,-9.06617,1.03513
39,-8.83085,1.03335
40,-8.57092,1.03141
41,-8.28709,1.02934
42,-7.98017,1.02721
43,-7.65101,1.02468
44,-7.30052,1.02285
45,-6.92968,1.02055
46,-6.53953,1.01803
47,-6.13116,1.01604
48,-5.70569,1.01367
49,-5.26432,1.01155
50,-4.80828,1.00951
51,-4.33884,1.00766
52,-3.85730,1.00601
53,-3.36501,1.00433
54,-2.86335,1.00281
55,-2.35370,1.00173
56,-1.83750,1.00086
57,-1.31617,1.00075
58,-0.79117,0.99959
59,-0.26397,0.99948
60,0.26397,0.99923
61,0.79117,0.99972
62,1.31617,1.00020
63,1.83750,1.00084
64,2.35370,1.00179
65,2.86335,1.00292
66,3.36501,1.00429
67,3.85730,1.00575
68,4.33884,1.00782
69,4.80828,1.00963
70,5.26432,1.01161
71,5.70569,1.01359
72,6.13116,1.01597
73,6.53953,1.01831
74,6.92968,1.02003
75,7.30052,1.02287
76,7.65101,1.02504
77,7.98017,1.02705
78,8.28709,1.02930
79,8.57092,1.03133
80,8.83085,1.03339
81,9.06617,1.03497
82,9.27623,1.03665
83,9.46043,1.03815
84,9.61826,1.03955
85,9.74928,1.04047
86,9.85313,1.04130
87,9.92952,1.04226
88,9.97823,1.04248
89,9.99913,1.04234
90,9.99216,1.04260
91,9.95734,1.04242
92,9.89477,1.04187
93,9.80462,1.04103
94,9.68714,1.04019
95,9.54267,1.03873
96,9.37159,1.03745
97,9.17440,1.03588
98,8.95163,1.03415
99,8.70392,1.03231
100,8.43194,1.02997
101,8.13647,1.02830
102,7.81831,1.02616
103,7.47837,1.02372
104,7.11758,1.02142
105,6.73696,1.01914
106,6.33755,1.01709
107,5.92049,1.01484
108,5.48692,1.01234
109,5.03806,1.01040
110,4.57515,1.00859
111,4.09950,1.00680
112,3.61242,1.00508
113,3.11527,1.00364
114,2.60943,1.00239
115,2.09633,1.00134
116,1.57738,1.00046
117,1.05404,0.99989
118,0.52775,0.99934
119,-0.75514,0.81981
120,-0.76078,0.83225
121,-0.82555,0.81981
122,-0.79649,0.83687
123,-0.86070,0.83081
124,0.82856,0.91771
125,0.89280,0.90443
126,0.83211,0.91851
127,0.91633,0.89977
128,0.12722,0.63191
129,0.18057,0.66908
130,0.12124,0.70428
131,0.12701,1.17419
132,0.15388,1.13105
133,0.06880,1.20350
134,0.08773,1.16075
135,0.04291,1.29417
136,0.00180,0.66103
137,0.00179,0.66951
138,0.00179,0.63369
139,0.07974,1.26598
140,0.04962,1.14923
141,0.04383,1.18001
142,0.08422,1.14261
143,0.10465,1.11017
144,0.06375,1.11938
145,0.16683,1.16378
146,0.09859,1.21158
147,0.11728,1.20954
148,0.18687,1.16544
149,0.21270,1.07110
150,0.29279,1.03924
151,0.26744,1.01738
152,0.17584,1.05720
153,0.13647,1.11281
154,0.22714,0.55642
155,0.20614,0.51694
156,0.25709,0.55436
157,0.27704,0.58427
158,0.24911,0.59720
159,0.93647,0.85588
160,0.93068,0.86491
161,0.98650,1.13842
162,0.96972,1.11104
163,0.43684,1.04535
164,0.43284,1.04859
165,0.35810,1.08615
166,0.51958,1.01376
167,0.34697,1.08753
168,0.38552,1.05930
169,0.96882,0.88907
170,0.98055,0.88733
171,1.03143,1.17304
172,-0.01097,0.42000
173,0.00736,0.44378
174,-0.01972,0.44856
175,-0.04924,0.44054
176,-0.04587,0.40429
177,0.48620,0.67719
178,0.47654,0.69684
179,0.53496,0.69658
180,0.52757,0.71481
181,0.41138,1.01161
182,0.39290,1.03707
183,0.30919,1.06596
184,-0.10417,1.02370
185,-0.10769,0.98468
186,-0.05459,1.04200
187,-0.05169,1.00528
188,-0.09814,0.94579
189,-0.04233,0.48849
190,-0.04491,0.41783
191,-0.02551,0.45435
192,-0.07163,0.47598
193,0.11964,1.23001
194,0.14076,1.21760
195,0.10911,1.24538
196,0.03422,0.74822
197,0.05510,0.77946
198,0.02412,0.80416
199,0.07517,0.72424
200,0.03403,0.83606
201,0.00174,0.61877
202,0.05423,1.25407
203,0.04640,1.24744
204,0.06885,1.22224
205,0.00809,0.17277
206,-0.00368,0.14631
207,0.00311,0.11241
208,0.01058,0.16258
209,0.01840,0.20663
210,-0.12676,0.84552
211,-0.08996,0.81247
212,-0.15475,0.78468
213,-0.20233,0.82101
214,-0.15069,0.87606
215,0.91021,0.84928
216,0.87304,0.86606
217,0.95022,1.07480
218,0.88079,0.84079
219,-0.91612,1.08214
220,-0.89036,1.05524
221,0.28716,0.56024
222,0.33451,0.58917
223,0.29748,0.57910
224,0.24031,0.52934
225,1.02944,1.20408
226,0.69217,0.83151
227,0.66328,0.84896
228,0.74252,0.84109
229,0.80194,0.82647
230,0.74782,0.81859
231,0.82302,0.80747
232,0.70156,0.93831
233,0.75384,0.92975
234,0.78104,0.91518
235,0.83140,0.90880
236,0.82646,0.91506
237,0.86124,0.90864
238,0.94899,0.89026
239,-0.80599,0.80570
240,0.53282,0.75163
241,0.54036,0.77291
242,0.46583,0.76275
243,0.48198,0.79723
244,-0.05605,0.38605
245,-0.08557,0.42605
246,-0.05926,0.42676
247,-0.03192,0.40411
248,-0.02096,0.37844
249,0.63198,0.97170
250,0.57240,0.98964
251,0.54579,1.00150
252,0.47374,1.03031
253,-0.10815,0.50491
254,-0.08738,0.48553
255,-0.06094,0.49663
256,-0.04564,0.46985
257,0.47134,0.72599
258,0.42056,0.70032
259,0.38996,0.72133
260,0.43829,0.63857
261,0.38082,0.61784
262,0.39682,0.64124
263,0.41702,0.61697
264,-0.10463,0.53131
265,-0.15086,0.55957
266,-0.13557,0.50224
267,-0.09999,0.46831
268,0.26327,0.53553
269,0.23551,0.51889
270,0.21848,0.51583
271,0.18605,0.49364
272,-0.58898,0.98621
273,-0.63672,0.96600
274,-0.56195,0.98928
275,0.20639,1.11873
276,0.23337,1.08348
277,0.29521,1.06418
278,-0.49528,0.92008
279,-0.47588,0.89540
280,-0.56656,0.87896
281,0.09514,0.39197
282,0.06329,0.33647
283,0.06525,0.35800
284,-0.10921,1.23931
285,-0.10057,1.24940
286,-0.15036,1.20963
287,-0.05139,1.29077
288,-0.04429,1.29093
289,-0.12074,1.15117
290,-0.14395,1.11173
291,-0.20317,1.09640
292,-0.21127,1.06359
293,-0.22357,1.13864
294,-0.31727,1.07895
295,-0.26898,1.08797
296,-0.07215,0.87308
297,-0.03315,0.89049
298,-0.04728,0.85492
299,-0.04226,0.92299
300,-0.09353,0.90808
301,-0.05611,1.27566
302,-0.20022,1.17653
303,-0.18385,1.16918
304,-0.11816,1.22374
305,-0.11771,1.20716
306,-0.05895,1.26052
307,0.11442,1.00608
308,0.09430,0.98167
309,0.05489,1.02766
310,0.05444,1.06496
311,0.10011,1.05011
312,0.00402,0.11414
313,-0.03844,1.29984
314,-0.08686,1.26007
315,-0.05878,1.28561
316,-0.13587,1.22501
317,0.10449,1.24255
318,0.04615,1.28674
319,0.05376,1.28668
320,0.09895,1.24888
321,0.15691,1.20452
322,-0.00146,0.54479
323,-0.05779,1.06793
324,-0.04618,1.16616
325,-0.08127,1.15873
326,-0.03635,1.19467
327,-0.05248,1.20596
328,-0.00165,0.63835
329,0.00111,0.43622
330,0.00103,0.40730
331,0.08043,0.81189
332,0.04673,0.86268
333,0.11385,1.16154
334,0.10497,1.19006
335,0.05493,1.21861
336,0.06028,1.18981
337,0.11616,1.13729
338,-0.20574,1.17423
339,-0.29176,1.12440
340,-0.21264,1.17149
341,-0.14206,1.21762
342,0.28488,1.12656
343,0.38230,1.07407
344,0.29374,1.12056
345,0.21361,1.17014
346,0.19556,1.18391
347,0.33025,1.00816
348,0.42788,0.97560
349,0.34876,1.02514
350,0.25472,1.07299
351,0.24850,1.04367
352,-0.37566,0.71984
353,-0.42833,0.70826
354,-0.38165,0.69353
355,-0.32798,0.69331
356,-0.31770,0.73580
357,0.89042,0.83207
358,0.92826,1.06502
359,-0.61749,0.93431
360,-0.70399,0.90962
361,-0.64059,0.94287
362,-0.53539,0.96549
363,-0.56553,0.93695
364,0.00425,0.35455
365,-0.02297,0.33356
366,0.00265,0.40387
367,0.03330,0.38571
368,-0.37901,0.87036
369,-0.39404,0.90631
370,-0.31533,0.91703
371,-0.30610,0.86840
372,-0.37364,0.84232
373,0.24630,0.63811
374,0.19121,0.63486
375,0.22659,0.67762
376,0.28312,0.67817
377,0.30072,0.64473
378,-0.70826,0.94310
379,-0.69722,0.95171
380,-0.76890,0.93083
381,-0.80065,0.91932
382,-0.72028,0.93470
383,-0.36910,0.57966
384,-0.32369,0.56631
385,-0.34110,0.56907
386,-0.40618,0.59173
387,-0.41084,0.66902
388,0.41499,0.94699
389,0.32410,0.97536
390,0.39611,0.92107
391,0.47019,0.90596
392,0.49786,0.92459
393,0.39799,0.69740
394,0.32655,0.67833
395,0.37880,0.66517
396,0.44929,0.68293
397,0.45457,0.71063
398,0.19948,0.49800
399,0.16620,0.47443
400,0.16156,0.46609
401,0.55180,0.73680
402,0.50229,0.75952
403,0.58976,0.76788
404,0.61315,0.74238
405,0.19483,0.49284
406,0.22789,0.51457
407,-0.76699,0.77170
408,-0.79880,0.96478
409,-0.72333,0.75588
410,-0.69018,0.77574
411,-0.74112,0.78718
412,-0.80896,0.78943
413,-0.86224,1.04848
414,0.31943,0.71680
415,0.35405,0.68255
416,0.35237,0.64596
417,0.31014,0.62143
418,-0.26149,0.58081
419,-0.31119,0.59797
420,-0.28782,0.61739
421,-0.34019,0.63129
422,-0.36392,0.61678
423,0.41353,0.59846
424,0.39077,0.59772
425,0.44750,0.61658
426,0.15427,0.46799
427,0.12865,0.43372
428,0.12309,0.43763
429,-0.47249,0.62074
430,-0.46498,0.61287
431,-0.53338,0.74272
432,-0.48551,0.71536
433,-0.52350,0.93553
434,-0.59235,0.91709
435,-0.64057,0.91603
436,0.60315,0.71747
437,0.64177,0.69910
438,0.58167,0.69120
439,0.68077,0.71909
440,0.82081,0.82465
441,0.84400,0.80905
442,0.91640,1.07377
443,0.89072,1.04806
444,-0.25354,1.01306
445,-0.34246,0.97893
446,-0.29571,1.02873
447,-0.32653,0.95363
448,0.76112,0.85842
449,0.69226,0.86297
450,0.71455,0.87309
451,0.60976,0.68080
452,0.66677,0.85860
453,0.46820,0.99156
454,0.54334,0.97628
455,0.55673,0.95605
456,0.45712,1.01269
457,0.44920,0.78568
458,0.38451,0.78605
459,0.40597,0.81484
460,0.42540,0.75435
461,0.48544,1.01482
462,0.45380,1.01983
463,0.19910,0.77643
464,0.21256,0.72433
465,0.14660,0.74886
466,0.14640,0.80075
467,0.17246,0.83159
468,0.11449,0.50421
469,0.05667,0.49280
470,0.07570,0.51252
471,-0.00835,0.27215
472,0.00460,0.31281
473,-0.28914,0.55193
474,-0.29304,0.54981
475,-0.23902,0.53640
476,-0.25234,0.53251
477,-0.20303,0.50182
478,0.16826,1.00891
479,0.18203,0.95890
480,0.24215,0.95135
481,-0.02843,0.32530
482,-0.06235,0.35175
483,-0.03369,0.28532
484,-0.17502,1.15427
485,-0.19048,1.12378
486,-0.10649,1.17257
487,-0.12980,1.17306
488,0.16976,1.08260
489,0.17804,1.10488
490,-0.12946,1.20545
491,-0.17380,1.18305
492,0.04661,0.98188
493,0.00132,0.45619
494,0.02973,0.95679
495,0.06210,0.93137
496,0.09914,0.92880
497,0.09647,0.97529
498,0.06249,0.37979
499,0.06384,0.34394
500,0.04030,0.30868
501,-0.16279,1.07054
502,0.41799,0.67214
503,0.10960,1.07564
504,0.05369,1.10201
505,0.09206,0.75601
506,-0.00161,0.08172
507,0.00097,0.06584
508,0.12858,1.23340
509,0.05914,1.28350
510,0.06958,1.27889
511,-0.02006,0.40351
512,-0.03067,0.35731
513,-0.08637,1.06647
514,-0.03999,1.09814
515,-0.02450,0.53980
516,-0.02760,0.60186
517,-0.00074,0.28501
518,-0.00083,0.31274
519,0.04370,0.89816
520,0.06772,0.83843
521,0.03181,0.85037
522,0.00119,0.41840
523,0.00126,0.45389
524,-0.05264,1.12058
525,-0.11630,1.07210
526,-0.18201,1.18537
527,-0.10509,1.23972
528,0.00007,0.03732
