,H,Mu
0,0.82115,1.71127
1,0.82924,1.71328
2,0.83382,1.71440
3,0.90887,1.73166
4,0.91119,1.73216
5,0.66984,1.66772
6,1.17080,1.77839
7,1.15212,1.77560
8,1.31123,1.79731
9,1.28642,1.79421
10,1.15375,1.77585
11,1.12842,1.77196
12,1.18943,1.78110
13,1.19187,1.78145
14,1.05915,1.76062
15,1.09656,1.76688
16,0.54051,1.61854
17,0.57077,1.63131
18,0.85355,1.71915
19,0.85647,1.71984
20,1.07377,1.76311
21,1.02791,1.75513
22,1.07163,1.76275
23,0.89511,1.72865
24,0.87977,1.72522
25,0.44412,1.57125
26,0.41943,1.55719
27,0.69420,1.67560
28,0.69965,1.67731
29,1.04766,1.75863
30,1.13237,1.77258
31,1.08059,1.76425
32,1.02392,1.75441
33,0.99496,1.74905
34,0.99193,1.74848
35,0.44946,1.57418
36,0.47016,1.58514
37,1.24358,1.78862
38,1.23287,1.78717
39,0.78733,1.70256
40,0.73663,1.68846
41,0.78999,1.70326
42,1.27803,1.79314
43,1.23547,1.78752
44,0.15217,1.31343
45,0.19546,1.36964
46,0.79807,1.70538
47,0.82996,1.71346
48,0.86034,1.72075
49,0.83741,1.71528
50,0.81531,1.70980
51,0.81556,1.70987
52,0.58170,1.63571
53,0.54997,1.62263
54,0.88724,1.72690
55,0.84591,1.71733
56,0.82753,1.71286
57,0.81607,1.70999
58,0.93254,1.73668
59,0.91386,1.73273
60,0.92259,1.73459
61,0.91299,1.73255
62,0.89918,1.72955
63,0.81859,1.71063
64,0.76368,1.69615
65,0.77246,1.69856
66,0.41976,1.55738
67,0.37675,1.53057
68,0.97991,1.74618
69,1.00957,1.75178
70,0.50088,1.60042
71,0.47982,1.59007
72,0.72412,1.68478
73,0.70256,1.67822
74,0.63007,1.65400
75,0.62645,1.65270
76,0.53976,1.61821
77,0.48385,1.59210
78,0.52856,1.61325
79,0.50121,1.60058
80,0.97084,1.74441
81,1.10163,1.76771
82,1.08359,1.76475
83,0.88658,1.72676
84,0.37385,1.52865
85,1.22141,1.78560
86,1.27848,1.79319
87,1.26100,1.79093
88,1.11992,1.77063
89,1.09432,1.76652
90,1.10515,1.76827
91,0.88506,1.72642
92,0.88039,1.72536
93,0.91644,1.73329
94,1.26629,1.79162
95,1.19843,1.78239
96,1.18272,1.78013
97,1.24437,1.78872
98,1.01824,1.75337
99,1.04661,1.75844
100,0.14209,1.29887
101,0.12659,1.27524
102,1.28069,1.79348
103,1.25208,1.78975
104,1.25872,1.79063
105,1.21579,1.78483
106,1.19736,1.78223
107,1.08702,1.76532
108,1.03322,1.75608
109,1.17803,1.77945
110,1.23126,1.78695
111,0.80528,1.70725
112,0.81914,1.71077
113,1.20391,1.78316
114,1.17521,1.77904
115,1.13907,1.77361
116,1.18514,1.78048
117,1.08962,1.76575
118,1.14164,1.77401
119,0.98939,1.74799
120,1.02192,1.75404
121,0.70881,1.68015
122,0.72041,1.68367
123,0.83514,1.71473
124,0.83280,1.71415
125,0.92335,1.73475
126,0.94292,1.73882
127,0.35553,1.51611
128,0.38328,1.53485
129,0.91091,1.73210
130,0.86463,1.72175
131,0.63691,1.65644
132,0.64095,1.65787
133,0.93377,1.73693
134,0.92767,1.73566
135,0.57616,1.63350
136,0.58405,1.63665
137,0.96003,1.74227
138,0.93825,1.73786
139,0.68565,1.67288
140,0.70035,1.67753
141,0.52059,1.60965
142,0.48997,1.59513
143,0.73431,1.68779
144,0.73979,1.68938
145,0.50070,1.60033
146,0.47504,1.58765
147,0.75531,1.69381
148,0.77401,1.69898
149,0.80162,1.70630
150,0.80067,1.70606
151,0.78980,1.70321
152,0.68097,1.67137
153,0.65200,1.66170
154,0.64450,1.65911
155,0.58782,1.63813
156,0.62460,1.65203
157,0.60509,1.64479
158,0.60765,1.64576
159,0.60714,1.64557
160,0.48477,1.59255
161,0.45669,1.57807
162,0.62427,1.65191
163,0.62249,1.65126
164,0.37730,1.53094
165,0.92482,1.73506
166,0.92295,1.73467
167,0.69643,1.67630
168,0.71793,1.68292
169,0.81644,1.71009
170,0.81060,1.70861
171,0.98879,1.74788
172,0.99644,1.74933
173,0.85875,1.72038
174,0.86021,1.72072
175,0.69667,1.67638
176,0.68250,1.67186
177,0.97808,1.74582
178,0.98656,1.74746
