,Fi,H_nodes
0,0.00000,99.93614
1,-52.77535,99.93461
2,-105.40360,99.98771
3,-157.73807,100.05614
4,-209.63290,100.15118
5,-260.94345,100.25109
6,-311.52670,100.40764
7,-361.24167,100.63024
8,-409.94979,100.74083
9,-457.51531,100.98445
10,-503.80565,101.17444
11,-548.69180,101.39234
12,-592.04864,101.62617
13,-633.75534,101.89303
14,-673.69564,102.14628
15,-711.75824,102.39471
16,-747.83704,102.65444
17,-781.83148,102.90333
18,-813.64682,103.14634
19,-843.19438,103.37333
20,-870.39180,103.60252
21,-895.16329,103.80386
22,-917.43980,104.00545
23,-937.15923,104.15129
24,-954.26664,104.30684
25,-968.71433,104.46315
26,-980.46205,104.54513
27,-989.47704,104.67362
28,-995.73418,104.68057
29,-999.21603,104.72630
30,-999.91288,104.75137
31,-997.82280,104.70957
32,-992.95161,104.66343
33,-985.31288,104.59333
34,-974.92791,104.51832
35,-961.82564,104.40125
36,-946.04259,104.26127
37,-927.62275,104.09127
38,-906.61746,103.90536
39,-883.08527,103.70853
40,-857.09175,103.49371
41,-828.70937,103.26456
42,-798.01723,103.02867
43,-765.10087,102.74806
44,-730.05203,102.54414
45,-692.96841,102.28957
46,-653.95337,102.00944
47,-613.11563,101.78817
48,-570.56904,101.52479
49,-526.43216,101.28903
50,-480.82803,101.06145
51,-433.88374,100.85466
52,-385.73014,100.67093
53,-336.50144,100.48414
54,-286.33485,100.31397
55,-235.37019,100.19337
56,-183.74952,100.09616
57,-131.61670,100.08412
58,-79.11704,99.95418
59,-26.39687,99.94247
60,26.39687,99.91468
61,79.11704,99.96917
62,131.61670,100.02207
63,183.74952,100.09448
64,235.37019,100.20011
65,286.33485,100.32638
66,336.50144,100.47911
67,385.73014,100.64221
68,433.88374,100.87372
69,480.82803,101.07563
70,526.43216,101.29594
71,570.56904,101.51619
72,613.11563,101.78122
73,653.95337,102.04095
74,692.96841,102.23223
75,730.05203,102.54728
76,765.10087,102.78813
77,798.01723,103.01164
78,828.70937,103.26063
79,857.09175,103.48526
80,883.08527,103.71261
81,906.61746,103.88757
82,927.62275,104.07384
83,946.04259,104.23855
84,961.82564,104.39389
85,974.92791,104.49465
86,985.31288,104.58701
87,992.95161,104.69249
88,997.82280,104.71704
89,999.91288,104.70145
90,999.21603,104.72979
91,995.73418,104.71011
92,989.47704,104.64904
93,980.46205,104.55635
94,968.71433,104.46399
95,954.26664,104.30334
96,937.15923,104.16098
97,917.43980,103.98769
98,895.16329,103.79702
99,870.39180,103.59379
100,843.19438,103.33444
101,813.64682,103.14883
102,781.83148,102.91226
103,747.83704,102.64133
104,711.75824,102.38592
105,673.69564,102.13315
106,633.75534,101.90541
107,592.04864,101.65532
108,548.69180,101.37634
109,503.80565,101.16059
110,457.51531,100.95841
111,409.94979,100.75950
112,361.24167,100.56723
113,311.52670,100.40658
114,260.94345,100.26768
115,209.63290,100.14966
116,157.73807,100.05210
117,105.40360,99.98757
118,52.77535,99.92634
119,-67.39512,73.15239
120,-67.97372,74.25871
121,-73.71432,73.19189
122,-71.19886,74.68842
123,-76.94022,74.18383
124,74.52962,81.97075
125,80.26862,80.77193
126,74.85463,82.04670
127,82.37563,80.35006
128,11.07114,55.39617
129,15.80596,58.93796
130,10.61872,62.02833
131,11.43172,106.58030
132,13.85530,102.39784
133,6.13795,109.52816
134,7.85023,105.36877
135,3.78205,118.34067
136,0.01846,60.39796
137,0.01842,61.19601
138,0.01834,57.86842
139,7.14677,115.53134
140,4.38396,104.35438
141,3.85907,107.31000
142,7.52660,103.63744
143,9.37335,100.48362
144,5.66282,101.43945
145,15.05368,105.53101
146,8.85459,110.24398
147,10.55939,110.02364
148,16.88106,105.67023
149,19.15054,96.57970
150,26.37469,93.48004
151,24.05418,91.41093
152,15.79887,95.29576
153,12.26216,100.67764
154,19.66828,49.09912
155,17.75716,45.55396
156,22.26733,49.00960
157,24.08508,51.69624
158,21.68016,52.73675
159,83.91789,76.43884
160,83.46361,77.23947
161,88.41776,111.48012
162,86.83891,108.56669
163,39.45871,93.95922
164,39.10649,94.26836
165,32.37787,97.87632
166,46.89512,90.92723
167,31.36707,98.01112
168,34.82430,95.29501
169,87.06055,79.39621
170,88.10960,79.24110
171,92.65361,114.62194
172,-0.92612,35.61641
173,0.62902,37.78118
174,-1.67670,38.21626
175,-4.18456,37.56157
176,-3.87334,34.31975
177,42.76919,60.29309
178,42.00000,62.01376
179,47.16473,62.06823
180,46.59169,63.66583
181,37.07400,90.78198
182,35.45579,93.19136
183,27.90517,96.00518
184,-9.29419,92.18377
185,-9.59421,88.44827
186,-4.82092,94.03592
187,-4.55340,90.52254
188,-8.71701,84.75330
189,-3.59233,41.99053
190,-3.77648,35.66184
191,-2.13870,38.84610
192,-6.09775,41.06742
193,10.78182,111.98593
194,12.70472,110.74577
195,9.82748,113.49377
196,2.95212,66.13973
197,4.80834,69.03978
198,2.06154,71.43858
199,6.56434,63.83702
200,2.94686,74.44449
201,0.01784,56.44037
202,4.81412,114.43760
203,4.09897,113.82619
204,6.14558,111.33696
