,H,Mu
0,73.29265,1.99547
1,74.01335,1.99552
2,74.42901,1.99554
3,81.18523,1.99591
4,81.36286,1.99592
5,58.89059,1.99437
6,106.25911,1.99687
7,104.52069,1.99682
8,120.03727,1.99723
9,117.61474,1.99717
10,104.76567,1.99683
11,102.30211,1.99675
12,108.02807,1.99692
13,108.22525,1.99693
14,95.35227,1.99652
15,99.01209,1.99664
16,47.68782,1.99306
17,50.39682,1.99343
18,76.24744,1.99565
19,76.48308,1.99566
20,96.62376,1.99656
21,92.30778,1.99640
22,96.45674,1.99656
23,79.91825,1.99585
24,78.58944,1.99578
25,37.81053,1.99126
26,35.59001,1.99072
27,61.80068,1.99464
28,62.32783,1.99468
29,94.18643,1.99647
30,102.58384,1.99676
31,97.57959,1.99660
32,92.21031,1.99640
33,89.49275,1.99629
34,89.14343,1.99627
35,38.40323,1.99139
36,40.36699,1.99181
37,113.26848,1.99707
38,112.26829,1.99704
39,69.81492,1.99525
40,64.99282,1.99490
41,70.06178,1.99526
42,116.77474,1.99715
43,112.59452,1.99705
44,11.94163,1.97284
45,15.91953,1.97949
46,70.76087,1.99531
47,73.77285,1.99550
48,76.81699,1.99568
49,74.79640,1.99556
50,72.82141,1.99544
51,72.83634,1.99544
52,51.50378,1.99357
53,48.58246,1.99319
54,79.20806,1.99581
55,75.44860,1.99560
56,73.84068,1.99551
57,72.83934,1.99544
58,83.32484,1.99602
59,81.63307,1.99593
60,82.39660,1.99597
61,81.53430,1.99593
62,80.30416,1.99587
63,73.06749,1.99546
64,67.98598,1.99512
65,68.74122,1.99517
66,35.86558,1.99079
67,31.77952,1.98962
68,87.77793,1.99622
69,90.51280,1.99633
70,43.09741,1.99232
71,41.14888,1.99196
72,64.35293,1.99485
73,62.50498,1.99470
74,55.98849,1.99408
75,55.71759,1.99405
76,47.17383,1.99298
77,41.96078,1.99212
78,46.38097,1.99286
79,43.88995,1.99246
80,86.90995,1.99618
81,99.51942,1.99666
82,97.76133,1.99660
83,79.11968,1.99580
84,32.19617,1.98975
85,111.14937,1.99701
86,116.65938,1.99715
87,115.08307,1.99711
88,101.31606,1.99672
89,98.79092,1.99664
90,99.76286,1.99667
91,79.03125,1.99580
92,78.61386,1.99578
93,81.98185,1.99595
94,115.56900,1.99712
95,108.89318,1.99695
96,107.41308,1.99691
97,113.36084,1.99707
98,91.68261,1.99638
99,94.37779,1.99648
100,11.28989,1.97132
101,10.02038,1.96781
102,116.96506,1.99716
103,114.13836,1.99709
104,114.88759,1.99711
105,110.63101,1.99700
106,108.84840,1.99695
107,98.40240,1.99662
108,93.15182,1.99643
109,107.07928,1.99690
110,112.24536,1.99704
111,71.60908,1.99537
112,72.80140,1.99544
113,109.47750,1.99696
114,106.71674,1.99689
115,103.08578,1.99678
116,107.62637,1.99691
117,98.28481,1.99662
118,103.34849,1.99679
119,88.73833,1.99626
120,91.85099,1.99638
121,62.94950,1.99473
122,63.88049,1.99481
123,74.58648,1.99555
124,74.37873,1.99554
125,82.47965,1.99597
126,84.30555,1.99606
127,29.75539,1.98892
128,32.28237,1.98978
129,81.30168,1.99592
130,77.02693,1.99569
131,56.16936,1.99410
132,56.69120,1.99415
133,83.44533,1.99602
134,82.89754,1.99600
135,50.76486,1.99348
136,51.56412,1.99358
137,85.91034,1.99613
138,83.85280,1.99604
139,60.86954,1.99455
140,62.27086,1.99468
141,45.85489,1.99278
142,42.95210,1.99230
143,65.35792,1.99493
144,65.92419,1.99497
145,43.98640,1.99248
146,41.67111,1.99206
147,67.45967,1.99508
148,69.08425,1.99520
149,71.58984,1.99537
150,71.49357,1.99536
151,70.56977,1.99530
152,60.33370,1.99451
153,57.83214,1.99427
154,57.10749,1.99420
155,52.03341,1.99363
156,55.34063,1.99401
157,53.66676,1.99383
158,53.99558,1.99386
159,53.93536,1.99386
160,42.36715,1.99219
161,39.78115,1.99169
162,55.47888,1.99403
163,55.33942,1.99401
164,31.83025,1.98964
165,82.61299,1.99598
166,82.44795,1.99597
167,62.11812,1.99466
168,64.05726,1.99482
169,72.90023,1.99545
170,72.40564,1.99542
171,88.67185,1.99625
172,89.32297,1.99628
173,76.64636,1.99567
174,76.75290,1.99568
175,62.15388,1.99467
176,60.92183,1.99456
177,87.56694,1.99621
178,88.39672,1.99624
179,69.83522,1.99525
180,69.76353,1.99524
181,93.42410,1.99644
182,92.74912,1.99642
183,65.38146,1.99493
184,69.74300,1.99524
185,42.91130,1.99229
186,26.47558,1.98757
187,49.47129,1.99331
188,45.30769,1.99270
189,88.27481,1.99624
190,86.36583,1.99616
191,28.46026,1.98842
192,99.88298,1.99667
193,103.09722,1.99678
194,101.60716,1.99673
195,101.19829,1.99672
196,105.32062,1.99685
197,106.10585,1.99687
198,89.86470,1.99630
199,84.47619,1.99607
200,87.06839,1.99619
201,27.48354,1.98802
202,93.86668,1.99646
203,59.14477,1.99440
204,98.22709,1.99662
205,98.37900,1.99662
206,67.87106,1.99511
207,68.29267,1.99514
208,6.28263,1.94962
209,8.50947,1.96230
210,115.31867,1.99712
211,115.49345,1.99712
212,34.99870,1.99057
213,34.63671,1.99047
214,94.80590,1.99650
215,98.12506,1.99661
216,51.27601,1.99354
217,52.70103,1.99371
218,74.89999,1.99557
219,81.37593,1.99592
220,97.89035,1.99661
221,99.03525,1.99665
222,109.81933,1.99697
223,6.61734,1.95204
224,13.16526,1.97531
225,72.05176,1.99540
226,29.08004,1.98867
227,66.76599,1.99503
228,107.61756,1.99691
229,103.89557,1.99680
230,33.48433,1.99014
231,36.62053,1.99098
232,104.26164,1.99681
233,109.21710,1.99696
234,82.81344,1.99599
235,121.24634,1.99726
236,114.62356,1.99710
237,119.66135,1.99722
238,24.50988,1.98658
239,27.80008,1.98815
240,30.45706,1.98917
241,36.64632,1.99099
242,66.55158,1.99502
243,67.96476,1.99512
244,64.84261,1.99489
245,4.86858,1.93592
246,6.42815,1.95070
247,106.74843,1.99689
248,112.51053,1.99705
249,71.11114,1.99533
250,71.35108,1.99535
251,59.89384,1.99447
252,59.79658,1.99446
253,109.84103,1.99697
254,110.38114,1.99699
255,117.45812,1.99717
256,117.45541,1.99717
257,117.24498,1.99717
258,115.04580,1.99711
259,103.22201,1.99678
260,106.08015,1.99687
261,93.74020,1.99646
262,97.94785,1.99661
263,75.43988,1.99560
264,77.13055,1.99570
265,103.70641,1.99680
266,102.10003,1.99675
267,47.56017,1.99304
268,51.82961,1.99361
269,28.92885,1.98861
270,23.70638,1.98613
271,104.52284,1.99682
272,99.29494,1.99665
273,77.58079,1.99572
274,78.52569,1.99577
275,56.44677,1.99413
276,54.25416,1.99389
277,67.31585,1.99507
278,65.56257,1.99494
279,40.44907,1.99183
280,40.61834,1.99186
281,65.79061,1.99496
282,64.38352,1.99485
283,80.31497,1.99587
284,73.34624,1.99548
285,74.77897,1.99556
286,79.62456,1.99583
287,79.89889,1.99585
288,72.69407,1.99544
289,70.02355,1.99526
290,37.61891,1.99122
291,34.60725,1.99046
292,72.08380,1.99540
293,71.20349,1.99534
294,79.82356,1.99584
295,78.70591,1.99578
296,63.21122,1.99475
297,46.42554,1.99287
298,46.27473,1.99285
299,81.96407,1.99595
300,80.26153,1.99586
301,74.86163,1.99557
302,73.26508,1.99547
303,90.33760,1.99632
304,87.52449,1.99621
305,42.36325,1.99219
306,79.30712,1.99581
307,78.64978,1.99578
308,45.46680,1.99272
309,46.38671,1.99287
310,72.51715,1.99542
311,75.27681,1.99559
312,84.60810,1.99608
313,32.81305,1.98994
314,36.75955,1.99101
315,66.82802,1.99504
316,68.25518,1.99514
317,70.21085,1.99527
318,85.06792,1.99610
319,83.68565,1.99603
320,85.00646,1.99609
321,86.75163,1.99617
322,77.46331,1.99572
323,78.43165,1.99577
324,92.88430,1.99642
325,94.53303,1.99649
326,70.19772,1.99527
327,71.02985,1.99533
328,36.84246,1.99103
329,34.22157,1.99035
330,92.73860,1.99642
331,91.19346,1.99636
332,78.74264,1.99578
333,79.94307,1.99585
334,82.39678,1.99597
335,80.84728,1.99589
336,68.58948,1.99516
337,69.95082,1.99526
338,99.61690,1.99667
339,94.96264,1.99650
340,52.63774,1.99371
341,57.12072,1.99420
342,87.64799,1.99621
343,90.46676,1.99633
344,80.63156,1.99588
345,79.35394,1.99582
346,93.27136,1.99644
347,90.01801,1.99631
348,53.89652,1.99385
349,52.91318,1.99374
350,58.62781,1.99435
351,60.17817,1.99449
352,58.68411,1.99435
353,59.68174,1.99445
354,67.60945,1.99509
355,67.75980,1.99510
356,46.61775,1.99290
357,49.27756,1.99328
358,76.01551,1.99563
359,79.29613,1.99581
360,78.56901,1.99578
361,81.29575,1.99592
362,51.63604,1.99359
363,54.77589,1.99395
364,116.72995,1.99715
365,114.41473,1.99710
366,110.27066,1.99699
367,108.29719,1.99693
368,105.48904,1.99685
369,108.33628,1.99693
370,110.21474,1.99698
371,115.67127,1.99713
372,45.24993,1.99269
373,48.63408,1.99319
374,84.59468,1.99608
375,73.73878,1.99550
376,73.09742,1.99546
377,53.78735,1.99384
378,52.97883,1.99375
379,91.41445,1.99637
380,88.88486,1.99626
381,119.35190,1.99721
382,117.91670,1.99718
383,63.44176,1.99477
384,114.11342,1.99709
385,113.56498,1.99707
386,17.76111,1.98158
387,18.04777,1.98187
388,59.49377,1.99443
389,54.81079,1.99396
390,4.56739,1.93198
391,80.59688,1.99588
392,84.32160,1.99606
393,98.08426,1.99661
394,100.27169,1.99669
395,118.56046,1.99720
396,113.34678,1.99707
397,24.24964,1.98644
398,29.42963,1.98880
399,42.79788,1.99227
400,42.40800,1.99220
401,68.85188,1.99518
402,72.38891,1.99542
403,12.22558,1.97346
404,12.33933,1.97370
405,30.47003,1.98918
406,26.33866,1.98750
407,114.75434,1.99710
408,111.94465,1.99703
409,24.14376,1.98638
410,16.50873,1.98021
411,108.09266,1.99693
412,111.77867,1.99703
413,119.13475,1.99721
414,9.02384,1.96438
415,36.91963,1.99105
416,38.93952,1.99151
417,72.24668,1.99541
418,76.17515,1.99564
419,56.95214,1.99418
420,56.84191,1.99417
421,118.83530,1.99720
422,114.41086,1.99709
423,83.70102,1.99603
424,83.54906,1.99603
425,9.74314,1.96692
426,15.70936,1.97922
427,120.07520,1.99723
428,86.39078,1.99616
429,86.06425,1.99614
430,46.59256,1.99290
431,48.11605,1.99312
432,57.48142,1.99423
433,56.70251,1.99416
434,65.60049,1.99494
435,60.08938,1.99448
436,75.21973,1.99559
437,72.61203,1.99543
438,67.19966,1.99506
439,105.95360,1.99686
440,110.45986,1.99699
441,95.51536,1.99652
442,27.53040,1.98804
443,33.49534,1.99015
444,94.49992,1.99649
445,88.67621,1.99626
446,48.27881,1.99314
447,48.38421,1.99316
448,112.84509,1.99705
449,111.25164,1.99701
450,89.67577,1.99630
451,89.02912,1.99627
452,92.68139,1.99642
453,45.32605,1.99270
454,36.45580,1.99094
455,112.29741,1.99704
456,7.96016,1.95981
457,0.47412,1.58718
458,101.62488,1.99673
459,99.82462,1.99667
460,23.68851,1.98612
461,21.55550,1.98477
462,116.53941,1.99715
463,118.84484,1.99720
464,52.41614,1.99368
465,44.99954,1.99265
466,109.25797,1.99696
467,113.65600,1.99708
468,83.96599,1.99605
469,85.96311,1.99614
470,113.23056,1.99706
471,109.36225,1.99696
472,102.78375,1.99677
473,99.31248,1.99665
474,79.95787,1.99585
475,84.47787,1.99607
476,100.95212,1.99671
477,114.14376,1.99709
478,106.81498,1.99689
479,114.06267,1.99709
480,112.21338,1.99704
481,75.76747,1.99562
482,76.08268,1.99564
483,114.41023,1.99709
484,109.35076,1.99696
485,99.46617,1.99666
486,96.70343,1.99656
487,29.62852,1.98887
488,33.05182,1.99002
489,103.83923,1.99680
490,104.36841,1.99682
491,106.47244,1.99688
492,113.08793,1.99706
493,111.54517,1.99702
494,113.45435,1.99707
495,35.09652,1.99059
496,35.11753,1.99060
497,95.90987,1.99654
498,101.17759,1.99672
499,43.79959,1.99245
500,48.31778,1.99315
501,86.28595,1.99615
502,88.64310,1.99625
503,84.41943,1.99607
504,41.50513,1.99203
505,36.64223,1.99099
506,67.02275,1.99505
507,70.26284,1.99528
508,62.61450,1.99470
509,48.35937,1.99315
510,44.40453,1.99255
511,64.94185,1.99489
512,59.58012,1.99444
513,112.93481,1.99706
