,H,Mu
0,0.54890,1.62217
1,0.56288,1.62806
2,1.63706,1.83083
3,1.57317,1.82516
4,1.61786,1.82916
5,0.42749,1.56188
6,0.48452,1.59243
7,0.20339,1.37894
8,0.34469,1.50837
9,0.45296,1.57607
10,0.55783,1.62596
11,0.71867,1.68314
12,0.73282,1.68735
13,0.66519,1.66617
14,0.67429,1.66919
15,0.92862,1.73586
16,0.90903,1.73169
17,0.55752,1.62583
18,0.56371,1.62841
19,0.55248,1.62370
20,0.89651,1.72896
21,0.95404,1.74107
22,0.50475,1.60227
23,0.50669,1.60319
24,0.42594,1.56098
25,0.71866,1.68314
26,0.40672,1.54958
27,0.36259,1.52102
28,0.44776,1.57325
29,0.34201,1.50642
30,0.42603,1.56103
31,1.50583,1.81876
32,0.58619,1.63749
33,0.59811,1.64213
34,0.70036,1.67753
35,0.70532,1.67907
36,0.72867,1.68613
37,0.69883,1.67705
38,0.52916,1.61353
39,0.53601,1.61657
40,1.01106,1.75206
41,1.02347,1.75432
42,0.98476,1.74711
43,0.64217,1.65830
44,0.61641,1.64903
45,0.63242,1.65485
46,0.54393,1.62003
47,0.55024,1.62274
48,0.52885,1.61338
49,0.73948,1.68929
50,0.71835,1.68305
51,0.71394,1.68171
52,1.28658,1.79423
53,1.27117,1.79225
54,1.18527,1.78050
55,0.71270,1.68134
56,0.71214,1.68116
57,0.72740,1.68575
58,0.71290,1.68140
59,0.47521,1.58773
60,0.50850,1.60404
61,0.19708,1.37156
62,0.22798,1.40615
63,0.30026,1.47390
64,1.01954,1.75361
65,1.24050,1.78820
66,1.24901,1.78934
67,0.24981,1.42839
68,0.37269,1.52787
69,0.76981,1.69783
70,0.32270,1.49190
71,0.30303,1.47619
72,0.49363,1.59692
73,0.52002,1.60938
74,0.50758,1.60361
75,0.95194,1.74065
76,0.98780,1.74769
77,0.94244,1.73872
78,0.92640,1.73539
79,0.55263,1.62376
80,0.55882,1.62637
81,0.58832,1.63833
82,0.60242,1.64378
83,0.87115,1.72326
84,0.86946,1.72287
85,0.56469,1.62882
86,0.55203,1.62351
87,0.44013,1.56904
88,0.45758,1.57855
89,0.96680,1.74362
90,0.94986,1.74023
91,0.53489,1.61608
92,0.52218,1.61037
93,0.65028,1.66111
94,0.66384,1.66572
95,0.63564,1.65599
96,0.66851,1.66728
97,1.00931,1.75173
98,1.05797,1.76042
99,0.53713,1.61706
100,0.52442,1.61139
101,1.35392,1.80244
102,1.37416,1.80478
103,0.54748,1.62156
104,0.56716,1.62983
105,0.57613,1.63348
106,0.57563,1.63328
107,0.84939,1.71816
108,0.90316,1.73042
109,0.57005,1.63102
110,1.02276,1.75420
111,1.01631,1.75302
112,1.02041,1.75377
113,0.72961,1.68641
114,0.75356,1.69331
115,0.74678,1.69139
116,0.97825,1.74585
117,0.92825,1.73578
118,0.91694,1.73339
119,0.82523,1.71229
120,0.83183,1.71392
121,0.72631,1.68543
122,0.71876,1.68317
123,0.99716,1.74947
124,0.96571,1.74340
125,1.17864,1.77954
126,1.20878,1.78385
127,0.49688,1.59850
128,0.52253,1.61053
129,0.99483,1.74903
130,0.99179,1.74845
131,0.82899,1.71322
132,0.79942,1.70573
133,0.43125,1.56403
134,0.40747,1.55004
135,0.85630,1.71980
136,0.80257,1.70655
137,0.48642,1.59337
138,0.48981,1.59505
139,0.90363,1.73052
140,0.97784,1.74578
141,1.46230,1.81436
142,1.44420,1.81247
143,0.57329,1.63234
144,0.79254,1.70393
145,0.70183,1.67799
146,0.58461,1.63687
147,0.57155,1.63163
148,0.68721,1.67338
149,0.88176,1.72567
150,0.80156,1.70629
151,0.34838,1.51104
152,0.36655,1.52373
153,0.63989,1.65749
154,1.37450,1.80482
155,1.47486,1.81565
156,0.21507,1.39218
157,1.79261,1.84321
158,1.68352,1.83473
159,0.13755,1.29211
160,0.29444,1.46902
161,0.15798,1.32154
162,0.44281,1.57052
