,W,Psi,T
0,22.2236997,0.0019688,0.0001434
1,21.3678038,0.0019123,0.0001410
2,20.6308659,0.0018908,0.0001402
3,19.9717001,0.0018740,0.0001397
4,19.3631036,0.0018611,0.0001393
5,18.7923659,0.0018505,0.0001390
6,18.2511834,0.0018420,0.0001387
7,17.7345060,0.0018354,0.0001384
8,17.2388436,0.0018304,0.0001381
9,16.7617916,0.0018270,0.0001378
10,16.3016191,0.0018251,0.0001376
11,15.8570710,0.0018246,0.0001373
12,15.4272230,0.0018255,0.0001371
13,15.0113905,0.0018277,0.0001369
14,14.6090634,0.0018312,0.0001367
15,14.2198602,0.0018359,0.0001365
16,13.8434935,0.0018418,0.0001363
17,13.4797451,0.0018488,0.0001361
18,13.1284460,0.0018570,0.0001359
19,12.7894614,0.0018662,0.0001357
20,12.4626784,0.0018765,0.0001355
21,12.1479964,0.0018878,0.0001353
22,11.8453186,0.0019000,0.0001351
23,11.5545459,0.0019133,0.0001349
24,11.2755709,0.0019274,0.0001348
25,11.0082736,0.0019424,0.0001346
26,10.7525176,0.0019583,0.0001344
27,10.5081470,0.0019750,0.0001343
28,10.2749840,0.0019925,0.0001341
29,10.0528274,0.0020108,0.0001339
30,9.8414514,0.0020298,0.0001338
31,9.6406052,0.0020495,0.0001336
32,9.4500133,0.0020699,0.0001335
33,9.2693757,0.0020910,0.0001333
34,9.0983698,0.0021126,0.0001332
35,8.9366514,0.0021349,0.0001330
36,8.7838573,0.0021578,0.0001329
37,8.6396076,0.0021812,0.0001328
38,8.5035085,0.0022052,0.0001326
39,8.3751552,0.0022296,0.0001325
40,8.2541353,0.0022546,0.0001323
41,8.1400317,0.0022800,0.0001322
42,8.0324258,0.0023059,0.0001321
43,7.9309007,0.0023322,0.0001319
44,7.8350443,0.0023589,0.0001318
45,7.7444516,0.0023860,0.0001317
46,7.6587275,0.0024135,0.0001316
47,7.5774890,0.0024413,0.0001314
48,7.5003669,0.0024695,0.0001313
49,7.4270075,0.0024980,0.0001312
50,7.3570741,0.0025268,0.0001311
51,7.2902476,0.0025560,0.0001309
52,7.2262274,0.0025854,0.0001308
53,7.1647318,0.0026150,0.0001307
54,7.1054980,0.0026450,0.0001306
55,7.0482824,0.0026752,0.0001305
56,6.9928598,0.0027056,0.0001303
57,6.9390236,0.0027363,0.0001302
58,6.8865849,0.0027671,0.0001301
59,6.8353716,0.0027982,0.0001300
60,6.7852282,0.0028295,0.0001299
61,6.7360145,0.0028609,0.0001298
62,6.6876052,0.0028925,0.0001297
63,6.6398883,0.0029243,0.0001295
64,6.5927649,0.0029563,0.0001294
65,6.5461481,0.0029883,0.0001293
66,6.4999616,0.0030206,0.0001292
67,6.4541396,0.0030529,0.0001291
68,6.4086254,0.0030854,0.0001290
69,6.3633708,0.0031180,0.0001289
70,6.3183354,0.0031507,0.0001288
71,6.2734855,0.0031835,0.0001287
72,6.2287940,0.0032164,0.0001286
73,6.1842390,0.0032494,0.0001285
74,6.1398040,0.0032825,0.0001284
75,6.0954765,0.0033156,0.0001283
76,6.0512484,0.0033488,0.0001282
77,6.0071147,0.0033821,0.0001281
78,5.9630734,0.0034154,0.0001280
79,5.9191253,0.0034488,0.0001279
80,5.8752731,0.0034822,0.0001278
81,5.8315217,0.0035157,0.0001277
82,5.7878773,0.0035492,0.0001276
83,5.7443478,0.0035827,0.0001275
84,5.7009416,0.0036162,0.0001274
85,5.6576685,0.0036498,0.0001273
86,5.6145386,0.0036834,0.0001272
87,5.5715627,0.0037170,0.0001271
88,5.5287517,0.0037506,0.0001270
89,5.4861169,0.0037842,0.0001269
90,5.4436695,0.0038177,0.0001268
91,5.4014208,0.0038513,0.0001268
92,5.3593818,0.0038849,0.0001267
93,5.3175637,0.0039184,0.0001266
94,5.2759769,0.0039519,0.0001265
95,5.2346319,0.0039854,0.0001264
96,5.1935386,0.0040188,0.0001263
97,5.1527067,0.0040522,0.0001262
98,5.1121453,0.0040856,0.0001261
99,5.0718631,0.0041189,0.0001260
100,5.0318684,0.0041521,0.0001259
101,4.9921689,0.0041853,0.0001259
102,4.9527720,0.0042185,0.0001258
103,4.9136843,0.0042515,0.0001257
104,4.8749122,0.0042845,0.0001256
105,4.8364615,0.0043174,0.0001255
106,4.7983375,0.0043503,0.0001254
107,4.7605451,0.0043831,0.0001253
108,4.7230885,0.0044157,0.0001253
109,4.6859717,0.0044483,0.0001252
110,4.6491982,0.0044808,0.0001251
111,4.6127710,0.0045132,0.0001250
112,4.5766926,0.0045455,0.0001249
113,4.5409654,0.0045777,0.0001249
114,4.5055911,0.0046097,0.0001248
115,4.4705711,0.0046417,0.0001247
116,4.4359066,0.0046735,0.0001246
117,4.4015983,0.0047052,0.0001245
118,4.3676466,0.0047368,0.0001244
119,4.3340516,0.0047682,0.0001244
120,4.3008132,0.0047995,0.0001243
121,4.2679308,0.0048307,0.0001242
122,4.2354039,0.0048617,0.0001241
123,4.2032313,0.0048926,0.0001241
124,4.1714119,0.0049233,0.0001240
125,4.1399442,0.0049539,0.0001239
126,4.1088267,0.0049843,0.0001238
127,4.0780575,0.0050145,0.0001237
128,4.0476347,0.0050446,0.0001237
129,4.0175560,0.0050745,0.0001236
130,3.9878191,0.0051042,0.0001235
131,3.9584217,0.0051337,0.0001234
132,3.9293610,0.0051631,0.0001234
133,3.9006344,0.0051923,0.0001233
134,3.8722391,0.0052212,0.0001232
135,3.8441721,0.0052500,0.0001231
136,3.8164305,0.0052786,0.0001231
137,3.7890111,0.0053070,0.0001230
138,3.7619107,0.0053352,0.0001229
139,3.7351262,0.0053631,0.0001228
140,3.7086542,0.0053909,0.0001228
141,3.6824913,0.0054184,0.0001227
142,3.6566343,0.0054457,0.0001226
143,3.6310796,0.0054728,0.0001226
144,3.6058238,0.0054997,0.0001225
145,3.5808634,0.0055263,0.0001224
146,3.5561949,0.0055527,0.0001223
147,3.5318148,0.0055788,0.0001223
148,3.5077195,0.0056048,0.0001222
149,3.4839055,0.0056304,0.0001221
150,3.4603693,0.0056559,0.0001221
151,3.4371072,0.0056810,0.0001220
152,3.4141158,0.0057060,0.0001219
153,3.3913915,0.0057306,0.0001219
154,3.3689308,0.0057550,0.0001218
155,3.3467302,0.0057792,0.0001217
156,3.3247862,0.0058030,0.0001217
157,3.3030953,0.0058267,0.0001216
158,3.2816541,0.0058500,0.0001215
159,3.2604591,0.0058731,0.0001215
160,3.2395069,0.0058959,0.0001214
161,3.2187943,0.0059184,0.0001213
162,3.1983177,0.0059406,0.0001213
163,3.1780739,0.0059626,0.0001212
164,3.1580597,0.0059842,0.0001211
165,3.1382717,0.0060056,0.0001211
166,3.1187068,0.0060267,0.0001210
167,3.0993617,0.0060475,0.0001209
168,3.0802334,0.0060680,0.0001209
