,W,Psi,T
0,22.2222288,0.0389477,0.0283553
1,20.6405095,0.0202056,0.0167431
2,19.0925421,0.0145118,0.0124833
3,17.3044153,0.0116627,0.0100658
4,15.5326999,0.0098728,0.0084818
5,13.6981745,0.0086358,0.0073550
6,11.9045487,0.0077230,0.0065087
7,10.1855071,0.0070211,0.0058477
8,8.6552610,0.0064639,0.0053160
9,7.4780826,0.0060107,0.0048784
10,6.8936832,0.0056348,0.0045116
11,7.0974344,0.0053177,0.0041994
12,8.0639901,0.0050465,0.0039304
13,9.5870274,0.0048117,0.0036959
14,11.4557840,0.0046063,0.0034896
15,13.5254179,0.0044249,0.0033068
16,15.7029664,0.0042635,0.0031434
17,17.9246125,0.0041187,0.0029965
18,20.1410966,0.0039880,0.0028637
19,22.3104479,0.0038693,0.0027429
20,24.3947763,0.0037609,0.0026327
21,26.3594154,0.0036615,0.0025315
22,28.1733160,0.0035698,0.0024384
23,29.8100598,0.0034851,0.0023523
24,31.2490045,0.0034064,0.0022725
25,32.4762075,0.0033330,0.0021983
26,33.4848814,0.0032645,0.0021290
27,34.2752755,0.0032002,0.0020643
28,34.8540032,0.0031398,0.0020036
29,35.2329433,0.0030829,0.0019466
30,35.4278993,0.0030292,0.0018929
31,35.4572037,0.0029783,0.0018423
32,35.3404262,0.0029301,0.0017945
33,35.0972873,0.0028843,0.0017492
34,34.7468245,0.0028407,0.0017063
35,34.3068142,0.0027992,0.0016655
36,33.7934213,0.0027596,0.0016268
37,33.2210330,0.0027217,0.0015899
38,32.6022310,0.0026854,0.0015547
39,31.9478587,0.0026507,0.0015212
40,31.2671479,0.0026174,0.0014891
41,30.5678767,0.0025854,0.0014585
42,29.8565399,0.0025547,0.0014291
43,29.1385177,0.0025251,0.0014010
44,28.4182352,0.0024967,0.0013740
45,27.6993073,0.0024693,0.0013481
46,26.9846682,0.0024428,0.0013232
47,26.2766842,0.0024173,0.0012993
48,25.5772507,0.0023927,0.0012762
49,24.8878755,0.0023689,0.0012541
50,24.2097487,0.0023459,0.0012327
51,23.5438017,0.0023236,0.0012121
52,22.8907565,0.0023021,0.0011922
53,22.2511668,0.0022813,0.0011730
54,21.6254518,0.0022611,0.0011544
55,21.0139247,0.0022415,0.0011365
56,20.4168160,0.0022226,0.0011191
57,19.8342923,0.0022042,0.0011023
58,19.2664723,0.0021864,0.0010861
59,18.7134400,0.0021691,0.0010703
60,18.1752544,0.0021523,0.0010550
61,17.6519589,0.0021360,0.0010402
62,17.1435875,0.0021202,0.0010259
63,16.6501703,0.0021048,0.0010119
64,16.1717380,0.0020899,0.0009984
65,15.7083244,0.0020754,0.0009852
66,15.2599692,0.0020613,0.0009725
67,14.8267186,0.0020476,0.0009600
68,14.4086265,0.0020343,0.0009479
69,14.0057538,0.0020213,0.0009362
70,13.6181677,0.0020088,0.0009247
71,13.2459401,0.0019965,0.0009136
72,12.8891456,0.0019846,0.0009027
73,12.5478581,0.0019731,0.0008922
74,12.2221481,0.0019618,0.0008819
75,11.9120783,0.0019509,0.0008718
76,11.6176990,0.0019402,0.0008620
77,11.3390436,0.0019299,0.0008525
78,11.0761230,0.0019198,0.0008431
79,10.8289200,0.0019100,0.0008340
80,10.5973842,0.0019005,0.0008251
81,10.3814262,0.0018913,0.0008165
82,10.1809124,0.0018823,0.0008080
83,9.9956608,0.0018735,0.0007997
84,9.8254364,0.0018650,0.0007916
85,9.6699489,0.0018567,0.0007837
86,9.5288506,0.0018487,0.0007759
87,9.4017354,0.0018409,0.0007683
88,9.2881401,0.0018333,0.0007609
89,9.1875461,0.0018259,0.0007537
90,9.0993828,0.0018188,0.0007466
91,9.0230324,0.0018118,0.0007396
92,8.9578352,0.0018050,0.0007328
93,8.9030962,0.0017985,0.0007261
94,8.8580923,0.0017921,0.0007196
95,8.8220795,0.0017859,0.0007132
96,8.7943007,0.0017799,0.0007069
97,8.7739926,0.0017741,0.0007008
98,8.7603936,0.0017685,0.0006947
99,8.7527494,0.0017630,0.0006888
100,8.7503197,0.0017577,0.0006830
101,8.7523833,0.0017526,0.0006773
102,8.7582425,0.0017477,0.0006717
103,8.7672269,0.0017429,0.0006663
104,8.7786966,0.0017382,0.0006609
105,8.7920445,0.0017338,0.0006556
106,8.8066978,0.0017294,0.0006504
107,8.8221195,0.0017253,0.0006453
108,8.8378090,0.0017212,0.0006403
109,8.8533019,0.0017173,0.0006354
110,8.8681705,0.0017136,0.0006305
111,8.8820225,0.0017100,0.0006258
112,8.8945011,0.0017065,0.0006211
113,8.9052834,0.0017032,0.0006165
114,8.9140797,0.0017000,0.0006120
115,8.9206322,0.0016970,0.0006076
116,8.9247136,0.0016940,0.0006032
117,8.9261260,0.0016912,0.0005989
118,8.9246989,0.0016886,0.0005947
119,8.9202887,0.0016860,0.0005905
120,8.9127764,0.0016836,0.0005865
121,8.9020666,0.0016813,0.0005824
122,8.8880863,0.0016791,0.0005785
123,8.8707830,0.0016770,0.0005746
124,8.8501235,0.0016750,0.0005707
125,8.8260930,0.0016732,0.0005670
126,8.7986932,0.0016714,0.0005632
127,8.7679413,0.0016698,0.0005596
128,8.7338688,0.0016683,0.0005560
129,8.6965206,0.0016669,0.0005524
130,8.6559530,0.0016656,0.0005489
131,8.6122337,0.0016644,0.0005455
132,8.5654398,0.0016633,0.0005420
133,8.5156574,0.0016623,0.0005387
134,8.4629804,0.0016614,0.0005354
135,8.4075095,0.0016606,0.0005321
136,8.3493515,0.0016599,0.0005289
137,8.2886182,0.0016593,0.0005257
138,8.2254261,0.0016587,0.0005226
139,8.1598949,0.0016583,0.0005195
140,8.0921474,0.0016580,0.0005165
141,8.0223086,0.0016578,0.0005135
