,W,Psi,T
0,0.18947,0.00000,0.00001
1,0.18621,0.00000,0.00000
2,0.18326,0.00000,0.00000
3,0.18061,0.00001,0.00000
4,0.17825,0.00001,0.00000
5,0.17620,0.00001,0.00000
6,0.17448,0.00001,0.00000
7,0.17309,0.00001,0.00000
8,0.17206,0.00001,0.00000
9,0.17140,0.00002,0.00000
10,0.17114,0.00002,0.00000
11,0.17128,0.00002,0.00000
12,0.17181,0.00002,0.00000
13,0.17275,0.00002,0.00000
14,0.17407,0.00002,0.00000
15,0.17576,0.00002,0.00000
16,0.17780,0.00003,0.00000
17,0.18016,0.00003,0.00000
18,0.18282,0.00003,0.00000
19,0.18573,0.00003,0.00000
20,0.18888,0.00003,0.00000
21,0.19222,0.00003,0.00000
22,0.19572,0.00003,0.00000
23,0.19936,0.00003,0.00000
24,0.20310,0.00004,0.00000
25,0.20691,0.00004,0.00000
26,0.21078,0.00004,0.00000
27,0.21467,0.00004,0.00000
28,0.21856,0.00004,0.00000
29,0.22244,0.00004,0.00000
30,0.22629,0.00004,0.00000
31,0.23009,0.00004,0.00000
32,0.23382,0.00005,0.00000
33,0.23749,0.00005,0.00000
34,0.24107,0.00005,0.00000
35,0.24456,0.00005,0.00000
36,0.24795,0.00005,0.00000
37,0.25124,0.00005,0.00000
38,0.25441,0.00005,0.00000
39,0.25747,0.00005,0.00000
40,0.26042,0.00005,0.00000
41,0.26324,0.00005,0.00000
42,0.26595,0.00006,0.00000
43,0.26853,0.00006,0.00000
44,0.27099,0.00006,0.00000
45,0.27333,0.00006,0.00000
46,0.27555,0.00006,0.00000
47,0.27765,0.00006,0.00000
48,0.27963,0.00006,0.00000
49,0.28150,0.00006,0.00000
50,0.28325,0.00006,0.00001
51,0.28489,0.00006,0.00001
52,0.28642,0.00007,0.00001
53,0.28784,0.00007,0.00001
54,0.28916,0.00007,0.00001
55,0.29037,0.00007,0.00001
56,0.29149,0.00007,0.00001
57,0.29251,0.00007,0.00001
58,0.29344,0.00007,0.00001
59,0.29428,0.00007,0.00001
60,0.29504,0.00007,0.00001
61,0.29571,0.00007,0.00001
62,0.29630,0.00007,0.00001
63,0.29681,0.00008,0.00001
64,0.29725,0.00008,0.00001
65,0.29762,0.00008,0.00001
66,0.29792,0.00008,0.00001
67,0.29815,0.00008,0.00001
68,0.29832,0.00008,0.00001
69,0.29843,0.00008,0.00001
70,0.29849,0.00008,0.00001
71,0.29849,0.00008,0.00001
72,0.29843,0.00008,0.00001
73,0.29833,0.00008,0.00001
74,0.29818,0.00008,0.00001
75,0.29799,0.00009,0.00001
76,0.29775,0.00009,0.00001
77,0.29747,0.00009,0.00001
