,W,Psi,T
0,0.26414,0.00000,0.00001
1,0.25922,0.00000,0.00000
2,0.25474,0.00000,0.00000
3,0.25069,0.00001,0.00000
4,0.24709,0.00001,0.00000
5,0.24396,0.00001,0.00000
6,0.24135,0.00001,0.00000
7,0.23930,0.00001,0.00000
8,0.23784,0.00001,0.00000
9,0.23701,0.00002,0.00000
10,0.23683,0.00002,0.00000
11,0.23730,0.00002,0.00000
12,0.23842,0.00002,0.00000
13,0.24017,0.00002,0.00000
14,0.24252,0.00002,0.00000
15,0.24542,0.00002,0.00000
16,0.24883,0.00003,0.00000
17,0.25268,0.00003,0.00000
18,0.25692,0.00003,0.00000
19,0.26150,0.00003,0.00000
20,0.26635,0.00003,0.00000
21,0.27141,0.00003,0.00000
22,0.27664,0.00003,0.00000
23,0.28198,0.00004,0.00000
24,0.28739,0.00004,0.00000
25,0.29282,0.00004,0.00000
26,0.29824,0.00004,0.00001
27,0.30362,0.00004,0.00001
28,0.30893,0.00004,0.00001
29,0.31413,0.00004,0.00001
30,0.31922,0.00004,0.00001
31,0.32417,0.00004,0.00001
32,0.32897,0.00005,0.00001
33,0.33360,0.00005,0.00001
34,0.33805,0.00005,0.00001
35,0.34232,0.00005,0.00001
36,0.34639,0.00005,0.00001
37,0.35028,0.00005,0.00001
38,0.35396,0.00005,0.00001
39,0.35744,0.00005,0.00001
40,0.36072,0.00005,0.00001
41,0.36381,0.00005,0.00001
42,0.36669,0.00005,0.00001
43,0.36938,0.00006,0.00001
44,0.37187,0.00006,0.00001
45,0.37418,0.00006,0.00001
46,0.37629,0.00006,0.00001
47,0.37823,0.00006,0.00001
48,0.37999,0.00006,0.00001
49,0.38158,0.00006,0.00001
50,0.38300,0.00006,0.00001
51,0.38426,0.00006,0.00001
52,0.38536,0.00006,0.00001
53,0.38632,0.00006,0.00001
54,0.38713,0.00006,0.00001
55,0.38780,0.00007,0.00001
56,0.38834,0.00007,0.00001
57,0.38875,0.00007,0.00002
58,0.38903,0.00007,0.00002
59,0.38921,0.00007,0.00002
60,0.38927,0.00007,0.00002
61,0.38922,0.00007,0.00002
62,0.38907,0.00007,0.00002
63,0.38883,0.00007,0.00002
64,0.38850,0.00007,0.00002
65,0.38808,0.00007,0.00002
66,0.38758,0.00007,0.00002
67,0.38700,0.00007,0.00002
68,0.38636,0.00007,0.00002
69,0.38564,0.00008,0.00002
70,0.38486,0.00008,0.00002
71,0.38402,0.00008,0.00002
72,0.38313,0.00008,0.00002
73,0.38218,0.00008,0.00002
74,0.38118,0.00008,0.00002
75,0.38014,0.00008,0.00002
76,0.37906,0.00008,0.00002
77,0.37794,0.00008,0.00002
78,0.37678,0.00008,0.00002
79,0.37558,0.00008,0.00002
80,0.37436,0.00008,0.00002
81,0.37311,0.00008,0.00002
82,0.37184,0.00008,0.00002
83,0.37054,0.00008,0.00002
84,0.36922,0.00009,0.00002
85,0.36788,0.00009,0.00002
86,0.36652,0.00009,0.00002
87,0.36515,0.00009,0.00003
88,0.36377,0.00009,0.00003
89,0.36237,0.00009,0.00003
90,0.36097,0.00009,0.00003
91,0.35955,0.00009,0.00003
92,0.35813,0.00009,0.00003
93,0.35671,0.00009,0.00003
94,0.35528,0.00009,0.00003
95,0.35384,0.00009,0.00003
96,0.35241,0.00009,0.00003
97,0.35097,0.00009,0.00003
98,0.34954,0.00009,0.00003
99,0.34810,0.00009,0.00003
100,0.34667,0.00009,0.00003
101,0.34523,0.00009,0.00003
102,0.34381,0.00010,0.00003
103,0.34238,0.00010,0.00003
104,0.34096,0.00010,0.00003
105,0.33955,0.00010,0.00003
106,0.33814,0.00010,0.00003
107,0.33674,0.00010,0.00003
108,0.33534,0.00010,0.00003
109,0.33395,0.00010,0.00003
110,0.33257,0.00010,0.00003
111,0.33119,0.00010,0.00003
112,0.32983,0.00010,0.00003
113,0.32847,0.00010,0.00003
114,0.32712,0.00010,0.00003
115,0.32578,0.00010,0.00003
116,0.32445,0.00010,0.00003
117,0.32313,0.00010,0.00003
118,0.32182,0.00010,0.00003
119,0.32051,0.00010,0.00003
120,0.31922,0.00010,0.00003
121,0.31794,0.00010,0.00003
122,0.31666,0.00010,0.00003
123,0.31540,0.00011,0.00004
124,0.31415,0.00011,0.00004
125,0.31290,0.00011,0.00004
126,0.31167,0.00011,0.00004
127,0.31045,0.00011,0.00004
128,0.30923,0.00011,0.00004
129,0.30803,0.00011,0.00004
130,0.30684,0.00011,0.00004
131,0.30565,0.00011,0.00004
132,0.30448,0.00011,0.00004
133,0.30332,0.00011,0.00004
134,0.30216,0.00011,0.00004
135,0.30102,0.00011,0.00004
136,0.29989,0.00011,0.00004
137,0.29876,0.00011,0.00004
138,0.29765,0.00011,0.00004
139,0.29654,0.00011,0.00004
140,0.29545,0.00011,0.00004
141,0.29436,0.00011,0.00004
142,0.29329,0.00011,0.00004
143,0.29222,0.00011,0.00004
144,0.29116,0.00011,0.00004
145,0.29011,0.00011,0.00004
146,0.28907,0.00012,0.00004
147,0.28804,0.00012,0.00004
148,0.28702,0.00012,0.00004
149,0.28601,0.00012,0.00004
150,0.28500,0.00012,0.00004
151,0.28401,0.00012,0.00004
152,0.28302,0.00012,0.00004
153,0.28204,0.00012,0.00004
154,0.28107,0.00012,0.00004
155,0.28011,0.00012,0.00004
156,0.27915,0.00012,0.00004
157,0.27821,0.00012,0.00004
158,0.27727,0.00012,0.00004
159,0.27634,0.00012,0.00004
160,0.27542,0.00012,0.00004
161,0.27450,0.00012,0.00004
162,0.27359,0.00012,0.00004
163,0.27269,0.00012,0.00004
164,0.27180,0.00012,0.00004
165,0.27091,0.00012,0.00004
166,0.27003,0.00012,0.00005
167,0.26916,0.00012,0.00005
168,0.26830,0.00012,0.00005
169,0.26744,0.00012,0.00005
170,0.26659,0.00012,0.00005
171,0.26574,0.00012,0.00005
172,0.26490,0.00012,0.00005
173,0.26407,0.00013,0.00005
174,0.26325,0.00013,0.00005
175,0.26243,0.00013,0.00005
176,0.26161,0.00013,0.00005
177,0.26081,0.00013,0.00005
178,0.26001,0.00013,0.00005
179,0.25921,0.00013,0.00005
180,0.25843,0.00013,0.00005
181,0.25764,0.00013,0.00005
182,0.25687,0.00013,0.00005
183,0.25610,0.00013,0.00005
184,0.25533,0.00013,0.00005
185,0.25457,0.00013,0.00005
186,0.25382,0.00013,0.00005
187,0.25307,0.00013,0.00005
188,0.25233,0.00013,0.00005
189,0.25159,0.00013,0.00005
190,0.25086,0.00013,0.00005
191,0.25013,0.00013,0.00005
192,0.24941,0.00013,0.00005
193,0.24869,0.00013,0.00005
194,0.24798,0.00013,0.00005
195,0.24727,0.00013,0.00005
196,0.24657,0.00013,0.00005
197,0.24587,0.00013,0.00005
198,0.24518,0.00013,0.00005
199,0.24449,0.00013,0.00005
200,0.24381,0.00013,0.00005
201,0.24313,0.00013,0.00005
202,0.24245,0.00013,0.00005
203,0.24178,0.00013,0.00005
204,0.24112,0.00014,0.00005
205,0.24046,0.00014,0.00005
206,0.23980,0.00014,0.00005
207,0.23915,0.00014,0.00005
208,0.23850,0.00014,0.00005
209,0.23786,0.00014,0.00005
210,0.23722,0.00014,0.00005
211,0.23658,0.00014,0.00005
212,0.23595,0.00014,0.00005
213,0.23533,0.00014,0.00005
214,0.23470,0.00014,0.00005
215,0.23408,0.00014,0.00005
216,0.23347,0.00014,0.00005
217,0.23286,0.00014,0.00005
218,0.23225,0.00014,0.00005
219,0.23165,0.00014,0.00005
220,0.23105,0.00014,0.00005
221,0.23045,0.00014,0.00005
222,0.22986,0.00014,0.00006
223,0.22927,0.00014,0.00006
224,0.22868,0.00014,0.00006
225,0.22810,0.00014,0.00006
226,0.22752,0.00014,0.00006
227,0.22695,0.00014,0.00006
228,0.22638,0.00014,0.00006
229,0.22581,0.00014,0.00006
230,0.22524,0.00014,0.00006
231,0.22468,0.00014,0.00006
232,0.22413,0.00014,0.00006
233,0.22357,0.00014,0.00006
234,0.22302,0.00014,0.00006
235,0.22247,0.00014,0.00006
236,0.22193,0.00014,0.00006
237,0.22138,0.00014,0.00006
238,0.22085,0.00014,0.00006
239,0.22031,0.00014,0.00006
240,0.21978,0.00014,0.00006
241,0.21925,0.00015,0.00006
242,0.21872,0.00015,0.00006
243,0.21820,0.00015,0.00006
244,0.21768,0.00015,0.00006
245,0.21716,0.00015,0.00006
246,0.21665,0.00015,0.00006
247,0.21613,0.00015,0.00006
248,0.21562,0.00015,0.00006
249,0.21512,0.00015,0.00006
250,0.21462,0.00015,0.00006
251,0.21411,0.00015,0.00006
252,0.21362,0.00015,0.00006
253,0.21312,0.00015,0.00006
254,0.21263,0.00015,0.00006
255,0.21214,0.00015,0.00006
256,0.21165,0.00015,0.00006
257,0.21117,0.00015,0.00006
258,0.21068,0.00015,0.00006
259,0.21021,0.00015,0.00006
260,0.20973,0.00015,0.00006
261,0.20925,0.00015,0.00006
262,0.20878,0.00015,0.00006
263,0.20831,0.00015,0.00006
264,0.20785,0.00015,0.00006
265,0.20738,0.00015,0.00006
266,0.20692,0.00015,0.00006
267,0.20646,0.00015,0.00006
268,0.20600,0.00015,0.00006
269,0.20555,0.00015,0.00006
270,0.20509,0.00015,0.00006
271,0.20464,0.00015,0.00006
272,0.20419,0.00015,0.00006
273,0.20375,0.00015,0.00006
274,0.20331,0.00015,0.00006
275,0.20286,0.00015,0.00006
276,0.20242,0.00015,0.00006
277,0.20199,0.00015,0.00006
278,0.20155,0.00015,0.00006
279,0.20112,0.00015,0.00006
280,0.20069,0.00015,0.00006
281,0.20026,0.00015,0.00006
282,0.19983,0.00015,0.00006
283,0.19941,0.00015,0.00006
284,0.19899,0.00016,0.00006
285,0.19857,0.00016,0.00006
286,0.19815,0.00016,0.00006
287,0.19773,0.00016,0.00006
288,0.19732,0.00016,0.00006
289,0.19691,0.00016,0.00006
290,0.19650,0.00016,0.00006
291,0.19609,0.00016,0.00006
292,0.19568,0.00016,0.00006
293,0.19528,0.00016,0.00006
294,0.19488,0.00016,0.00006
295,0.19447,0.00016,0.00006
296,0.19408,0.00016,0.00006
297,0.19368,0.00016,0.00006
298,0.19328,0.00016,0.00006
299,0.19289,0.00016,0.00007
300,0.19250,0.00016,0.00007
301,0.19211,0.00016,0.00007
302,0.19172,0.00016,0.00007
303,0.19134,0.00016,0.00007
304,0.19095,0.00016,0.00007
305,0.19057,0.00016,0.00007
306,0.19019,0.00016,0.00007
307,0.18981,0.00016,0.00007
308,0.18943,0.00016,0.00007
309,0.18905,0.00016,0.00007
310,0.18868,0.00016,0.00007
311,0.18831,0.00016,0.00007
312,0.18794,0.00016,0.00007
313,0.18757,0.00016,0.00007
314,0.18720,0.00016,0.00007
315,0.18683,0.00016,0.00007
316,0.18647,0.00016,0.00007
317,0.18611,0.00016,0.00007
318,0.18575,0.00016,0.00007
319,0.18539,0.00016,0.00007
320,0.18503,0.00016,0.00007
321,0.18467,0.00016,0.00007
322,0.18432,0.00016,0.00007
323,0.18396,0.00016,0.00007
324,0.18361,0.00016,0.00007
325,0.18326,0.00016,0.00007
326,0.18291,0.00016,0.00007
327,0.18256,0.00016,0.00007
328,0.18222,0.00016,0.00007
329,0.18187,0.00016,0.00007
330,0.18153,0.00016,0.00007
331,0.18119,0.00016,0.00007
332,0.18085,0.00016,0.00007
333,0.18051,0.00016,0.00007
334,0.18017,0.00016,0.00007
335,0.17983,0.00016,0.00007
336,0.17950,0.00016,0.00007
337,0.17917,0.00016,0.00007
338,0.17883,0.00017,0.00007
339,0.17850,0.00017,0.00007
340,0.17817,0.00017,0.00007
341,0.17784,0.00017,0.00007
342,0.17752,0.00017,0.00007
343,0.17719,0.00017,0.00007
344,0.17687,0.00017,0.00007
345,0.17654,0.00017,0.00007
346,0.17622,0.00017,0.00007
347,0.17590,0.00017,0.00007
348,0.17558,0.00017,0.00007
349,0.17527,0.00017,0.00007
350,0.17495,0.00017,0.00007
351,0.17463,0.00017,0.00007
352,0.17432,0.00017,0.00007
353,0.17401,0.00017,0.00007
354,0.17369,0.00017,0.00007
355,0.17338,0.00017,0.00007
356,0.17307,0.00017,0.00007
357,0.17277,0.00017,0.00007
358,0.17246,0.00017,0.00007
359,0.17215,0.00017,0.00007
360,0.17185,0.00017,0.00007
361,0.17154,0.00017,0.00007
362,0.17124,0.00017,0.00007
363,0.17094,0.00017,0.00007
364,0.17064,0.00017,0.00007
365,0.17034,0.00017,0.00007
366,0.17004,0.00017,0.00007
367,0.16975,0.00017,0.00007
368,0.16945,0.00017,0.00007
369,0.16916,0.00017,0.00007
370,0.16886,0.00017,0.00007
371,0.16857,0.00017,0.00007
372,0.16828,0.00017,0.00007
373,0.16799,0.00017,0.00007
374,0.16770,0.00017,0.00007
375,0.16741,0.00017,0.00007
376,0.16712,0.00017,0.00007
377,0.16684,0.00017,0.00007
378,0.16655,0.00017,0.00007
379,0.16627,0.00017,0.00007
380,0.16598,0.00017,0.00007
381,0.16570,0.00017,0.00007
382,0.16542,0.00017,0.00007
383,0.16514,0.00017,0.00007
384,0.16486,0.00017,0.00007
385,0.16458,0.00017,0.00007
386,0.16431,0.00017,0.00007
387,0.16403,0.00017,0.00007
388,0.16375,0.00017,0.00007
389,0.16348,0.00017,0.00007
390,0.16321,0.00017,0.00007
391,0.16293,0.00017,0.00007
392,0.16266,0.00017,0.00007
393,0.16239,0.00017,0.00007
394,0.16212,0.00017,0.00007
395,0.16185,0.00017,0.00007
396,0.16158,0.00017,0.00007
397,0.16132,0.00017,0.00007
398,0.16105,0.00017,0.00007
399,0.16079,0.00017,0.00007
400,0.16052,0.00017,0.00007
401,0.16026,0.00017,0.00007
402,0.16000,0.00017,0.00007
403,0.15973,0.00017,0.00007
404,0.15947,0.00017,0.00007
405,0.15921,0.00017,0.00007
406,0.15895,0.00017,0.00007
407,0.15870,0.00017,0.00007
408,0.15844,0.00017,0.00007
409,0.15818,0.00017,0.00007
410,0.15793,0.00017,0.00007
411,0.15767,0.00017,0.00008
412,0.15742,0.00017,0.00008
413,0.15716,0.00018,0.00008
414,0.15691,0.00018,0.00008
415,0.15666,0.00018,0.00008
416,0.15641,0.00018,0.00008
417,0.15616,0.00018,0.00008
418,0.15591,0.00018,0.00008
419,0.15566,0.00018,0.00008
420,0.15541,0.00018,0.00008
421,0.15517,0.00018,0.00008
422,0.15492,0.00018,0.00008
423,0.15468,0.00018,0.00008
424,0.15443,0.00018,0.00008
425,0.15419,0.00018,0.00008
426,0.15394,0.00018,0.00008
427,0.15370,0.00018,0.00008
428,0.15346,0.00018,0.00008
429,0.15322,0.00018,0.00008
430,0.15298,0.00018,0.00008
431,0.15274,0.00018,0.00008
432,0.15250,0.00018,0.00008
433,0.15226,0.00018,0.00008
434,0.15203,0.00018,0.00008
435,0.15179,0.00018,0.00008
436,0.15156,0.00018,0.00008
437,0.15132,0.00018,0.00008
438,0.15109,0.00018,0.00008
439,0.15085,0.00018,0.00008
440,0.15062,0.00018,0.00008
441,0.15039,0.00018,0.00008
442,0.15016,0.00018,0.00008
443,0.14993,0.00018,0.00008
444,0.14970,0.00018,0.00008
445,0.14947,0.00018,0.00008
446,0.14924,0.00018,0.00008
447,0.14901,0.00018,0.00008
448,0.14878,0.00018,0.00008
449,0.14856,0.00018,0.00008
450,0.14833,0.00018,0.00008
451,0.14810,0.00018,0.00008
452,0.14788,0.00018,0.00008
453,0.14766,0.00018,0.00008
454,0.14743,0.00018,0.00008
455,0.14721,0.00018,0.00008
456,0.14699,0.00018,0.00008
457,0.14677,0.00018,0.00008
458,0.14654,0.00018,0.00008
459,0.14632,0.00018,0.00008
460,0.14610,0.00018,0.00008
461,0.14589,0.00018,0.00008
462,0.14567,0.00018,0.00008
463,0.14545,0.00018,0.00008
464,0.14523,0.00018,0.00008
465,0.14502,0.00018,0.00008
466,0.14480,0.00018,0.00008
467,0.14458,0.00018,0.00008
468,0.14437,0.00018,0.00008
469,0.14416,0.00018,0.00008
470,0.14394,0.00018,0.00008
471,0.14373,0.00018,0.00008
472,0.14352,0.00018,0.00008
473,0.14331,0.00018,0.00008
474,0.14309,0.00018,0.00008
475,0.14288,0.00018,0.00008
476,0.14267,0.00018,0.00008
477,0.14246,0.00018,0.00008
478,0.14225,0.00018,0.00008
479,0.14205,0.00018,0.00008
480,0.14184,0.00018,0.00008
481,0.14163,0.00018,0.00008
482,0.14142,0.00018,0.00008
483,0.14122,0.00018,0.00008
484,0.14101,0.00018,0.00008
