,W,Psi,T
0,0.19561,0.00000,0.00001
1,0.19133,0.00000,0.00000
2,0.18744,0.00000,0.00000
3,0.18393,0.00001,0.00000
4,0.18080,0.00001,0.00000
5,0.17808,0.00001,0.00000
6,0.17578,0.00001,0.00000
7,0.17395,0.00001,0.00000
8,0.17260,0.00001,0.00000
9,0.17176,0.00002,0.00000
10,0.17144,0.00002,0.00000
11,0.17166,0.00002,0.00000
12,0.17240,0.00002,0.00000
13,0.17365,0.00002,0.00000
14,0.17539,0.00002,0.00000
15,0.17759,0.00002,0.00000
16,0.18019,0.00003,0.00000
17,0.18317,0.00003,0.00000
18,0.18647,0.00003,0.00000
19,0.19005,0.00003,0.00000
20,0.19386,0.00003,0.00000
21,0.19785,0.00003,0.00000
22,0.20198,0.00003,0.00000
23,0.20621,0.00003,0.00000
24,0.21050,0.00004,0.00000
25,0.21482,0.00004,0.00000
26,0.21915,0.00004,0.00001
27,0.22344,0.00004,0.00001
28,0.22769,0.00004,0.00001
29,0.23186,0.00004,0.00001
30,0.23594,0.00004,0.00001
31,0.23992,0.00004,0.00001
32,0.24379,0.00004,0.00001
33,0.24753,0.00004,0.00001
34,0.25113,0.00004,0.00001
35,0.25459,0.00005,0.00001
36,0.25790,0.00005,0.00001
37,0.26105,0.00005,0.00001
38,0.26405,0.00005,0.00001
39,0.26690,0.00005,0.00001
40,0.26959,0.00005,0.00001
41,0.27212,0.00005,0.00001
42,0.27449,0.00005,0.00001
43,0.27671,0.00005,0.00001
44,0.27877,0.00005,0.00001
45,0.28069,0.00005,0.00001
46,0.28245,0.00005,0.00001
47,0.28407,0.00006,0.00001
48,0.28555,0.00006,0.00001
49,0.28689,0.00006,0.00001
50,0.28809,0.00006,0.00001
51,0.28917,0.00006,0.00001
52,0.29011,0.00006,0.00001
53,0.29094,0.00006,0.00001
54,0.29165,0.00006,0.00001
55,0.29225,0.00006,0.00001
56,0.29273,0.00006,0.00002
57,0.29311,0.00006,0.00002
58,0.29340,0.00006,0.00002
59,0.29358,0.00006,0.00002
60,0.29367,0.00006,0.00002
61,0.29368,0.00006,0.00002
62,0.29360,0.00006,0.00002
63,0.29344,0.00006,0.00002
64,0.29321,0.00007,0.00002
65,0.29290,0.00007,0.00002
66,0.29253,0.00007,0.00002
67,0.29209,0.00007,0.00002
68,0.29159,0.00007,0.00002
69,0.29103,0.00007,0.00002
70,0.29042,0.00007,0.00002
71,0.28975,0.00007,0.00002
72,0.28904,0.00007,0.00002
73,0.28828,0.00007,0.00002
74,0.28748,0.00007,0.00002
75,0.28664,0.00007,0.00002
76,0.28576,0.00007,0.00002
77,0.28485,0.00007,0.00002
78,0.28390,0.00007,0.00002
79,0.28293,0.00007,0.00002
80,0.28193,0.00007,0.00002
81,0.28090,0.00007,0.00002
82,0.27985,0.00007,0.00002
83,0.27877,0.00007,0.00002
84,0.27768,0.00007,0.00002
85,0.27657,0.00008,0.00002
86,0.27544,0.00008,0.00002
87,0.27430,0.00008,0.00002
88,0.27315,0.00008,0.00003
