,W,Psi,T
0,-12.38895,0.00000,1.00000
1,223.81048,0.00000,1.00000
2,475.26496,0.00000,1.00000
3,586.19914,0.00000,1.00000
4,711.34792,0.00000,1.00000
5,947.88317,0.00000,1.00000
6,824.72552,0.00000,1.00000
7,987.04997,0.00000,1.00000
8,1204.04622,0.00000,1.00000
9,1139.97866,0.00000,1.00000
10,1105.69773,0.00000,1.00000
11,1201.88515,0.00000,1.00000
12,1197.57788,0.00000,1.00000
13,1224.66796,0.00000,1.00000
14,1476.25708,0.00000,1.00000
15,1458.66323,0.00000,1.00000
16,1390.85978,0.00000,1.00000
17,1744.98145,0.00000,1.00000
18,1698.84660,0.00000,1.00000
19,1536.14234,0.00000,1.00000
20,1619.46068,0.00000,1.00000
21,1633.52872,0.00000,1.00000
22,1792.28948,0.00000,1.00000
23,1735.60766,0.00000,1.00000
24,2010.96770,0.00000,1.00000
25,1911.37827,0.00000,1.00000
26,1840.25538,0.00000,1.00000
27,1783.49264,0.00000,1.00000
28,1815.84441,0.00000,1.00000
29,2101.25619,0.00000,1.00000
30,1946.04044,0.00000,1.00000
31,1695.36222,0.00000,1.00000
32,1755.89333,0.00000,1.00000
33,1894.88527,0.00000,1.00000
34,2004.30362,0.00000,1.00000
35,1835.21949,0.00000,1.00000
36,1741.96803,0.00000,1.00000
37,1790.95179,0.00000,1.00000
38,1635.80879,0.00000,1.00000
39,1706.46283,0.00000,1.00000
40,1585.97605,0.00000,1.00000
41,1710.51497,0.00000,1.00000
42,1445.57631,0.00000,1.00000
43,1376.90060,0.00000,1.00000
44,1481.91224,0.00000,1.00000
45,1261.56422,0.00000,1.00000
46,1229.52016,0.00000,1.00000
47,1144.13674,0.00000,1.00000
48,1119.32854,0.00000,1.00000
49,934.66652,0.00000,1.00000
50,846.30871,0.00000,1.00000
51,875.92091,0.00000,1.00000
52,768.26902,0.00000,1.00000
53,658.39006,0.00000,1.00000
54,525.63341,0.00000,1.00000
55,409.49774,0.00000,1.00000
56,335.77239,0.00000,1.00000
57,242.10988,0.00000,1.00000
58,163.02693,0.00000,1.00000
59,55.62686,0.00000,1.00000
60,-49.04659,0.00000,1.00000
61,-157.73441,0.00000,1.00000
62,-252.83186,0.00000,1.00000
63,-310.73309,0.00000,1.00000
64,-458.37936,0.00000,1.00000
65,-522.78318,0.00000,1.00000
66,-687.77847,0.00000,1.00000
67,-683.78744,0.00000,1.00000
68,-861.69687,0.00000,1.00000
69,-931.28236,0.00000,1.00000
70,-1044.12425,0.00000,1.00000
71,-1045.15800,0.00000,1.00000
72,-1068.17039,0.00000,1.00000
73,-1171.56751,0.00000,1.00000
74,-1408.58684,0.00000,1.00000
75,-1428.49679,0.00000,1.00000
76,-1388.82305,0.00000,1.00000
77,-1388.56219,0.00000,1.00000
78,-1594.27663,0.00000,1.00000
79,-1625.35513,0.00000,1.00000
80,-1855.80575,0.00000,1.00000
81,-1575.34398,0.00000,1.00000
82,-1829.45880,0.00000,1.00000
83,-1710.53810,0.00000,1.00000
84,-1725.44332,0.00000,1.00000
85,-1823.94171,0.00000,1.00000
86,-1986.53853,0.00000,1.00000
87,-1941.70931,0.00000,1.00000
88,-1777.83556,0.00000,1.00000
89,-2129.14987,0.00000,1.00000
90,-1755.55887,0.00000,1.00000
91,-1778.67888,0.00000,1.00000
92,-1792.30462,0.00000,1.00000
93,-1899.79628,0.00000,1.00000
94,-1954.52284,0.00000,1.00000
95,-1974.27554,0.00000,1.00000
96,-1845.58728,0.00000,1.00000
97,-1774.16247,0.00000,1.00000
98,-1706.65225,0.00000,1.00000
99,-1639.65095,0.00000,1.00000
100,-1546.50756,0.00000,1.00000
101,-1711.90529,0.00000,1.00000
102,-1662.55381,0.00000,1.00000
103,-1320.24962,0.00000,1.00000
104,-1492.96900,0.00000,1.00000
105,-1493.51883,0.00000,1.00000
106,-1242.06676,0.00000,1.00000
107,-1274.36242,0.00000,1.00000
108,-1225.65971,0.00000,1.00000
109,-1146.66755,0.00000,1.00000
110,-1197.31376,0.00000,1.00000
111,-1019.41276,0.00000,1.00000
112,-947.69339,0.00000,1.00000
113,-925.04616,0.00000,1.00000
114,-949.51112,0.00000,1.00000
115,-734.87076,0.00000,1.00000
116,-573.73732,0.00000,1.00000
117,-427.45423,0.00000,1.00000
118,-259.24695,0.00000,1.00000
119,1056.76352,0.00000,0.00000
120,1112.79036,0.00000,0.00000
121,1127.16781,0.00000,0.00000
122,1167.09536,0.00000,0.00000
123,1085.80456,0.00000,0.00000
124,1310.80547,0.00000,0.00000
125,1209.31516,0.00000,0.00000
126,1191.10914,0.00000,0.00000
127,1256.35605,0.00000,0.00000
128,1236.10218,0.00000,0.00000
129,1208.84847,0.00000,0.00000
130,1129.88865,0.00000,0.00000
131,1184.26583,0.00000,0.00000
132,1198.98811,0.00000,0.00000
133,1126.98131,0.00000,0.00000
134,1218.82525,0.00000,0.00000
135,1150.01679,0.00000,0.00000
136,1166.21075,0.00000,0.00000
137,1091.39175,0.00000,0.00000
138,1080.67069,0.00000,0.00000
139,987.48244,0.00000,0.00000
140,1108.15247,0.00000,0.00000
141,957.04127,0.00000,0.00000
142,1001.59661,0.00000,0.00000
143,955.06762,0.00000,0.00000
144,730.51949,0.00000,0.00000
145,691.86864,0.00000,0.00000
146,539.62114,0.00000,0.00000
147,392.35107,0.00000,0.00000
148,150.49543,0.00000,0.00000
149,-63.39061,0.00000,0.00000
150,-257.47176,0.00000,0.00000
151,-477.47759,0.00000,0.00000
152,-597.71643,0.00000,0.00000
153,-825.50686,0.00000,0.00000
154,-799.21819,0.00000,0.00000
155,-913.63644,0.00000,0.00000
156,-908.88432,0.00000,0.00000
157,-1062.73783,0.00000,0.00000
158,-1003.40990,0.00000,0.00000
