,W,Psi,T
0,5.34565,0.00000,1.00000
1,384.69554,0.00000,1.00000
2,669.00905,0.00000,1.00000
3,987.25312,0.00000,1.00000
4,1257.74455,0.00000,1.00000
5,1231.00904,0.00000,1.00000
6,1402.86720,0.00000,1.00000
7,1481.33851,0.00000,1.00000
8,1237.69752,0.00000,1.00000
9,1212.92944,0.00000,1.00000
10,972.83002,0.00000,1.00000
11,719.71557,0.00000,1.00000
12,658.34517,0.00000,1.00000
13,397.53424,0.00000,1.00000
14,311.14004,0.00000,1.00000
15,305.80855,0.00000,1.00000
16,380.62009,0.00000,1.00000
17,358.52184,0.00000,1.00000
18,540.14671,0.00000,1.00000
19,676.95252,0.00000,1.00000
20,688.99470,0.00000,1.00000
21,1279.99286,0.00000,1.00000
22,993.37646,0.00000,1.00000
23,1246.88482,0.00000,1.00000
24,1285.46560,0.00000,1.00000
25,1585.06791,0.00000,1.00000
26,1683.69046,0.00000,1.00000
27,1959.35458,0.00000,1.00000
28,1917.90340,0.00000,1.00000
29,2140.60838,0.00000,1.00000
30,1866.51014,0.00000,1.00000
31,1970.14072,0.00000,1.00000
32,1881.86961,0.00000,1.00000
33,1723.06427,0.00000,1.00000
34,1502.53531,0.00000,1.00000
35,1188.86514,0.00000,1.00000
36,1188.76067,0.00000,1.00000
37,1015.00486,0.00000,1.00000
38,1024.86768,0.00000,1.00000
39,937.26227,0.00000,1.00000
40,758.37595,0.00000,1.00000
41,710.01973,0.00000,1.00000
42,659.87947,0.00000,1.00000
43,425.96246,0.00000,1.00000
44,376.86888,0.00000,1.00000
45,419.71303,0.00000,1.00000
46,440.44915,0.00000,1.00000
47,591.33771,0.00000,1.00000
48,904.63439,0.00000,1.00000
49,1099.82414,0.00000,1.00000
50,1141.31776,0.00000,1.00000
51,1335.39049,0.00000,1.00000
52,1573.52114,0.00000,1.00000
53,1324.80584,0.00000,1.00000
54,1286.63435,0.00000,1.00000
55,1176.65357,0.00000,1.00000
56,931.76682,0.00000,1.00000
57,807.60188,0.00000,1.00000
58,508.75957,0.00000,1.00000
59,141.67806,0.00000,1.00000
60,-199.69711,0.00000,1.00000
61,-458.38426,0.00000,1.00000
62,-751.73094,0.00000,1.00000
63,-976.01259,0.00000,1.00000
64,-1122.65956,0.00000,1.00000
65,-1541.37460,0.00000,1.00000
66,-1385.09936,0.00000,1.00000
67,-1391.76018,0.00000,1.00000
68,-1290.03931,0.00000,1.00000
69,-1403.03619,0.00000,1.00000
70,-1057.56355,0.00000,1.00000
71,-825.70124,0.00000,1.00000
72,-572.91418,0.00000,1.00000
73,-491.64899,0.00000,1.00000
74,-441.16228,0.00000,1.00000
75,-375.46018,0.00000,1.00000
76,-485.82678,0.00000,1.00000
77,-532.44109,0.00000,1.00000
78,-710.23032,0.00000,1.00000
79,-776.82394,0.00000,1.00000
80,-941.03894,0.00000,1.00000
81,-1044.64094,0.00000,1.00000
82,-1125.34728,0.00000,1.00000
83,-1091.08598,0.00000,1.00000
84,-1176.75675,0.00000,1.00000
85,-1380.83445,0.00000,1.00000
86,-1499.26040,0.00000,1.00000
87,-1829.78711,0.00000,1.00000
88,-2080.64246,0.00000,1.00000
89,-2179.07028,0.00000,1.00000
90,-2026.78140,0.00000,1.00000
91,-1907.42615,0.00000,1.00000
92,-1990.67936,0.00000,1.00000
93,-1606.36592,0.00000,1.00000
94,-1535.11123,0.00000,1.00000
95,-1245.60211,0.00000,1.00000
96,-1382.44874,0.00000,1.00000
97,-1188.48912,0.00000,1.00000
98,-924.58596,0.00000,1.00000
99,-795.89091,0.00000,1.00000
100,-663.73018,0.00000,1.00000
101,-513.80897,0.00000,1.00000
102,-493.16745,0.00000,1.00000
103,-306.40091,0.00000,1.00000
104,-258.22711,0.00000,1.00000
105,-364.93294,0.00000,1.00000
106,-454.63941,0.00000,1.00000
107,-571.84299,0.00000,1.00000
108,-774.05835,0.00000,1.00000
109,-1002.32249,0.00000,1.00000
110,-1182.63997,0.00000,1.00000
111,-1311.71605,0.00000,1.00000
112,-1336.22515,0.00000,1.00000
113,-1458.46370,0.00000,1.00000
114,-1324.46904,0.00000,1.00000
115,-1073.50285,0.00000,1.00000
