,H,Mu
0,0.05430,1.14009
1,0.06618,1.16565
2,0.03128,1.08579
3,0.03081,1.08462
4,0.03098,1.08503
5,0.00149,1.00445
6,0.00180,1.00536
7,0.00194,1.00579
8,0.00355,1.01053
9,0.00515,1.01522
10,0.00539,1.01591
11,0.09943,1.22976
12,0.12745,1.27659
13,0.03576,1.09690
14,0.05194,1.13481
15,0.02743,1.07603
16,0.03804,1.10244
17,0.05358,1.13849
18,0.04806,1.12601
19,0.03988,1.10685
20,0.04929,1.12882
21,0.04315,1.11461
22,0.00273,1.00812
23,0.00265,1.00789
24,0.00183,1.00546
25,0.09275,1.21768
26,0.00475,1.01404
27,0.00365,1.01083
28,0.00610,1.01797
29,0.00101,1.00302
30,0.00148,1.00443
31,0.02624,1.07298
32,0.06905,1.17160
33,0.08734,1.20761
34,0.10213,1.23454
35,0.13210,1.28382
36,0.03790,1.10209
37,0.02768,1.07668
38,0.00896,1.02618
39,0.01192,1.03452
40,0.07107,1.17575
41,0.05757,1.14727
42,0.05864,1.14961
43,0.01749,1.04985
44,0.01356,1.03908
45,0.01329,1.03834
46,0.01403,1.04039
47,0.01009,1.02938
48,0.00885,1.02587
49,0.07408,1.18184
50,0.07331,1.18028
51,0.07494,1.18356
52,0.02674,1.07426
53,0.02652,1.07369
54,0.02443,1.06829
55,0.05376,1.13887
56,0.05379,1.13895
57,0.05985,1.15222
58,0.07036,1.17428
59,0.01161,1.03366
60,0.01351,1.03894
61,0.00227,1.00677
62,0.00260,1.00773
63,0.00402,1.01193
64,0.04416,1.11698
65,0.02216,1.06234
66,0.02155,1.06072
67,0.00338,1.01005
68,0.00494,1.01460
69,0.04541,1.11991
70,0.00417,1.01235
71,0.00390,1.01156
72,0.00210,1.00626
73,0.00477,1.01412
74,0.00517,1.01527
75,0.04315,1.11460
76,0.05179,1.13447
77,0.13949,1.29502
78,0.17224,1.34069
79,0.05404,1.13950
80,0.05336,1.13798
81,0.07946,1.19250
82,0.08607,1.20523
83,0.12823,1.27782
84,0.16311,1.32856
85,0.00795,1.02330
86,0.00717,1.02105
87,0.00990,1.02884
88,0.00834,1.02440
89,0.18671,1.35903
90,0.17759,1.34759
91,0.03150,1.08635
92,0.02260,1.06348
93,0.09054,1.21361
94,0.11609,1.25830
95,0.01367,1.03941
96,0.01965,1.05567
97,0.09879,1.22861
98,0.07788,1.18939
99,0.03115,1.08546
100,0.02242,1.06303
101,0.04335,1.11509
102,0.04252,1.11312
103,0.00426,1.01263
104,0.00578,1.01704
105,0.07161,1.17683
106,0.06299,1.15894
107,0.03324,1.09068
108,0.02921,1.08056
109,0.04971,1.12977
110,0.13223,1.28403
111,0.13378,1.28640
112,0.14134,1.29776
113,0.07303,1.17972
114,0.09239,1.21702
115,0.11233,1.25204
116,0.05882,1.15000
117,0.06880,1.17108
118,0.06904,1.17158
119,0.12486,1.27250
120,0.15296,1.31454
121,0.10413,1.23803
122,0.10277,1.23565
123,0.10100,1.23254
124,0.11225,1.25192
125,0.05714,1.14633
126,0.04558,1.12030
127,0.02548,1.07102
128,0.02990,1.08231
129,0.02740,1.07595
130,0.02703,1.07502
131,0.04726,1.12418
132,0.03756,1.10126
133,0.01020,1.02969
134,0.00952,1.02777
135,0.02490,1.06951
136,0.02736,1.07585
137,0.01158,1.03356
138,0.00921,1.02688
139,0.00962,1.02804
140,0.01146,1.03323
141,0.03980,1.10667
142,0.03972,1.10648
143,0.00304,1.00903
144,0.03481,1.09455
145,0.01670,1.04772
146,0.06426,1.16163
147,0.00796,1.02331
148,0.04411,1.11687
149,0.04852,1.12706
150,0.11141,1.25050
151,0.00134,1.00402
152,0.00139,1.00414
153,0.08359,1.20049
154,0.02209,1.06215
155,0.02598,1.07230
156,0.00046,1.00139
157,0.03550,1.09626
158,0.03583,1.09705
159,0.00171,1.00509
160,0.00348,1.01035
161,0.00188,1.00561
162,0.00434,1.01285
163,0.00509,1.01505
164,0.00534,1.01576
165,0.00483,1.01428
166,0.00151,1.00452
167,0.00232,1.00691
168,0.00356,1.01056
169,0.00353,1.01048
170,0.18161,1.35268
171,0.14119,1.29754
172,0.01726,1.04922
173,0.02179,1.06136
174,0.03531,1.09577
175,0.02760,1.07647
176,0.12205,1.26802
177,0.09138,1.21515
178,0.01288,1.03721
179,0.01835,1.05217
180,0.11050,1.24897
181,0.10452,1.23871
182,0.00489,1.01445
183,0.00364,1.01079
184,0.10094,1.23244
185,0.07496,1.18359
186,0.02573,1.07166
187,0.02174,1.06122
188,0.07582,1.18530
189,0.05734,1.14678
190,0.01940,1.05500
191,0.02604,1.07246
192,0.05173,1.13434
193,0.03838,1.10326
194,0.05733,1.14675
195,0.07092,1.17543
196,0.04858,1.12721
197,0.03345,1.09119
198,0.02027,1.05734
199,0.02811,1.07777
200,0.01845,1.05246
201,0.02478,1.06919
202,0.02826,1.07815
203,0.01962,1.05559
204,0.00570,1.01682
205,0.00561,1.01655
206,0.06809,1.16962
207,0.05123,1.13321
208,0.01910,1.05419
209,0.02450,1.06847
210,0.01451,1.04171
211,0.01958,1.05549
212,0.01829,1.05202
213,0.01561,1.04473
214,0.02895,1.07992
215,0.03413,1.09288
216,0.00923,1.02695
217,0.01184,1.03429
218,0.05215,1.13529
219,0.04094,1.10940
220,0.03567,1.09666
221,0.02755,1.07635
222,0.07126,1.17614
223,0.05642,1.14476
224,0.02984,1.08216
225,0.04241,1.11287
226,0.01950,1.05526
227,0.02432,1.06800
228,0.10344,1.23683
229,0.12685,1.27565
230,0.00500,1.01478
231,0.00368,1.01093
232,0.01661,1.04745
233,0.01360,1.03920
234,0.16004,1.32438
235,0.16922,1.33672
236,0.03530,1.09576
237,0.04047,1.10826
238,0.01432,1.04118
239,0.01896,1.05382
240,0.11679,1.25947
241,0.11798,1.26142
242,0.05562,1.14300
243,0.03934,1.10556
244,0.02241,1.06299
245,0.03052,1.08388
246,0.05558,1.14291
247,0.04498,1.11889
248,0.00909,1.02655
249,0.00590,1.01739
250,0.10683,1.24270
251,0.13007,1.28068
252,0.02389,1.06688
253,0.03534,1.09585
254,0.00490,1.01448
255,0.00489,1.01445
256,0.00483,1.01429
257,0.00158,1.00472
258,0.00147,1.00439
259,0.00104,1.00310
260,0.00060,1.00180
261,0.00083,1.00250
262,0.00101,1.00301
263,0.00044,1.00133
264,0.00070,1.00211
265,0.00056,1.00167
266,0.00041,1.00123
267,0.00061,1.00184
268,0.00076,1.00226
269,0.00060,1.00180
270,0.00040,1.00121
271,0.00060,1.00180
272,0.00064,1.00191
273,0.00075,1.00224
274,0.00057,1.00169
275,0.00064,1.00193
276,0.00073,1.00220
277,0.00079,1.00235
278,0.00062,1.00186
279,0.00071,1.00212
280,0.00059,1.00176
281,0.00056,1.00169
282,0.00076,1.00228
283,0.00089,1.00267
284,0.00071,1.00213
285,0.00084,1.00252
286,0.00120,1.00359
287,0.00076,1.00226
288,0.00086,1.00256
289,0.00107,1.00319
290,0.00069,1.00207
291,0.00094,1.00282
292,0.00072,1.00215
293,0.00116,1.00346
294,0.00076,1.00228
295,0.00081,1.00243
296,0.00101,1.00302
297,0.00078,1.00233
298,0.00055,1.00165
299,0.00114,1.00342
300,0.00212,1.00631
301,0.00139,1.00415
302,0.00108,1.00323
303,0.00047,1.00139
304,0.00148,1.00443
305,0.00102,1.00304
306,0.00136,1.00407
307,0.00374,1.01108
308,0.00290,1.00864
309,0.03299,1.09005
310,0.03298,1.09004
311,0.00155,1.00463
312,0.00105,1.00315
313,0.00284,1.00845
314,0.00074,1.00223
315,0.00117,1.00349
316,0.00344,1.01023
317,0.00302,1.00899
318,0.00198,1.00590
319,0.00151,1.00452
320,0.02881,1.07955
321,0.00139,1.00417
322,0.00116,1.00345
323,0.00141,1.00421
324,0.00216,1.00644
325,0.00182,1.00542
326,0.02494,1.06960
327,0.02192,1.06170
328,0.02265,1.06362
329,0.03036,1.08347
330,0.00493,1.01458
331,0.00531,1.01568
332,0.00304,1.00904
333,0.00332,1.00988
334,0.00211,1.00628
335,0.00142,1.00425
336,0.02936,1.08096
337,0.00127,1.00381
338,0.00162,1.00484
339,0.00171,1.00510
340,0.00167,1.00500
341,0.00346,1.01029
342,0.00342,1.01014
343,0.00474,1.01401
344,0.01737,1.04952
345,0.01668,1.04764
346,0.01173,1.03400
347,0.01468,1.04219
348,0.00517,1.01527
349,0.00636,1.01871
350,0.00529,1.01563
351,0.00539,1.01591
352,0.00504,1.01490
353,0.00541,1.01596
354,0.01230,1.03558
355,0.00291,1.00865
356,0.00225,1.00670
357,0.03362,1.09161
358,0.03512,1.09533
359,0.00282,1.00840
360,0.00143,1.00427
361,0.00171,1.00510
362,0.00582,1.01716
363,0.00534,1.01576
364,0.00247,1.00736
365,0.00247,1.00734
366,0.01075,1.03125
367,0.01072,1.03115
368,0.00120,1.00359
369,0.00185,1.00553
370,0.00123,1.00367
371,0.00151,1.00451
372,0.00313,1.00931
373,0.00202,1.00604
374,0.00369,1.01095
375,0.00403,1.01195
376,0.03074,1.08444
377,0.02545,1.07092
378,0.00139,1.00414
379,0.00065,1.00195
380,0.00392,1.01163
381,0.00469,1.01388
382,0.00646,1.01902
383,0.00461,1.01364
384,0.00241,1.00717
385,0.00262,1.00781
386,0.00132,1.00394
387,0.00162,1.00483
388,0.00261,1.00776
389,0.00480,1.01420
390,0.00489,1.01447
391,0.00460,1.01360
392,0.02840,1.07850
393,0.02864,1.07913
394,0.00285,1.00849
395,0.00205,1.00610
396,0.00280,1.00834
397,0.00316,1.00940
398,0.00600,1.01768
399,0.00195,1.00580
400,0.00251,1.00746
401,0.00427,1.01264
402,0.00365,1.01082
403,0.00098,1.00294
404,0.00287,1.00853
405,0.00271,1.00806
406,0.03613,1.09780
407,0.03661,1.09896
408,0.00317,1.00943
409,0.00351,1.01043
410,0.00177,1.00529
411,0.00216,1.00645
412,0.01148,1.03329
413,0.01479,1.04248
414,0.00080,1.00239
415,0.00163,1.00488
416,0.02160,1.06086
417,0.01829,1.05202
418,0.01440,1.04141
419,0.03806,1.10247
420,0.03543,1.09607
421,0.00663,1.01951
422,0.00595,1.01755
423,0.00320,1.00951
424,0.00486,1.01438
425,0.00453,1.01342
426,0.00496,1.01465
427,0.03098,1.08504
428,0.02616,1.07276
429,0.03498,1.09497
430,0.01460,1.04197
431,0.01864,1.05295
432,0.00545,1.01610
433,0.00415,1.01231
434,0.10363,1.23717
435,0.10792,1.24458
436,0.04245,1.11296
437,0.04206,1.11205
438,0.03695,1.09979
439,0.02831,1.07828
440,0.01500,1.04306
441,0.01281,1.03700
442,0.01138,1.03300
443,0.00830,1.02430
444,0.00877,1.02563
445,0.02542,1.07086
446,0.00633,1.01864
447,0.00592,1.01744
448,0.09591,1.22343
449,0.04496,1.11884
450,0.05869,1.14971
451,0.00926,1.02702
452,0.00931,1.02716
453,0.09975,1.23032
454,0.08902,1.21077
455,0.09976,1.23034
456,0.00287,1.00855
457,0.00426,1.01261
458,0.02292,1.06433
459,0.02270,1.06376
460,0.07233,1.17831
461,0.01980,1.05607
462,0.07943,1.19243
463,0.07526,1.18418
464,0.04511,1.11920
465,0.06191,1.15663
466,0.16811,1.33525
467,0.00647,1.01903
468,0.00901,1.02631
469,0.04358,1.11561
470,0.03221,1.08811
471,0.00583,1.01718
472,0.00542,1.01601
473,0.03655,1.09880
474,0.03660,1.09894
475,0.03409,1.09278
476,0.01285,1.03711
477,0.00991,1.02886
478,0.03182,1.08714
479,0.03218,1.08805
480,0.04359,1.11564
481,0.04295,1.11415
482,0.01340,1.03866
483,0.00923,1.02693
484,0.00659,1.01939
485,0.00568,1.01676
486,0.04818,1.12628
487,0.04084,1.10915
488,0.07539,1.18446
489,0.10536,1.24016
490,0.10285,1.23580
491,0.06368,1.16041
492,0.06850,1.17046
493,0.01029,1.02996
494,0.01391,1.04007
