,W,Psi,T
0,1.42857,0.79941,0.00235
1,0.82561,0.83333,0.00221
2,0.58851,0.50107,0.00224
3,0.45468,0.36099,0.00228
4,0.37017,0.27974,0.00254
5,0.31161,0.22752,0.00299
6,0.27037,0.19070,0.00364
7,0.23948,0.16355,0.00444
8,0.21614,0.14256,0.00536
9,0.19739,0.12591,0.00637
10,0.18231,0.11230,0.00743
11,0.16951,0.10100,0.00852
12,0.15871,0.09142,0.00961
13,0.14917,0.08320,0.01069
14,0.14080,0.07604,0.01173
15,0.13320,0.06974,0.01270
16,0.12632,0.06414,0.01359
17,0.11994,0.05912,0.01438
18,0.11406,0.05457,0.01506
19,0.10854,0.05042,0.01560
20,0.10337,0.04662,0.01601
21,0.09850,0.04310,0.01626
22,0.09390,0.03982,0.01636
23,0.08953,0.03676,0.01631
24,0.08537,0.03388,0.01611
25,0.08141,0.03116,0.01578
26,0.07763,0.02858,0.01533
27,0.07403,0.02611,0.01478
28,0.07061,0.02376,0.01416
29,0.06739,0.02150,0.01349
30,0.06440,0.01932,0.01279
31,0.06167,0.01722,0.01209
32,0.05921,0.01520,0.01141
33,0.05709,0.01326,0.01075
34,0.05531,0.01140,0.01015
35,0.05392,0.00963,0.00959
36,0.05293,0.00799,0.00908
37,0.05235,0.00654,0.00863
38,0.05216,0.00538,0.00822
39,0.05236,0.00468,0.00786
40,0.05292,0.00463,0.00753
41,0.05380,0.00520,0.00723
42,0.05495,0.00620,0.00696
43,0.05635,0.00742,0.00671
44,0.05795,0.00875,0.00648
45,0.05970,0.01012,0.00628
46,0.06158,0.01151,0.00612
47,0.06354,0.01288,0.00597
48,0.06556,0.01422,0.00587
49,0.06761,0.01553,0.00579
50,0.06965,0.01679,0.00575
51,0.07167,0.01799,0.00573
52,0.07363,0.01914,0.00575
53,0.07553,0.02023,0.00578
54,0.07734,0.02124,0.00583
55,0.07904,0.02218,0.00590
56,0.08062,0.02303,0.00597
57,0.08205,0.02380,0.00603
58,0.08332,0.02446,0.00609
59,0.08443,0.02502,0.00614
60,0.08536,0.02547,0.00618
61,0.08610,0.02580,0.00620
62,0.08666,0.02600,0.00621
63,0.08704,0.02606,0.00619
64,0.08723,0.02598,0.00616
65,0.08726,0.02574,0.00612
66,0.08714,0.02534,0.00605
67,0.08688,0.02478,0.00597
68,0.08650,0.02405,0.00587
69,0.08603,0.02316,0.00576
70,0.08549,0.02211,0.00562
71,0.08489,0.02090,0.00547
72,0.08425,0.01955,0.00530
73,0.08359,0.01807,0.00511
74,0.08290,0.01651,0.00490
75,0.08219,0.01490,0.00467
76,0.08146,0.01329,0.00443
77,0.08068,0.01177,0.00417
78,0.07986,0.01043,0.00391
79,0.07898,0.00942,0.00365
80,0.07803,0.00886,0.00340
81,0.07700,0.00884,0.00317
82,0.07589,0.00932,0.00297
83,0.07470,0.01018,0.00282
84,0.07343,0.01126,0.00272
85,0.07208,0.01243,0.00268
86,0.07066,0.01360,0.00271
87,0.06917,0.01470,0.00279
88,0.06762,0.01570,0.00293
89,0.06601,0.01656,0.00310
90,0.06436,0.01727,0.00330
91,0.06265,0.01783,0.00350
92,0.06091,0.01823,0.00371
93,0.05913,0.01849,0.00391
94,0.05732,0.01860,0.00410
95,0.05549,0.01859,0.00427
96,0.05364,0.01845,0.00443
97,0.05178,0.01821,0.00456
98,0.04992,0.01787,0.00467
99,0.04806,0.01744,0.00476
100,0.04622,0.01693,0.00482
101,0.04440,0.01636,0.00486
102,0.04262,0.01573,0.00487
103,0.04087,0.01505,0.00486
104,0.03918,0.01434,0.00482
105,0.03755,0.01358,0.00477
106,0.03599,0.01280,0.00469
107,0.03452,0.01200,0.00458
108,0.03314,0.01119,0.00446
109,0.03186,0.01036,0.00432
110,0.03069,0.00953,0.00417
111,0.02964,0.00870,0.00400
112,0.02872,0.00788,0.00383
113,0.02793,0.00708,0.00365
114,0.02728,0.00630,0.00346
115,0.02677,0.00556,0.00328
116,0.02640,0.00488,0.00310
117,0.02618,0.00428,0.00292
118,0.02610,0.00379,0.00275
119,0.02615,0.00345,0.00260
120,0.02632,0.00331,0.00246
121,0.02660,0.00338,0.00234
122,0.02699,0.00362,0.00224
123,0.02745,0.00401,0.00216
124,0.02797,0.00448,0.00210
125,0.02853,0.00501,0.00206
126,0.02912,0.00555,0.00204
127,0.02972,0.00611,0.00204
128,0.03030,0.00665,0.00206
129,0.03086,0.00718,0.00208
130,0.03138,0.00769,0.00212
131,0.03185,0.00817,0.00217
132,0.03226,0.00861,0.00223
133,0.03260,0.00901,0.00228
134,0.03287,0.00936,0.00234
135,0.03305,0.00967,0.00240
136,0.03315,0.00994,0.00245
137,0.03317,0.01014,0.00250
138,0.03310,0.01030,0.00254
139,0.03294,0.01040,0.00258
140,0.03270,0.01044,0.00260
141,0.03238,0.01042,0.00262
