,Fi
0,1.00000
1,0.34271
2,0.15604
3,0.10414
4,0.07990
5,0.06514
6,0.05514
7,0.04782
8,0.04221
9,0.03777
10,0.03418
11,0.03121
12,0.02871
13,0.02658
14,0.02474
15,0.02314
16,0.02174
17,0.02049
18,0.01938
19,0.01839
20,0.01749
21,0.01667
22,0.01593
23,0.01524
24,0.01462
25,0.01404
26,0.01351
27,0.01302
28,0.01256
29,0.01213
30,0.01173
31,0.01135
32,0.01100
33,0.01067
34,0.01036
35,0.01006
36,0.00979
37,0.00952
38,0.00927
39,0.00904
40,0.00881
41,0.00860
42,0.00839
43,0.00820
44,0.00801
45,0.00783
46,0.00766
47,0.00749
48,0.00734
49,0.00719
50,0.00704
51,0.00690
52,0.00677
53,0.00664
54,0.00651
55,0.00639
56,0.00627
57,0.00616
58,0.00605
59,0.00595
60,0.00584
61,0.00575
62,0.00565
63,0.00556
64,0.00547
65,0.00538
66,0.00529
67,0.00521
68,0.00513
69,0.00505
70,0.00497
71,0.00490
72,0.00483
73,0.00476
74,0.00469
75,0.00462
76,0.00456
77,0.00449
78,0.00443
79,0.00437
80,0.00431
81,0.00425
82,0.00419
83,0.00414
84,0.00408
85,0.00403
86,0.00398
87,0.00393
88,0.00388
89,0.00383
90,0.00378
91,0.00373
92,0.00368
93,0.00364
94,0.00360
95,0.00355
96,0.00351
97,0.00347
98,0.00343
99,0.00338
100,0.00334
101,0.00331
102,0.00327
103,0.00323
104,0.00319
105,0.00316
106,0.00312
107,0.00309
108,0.00305
109,0.00302
110,0.00298
111,0.00295
112,0.00292
113,0.00289
114,0.00286
115,0.00282
116,0.00279
117,0.00276
118,0.00273
119,0.00271
120,0.00268
121,0.00265
122,0.00262
123,0.00259
124,0.00257
125,0.00254
126,0.00251
127,0.00249
128,0.00246
129,0.00244
130,0.00241
131,0.00239
132,0.00237
133,0.00234
134,0.00232
135,0.00230
136,0.00227
137,0.00225
138,0.00223
139,0.00221
140,0.00219
141,0.00217
142,0.00215
143,0.00212
144,0.00210
145,0.00208
146,0.00207
147,0.00205
148,0.00203
149,0.00201
