,W,Psi,T
0,1.42857,0.52207,0.02893
1,0.83664,0.83333,0.01427
2,0.60393,0.50311,0.00984
3,0.46789,0.36443,0.00759
4,0.38300,0.28389,0.00614
5,0.32068,0.23223,0.00515
6,0.27634,0.19578,0.00445
7,0.24165,0.16892,0.00397
8,0.21518,0.14813,0.00366
9,0.19344,0.13164,0.00349
10,0.17594,0.11816,0.00347
11,0.16100,0.10697,0.00355
12,0.14848,0.09751,0.00373
13,0.13750,0.08941,0.00398
14,0.12802,0.08238,0.00428
15,0.11956,0.07624,0.00462
16,0.11210,0.07081,0.00500
17,0.10534,0.06599,0.00539
18,0.09928,0.06167,0.00579
19,0.09374,0.05779,0.00620
20,0.08871,0.05427,0.00661
21,0.08406,0.05106,0.00702
22,0.07980,0.04813,0.00743
23,0.07583,0.04544,0.00782
24,0.07217,0.04296,0.00819
25,0.06874,0.04067,0.00855
26,0.06555,0.03854,0.00888
27,0.06256,0.03656,0.00918
28,0.05976,0.03470,0.00946
29,0.05712,0.03296,0.00969
30,0.05466,0.03133,0.00989
31,0.05233,0.02978,0.01004
32,0.05016,0.02832,0.01015
33,0.04811,0.02694,0.01021
34,0.04620,0.02562,0.01022
35,0.04441,0.02436,0.01018
36,0.04274,0.02316,0.01009
37,0.04118,0.02201,0.00995
38,0.03973,0.02090,0.00976
39,0.03838,0.01983,0.00954
40,0.03714,0.01881,0.00929
41,0.03598,0.01781,0.00900
42,0.03492,0.01686,0.00870
43,0.03394,0.01593,0.00837
44,0.03304,0.01503,0.00804
45,0.03222,0.01416,0.00771
46,0.03149,0.01332,0.00738
47,0.03083,0.01250,0.00705
48,0.03025,0.01171,0.00673
49,0.02974,0.01095,0.00642
50,0.02932,0.01022,0.00612
51,0.02897,0.00951,0.00583
52,0.02870,0.00883,0.00555
53,0.02849,0.00818,0.00527
54,0.02835,0.00756,0.00500
55,0.02826,0.00698,0.00473
56,0.02823,0.00642,0.00445
57,0.02824,0.00591,0.00418
58,0.02829,0.00543,0.00391
59,0.02837,0.00500,0.00364
60,0.02846,0.00462,0.00337
61,0.02857,0.00430,0.00310
62,0.02869,0.00403,0.00285
63,0.02882,0.00382,0.00260
64,0.02894,0.00369,0.00237
65,0.02906,0.00362,0.00216
66,0.02917,0.00361,0.00197
67,0.02927,0.00365,0.00181
68,0.02936,0.00375,0.00167
69,0.02944,0.00388,0.00156
70,0.02950,0.00404,0.00147
71,0.02955,0.00422,0.00141
72,0.02958,0.00442,0.00136
73,0.02958,0.00462,0.00133
74,0.02956,0.00483,0.00132
75,0.02952,0.00504,0.00131
76,0.02945,0.00525,0.00131
77,0.02935,0.00545,0.00132
78,0.02923,0.00566,0.00133
79,0.02908,0.00585,0.00134
80,0.02890,0.00604,0.00135
81,0.02869,0.00622,0.00137
82,0.02846,0.00639,0.00138
83,0.02820,0.00655,0.00140
84,0.02792,0.00670,0.00142
85,0.02762,0.00684,0.00143
86,0.02729,0.00697,0.00145
87,0.02695,0.00709,0.00147
88,0.02658,0.00720,0.00149
89,0.02621,0.00730,0.00150
90,0.02582,0.00739,0.00152
91,0.02542,0.00747,0.00153
92,0.02501,0.00754,0.00154
93,0.02460,0.00759,0.00155
94,0.02418,0.00764,0.00155
95,0.02376,0.00768,0.00156
96,0.02335,0.00770,0.00156
97,0.02293,0.00772,0.00155
98,0.02252,0.00772,0.00155
99,0.02211,0.00772,0.00154
100,0.02170,0.00770,0.00153
101,0.02130,0.00768,0.00152
102,0.02091,0.00765,0.00151
103,0.02052,0.00761,0.00150
104,0.02014,0.00755,0.00148
105,0.01976,0.00749,0.00147
106,0.01939,0.00742,0.00146
107,0.01902,0.00735,0.00145
108,0.01866,0.00726,0.00144
109,0.01831,0.00716,0.00143
110,0.01796,0.00706,0.00142
111,0.01762,0.00695,0.00141
112,0.01729,0.00683,0.00141
113,0.01697,0.00670,0.00140
114,0.01665,0.00656,0.00139
115,0.01634,0.00642,0.00139
116,0.01604,0.00627,0.00138
117,0.01576,0.00611,0.00138
118,0.01548,0.00595,0.00137
119,0.01521,0.00578,0.00137
120,0.01496,0.00560,0.00136
121,0.01471,0.00542,0.00135
122,0.01448,0.00523,0.00134
123,0.01426,0.00504,0.00133
124,0.01405,0.00485,0.00132
125,0.01386,0.00465,0.00130
126,0.01367,0.00445,0.00129
127,0.01350,0.00425,0.00127
128,0.01334,0.00405,0.00125
129,0.01319,0.00385,0.00123
130,0.01304,0.00365,0.00120
131,0.01290,0.00346,0.00118
132,0.01277,0.00327,0.00115
133,0.01265,0.00309,0.00112
134,0.01252,0.00291,0.00109
135,0.01240,0.00274,0.00105
136,0.01228,0.00259,0.00102
137,0.01216,0.00245,0.00098
138,0.01204,0.00232,0.00095
139,0.01192,0.00222,0.00092
140,0.01179,0.00213,0.00088
141,0.01165,0.00206,0.00085
142,0.01152,0.00201,0.00082
143,0.01137,0.00199,0.00079
144,0.01122,0.00198,0.00077
145,0.01107,0.00199,0.00075
146,0.01091,0.00201,0.00073
147,0.01074,0.00205,0.00072
148,0.01057,0.00209,0.00071
149,0.01039,0.00214,0.00071
150,0.01021,0.00220,0.00071
151,0.01003,0.00226,0.00072
152,0.00984,0.00231,0.00073
153,0.00966,0.00237,0.00074
154,0.00947,0.00242,0.00076
155,0.00928,0.00247,0.00077
156,0.00909,0.00252,0.00079
157,0.00891,0.00256,0.00081
158,0.00872,0.00259,0.00082
159,0.00854,0.00262,0.00084
160,0.00836,0.00264,0.00085
161,0.00819,0.00266,0.00086
162,0.00801,0.00267,0.00087
163,0.00784,0.00267,0.00087
164,0.00767,0.00266,0.00088
165,0.00750,0.00265,0.00088
166,0.00734,0.00264,0.00088
167,0.00718,0.00261,0.00087
168,0.00702,0.00259,0.00086
169,0.00686,0.00255,0.00085
170,0.00671,0.00252,0.00084
171,0.00656,0.00248,0.00083
172,0.00642,0.00243,0.00081
173,0.00628,0.00238,0.00079
174,0.00614,0.00233,0.00077
175,0.00600,0.00227,0.00075
176,0.00588,0.00222,0.00073
177,0.00575,0.00216,0.00070
178,0.00563,0.00210,0.00068
179,0.00552,0.00203,0.00065
180,0.00541,0.00197,0.00063
181,0.00530,0.00191,0.00060
182,0.00520,0.00184,0.00058
183,0.00511,0.00178,0.00055
184,0.00501,0.00172,0.00053
185,0.00493,0.00165,0.00050
186,0.00484,0.00159,0.00048
187,0.00476,0.00153,0.00046
188,0.00468,0.00147,0.00043
189,0.00461,0.00141,0.00041
190,0.00453,0.00135,0.00039
191,0.00446,0.00130,0.00038
192,0.00439,0.00124,0.00036
193,0.00433,0.00119,0.00034
194,0.00426,0.00115,0.00033
195,0.00419,0.00110,0.00032
196,0.00413,0.00106,0.00031
197,0.00406,0.00102,0.00030
