,W,Psi,T
0,22.88988,0.00000,1.00000
1,299.28601,0.00000,1.00000
2,541.73872,0.00000,1.00000
3,737.29096,0.00000,1.00000
4,1043.38357,0.00000,1.00000
5,1230.20211,0.00000,1.00000
6,1183.57223,0.00000,1.00000
7,1226.60693,0.00000,1.00000
8,1502.15664,0.00000,1.00000
9,1551.72821,0.00000,1.00000
10,1755.90647,0.00000,1.00000
11,1632.91918,0.00000,1.00000
12,1646.33676,0.00000,1.00000
13,1779.10975,0.00000,1.00000
14,1476.25865,0.00000,1.00000
15,1337.96344,0.00000,1.00000
16,1180.60098,0.00000,1.00000
17,1018.65772,0.00000,1.00000
18,1145.30800,0.00000,1.00000
19,902.17230,0.00000,1.00000
20,826.06611,0.00000,1.00000
21,808.65176,0.00000,1.00000
22,921.23624,0.00000,1.00000
23,1104.44833,0.00000,1.00000
24,1121.81887,0.00000,1.00000
25,1327.97131,0.00000,1.00000
26,1370.31638,0.00000,1.00000
27,1382.18884,0.00000,1.00000
28,1558.25939,0.00000,1.00000
29,1515.49086,0.00000,1.00000
30,1591.98769,0.00000,1.00000
31,1611.90620,0.00000,1.00000
32,1993.42978,0.00000,1.00000
33,1892.15854,0.00000,1.00000
34,1748.96718,0.00000,1.00000
35,1848.40259,0.00000,1.00000
36,1788.07740,0.00000,1.00000
37,1795.75687,0.00000,1.00000
38,1723.74407,0.00000,1.00000
39,1570.40569,0.00000,1.00000
40,1697.95224,0.00000,1.00000
41,1337.85950,0.00000,1.00000
42,1170.12466,0.00000,1.00000
43,1075.78665,0.00000,1.00000
44,839.91436,0.00000,1.00000
45,711.38987,0.00000,1.00000
46,526.30473,0.00000,1.00000
47,400.30921,0.00000,1.00000
48,273.09993,0.00000,1.00000
49,155.66425,0.00000,1.00000
50,65.00610,0.00000,1.00000
51,14.21927,0.00000,1.00000
52,-24.12790,0.00000,1.00000
53,-45.22208,0.00000,1.00000
54,-51.23459,0.00000,1.00000
55,-46.61700,0.00000,1.00000
56,-34.37602,0.00000,1.00000
57,-24.42304,0.00000,1.00000
58,-12.06561,0.00000,1.00000
59,-3.77938,0.00000,1.00000
60,3.59150,0.00000,1.00000
61,12.60433,0.00000,1.00000
62,25.09669,0.00000,1.00000
63,33.93240,0.00000,1.00000
64,43.15108,0.00000,1.00000
65,48.90464,0.00000,1.00000
66,44.57288,0.00000,1.00000
67,26.59394,0.00000,1.00000
68,-19.22955,0.00000,1.00000
69,-67.77131,0.00000,1.00000
70,-172.99549,0.00000,1.00000
71,-245.98032,0.00000,1.00000
72,-395.26873,0.00000,1.00000
73,-590.68782,0.00000,1.00000
74,-629.72255,0.00000,1.00000
75,-873.38864,0.00000,1.00000
76,-1052.44193,0.00000,1.00000
77,-1212.88121,0.00000,1.00000
78,-1276.44610,0.00000,1.00000
79,-1567.76742,0.00000,1.00000
80,-1699.79521,0.00000,1.00000
81,-1761.68642,0.00000,1.00000
82,-1714.58204,0.00000,1.00000
83,-1879.97061,0.00000,1.00000
84,-1789.07423,0.00000,1.00000
85,-1845.06583,0.00000,1.00000
86,-1824.87869,0.00000,1.00000
87,-1748.42556,0.00000,1.00000
88,-1670.37530,0.00000,1.00000
89,-1631.80161,0.00000,1.00000
90,-1560.47253,0.00000,1.00000
91,-1422.54698,0.00000,1.00000
92,-1519.67744,0.00000,1.00000
93,-1472.29482,0.00000,1.00000
94,-1176.83566,0.00000,1.00000
95,-1110.29782,0.00000,1.00000
96,-1102.77684,0.00000,1.00000
97,-850.87491,0.00000,1.00000
98,-830.03169,0.00000,1.00000
99,-936.27240,0.00000,1.00000
100,-933.61578,0.00000,1.00000
101,-912.73630,0.00000,1.00000
102,-1023.94468,0.00000,1.00000
103,-1323.98910,0.00000,1.00000
104,-1504.28335,0.00000,1.00000
105,-1472.77987,0.00000,1.00000
106,-1580.27340,0.00000,1.00000
107,-1820.54457,0.00000,1.00000
108,-1586.64316,0.00000,1.00000
109,-1738.28135,0.00000,1.00000
110,-1524.83608,0.00000,1.00000
111,-1582.59518,0.00000,1.00000
112,-1288.79553,0.00000,1.00000
113,-1250.88510,0.00000,1.00000
114,-1197.52724,0.00000,1.00000
115,-939.05985,0.00000,1.00000
116,-784.02968,0.00000,1.00000
117,-559.66641,0.00000,1.00000
118,-339.68089,0.00000,1.00000
119,1015.26953,0.00000,0.00000
120,1048.85122,0.00000,0.00000
121,1224.05416,0.00000,0.00000
122,1298.29184,0.00000,0.00000
123,1216.61225,0.00000,0.00000
124,1252.14369,0.00000,0.00000
125,1193.16273,0.00000,0.00000
126,1315.69818,0.00000,0.00000
127,1186.20155,0.00000,0.00000
128,1326.44359,0.00000,0.00000
129,1323.82639,0.00000,0.00000
130,1181.26846,0.00000,0.00000
131,1245.89403,0.00000,0.00000
132,1225.93708,0.00000,0.00000
133,1243.84424,0.00000,0.00000
134,1171.91988,0.00000,0.00000
135,1137.38868,0.00000,0.00000
136,1237.72705,0.00000,0.00000
137,1233.65756,0.00000,0.00000
138,1027.09254,0.00000,0.00000
139,1034.56037,0.00000,0.00000
140,968.09364,0.00000,0.00000
141,943.70237,0.00000,0.00000
142,949.47548,0.00000,0.00000
143,735.94728,0.00000,0.00000
144,791.71997,0.00000,0.00000
145,558.05720,0.00000,0.00000
146,493.92275,0.00000,0.00000
147,299.79000,0.00000,0.00000
148,134.14219,0.00000,0.00000
149,-39.90041,0.00000,0.00000
150,-223.90473,0.00000,0.00000
151,-396.25186,0.00000,0.00000
152,-548.70426,0.00000,0.00000
153,-680.88369,0.00000,0.00000
154,-727.51034,0.00000,0.00000
155,-768.75456,0.00000,0.00000
156,-936.13092,0.00000,0.00000
157,-1053.58795,0.00000,0.00000
158,-999.12892,0.00000,0.00000
159,-971.75291,0.00000,0.00000
160,-1077.19450,0.00000,0.00000
161,-1157.49271,0.00000,0.00000
162,-1235.33393,0.00000,0.00000
163,-1225.67707,0.00000,0.00000
164,-1230.62676,0.00000,0.00000
165,-1157.04130,0.00000,0.00000
166,-1233.79218,0.00000,0.00000
167,-1149.70349,0.00000,0.00000
168,-1268.81253,0.00000,0.00000
169,-1240.63005,0.00000,0.00000
170,-1393.14959,0.00000,0.00000
171,-1313.22608,0.00000,0.00000
172,-1214.70183,0.00000,0.00000
173,-1265.19638,0.00000,0.00000
174,-1270.24679,0.00000,0.00000
175,-1208.38759,0.00000,0.00000
176,-1167.31745,0.00000,0.00000
177,-1249.98554,0.00000,0.00000
178,-1025.38743,0.00000,0.00000
179,-977.98663,0.00000,0.00000
180,-976.73832,0.00000,0.00000
181,-1008.74153,0.00000,0.00000
182,-823.72664,0.00000,0.00000
183,-755.69229,0.00000,0.00000
184,-808.75909,0.00000,0.00000
185,-759.33018,0.00000,0.00000
186,-642.24894,0.00000,0.00000
187,-615.73222,0.00000,0.00000
188,-583.73262,0.00000,0.00000
189,-540.18137,0.00000,0.00000
190,-523.09492,0.00000,0.00000
191,-461.94697,0.00000,0.00000
192,-459.25409,0.00000,0.00000
