,W,Psi,T
0,1.42857,0.52266,0.02893
1,0.86321,0.83331,0.01427
2,0.60914,0.50403,0.00971
3,0.47141,0.36078,0.00798
4,0.38621,0.27842,0.00840
5,0.32119,0.22590,0.01033
6,0.27550,0.18937,0.01276
7,0.23865,0.16272,0.01503
8,0.21044,0.14228,0.01695
9,0.18707,0.12606,0.01859
10,0.16918,0.11273,0.02001
11,0.15484,0.10155,0.02135
12,0.14430,0.09195,0.02258
13,0.13556,0.08359,0.02368
14,0.12871,0.07620,0.02461
15,0.12264,0.06959,0.02526
16,0.11786,0.06363,0.02562
17,0.11362,0.05819,0.02562
18,0.10998,0.05319,0.02535
19,0.10620,0.04857,0.02488
20,0.10243,0.04427,0.02431
21,0.09852,0.04024,0.02367
22,0.09464,0.03645,0.02293
23,0.09072,0.03290,0.02205
24,0.08683,0.02957,0.02104
25,0.08296,0.02648,0.01996
26,0.07929,0.02362,0.01886
27,0.07610,0.02102,0.01780
28,0.07367,0.01867,0.01679
29,0.07201,0.01657,0.01588
30,0.07095,0.01473,0.01511
31,0.07021,0.01313,0.01446
32,0.06953,0.01176,0.01389
33,0.06874,0.01059,0.01334
34,0.06775,0.00960,0.01276
35,0.06645,0.00878,0.01214
36,0.06518,0.00812,0.01152
37,0.06361,0.00762,0.01095
38,0.06242,0.00729,0.01047
39,0.06109,0.00713,0.01024
40,0.06041,0.00712,0.01023
41,0.05982,0.00725,0.01057
42,0.05991,0.00748,0.01115
43,0.05981,0.00779,0.01178
44,0.05912,0.00816,0.01256
45,0.05764,0.00855,0.01383
46,0.05686,0.00895,0.01617
47,0.05649,0.00934,0.01943
48,0.05735,0.00974,0.02348
49,0.05893,0.01012,0.02853
50,0.06290,0.01048,0.03476
51,0.06855,0.01083,0.04233
52,0.07807,0.01114,0.05119
53,0.09269,0.01144,0.06104
54,0.11227,0.01166,0.07083
55,0.14231,0.01190,0.07967
56,0.18034,0.01204,0.08596
57,0.21440,0.01225,0.08948
58,0.24769,0.01235,0.08986
59,0.26854,0.01256,0.08814
60,0.28064,0.01269,0.08585
61,0.28430,0.01291,0.08557
62,0.29060,0.01310,0.08972
63,0.31642,0.01332,0.09884
64,0.37843,0.01352,0.11135
65,0.44687,0.01377,0.12751
66,0.53545,0.01407,0.14579
67,0.61120,0.01455,0.16676
68,0.70428,0.01537,0.18865
69,0.75792,0.01665,0.21303
70,0.80830,0.01816,0.24066
71,0.84075,0.02018,0.26923
72,0.89024,0.02257,0.29616
73,0.91806,0.02556,0.31923
74,0.91818,0.02841,0.34026
75,0.89439,0.03109,0.36244
76,0.86833,0.03296,0.38168
77,0.87115,0.03459,0.40148
78,0.84730,0.03599,0.41464
79,0.82617,0.03656,0.42171
80,0.80676,0.03645,0.41067
81,0.86709,0.03497,0.38348
82,0.94246,0.03298,0.34952
83,0.98102,0.03155,0.32674
84,1.01834,0.03158,0.32002
85,1.01667,0.03164,0.32544
86,0.98900,0.03224,0.32984
87,0.89186,0.03308,0.32444
88,0.79702,0.03243,0.31786
89,0.97584,0.03172,0.32044
90,1.27593,0.03113,0.32784
91,1.36082,0.03392,0.33017
92,1.35333,0.03720,0.31631
93,1.28809,0.03923,0.30498
94,1.17609,0.03985,0.30275
95,1.09507,0.04084,0.30724
96,0.98272,0.04046,0.31268
97,1.01721,0.03954,0.30906
98,1.01791,0.03844,0.30117
99,0.90061,0.03811,0.29675
100,0.84660,0.03635,0.28811
101,0.83404,0.03493,0.27423
102,0.76097,0.03317,0.26648
103,0.68155,0.03021,0.25624
104,0.66859,0.02899,0.24574
105,0.68183,0.02767,0.23782
106,0.66004,0.02745,0.22995
107,0.65233,0.02736,0.22807
108,0.63265,0.02749,0.22787
109,0.67773,0.02649,0.22725
110,0.64659,0.02585,0.21622
111,0.65989,0.02514,0.20026
112,0.67337,0.02399,0.20017
113,0.71778,0.02298,0.21000
114,0.73476,0.02240,0.22016
115,0.77577,0.02239,0.22619
116,0.84651,0.02375,0.22851
117,0.93048,0.02680,0.22610
118,0.93947,0.03090,0.21912
119,0.87457,0.03380,0.20712
120,0.79277,0.03631,0.19617
121,0.69474,0.03648,0.18476
122,0.65462,0.03601,0.17965
123,0.63112,0.03456,0.17673
124,0.58235,0.03282,0.17313
125,0.53272,0.03101,0.16380
126,0.48325,0.02906,0.15256
127,0.40264,0.02714,0.14394
128,0.37581,0.02464,0.13797
129,0.34786,0.02256,0.13228
130,0.32394,0.02011,0.13069
131,0.31237,0.01800,0.13815
132,0.42820,0.01600,0.15004
133,0.65473,0.01540,0.15438
134,0.76974,0.01713,0.15273
135,0.76821,0.01910,0.14840
136,0.69323,0.02043,0.14316
137,0.63068,0.02084,0.13575
138,0.57254,0.02051,0.13056
139,0.54889,0.02018,0.13266
140,0.54276,0.02082,0.14520
141,0.53737,0.02130,0.15697
142,0.53675,0.02140,0.16341
143,0.56935,0.02057,0.16844
144,0.57806,0.01933,0.18090
145,0.67717,0.01853,0.19464
146,0.78634,0.01857,0.19735
147,0.77772,0.02020,0.19557
148,0.74321,0.01990,0.19207
149,0.71615,0.01900,0.19156
150,0.64682,0.01973,0.19214
151,0.62694,0.02027,0.19762
152,0.61346,0.02087,0.20442
153,0.59204,0.02149,0.20706
154,0.57582,0.02188,0.20459
155,0.57359,0.02213,0.20123
156,0.55197,0.02238,0.20042
157,0.57925,0.02261,0.20378
158,0.59736,0.02279,0.21060
159,0.68041,0.02263,0.21477
160,0.75639,0.02217,0.21991
161,0.86226,0.02125,0.22452
162,0.98556,0.02135,0.23159
163,1.06561,0.02315,0.23681
164,1.10586,0.02624,0.24055
165,1.09222,0.02992,0.24304
166,1.08639,0.03286,0.24657
167,1.03759,0.03533,0.24979
168,0.98478,0.03696,0.25455
169,0.91731,0.03828,0.25745
170,0.87942,0.03869,0.24829
171,0.83203,0.03861,0.23244
172,0.72562,0.03791,0.22123
173,0.63948,0.03589,0.22224
174,0.52244,0.03358,0.23082
175,0.48136,0.03019,0.23806
176,0.50258,0.02683,0.23652
177,0.50560,0.02383,0.22509
178,0.49637,0.02155,0.20857
179,0.46941,0.01997,0.19170
180,0.42244,0.01857,0.17195
181,0.38292,0.01696,0.15460
182,0.36081,0.01548,0.14520
183,0.35158,0.01442,0.13838
184,0.34615,0.01392,0.13276
185,0.33097,0.01372,0.12604
186,0.32630,0.01350,0.12060
187,0.33167,0.01331,0.11923
188,0.35642,0.01296,0.11913
189,0.36652,0.01279,0.11716
190,0.37624,0.01258,0.11138
191,0.37947,0.01246,0.10564
192,0.36611,0.01253,0.10380
193,0.34409,0.01279,0.10660
194,0.33529,0.01307,0.11106
195,0.31372,0.01336,0.11317
196,0.29954,0.01347,0.11225
197,0.30613,0.01345,0.10830
198,0.30760,0.01338,0.10269
199,0.29738,0.01326,0.09822
200,0.28469,0.01296,0.09611
201,0.26872,0.01271,0.09532
202,0.27525,0.01229,0.09549
203,0.32272,0.01193,0.09490
204,0.35556,0.01183,0.09292
205,0.34928,0.01188,0.09051
206,0.31509,0.01187,0.08983
207,0.29815,0.01181,0.09145
208,0.32499,0.01168,0.09407
209,0.38881,0.01197,0.09598
210,0.42668,0.01271,0.09631
211,0.42902,0.01353,0.09492
212,0.39000,0.01407,0.09216
213,0.35846,0.01424,0.08774
214,0.33741,0.01415,0.08147
215,0.33784,0.01413,0.07569
216,0.32612,0.01418,0.07278
217,0.29590,0.01428,0.07129
218,0.24949,0.01404,0.06957
219,0.21492,0.01339,0.06657
220,0.19826,0.01258,0.06263
221,0.19894,0.01177,0.05999
222,0.20727,0.01115,0.05956
223,0.21445,0.01076,0.06025
224,0.21931,0.01043,0.06100
225,0.22300,0.01006,0.06091
226,0.22046,0.00972,0.05955
227,0.22321,0.00937,0.05702
228,0.22807,0.00910,0.05386
229,0.23374,0.00899,0.05063
230,0.22853,0.00916,0.04782
231,0.22201,0.00937,0.04527
232,0.20749,0.00954,0.04273
233,0.19066,0.00951,0.04033
234,0.16970,0.00929,0.03843
235,0.16061,0.00883,0.03690
236,0.16155,0.00841,0.03564
237,0.16552,0.00804,0.03467
238,0.16630,0.00794,0.03346
239,0.16327,0.00791,0.03201
240,0.15196,0.00789,0.03101
241,0.14083,0.00773,0.03059
242,0.13291,0.00753,0.03040
243,0.13129,0.00722,0.03008
244,0.13127,0.00699,0.02938
245,0.12950,0.00680,0.02846
246,0.12377,0.00670,0.02781
247,0.11675,0.00657,0.02781
248,0.10970,0.00644,0.02826
249,0.10592,0.00624,0.02866
250,0.10454,0.00605,0.02872
251,0.10344,0.00584,0.02856
252,0.10206,0.00570,0.02839
253,0.09978,0.00560,0.02845
254,0.09718,0.00554,0.02875
255,0.09449,0.00549,0.02905
256,0.09220,0.00544,0.02910
257,0.08948,0.00539,0.02878
258,0.08603,0.00534,0.02815
259,0.08114,0.00528,0.02737
260,0.07483,0.00522,0.02658
261,0.06802,0.00511,0.02582
262,0.06083,0.00498,0.02502
263,0.05422,0.00480,0.02414
264,0.04825,0.00461,0.02315
265,0.04322,0.00438,0.02212
266,0.03880,0.00417,0.02113
267,0.03543,0.00394,0.02022
268,0.03225,0.00373,0.01938
269,0.03016,0.00352,0.01855
270,0.02848,0.00332,0.01772
271,0.02822,0.00311,0.01690
272,0.02821,0.00294,0.01611
273,0.02880,0.00277,0.01533
274,0.02850,0.00263,0.01453
275,0.02812,0.00250,0.01369
276,0.02696,0.00239,0.01284
277,0.02612,0.00227,0.01201
278,0.02544,0.00218,0.01125
279,0.02515,0.00208,0.01052
