,Fi
0,0.52632
1,0.49138
2,0.57793
3,0.67475
4,0.96558
5,1.17182
6,1.50724
7,1.56586
8,1.65671
9,1.63125
10,1.63427
11,1.61368
12,1.60525
13,1.59283
14,1.58481
15,1.57651
16,1.56989
17,1.56358
18,1.55798
19,1.55266
20,1.54768
21,1.54288
22,1.53825
23,1.53372
24,1.52928
25,1.52490
26,1.52059
27,1.51632
28,1.51211
29,1.50795
30,1.50387
31,1.49987
32,1.49595
33,1.49215
34,1.48846
35,1.48490
36,1.48148
37,1.47822
38,1.47511
39,1.47216
40,1.46938
41,1.46677
42,1.46432
43,1.46203
44,1.45990
45,1.45793
46,1.45610
47,1.45440
48,1.45285
49,1.45141
50,1.45009
51,1.44888
52,1.44777
53,1.44675
54,1.44581
55,1.44496
56,1.44417
57,1.44346
58,1.44280
59,1.44219
60,1.44164
61,1.44113
62,1.44066
63,1.44023
64,1.43983
65,1.43946
66,1.43912
67,1.43881
68,1.43851
69,1.43824
70,1.43798
71,1.43774
72,1.43751
73,1.43730
74,1.43710
75,1.43690
76,1.43672
77,1.43654
78,1.43636
79,1.43619
80,1.43603
81,1.43587
82,1.43571
83,1.43554
84,1.43538
85,1.43522
86,1.43505
87,1.43488
88,1.43471
89,1.43453
90,1.43434
91,1.43414
92,1.43393
93,1.43371
94,1.43347
95,1.43322
96,1.43295
97,1.43266
98,1.43235
99,1.43201
100,1.43164
101,1.43125
102,1.43081
103,1.43034
104,1.42983
105,1.42927
106,1.42865
107,1.42798
108,1.42725
109,1.42645
110,1.42557
111,1.42461
112,1.42357
113,1.42243
114,1.42119
115,1.41985
116,1.41839
117,1.41681
118,1.41511
119,1.41329
120,1.41133
121,1.40925
122,1.40703
123,1.40469
124,1.40222
125,1.39964
126,1.39696
127,1.39418
128,1.39132
129,1.38841
130,1.38544
131,1.38245
132,1.37946
133,1.37648
134,1.37353
135,1.37063
136,1.36780
137,1.36506
138,1.36241
139,1.35987
140,1.35745
141,1.35515
142,1.35297
143,1.35092
144,1.34900
145,1.34721
146,1.34553
147,1.34397
148,1.34253
149,1.34119
