,Fi
0,0.00000
1,-5277.53399
2,-10540.35855
3,-15773.80523
4,-20963.28750
5,-26094.34132
6,-31152.66553
7,-36124.16167
8,-40994.97330
9,-45751.52458
10,-50380.55816
11,-54869.17209
12,-59204.85579
13,-63375.52495
14,-67369.55514
15,-71175.81431
16,-74783.69371
17,-78183.13754
18,-81364.67095
19,-84319.42643
20,-87039.16854
21,-89516.31688
22,-91743.96719
23,-93715.91061
24,-95426.65097
25,-96871.42015
26,-98046.19130
27,-98947.69013
28,-99573.40400
29,-99921.58893
30,-99991.27448
31,-99782.26641
32,-99295.14726
33,-98531.27474
34,-97492.77787
35,-96182.55115
36,-94604.24641
37,-92762.26266
38,-90661.73385
39,-88308.51453
40,-85709.16354
41,-82870.92574
42,-79801.71180
43,-76510.07618
44,-73005.19326
45,-69296.83177
46,-65395.32758
47,-61311.55488
48,-57056.89588
49,-52643.20908
50,-48082.79622
51,-43388.36797
52,-38573.00857
53,-33650.13927
54,-28633.48099
55,-23537.01607
56,-18374.94927
57,-13161.66818
58,-7911.70317
59,-2639.68682
60,2639.68682
61,7911.70317
62,13161.66818
63,18374.94927
64,23537.01607
65,28633.48099
66,33650.13927
67,38573.00857
68,43388.36797
69,48082.79622
70,52643.20908
71,57056.89588
72,61311.55488
73,65395.32758
74,69296.83177
75,73005.19326
76,76510.07618
77,79801.71180
78,82870.92574
79,85709.16354
80,88308.51453
81,90661.73385
82,92762.26266
83,94604.24641
84,96182.55115
85,97492.77787
86,98531.27474
87,99295.14726
88,99782.26641
89,99991.27448
90,99921.58893
91,99573.40400
92,98947.69013
93,98046.19130
94,96871.42015
95,95426.65097
96,93715.91061
97,91743.96719
98,89516.31688
99,87039.16854
100,84319.42643
101,81364.67095
102,78183.13754
103,74783.69371
104,71175.81431
105,67369.55514
106,63375.52495
107,59204.85579
108,54869.17209
109,50380.55816
110,45751.52458
111,40994.97330
112,36124.16167
113,31152.66553
114,26094.34132
115,20963.28750
116,15773.80523
117,10540.35855
118,5277.53399
119,23642977209115634725497015256795406216986624.00000
120,-89685870452756661171228720380206947741204480.00000
121,59361704840527229025092744829058754818342912.00000
122,131087116079557396508374547938954104373510144.00000
123,4510948952220076199622186015128358486016.00000
124,55277297448832309815666975782001363124224.00000
125,-38499302870864337967771113140921145753600.00000
126,52247934774698725790148651501678732771328.00000
127,-56027914711656404972798208902410100801536.00000
128,-24895479605736204137278706729023963136.00000
129,-8603628882350044239778988423454392320.00000
130,964137540317746383543211382538240.00000
131,-2717065145680842008389599048499200.00000
132,1453297105502039959378132171593332293632.00000
133,-3989235699100378886555067019556638687232.00000
134,69808295626285134340180507407417344.00000
135,-149412034289323702681587844437245952.00000
136,9875993689777888764996138298709177794560.00000
137,7248934011363707927911703678649219678208.00000
138,-5651889686775534081174562185342328242176.00000
139,-12306711873740149687107424177090562359296.00000
140,-2582338304835005854254381041932446990336.00000
141,-10652921238025936645888073585917952.00000
142,-39829822137750404537549935916055273098182656.00000
143,3888657268933325550659788390935237549359104.00000
144,14182933373261046700801224929751725938573312.00000
145,-55089575744797838796785167473827959743184896.00000
146,83722071733094274900666534605195165126623232.00000
147,-301631469553819196290114773251109504942080.00000
