,H,Mu
0,2034409977460306678442714313402441435711537152.00000,2.00000
1,2979013084689405973043665712147341902805467136.00000,2.00000
2,1767949758497819849491929542307087141306368.00000,2.00000
3,725246052623861041133491674943735956766720.00000,2.00000
4,1633255108472649884701988208297312142753792.00000,2.00000
5,463367434612566644665364530070946840576.00000,2.00000
6,617826593852683871691044997203318800384.00000,2.00000
7,91939305206428329357888941269994283466752.00000,2.00000
8,172589114078858032437603645840582414172160.00000,2.00000
9,362710729433274000201788891938557286940672.00000,2.00000
10,148776627978768640860858342220211431669760.00000,2.00000
11,644176201936315239385306755038003574660399104.00000,2.00000
12,1888330695146870504187561078180163704496062464.00000,2.00000
13,6525828193789001765648955630669814166454272.00000,2.00000
14,59937391159096419974392218085257498656243712.00000,2.00000
15,7168403299406577134315916635316147055493120.00000,2.00000
16,24479135587884784111659188328624658153734144.00000,2.00000
17,387817994530805253123287756825424631347281920.00000,2.00000
18,180176603835917649504091043600210041853968384.00000,2.00000
19,213872688440134629627241720006960998571311104.00000,2.00000
20,64664252496501416175071251528966251579703296.00000,2.00000
21,3969441439286670677301941553812184984715264.00000,2.00000
22,2567825901461893140019522395288159387648.00000,2.00000
23,691424736520254189194689982101480013824.00000,2.00000
24,654566395382110915352150459735284383744.00000,2.00000
25,272777622642737259737582544888188596882767872.00000,2.00000
26,195180402172467896293117703656410540146688.00000,2.00000
27,185677556153106321651603442934893699399680.00000,2.00000
28,411984808070937996682864213387130418757632.00000,2.00000
29,141879710936371977277957078216507129856.00000,2.00000
30,272366215417360849209811632773067177984.00000,2.00000
31,1292369448085822273902923615741647853191168.00000,2.00000
32,504016393802716147846815838290696202931404800.00000,2.00000
33,849446259016063768167876101164630801106599936.00000,2.00000
34,971915633824734185629988869201400559306801152.00000,2.00000
35,1410493990433177413769757116910832312937086976.00000,2.00000
36,15887664853515623491093206096582202143801344.00000,2.00000
37,6960014098329827104468487771301318571851776.00000,2.00000
38,396935031946900735878704513812412718120960.00000,2.00000
39,4817066231680635500910506898493929213132800.00000,2.00000
40,117146173681070417328731364518563113989046272.00000,2.00000
41,81798167639577389173070719706496485300371456.00000,2.00000
42,91265310316225906290221412843940276240121856.00000,2.00000
43,183468030621318457125849369208919257251840.00000,2.00000
44,109642232167070293080000214385019039252480.00000,2.00000
45,102109481292736303856155225313510567182336.00000,2.00000
46,9059928519309386130129904012822353847255040.00000,2.00000
47,3767687417838006497752374293855481882476544.00000,2.00000
48,342371838418530189459941808822652885794816.00000,2.00000
49,240910728030406795929310086337978204778659840.00000,2.00000
50,173763475338466139319997390690629336231313408.00000,2.00000
51,64746347908652831838450330588119165174808576.00000,2.00000
52,2214646626607004030488228764991538491031552.00000,2.00000
53,1550777816453646094312084653788305341546496.00000,2.00000
54,706782920889137257271520321942700955795456.00000,2.00000
55,28051414656490867616789717410736370060623872.00000,2.00000
56,30242981980779994947453300944040016859889664.00000,2.00000
57,99522318208660806652528086937328874300637184.00000,2.00000
58,190030170545459818958893952765723981109002240.00000,2.00000
59,1231875607720759307317257245680763783872512.00000,2.00000
60,770297881434938566562611688528673524154368.00000,2.00000
61,432102607830044570103969380449976802344960.00000,2.00000
62,119713902596792859546753194138680067883008.00000,2.00000
63,992992910358474658761295531944929990279168.00000,2.00000
64,51520977019263981781929337295248167186464768.00000,2.00000
65,54549649852230392915896272316171353587712.00000,2.00000
66,72726525303702078077498472459534075953152.00000,2.00000
67,423415752280618157201587527469716421476352.00000,2.00000
68,349430854807354670974275499655322048397312.00000,2.00000
69,6071978442558910043750310455320799636094976.00000,2.00000
70,503796451641068081199748948158891666964480.00000,2.00000
71,1232585275532086991168206075038516182515712.00000,2.00000
72,962608033026728046283909277236764606464.00000,2.00000
73,11863071184460231674317760468577771585536.00000,2.00000
74,39987606633816909238230207632489666576384.00000,2.00000
75,2306471474099543565609464365573850112458752.00000,2.00000
76,6782053785414708772452790350805110737600512.00000,2.00000
77,519154840806231979318554437980825577509093376.00000,2.00000
78,45887603809773724096498095966611389829611520.00000,2.00000
79,218162986409115192176632266409612014686044160.00000,2.00000
80,71370818006061819331468038547649508367400960.00000,2.00000
81,1101490946159142431256236265228390750306172928.00000,2.00000
82,1160816160991682588843867815366470260297302016.00000,2.00000
83,25163378862812133038232590857658553442762752.00000,2.00000
84,34923218627628049642122162435410087020331008.00000,2.00000
85,3772641919694935097232068941078019184787456.00000,2.00000
86,350602474248073068789993845097546270113792.00000,2.00000
87,2417139250767214254180063679356554451091456.00000,2.00000
88,963454409608703594722905393615287376412672.00000,2.00000
89,34230838913475325210817444880126067718750208.00000,2.00000
90,42954553023392384124608413029014583849779200.00000,2.00000
91,1072198187556701033188842516347092589346816.00000,2.00000
92,291301284258485797391337206042549205073920.00000,2.00000
93,39913050410113950135317432980783552295600128.00000,2.00000
94,50930880253322117451117346625786776001708032.00000,2.00000
95,185198050582842858864604140918012442050560.00000,2.00000
96,1496906711757569687449716560829357991395328.00000,2.00000
97,71451557997771337907703415940116035783360512.00000,2.00000
98,54796893069230683220783885309467501558497280.00000,2.00000
99,140042874641447300922391828197600734046322688.00000,2.00000
100,136225148754543160154802105666069125893455872.00000,2.00000
101,2523055538698214515045109533822920901525504.00000,2.00000
102,14057310523786728064758898784152774227525632.00000,2.00000
103,10581102757474950760158988050962222940160.00000,2.00000
104,27574163669203635033332529785245221781504.00000,2.00000
105,1505203995439460138356048542038185488678912000.00000,2.00000
106,282542600207606070074410327520480411248492544.00000,2.00000
