,W,Psi,T
0,-10455.278530760837,0.0,1.0
1,-16099.725693502016,0.0,1.0
2,-18296.248192118765,0.0,1.0
3,-16485.19428875079,0.0,1.0
4,-23048.05594657612,0.0,1.0
5,-23151.577128646466,0.0,1.0
6,-24731.799864289576,0.0,1.0
7,-24220.828411012455,0.0,1.0
8,-21713.16121900001,0.0,1.0
9,-31402.139061155794,0.0,1.0
10,-31608.268799895442,0.0,1.0
11,-24256.851846752135,0.0,1.0
12,-26416.556921408875,0.0,1.0
13,-41348.63822853575,0.0,1.0
14,-51386.91463438386,0.0,1.0
15,-46628.193317333746,0.0,1.0
16,-51866.79001978584,0.0,1.0
17,-48631.36010117602,0.0,1.0
18,-57997.95932695674,0.0,1.0
19,-43391.05635119789,0.0,1.0
20,-44870.81442095193,0.0,1.0
21,-38786.63679864714,0.0,1.0
22,-26046.269901525382,0.0,1.0
23,-9351.453078034498,0.0,1.0
24,3548.950224132159,0.0,1.0
25,6534.833253275543,0.0,1.0
26,7925.411106968302,0.0,1.0
27,6862.807539209192,0.0,1.0
28,6253.35580223258,0.0,1.0
29,7469.40140630664,0.0,1.0
30,6241.815094909968,0.0,1.0
31,7766.776431065133,0.0,1.0
32,10320.14566943726,0.0,1.0
33,10285.752320929523,0.0,1.0
34,9229.703404218526,0.0,1.0
35,12836.512934385037,0.0,1.0
36,12467.464140033146,0.0,1.0
37,16206.947942560808,0.0,1.0
38,21216.73394462321,0.0,1.0
39,15464.766579090418,0.0,1.0
40,12227.133602745034,0.0,1.0
41,10010.24338930067,0.0,1.0
42,7450.03372687214,0.0,1.0
43,5924.309377773086,0.0,1.0
44,5161.318021442857,0.0,1.0
45,4878.096991669703,0.0,1.0
46,3734.094547073858,0.0,1.0
47,2974.543175272865,0.0,1.0
48,3084.010095030285,0.0,1.0
49,3262.1612716840477,0.0,1.0
50,2072.351992698696,0.0,1.0
51,1676.3803701322531,0.0,1.0
52,1542.4135983888182,0.0,1.0
53,1490.126644197687,0.0,1.0
54,1347.6806907683572,0.0,1.0
55,594.4810443083736,0.0,1.0
56,-89.48497648231533,0.0,1.0
57,-781.9771954023038,0.0,1.0
58,-1542.1386587599254,0.0,1.0
59,-3352.092885772776,0.0,1.0
60,-704.1486366032822,0.0,1.0
61,4249.361070268598,0.0,1.0
62,7794.592939732302,0.0,1.0
63,6625.240330168189,0.0,1.0
64,6596.241261783715,0.0,1.0
65,5509.942896129161,0.0,1.0
