,W,Psi,T
0,2015.0793981380384,0.0,1.0
1,1705.0132298727422,0.0,1.0
2,1707.4152163500994,0.0,1.0
3,1738.0025027243164,0.0,1.0
4,1774.8142593656055,0.0,1.0
5,1743.8682876149285,0.0,1.0
6,1751.259683465615,0.0,1.0
7,1740.4297330194606,0.0,1.0
8,1519.2671260408652,0.0,1.0
9,1455.6196050891342,0.0,1.0
10,1443.0975699544738,0.0,1.0
11,1429.5775110964007,0.0,1.0
12,1525.831007180594,0.0,1.0
13,1289.6134726818907,0.0,1.0
14,1184.4083706995525,0.0,1.0
15,1106.9334638955747,0.0,1.0
16,1143.3989312953577,0.0,1.0
17,953.7861798250287,0.0,1.0
18,883.0069601995093,0.0,1.0
19,843.4629197955936,0.0,1.0
20,594.8360434778655,0.0,1.0
21,350.8973492540263,0.0,1.0
22,88.81507340586869,0.0,1.0
23,-235.3983441981805,0.0,1.0
24,-464.9862391926871,0.0,1.0
25,-647.5398712887772,0.0,1.0
26,-845.4813882733724,0.0,1.0
27,-1061.1099200600383,0.0,1.0
28,-1014.7381267273039,0.0,1.0
29,-1068.2007601949363,0.0,1.0
30,-1258.9650823212442,0.0,1.0
31,-1261.663315895135,0.0,1.0
32,-1370.0414002345767,0.0,1.0
33,-1393.9867637930047,0.0,1.0
34,-1487.8473427217416,0.0,1.0
35,-1493.6713254863002,0.0,1.0
36,-1606.1498132577424,0.0,1.0
37,-1528.7594091748988,0.0,1.0
38,-1853.0946451102673,0.0,1.0
39,-1705.012375655128,0.0,1.0
40,-1775.2202797266618,0.0,1.0
41,-1961.7352423742504,0.0,1.0
42,-1769.2130373235718,0.0,1.0
43,-1798.9903196025232,0.0,1.0
44,-2090.1279847020214,0.0,1.0
45,-1730.2661432423297,0.0,1.0
46,-1753.0198557065755,0.0,1.0
47,-1723.3155788711765,0.0,1.0
48,-1922.5442903559185,0.0,1.0
49,-1747.6292974632001,0.0,1.0
50,-1544.8427185554117,0.0,1.0
51,-1834.4827388179308,0.0,1.0
52,-1513.0375035854818,0.0,1.0
53,-1385.14716370919,0.0,1.0
54,-1376.6812091229936,0.0,1.0
55,-1418.7971635478598,0.0,1.0
56,-1263.291019243452,0.0,1.0
57,-1156.5697483362494,0.0,1.0
58,-1016.5613872957916,0.0,1.0
59,-958.4776747434067,0.0,1.0
60,-880.6914426501077,0.0,1.0
61,-656.6699888928038,0.0,1.0
62,-587.6889187225976,0.0,1.0
63,-470.93123705872256,0.0,1.0
64,-385.61815172010694,0.0,1.0
65,-219.38129186807856,0.0,1.0
66,-91.48863036348367,0.0,1.0
67,23.87770125020677,0.0,1.0
68,162.4238680346533,0.0,1.0
69,282.84605634404534,0.0,1.0
70,409.2981915414696,0.0,1.0
71,587.1939778709907,0.0,1.0
72,652.5391556911742,0.0,1.0
73,794.1493825589839,0.0,1.0
74,857.4472955882645,0.0,1.0
75,955.9659349347746,0.0,1.0
76,1223.8135246270936,0.0,1.0
77,1263.0948789723811,0.0,1.0
78,1222.3570177344195,0.0,1.0
79,1357.3182672302287,0.0,1.0
80,1488.175011745101,0.0,1.0
81,1575.1913262815924,0.0,1.0
82,1622.6155228277012,0.0,1.0
83,1627.005472727566,0.0,1.0
84,1910.107913816432,0.0,1.0
85,1678.080947165516,0.0,1.0
86,1856.549456882922,0.0,1.0
87,1899.4416682805863,0.0,1.0
88,1795.3218120658435,0.0,1.0
89,1053.5484021183174,0.0,0.0
90,912.5986797364135,0.0,0.0
91,989.0819859076012,0.0,0.0
