,W,Psi,T
0,2015.49465,0.00000,1.00000
1,1705.35484,0.00000,1.00000
2,1707.69331,0.00000,1.00000
3,1738.19282,0.00000,1.00000
4,1774.88889,0.00000,1.00000
5,1743.85299,0.00000,1.00000
6,1751.07274,0.00000,1.00000
7,1740.09855,0.00000,1.00000
8,1518.83357,0.00000,1.00000
9,1455.06173,0.00000,1.00000
10,1442.45136,0.00000,1.00000
11,1428.87310,0.00000,1.00000
12,1524.95791,0.00000,1.00000
13,1288.84389,0.00000,1.00000
14,1183.66219,0.00000,1.00000
15,1106.21114,0.00000,1.00000
16,1142.66159,0.00000,1.00000
17,953.24721,0.00000,1.00000
18,882.58978,0.00000,1.00000
19,843.19627,0.00000,1.00000
20,594.77399,0.00000,1.00000
21,351.01763,0.00000,1.00000
22,89.06381,0.00000,1.00000
23,-235.05804,0.00000,1.00000
24,-464.67625,0.00000,1.00000
25,-647.27691,0.00000,1.00000
26,-845.24643,0.00000,1.00000
27,-1060.89713,0.00000,1.00000
28,-1014.60317,0.00000,1.00000
29,-1068.11176,0.00000,1.00000
30,-1258.90441,0.00000,1.00000
31,-1261.65786,0.00000,1.00000
32,-1370.06029,0.00000,1.00000
33,-1394.02784,0.00000,1.00000
34,-1487.90051,0.00000,1.00000
35,-1493.74276,0.00000,1.00000
36,-1606.21308,0.00000,1.00000
37,-1528.84450,0.00000,1.00000
38,-1853.19219,0.00000,1.00000
39,-1705.14048,0.00000,1.00000
40,-1775.38389,0.00000,1.00000
41,-1961.90611,0.00000,1.00000
42,-1769.38441,0.00000,1.00000
43,-1799.17434,0.00000,1.00000
44,-2090.30505,0.00000,1.00000
45,-1730.44779,0.00000,1.00000
46,-1753.19365,0.00000,1.00000
47,-1723.53129,0.00000,1.00000
48,-1922.82164,0.00000,1.00000
49,-1747.90952,0.00000,1.00000
50,-1545.12903,0.00000,1.00000
51,-1834.77522,0.00000,1.00000
52,-1513.34140,0.00000,1.00000
53,-1385.46397,0.00000,1.00000
54,-1377.03334,0.00000,1.00000
55,-1419.19155,0.00000,1.00000
56,-1263.69598,0.00000,1.00000
57,-1156.96706,0.00000,1.00000
58,-1016.96953,0.00000,1.00000
59,-958.90169,0.00000,1.00000
60,-881.12288,0.00000,1.00000
61,-657.02909,0.00000,1.00000
62,-588.03460,0.00000,1.00000
63,-471.24915,0.00000,1.00000
64,-385.91548,0.00000,1.00000
65,-219.58632,0.00000,1.00000
66,-91.63539,0.00000,1.00000
67,23.79479,0.00000,1.00000
68,162.41050,0.00000,1.00000
69,282.90057,0.00000,1.00000
70,409.42307,0.00000,1.00000
71,587.40266,0.00000,1.00000
72,652.79215,0.00000,1.00000
73,794.44300,0.00000,1.00000
74,857.75765,0.00000,1.00000
75,956.32462,0.00000,1.00000
76,1224.24262,0.00000,1.00000
77,1263.49662,0.00000,1.00000
78,1222.72455,0.00000,1.00000
79,1357.72737,0.00000,1.00000
80,1488.60647,0.00000,1.00000
81,1575.61298,0.00000,1.00000
82,1622.98781,0.00000,1.00000
83,1627.37814,0.00000,1.00000
84,1910.55318,0.00000,1.00000
85,1678.56635,0.00000,1.00000
86,1857.03889,0.00000,1.00000
87,1899.93382,0.00000,1.00000
88,1795.81547,0.00000,1.00000
89,1053.27954,0.00000,0.00000
90,912.37381,0.00000,0.00000
91,988.79132,0.00000,0.00000
92,828.32514,0.00000,0.00000
93,865.93275,0.00000,0.00000
94,668.01752,0.00000,0.00000
95,714.34819,0.00000,0.00000
96,654.86674,0.00000,0.00000
97,507.70159,0.00000,0.00000
98,466.92597,0.00000,0.00000
99,387.94870,0.00000,0.00000
100,325.86779,0.00000,0.00000
101,303.78479,0.00000,0.00000
102,258.91465,0.00000,0.00000
103,199.11340,0.00000,0.00000
104,171.21888,0.00000,0.00000
105,118.03762,0.00000,0.00000
106,98.82091,0.00000,0.00000
107,72.40506,0.00000,0.00000
108,49.14048,0.00000,0.00000
109,30.78977,0.00000,0.00000
110,14.11041,0.00000,0.00000
111,2.85251,0.00000,0.00000
112,-8.69786,0.00000,0.00000
113,-25.06447,0.00000,0.00000
114,-44.05028,0.00000,0.00000
115,-61.55084,0.00000,0.00000
116,-77.79568,0.00000,0.00000
117,-108.47763,0.00000,0.00000
118,-141.59107,0.00000,0.00000
119,-170.11003,0.00000,0.00000
120,-243.56636,0.00000,0.00000
121,-240.23684,0.00000,0.00000
122,-356.63901,0.00000,0.00000
123,-376.04002,0.00000,0.00000
124,-490.68512,0.00000,0.00000
125,-451.01334,0.00000,0.00000
126,-539.27438,0.00000,0.00000
127,-725.78273,0.00000,0.00000
128,-636.74650,0.00000,0.00000
129,-832.49549,0.00000,0.00000
130,-914.14114,0.00000,0.00000
131,-852.78237,0.00000,0.00000
132,-904.57683,0.00000,0.00000
133,-961.56666,0.00000,0.00000
134,-1156.51645,0.00000,0.00000
135,-998.99343,0.00000,0.00000
136,-1120.63714,0.00000,0.00000
137,-1205.79265,0.00000,0.00000
138,-1151.27256,0.00000,0.00000
139,-1191.66538,0.00000,0.00000
140,-1153.18625,0.00000,0.00000
141,-1186.13408,0.00000,0.00000
142,-1089.51579,0.00000,0.00000
143,-1296.62023,0.00000,0.00000
144,-1041.37528,0.00000,0.00000
145,-1052.05824,0.00000,0.00000
146,-1215.92762,0.00000,0.00000
147,-1042.71071,0.00000,0.00000
148,-1064.15469,0.00000,0.00000
149,-913.68424,0.00000,0.00000
150,-957.01309,0.00000,0.00000
151,-861.22940,0.00000,0.00000
152,-756.86860,0.00000,0.00000
153,-607.03796,0.00000,0.00000
154,-472.32531,0.00000,0.00000
155,-213.77630,0.00000,0.00000
156,90.63331,0.00000,0.00000
157,337.03185,0.00000,0.00000
158,535.61623,0.00000,0.00000
159,683.42099,0.00000,0.00000
160,870.51263,0.00000,0.00000
161,920.22592,0.00000,0.00000
162,985.10935,0.00000,0.00000
163,1047.50821,0.00000,0.00000
164,949.73490,0.00000,0.00000
165,1010.84549,0.00000,0.00000
166,1166.73980,0.00000,0.00000
167,1087.93481,0.00000,0.00000
168,1252.92587,0.00000,0.00000
169,1163.86580,0.00000,0.00000
170,1180.80434,0.00000,0.00000
171,1194.12787,0.00000,0.00000
172,1048.99669,0.00000,0.00000
173,1284.89687,0.00000,0.00000
174,1102.89965,0.00000,0.00000
175,1200.83192,0.00000,0.00000
176,1059.85193,0.00000,0.00000
