,Fi,H_nodes
0,0.00000,0.98974
1,-0.52775,0.99016
2,-1.05404,1.00102
3,-1.57738,1.01493
4,-2.09633,1.03452
5,-2.60943,1.05645
6,-3.11527,1.08777
7,-3.61242,1.12562
8,-4.09950,1.14985
9,-4.57515,1.19390
10,-5.03806,1.22664
11,-5.48692,1.26323
12,-5.92049,1.30031
13,-6.33755,1.34371
14,-6.73696,1.38591
15,-7.11758,1.42370
16,-7.47837,1.46046
17,-7.81831,1.49417
18,-8.13647,1.52572
19,-8.43194,1.55815
20,-8.70392,1.59270
21,-8.95163,1.62324
22,-9.17440,1.65097
23,-9.37159,1.67129
24,-9.54267,1.69364
25,-9.68714,1.71854
26,-9.80462,1.73299
27,-9.89477,1.74659
28,-9.95734,1.75079
29,-9.99216,1.75346
30,-9.99913,1.75332
31,-9.97823,1.74588
32,-9.92952,1.73356
33,-9.85313,1.71845
34,-9.74928,1.70275
35,-9.61826,1.68699
36,-9.46043,1.67192
37,-9.27623,1.65410
38,-9.06617,1.63302
39,-8.83085,1.60859
40,-8.57092,1.58206
41,-8.28709,1.55142
42,-7.98017,1.51867
43,-7.65101,1.48102
44,-7.30052,1.45193
45,-6.92968,1.41599
46,-6.53953,1.37481
47,-6.13116,1.33892
48,-5.70569,1.29633
49,-5.26432,1.25526
50,-4.80828,1.21542
51,-4.33884,1.17840
52,-3.85730,1.14193
53,-3.36501,1.10671
54,-2.86335,1.07194
55,-2.35370,1.04539
56,-1.83750,1.02442
57,-1.31617,1.01868
58,-0.79117,0.99509
59,-0.26397,0.99096
60,0.26397,0.98643
61,0.79117,0.99675
62,1.31617,1.00820
63,1.83750,1.02390
64,2.35370,1.04575
65,2.86335,1.07154
66,3.36501,1.10177
67,3.85730,1.13516
68,4.33884,1.17719
69,4.80828,1.21256
70,5.26432,1.24993
71,5.70569,1.28737
72,6.13116,1.32956
73,6.53953,1.37107
74,6.92968,1.40328
75,7.30052,1.45203
76,7.65101,1.48586
77,7.98017,1.51899
78,8.28709,1.55869
79,8.57092,1.59191
80,8.83085,1.62390
81,9.06617,1.64626
82,9.27623,1.67197
83,9.46043,1.69777
84,9.61826,1.71787
85,9.74928,1.73256
86,9.85313,1.74474
87,9.92952,1.75371
88,9.97823,1.75618
89,9.99913,1.75462
90,9.99216,1.75807
91,9.95734,1.75705
92,9.89477,1.74693
93,9.80462,1.73360
94,9.68714,1.71929
95,9.54267,1.69872
96,9.37159,1.67966
97,9.17440,1.65612
98,8.95163,1.63221
99,8.70392,1.60207
100,8.43194,1.56523
101,8.13647,1.53961
102,7.81831,1.50546
103,7.47837,1.46619
104,7.11758,1.43073
105,6.73696,1.39392
106,6.33755,1.35718
107,5.92049,1.31738
108,5.48692,1.27086
109,5.03806,1.23191
110,4.57515,1.19439
111,4.09950,1.15709
112,3.61242,1.12168
113,3.11527,1.09028
114,2.60943,1.06203
115,2.09633,1.03693
116,1.57738,1.01632
117,1.05404,1.00196
118,0.52775,0.98933
119,0.01782,0.07008
120,0.01562,0.05838
121,0.01215,0.04781
122,0.02058,0.08278
123,0.00184,0.03032
124,0.00333,0.03392
125,0.00170,0.03324
126,0.00416,0.03383
127,0.00313,0.02931
128,-0.00008,0.00198
129,-0.00010,0.00167
130,-0.00000,0.00081
131,-0.00000,0.00117
132,0.00010,0.00261
133,0.00004,0.00196
134,0.00000,0.00082
135,0.00000,0.00203
136,0.00024,0.00385
137,-0.00021,0.00509
138,-0.00025,0.00438
139,-0.00052,0.00552
140,-0.00032,0.00539
141,-0.00000,0.00280
142,-0.03007,0.10982
143,-0.02344,0.08752
144,-0.03238,0.11515
145,-0.04517,0.17011
146,-0.03629,0.12725
147,-0.01069,0.04395
148,-0.00702,0.02969
149,-0.00887,0.03746
150,-0.01258,0.05099
151,-0.01561,0.06051
152,0.00738,0.03270
153,0.00553,0.02650
154,0.00540,0.02505
155,0.00809,0.03517
156,0.01057,0.04397
157,0.01718,0.06295
158,0.01464,0.05553
159,0.01228,0.04701
160,0.01139,0.04438
161,0.00857,0.03528
162,0.01427,0.05913
163,0.01445,0.06020
164,0.01220,0.05089
165,0.00843,0.03727
166,-0.00034,0.00344
167,-0.00033,0.00305
168,-0.00019,0.00241
169,-0.00021,0.00223
170,0.02737,0.09643
171,0.02100,0.08050
172,0.02989,0.10680
173,0.00022,0.00461
174,0.00055,0.00532
175,-0.00067,0.00575
176,-0.00100,0.00708
177,-0.00004,0.00091
178,-0.00000,0.00047
179,-0.00005,0.00119
180,0.00165,0.02565
181,-0.01640,0.06397
182,-0.01675,0.06520
183,-0.02090,0.07808
184,-0.02432,0.09244
185,-0.02673,0.10673
186,-0.02588,0.09338
187,-0.03001,0.10631
188,-0.03341,0.11706
189,-0.04017,0.15730
190,-0.04233,0.16745
191,-0.00809,0.03368
192,-0.01160,0.04629
193,-0.00718,0.03060
194,-0.00502,0.02233
195,-0.00615,0.02667
196,-0.00205,0.01037
197,-0.00130,0.00782
198,-0.00219,0.01116
199,-0.00301,0.01416
200,-0.00259,0.01214
201,0.01655,0.06702
202,0.01537,0.06269
203,0.02036,0.08050
204,0.01208,0.05081
205,0.01222,0.05148
206,-0.00333,0.01516
207,-0.00345,0.01597
208,-0.00465,0.02069
209,-0.00247,0.01151
210,-0.00230,0.01102
211,-0.00375,0.01693
212,-0.00156,0.00855
213,-0.02160,0.08379
214,-0.01982,0.07945
215,-0.01658,0.06480
216,-0.01621,0.06343
217,-0.01883,0.07133
218,0.00368,0.02871
219,0.00279,0.02468
220,0.00502,0.03012
221,0.00292,0.02225
222,0.00502,0.02675
223,-0.01325,0.05269
224,-0.01144,0.04606
225,0.01846,0.07074
226,0.01490,0.05806
227,0.01263,0.05067
228,0.01547,0.06074
229,-0.00176,0.00981
230,-0.00284,0.01374
231,-0.00359,0.01652
232,-0.00010,0.00272
233,0.00007,0.00363
234,0.00021,0.00332
235,0.00037,0.00458
236,0.00866,0.03957
237,-0.00194,0.02389
238,-0.00143,0.01997
239,-0.00361,0.02499
240,-0.00241,0.01836
241,-0.00013,0.00293
242,-0.00037,0.00431
243,0.00998,0.03937
244,0.01019,0.04127
245,0.01400,0.05511
246,0.00050,0.00492
247,0.00000,0.00259
248,0.00000,0.00294
249,0.00021,0.00503
250,0.00038,0.00543
251,0.00050,0.00550
252,0.01035,0.04478
253,0.01529,0.06075
254,0.01300,0.05400
255,0.04648,0.15791
256,0.04050,0.13753
257,0.03644,0.12903
258,0.04544,0.15587
259,0.05739,0.22360
260,-0.01190,0.04792
261,-0.01300,0.05202
262,-0.01591,0.06123
263,-0.01603,0.06193
264,-0.01064,0.04367
265,0.01911,0.07011
266,0.02331,0.08936
267,0.02642,0.10106
268,0.02057,0.07466
269,0.02956,0.10975
270,-0.03396,0.11749
271,-0.03971,0.13720
272,-0.04356,0.14572
273,-0.05501,0.20585
274,-0.05363,0.20184
275,-0.00178,0.00912
276,-0.00117,0.00695
277,-0.00092,0.00628
278,-0.00127,0.00813
279,-0.00149,0.00953
280,-0.00216,0.01172
281,-0.04857,0.16707
282,-0.06105,0.23565
283,-0.06059,0.23365
284,-0.04488,0.15526
285,-0.00650,0.02726
286,-0.00902,0.03729
287,-0.00731,0.03070
288,-0.00511,0.02253
289,-0.00433,0.01962
290,-0.02874,0.10425
291,-0.02524,0.09086
292,-0.02181,0.07980
293,-0.02627,0.09739
294,-0.03792,0.14883
295,0.00361,0.01659
296,0.00243,0.01154
297,0.00323,0.01484
298,0.00474,0.02104
299,0.00548,0.02452
300,0.02294,0.08765
301,0.03136,0.11567
302,0.02911,0.10729
303,0.02095,0.08280
304,0.01639,0.06795
305,0.00588,0.02620
306,0.00629,0.02760
307,0.00409,0.01905
308,0.00548,0.02515
309,0.00971,0.04797
310,0.01008,0.04796
311,0.00668,0.04003
312,0.00604,0.03912
313,0.00910,0.04673
314,0.00084,0.00496
315,0.00055,0.00373
316,0.00095,0.00517
317,0.00142,0.00725
318,0.00113,0.00622
319,0.00799,0.03554
320,0.00903,0.03804
321,0.00647,0.02897
322,0.00515,0.02489
323,0.00686,0.03264
324,0.01505,0.05738
325,0.03406,0.12799
326,0.02901,0.11270
327,0.04180,0.14989
328,0.03259,0.12470
329,0.04229,0.15054
330,-0.02713,0.10172
331,0.01530,0.06103
332,0.02074,0.08012
333,0.02175,0.08235
334,-0.04089,0.13587
335,-0.04315,0.14199
336,-0.03316,0.11319
337,-0.05345,0.20181
338,-0.03467,0.11780
339,-0.02486,0.08973
340,-0.02558,0.09067
341,-0.03319,0.11499
342,-0.02123,0.08362
343,-0.02353,0.09267
344,-0.03119,0.11557
345,-0.03397,0.12417
346,-0.02612,0.09853
347,0.01475,0.06375
348,0.01599,0.06780
349,0.01112,0.05103
350,0.00789,0.04126
351,0.01178,0.05160
352,0.00459,0.02179
353,0.00675,0.02965
354,0.00844,0.03529
355,-0.00432,0.02306
356,-0.00752,0.03322
357,-0.00556,0.02623
358,-0.00612,0.02972
359,-0.01346,0.05499
360,-0.01055,0.04494
361,-0.00937,0.04017
362,-0.00730,0.03234
363,0.00191,0.01209
364,0.00151,0.01197
365,0.00107,0.00869
366,0.00054,0.00826
367,-0.00432,0.02101
368,-0.00646,0.02931
369,-0.00506,0.02353
370,-0.00287,0.01414
371,-0.00203,0.01073
372,-0.00219,0.01093
373,-0.00134,0.00815
374,-0.00157,0.01126
375,-0.00078,0.01072
376,-0.00071,0.00799
377,-0.00164,0.01399
378,-0.00755,0.04365
379,-0.00416,0.03743
380,-0.00558,0.03791
381,-0.00585,0.04090
382,-0.00014,0.00281
383,0.00683,0.02966
384,0.00691,0.02935
385,0.00268,0.01303
386,0.00278,0.01378
387,0.00444,0.02005
388,-0.01989,0.07301
389,-0.01463,0.05627
390,-0.01584,0.05905
391,-0.00199,0.00960
392,-0.00116,0.00675
393,-0.00922,0.03785
394,0.01173,0.04790
395,-0.03873,0.12838
396,-0.02720,0.09708
397,-0.00018,0.00174
398,-0.00017,0.00172
399,-0.00008,0.00110
400,-0.00009,0.00117
401,-0.00015,0.00165
402,-0.01920,0.07343
403,-0.02507,0.09109
404,-0.02656,0.09629
405,0.00133,0.02133
406,-0.00000,0.00024
407,-0.00000,0.00019
408,-0.00002,0.00055
409,-0.00136,0.03598
410,-0.00001,0.01941
411,-0.00277,0.03692
412,-0.00391,0.03745
413,-0.00236,0.03440
414,-0.00000,0.00089
415,-0.00000,0.00174
416,-0.00028,0.00509
417,-0.00065,0.00582
418,-0.00044,0.00499
419,-0.00000,0.00220
420,-0.00000,0.00245
421,-0.00021,0.00195
422,-0.00010,0.00125
423,-0.00037,0.00269
424,-0.00035,0.00281
425,-0.00018,0.00340
426,-0.00028,0.00413
427,-0.00043,0.00389
428,-0.00025,0.00307
429,-0.04676,0.16113
430,-0.05727,0.22348
431,-0.05824,0.22240
432,-0.04137,0.14323
433,-0.03641,0.12730
434,0.00288,0.01913
435,0.00187,0.01410
436,0.00166,0.01609
437,0.00238,0.02146
438,0.00423,0.02509
439,0.00597,0.03066
440,0.00624,0.03276
441,0.00457,0.02431
442,0.02836,0.10570
443,0.03902,0.13955
444,0.03020,0.11475
445,0.02110,0.08374
446,-0.00353,0.01578
447,-0.00251,0.01169
448,-0.00275,0.01253
449,-0.00440,0.01946
450,-0.00479,0.02174
451,0.02502,0.09772
452,0.03389,0.12588
453,0.02626,0.10059
454,0.03338,0.12151
455,0.02259,0.08730
456,0.00068,0.00418
457,0.00102,0.00563
458,0.00111,0.00571
459,0.00073,0.00425
460,0.00046,0.00320
461,-0.02102,0.08543
462,-0.03121,0.11531
463,-0.01602,0.06754
464,-0.01505,0.06581
465,0.00465,0.02545
466,0.00645,0.03028
467,0.00411,0.02168
468,0.00250,0.01726
469,0.00288,0.02203
470,-0.01663,0.06685
471,-0.02325,0.08763
472,-0.01535,0.06522
473,-0.01070,0.04891
474,-0.01286,0.05474
475,0.00494,0.02178
476,0.00374,0.01683
477,0.00536,0.02342
478,0.00755,0.03092
479,0.00638,0.02727
480,0.00966,0.04519
481,0.01476,0.06149
482,0.01267,0.05295
483,0.00898,0.04129
484,0.00611,0.03473
485,-0.01721,0.06668
486,-0.01328,0.05482
487,-0.01164,0.04904
488,-0.01518,0.06091
489,-0.02209,0.08324
490,-0.00892,0.04026
491,-0.01390,0.05754
492,-0.01076,0.04561
493,-0.00526,0.02375
494,-0.00359,0.01688
495,-0.00372,0.01876
496,-0.00575,0.02688
497,-0.00756,0.03364
498,0.00480,0.02179
499,0.00322,0.01581
500,0.00332,0.01595
501,0.00481,0.02128
502,0.00676,0.02940
503,0.00547,0.02478
504,0.00736,0.03295
505,0.00492,0.02274
506,0.00380,0.01723
507,-0.00071,0.00482
508,-0.00070,0.00514
509,-0.00091,0.00541
510,-0.01616,0.05949
511,-0.01784,0.06609
512,-0.01233,0.04687
513,-0.01145,0.04502
514,-0.00558,0.02384
515,-0.00674,0.02848
516,-0.00512,0.02262
517,0.00245,0.01201
518,0.00269,0.01282
519,0.00358,0.01860
520,0.00294,0.01546
521,0.00222,0.01311
522,0.00269,0.01588
523,-0.00791,0.03481
524,-0.00640,0.02889
525,-0.00529,0.02479
526,-0.00666,0.02891
527,-0.00995,0.04237
528,-0.00215,0.00988
529,-0.00171,0.00805
530,-0.00285,0.01281
531,-0.01101,0.04545
532,-0.01466,0.05895
533,-0.01528,0.06042
534,-0.01201,0.04912
535,-0.00828,0.03578
536,-0.00648,0.03170
537,-0.00970,0.04307
538,-0.00887,0.04109
539,-0.00608,0.03400
540,0.01649,0.06424
541,0.02178,0.08132
542,0.01485,0.06061
543,0.01156,0.04798
544,0.01271,0.05125
545,0.00849,0.03636
546,0.00696,0.03044
547,0.01106,0.04489
